% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,3897,88,normal
tcp,SF,2031,100,normal
tcp,SF,1281,100,normal
tcp,OTH,5099,45,normal
tcp,SF,1291,100,normal
tcp,RSTR,1776,100,normal
tcp,OTH,3021,84,normal
tcp,SF,2321,100,normal
tcp,SF,3873,100,normal
tcp,SF,2077,100,normal
tcp,SF,2334,100,normal
tcp,SF,4071,100,normal
tcp,SF,1910,89,normal
tcp,OTH,5104,50,normal
tcp,S1,3467,100,normal
tcp,SF,3210,52,normal
tcp,OTH,5192,28,normal
tcp,OTH,3101,83,normal
tcp,SF,1852,100,normal
tcp,OTH,4955,43,normal
tcp,SF,1842,100,normal
tcp,OTH,5964,52,normal
tcp,SF,2381,100,normal
tcp,OTH,5686,47,normal
tcp,SF,4011,94,normal
tcp,OTH,3607,32,normal
tcp,OTH,5182,22,normal
tcp,OTH,5961,39,normal
tcp,SF,2077,100,normal
tcp,OTH,3201,48,normal
tcp,SF,1855,100,normal
tcp,SF,2134,100,normal
tcp,SF,1671,100,normal
tcp,SF,1829,100,normal
tcp,SF,1895,100,normal
tcp,OTH,3075,46,normal
tcp,OTH,5229,39,normal
tcp,OTH,3686,91,normal
tcp,SF,1936,100,normal
tcp,SF,2066,100,normal
tcp,OTH,2878,53,normal
tcp,OTH,3363,52,normal
tcp,OTH,2909,19,normal
