% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,78,0,10531,68,tcpFlood
tcp,OTH,78,0,840,68,tcpFlood
tcp,OTH,78,0,9361,72,tcpFlood
tcp,OTH,78,0,20749,70,tcpFlood
tcp,OTH,78,0,2191,68,tcpFlood
tcp,OTH,78,0,22213,72,tcpFlood
tcp,OTH,78,0,9904,67,tcpFlood
tcp,OTH,78,0,24242,70,tcpFlood
tcp,OTH,78,0,6456,67,tcpFlood
tcp,OTH,78,0,9280,71,tcpFlood
tcp,OTH,78,0,10868,68,tcpFlood
tcp,OTH,78,0,24264,73,tcpFlood
tcp,OTH,78,0,10204,71,tcpFlood
tcp,OTH,78,0,9199,63,tcpFlood
tcp,OTH,78,0,10975,71,tcpFlood
tcp,OTH,78,0,4538,67,tcpFlood
tcp,OTH,78,0,11766,70,tcpFlood
tcp,OTH,78,0,20225,73,tcpFlood
tcp,OTH,78,0,13780,77,tcpFlood
tcp,OTH,78,0,2956,71,tcpFlood
tcp,OTH,78,0,11678,67,tcpFlood
tcp,OTH,78,0,19222,72,tcpFlood
tcp,OTH,78,0,18666,65,tcpFlood
tcp,OTH,78,0,20385,67,tcpFlood
tcp,OTH,78,0,6925,65,tcpFlood
tcp,OTH,78,0,9564,66,tcpFlood
tcp,OTH,78,0,4543,61,tcpFlood
tcp,OTH,78,0,26065,75,tcpFlood
tcp,OTH,78,0,5798,70,tcpFlood
tcp,OTH,78,0,16903,71,tcpFlood
tcp,OTH,78,0,8297,67,tcpFlood
tcp,OTH,78,0,12277,71,tcpFlood
tcp,OTH,78,0,8129,71,tcpFlood
tcp,OTH,78,0,20424,64,tcpFlood
tcp,OTH,78,0,10602,65,tcpFlood
tcp,OTH,78,0,22482,64,tcpFlood
tcp,OTH,78,0,23547,66,tcpFlood
tcp,OTH,78,0,7145,57,tcpFlood
tcp,OTH,78,0,10908,70,tcpFlood
tcp,OTH,78,0,7560,65,tcpFlood
tcp,OTH,78,0,5571,73,tcpFlood
tcp,OTH,78,0,6333,67,tcpFlood
tcp,OTH,78,0,16614,76,tcpFlood
tcp,OTH,78,0,22645,66,tcpFlood
tcp,OTH,78,0,317,71,tcpFlood
tcp,OTH,78,0,5457,68,tcpFlood
tcp,OTH,78,0,20717,63,tcpFlood
tcp,OTH,78,0,10387,70,tcpFlood
tcp,OTH,78,0,1851,69,tcpFlood
tcp,OTH,78,0,9889,71,tcpFlood
tcp,OTH,78,0,4518,66,tcpFlood
tcp,OTH,78,0,15195,68,tcpFlood
tcp,OTH,78,0,6776,69,tcpFlood
tcp,OTH,78,0,21826,65,tcpFlood
tcp,OTH,78,0,4590,62,tcpFlood
tcp,OTH,78,0,7977,72,tcpFlood
tcp,OTH,78,0,12097,67,tcpFlood
tcp,OTH,78,0,24058,76,tcpFlood
tcp,OTH,78,0,20170,66,tcpFlood
tcp,OTH,78,0,9890,68,tcpFlood
tcp,OTH,78,0,23812,65,tcpFlood
tcp,OTH,78,0,13,13,tcpFlood
tcp,OTH,78,0,20387,64,tcpFlood
tcp,OTH,78,0,15235,74,tcpFlood
tcp,OTH,78,0,12898,80,tcpFlood
tcp,OTH,78,0,8340,71,tcpFlood
tcp,OTH,78,0,27017,69,tcpFlood
tcp,OTH,78,0,11800,69,tcpFlood
tcp,OTH,78,0,2718,74,tcpFlood
tcp,OTH,78,0,11521,67,tcpFlood
tcp,OTH,78,0,8192,69,tcpFlood
tcp,OTH,78,0,6468,68,tcpFlood
tcp,OTH,78,0,4590,66,tcpFlood
tcp,OTH,78,0,20462,73,tcpFlood
tcp,OTH,78,0,8185,73,tcpFlood
tcp,OTH,78,0,22336,67,tcpFlood
tcp,OTH,78,0,16674,76,tcpFlood
tcp,OTH,78,0,8553,71,tcpFlood
tcp,OTH,78,0,11799,75,tcpFlood
tcp,OTH,78,0,12166,70,tcpFlood
tcp,OTH,78,0,9427,70,tcpFlood
tcp,OTH,78,0,20947,74,tcpFlood
tcp,OTH,78,0,26959,70,tcpFlood
tcp,OTH,78,0,14118,74,tcpFlood
tcp,OTH,78,0,11519,67,tcpFlood
tcp,OTH,78,0,9867,68,tcpFlood
tcp,OTH,78,0,26628,70,tcpFlood
tcp,OTH,78,0,9976,71,tcpFlood
tcp,OTH,78,0,6505,71,tcpFlood
tcp,OTH,78,0,9487,75,tcpFlood
tcp,OTH,78,0,16222,71,tcpFlood
tcp,OTH,78,0,7209,76,tcpFlood
tcp,OTH,78,0,10115,73,tcpFlood
tcp,OTH,78,0,10090,70,tcpFlood
tcp,OTH,78,0,9992,70,tcpFlood
tcp,OTH,78,0,23082,71,tcpFlood
tcp,OTH,78,0,7251,69,tcpFlood
tcp,OTH,78,0,8131,68,tcpFlood
tcp,OTH,78,0,6567,70,tcpFlood
tcp,OTH,78,0,25467,68,tcpFlood
tcp,OTH,78,0,7644,64,tcpFlood
tcp,OTH,78,0,6281,69,tcpFlood
tcp,OTH,78,0,11690,62,tcpFlood
tcp,OTH,78,0,4139,65,tcpFlood
tcp,OTH,78,0,22656,68,tcpFlood
tcp,OTH,78,0,9799,74,tcpFlood
tcp,OTH,78,0,10863,68,tcpFlood
tcp,OTH,78,0,20383,67,tcpFlood
tcp,OTH,78,0,13947,69,tcpFlood
tcp,OTH,78,0,3598,70,tcpFlood
tcp,OTH,78,0,9827,67,tcpFlood
tcp,OTH,78,0,8725,67,tcpFlood
tcp,OTH,78,0,27018,65,tcpFlood
tcp,OTH,78,0,19686,71,tcpFlood
tcp,OTH,78,0,19546,69,tcpFlood
tcp,OTH,78,0,8040,72,tcpFlood
tcp,OTH,78,0,11624,70,tcpFlood
tcp,OTH,78,0,25345,70,tcpFlood
tcp,OTH,78,0,710,69,tcpFlood
tcp,OTH,78,0,7464,75,tcpFlood
tcp,OTH,78,0,9390,64,tcpFlood
tcp,OTH,78,0,9901,71,tcpFlood
tcp,OTH,78,0,14825,65,tcpFlood
tcp,OTH,78,0,15521,61,tcpFlood
tcp,OTH,78,0,3714,63,tcpFlood
tcp,OTH,78,0,20623,64,tcpFlood
tcp,OTH,78,0,24616,66,tcpFlood
tcp,OTH,78,0,22843,66,tcpFlood
tcp,OTH,78,0,23674,67,tcpFlood
tcp,OTH,78,0,6022,75,tcpFlood
tcp,OTH,78,0,7331,74,tcpFlood
tcp,OTH,78,0,2299,64,tcpFlood
tcp,OTH,78,0,5521,75,tcpFlood
tcp,OTH,78,0,4541,67,tcpFlood
tcp,OTH,78,0,5561,70,tcpFlood
tcp,OTH,78,0,5242,72,tcpFlood
tcp,OTH,78,0,8684,71,tcpFlood
tcp,OTH,78,0,2123,65,tcpFlood
tcp,OTH,78,0,6233,67,tcpFlood
tcp,OTH,78,0,15474,67,tcpFlood
tcp,OTH,78,0,11120,69,tcpFlood
tcp,OTH,78,0,8420,68,tcpFlood
tcp,OTH,78,0,22738,69,tcpFlood
tcp,OTH,78,0,25991,72,tcpFlood
tcp,OTH,78,0,5500,64,tcpFlood
tcp,OTH,78,0,6220,71,tcpFlood
tcp,OTH,78,0,6353,70,tcpFlood
tcp,OTH,78,0,26696,66,tcpFlood
tcp,OTH,78,0,10930,73,tcpFlood
tcp,OTH,78,0,5642,68,tcpFlood
tcp,OTH,78,0,6540,71,tcpFlood
tcp,OTH,78,0,15117,77,tcpFlood
tcp,OTH,78,0,6930,68,tcpFlood
tcp,OTH,78,0,21965,68,tcpFlood
tcp,OTH,78,0,9326,65,tcpFlood
tcp,OTH,78,0,8296,66,tcpFlood
tcp,OTH,78,0,8826,66,tcpFlood
tcp,OTH,78,0,12049,72,tcpFlood
tcp,OTH,78,0,5728,67,tcpFlood
tcp,OTH,78,0,25800,64,tcpFlood
tcp,OTH,78,0,15889,73,tcpFlood
tcp,OTH,78,0,1529,69,tcpFlood
tcp,OTH,78,0,19264,67,tcpFlood
tcp,OTH,78,0,22916,71,tcpFlood
tcp,OTH,78,0,10821,73,tcpFlood
tcp,OTH,78,0,13132,76,tcpFlood
tcp,OTH,78,0,5514,74,tcpFlood
tcp,OTH,78,0,6591,72,tcpFlood
tcp,OTH,78,0,8177,72,tcpFlood
tcp,OTH,78,0,10075,73,tcpFlood
tcp,OTH,78,0,21023,69,tcpFlood
tcp,OTH,78,0,19419,67,tcpFlood
tcp,OTH,78,0,15696,73,tcpFlood
tcp,OTH,78,0,11538,68,tcpFlood
tcp,OTH,78,0,18018,75,tcpFlood
tcp,OTH,78,0,5503,71,tcpFlood
tcp,OTH,78,0,10701,71,tcpFlood
tcp,OTH,78,0,7536,68,tcpFlood
tcp,OTH,78,0,10274,70,tcpFlood
tcp,OTH,78,0,4240,71,tcpFlood
tcp,OTH,78,0,8053,70,tcpFlood
tcp,OTH,78,0,26769,65,tcpFlood
tcp,OTH,78,0,20664,69,tcpFlood
tcp,OTH,78,0,8956,68,tcpFlood
tcp,OTH,78,0,8636,67,tcpFlood
tcp,OTH,78,0,6728,68,tcpFlood
tcp,OTH,78,0,11099,69,tcpFlood
tcp,OTH,78,0,6555,71,tcpFlood
tcp,OTH,78,0,12457,74,tcpFlood
tcp,OTH,78,0,11702,65,tcpFlood
tcp,OTH,78,0,3205,67,tcpFlood
tcp,OTH,78,0,15069,72,tcpFlood
tcp,OTH,78,0,19644,53,tcpFlood
tcp,OTH,78,0,4679,67,tcpFlood
tcp,OTH,78,0,14811,71,tcpFlood
tcp,OTH,78,0,6493,67,tcpFlood
tcp,OTH,78,0,6090,72,tcpFlood
tcp,OTH,78,0,5158,67,tcpFlood
tcp,OTH,78,0,10607,67,tcpFlood
tcp,OTH,78,0,9899,71,tcpFlood
tcp,OTH,78,0,14842,71,tcpFlood
tcp,OTH,78,0,6968,71,tcpFlood
tcp,OTH,78,0,17369,76,tcpFlood
tcp,OTH,78,0,5566,70,tcpFlood
tcp,OTH,78,0,10601,70,tcpFlood
tcp,OTH,78,0,2461,66,tcpFlood
tcp,OTH,78,0,6576,68,tcpFlood
tcp,OTH,78,0,20547,71,tcpFlood
tcp,OTH,78,0,1627,67,tcpFlood
tcp,OTH,78,0,21299,65,tcpFlood
tcp,OTH,78,0,23016,64,tcpFlood
tcp,OTH,78,0,7205,73,tcpFlood
tcp,OTH,78,0,26696,72,tcpFlood
tcp,OTH,78,0,6566,67,tcpFlood
tcp,OTH,78,0,22230,66,tcpFlood
tcp,OTH,78,0,10061,72,tcpFlood
tcp,OTH,78,0,27016,67,tcpFlood
tcp,OTH,78,0,15942,66,tcpFlood
tcp,OTH,78,0,7926,68,tcpFlood
tcp,OTH,78,0,6775,66,tcpFlood
tcp,OTH,78,0,24080,74,tcpFlood
tcp,OTH,78,0,7619,65,tcpFlood
tcp,OTH,78,0,6558,70,tcpFlood
tcp,OTH,78,0,5526,71,tcpFlood
tcp,OTH,78,0,5506,70,tcpFlood
tcp,OTH,78,0,23617,69,tcpFlood
tcp,OTH,78,0,9360,65,tcpFlood
tcp,OTH,78,0,7403,73,tcpFlood
tcp,OTH,78,0,11522,67,tcpFlood
tcp,OTH,78,0,20807,70,tcpFlood
tcp,OTH,78,0,4737,68,tcpFlood
tcp,OTH,78,0,7205,72,tcpFlood
tcp,OTH,78,0,23719,66,tcpFlood
tcp,OTH,78,0,5434,71,tcpFlood
tcp,OTH,78,0,6548,70,tcpFlood
tcp,OTH,78,0,15327,64,tcpFlood
tcp,OTH,78,0,25399,67,tcpFlood
tcp,OTH,78,0,24910,60,tcpFlood
tcp,OTH,78,0,10507,70,tcpFlood
tcp,OTH,78,0,3326,70,tcpFlood
tcp,OTH,78,0,6835,70,tcpFlood
tcp,OTH,78,0,11559,70,tcpFlood
tcp,OTH,78,0,15062,75,tcpFlood
tcp,OTH,78,0,13583,81,tcpFlood
tcp,OTH,78,0,594,68,tcpFlood
tcp,OTH,78,0,7141,74,tcpFlood
tcp,OTH,78,0,15715,72,tcpFlood
tcp,OTH,78,0,5985,69,tcpFlood
tcp,OTH,78,0,19075,68,tcpFlood
tcp,OTH,78,0,10837,69,tcpFlood
tcp,OTH,78,0,9369,67,tcpFlood
tcp,OTH,78,0,10302,69,tcpFlood
tcp,OTH,78,0,12350,65,tcpFlood
tcp,OTH,78,0,6510,70,tcpFlood
tcp,OTH,78,0,5570,66,tcpFlood
tcp,OTH,78,0,7075,73,tcpFlood
tcp,OTH,78,0,20728,67,tcpFlood
tcp,OTH,78,0,5979,63,tcpFlood
tcp,OTH,78,0,10764,71,tcpFlood
tcp,OTH,78,0,2099,62,tcpFlood
tcp,OTH,78,0,12148,67,tcpFlood
tcp,OTH,78,0,19589,67,tcpFlood
tcp,OTH,78,0,4607,63,tcpFlood
tcp,OTH,78,0,11769,67,tcpFlood
tcp,OTH,78,0,367,67,tcpFlood
tcp,OTH,78,0,9915,68,tcpFlood
tcp,OTH,78,0,13278,73,tcpFlood
tcp,OTH,78,0,22041,51,tcpFlood
tcp,OTH,78,0,5489,69,tcpFlood
tcp,OTH,78,0,27166,68,tcpFlood
tcp,OTH,78,0,17207,76,tcpFlood
tcp,OTH,78,0,8560,69,tcpFlood
tcp,OTH,78,0,16524,73,tcpFlood
tcp,OTH,78,0,23691,70,tcpFlood
tcp,OTH,78,0,4605,62,tcpFlood
tcp,OTH,78,0,13203,79,tcpFlood
tcp,OTH,78,0,9097,65,tcpFlood
tcp,OTH,78,0,6320,65,tcpFlood
tcp,OTH,78,0,17461,76,tcpFlood
tcp,OTH,78,0,6608,69,tcpFlood
tcp,OTH,78,0,5895,64,tcpFlood
tcp,OTH,78,0,678,70,tcpFlood
tcp,OTH,78,0,11667,67,tcpFlood
tcp,OTH,78,0,9897,70,tcpFlood
tcp,OTH,78,0,25926,70,tcpFlood
tcp,OTH,78,0,10819,68,tcpFlood
tcp,OTH,78,0,19643,52,tcpFlood
tcp,OTH,78,0,18386,74,tcpFlood
tcp,OTH,78,0,5706,69,tcpFlood
tcp,OTH,78,0,19931,72,tcpFlood
tcp,OTH,78,0,7824,73,tcpFlood
tcp,OTH,78,0,22034,65,tcpFlood
tcp,OTH,78,0,7978,70,tcpFlood
tcp,OTH,78,0,9864,66,tcpFlood
tcp,OTH,78,0,11472,70,tcpFlood
tcp,OTH,78,0,3027,68,tcpFlood
tcp,OTH,78,0,16777,77,tcpFlood
tcp,OTH,78,0,6304,67,tcpFlood
tcp,OTH,78,0,7448,74,tcpFlood
tcp,OTH,78,0,9247,70,tcpFlood
tcp,OTH,78,0,5579,69,tcpFlood
tcp,OTH,78,0,9882,70,tcpFlood
tcp,OTH,78,0,10360,63,tcpFlood
tcp,OTH,78,0,9664,70,tcpFlood
tcp,OTH,78,0,18392,74,tcpFlood
tcp,OTH,78,0,5135,71,tcpFlood
tcp,OTH,78,0,10618,65,tcpFlood
tcp,OTH,78,0,15175,72,tcpFlood
tcp,OTH,78,0,10816,71,tcpFlood
tcp,OTH,78,0,20624,72,tcpFlood
tcp,OTH,78,0,250,74,tcpFlood
tcp,OTH,78,0,9488,70,tcpFlood
tcp,OTH,78,0,24923,62,tcpFlood
tcp,OTH,78,0,8481,65,tcpFlood
tcp,OTH,78,0,20013,72,tcpFlood
tcp,OTH,78,0,9060,71,tcpFlood
tcp,OTH,78,0,10569,73,tcpFlood
tcp,OTH,78,0,27022,73,tcpFlood
tcp,OTH,78,0,4830,69,tcpFlood
tcp,OTH,78,0,22358,71,tcpFlood
tcp,OTH,78,0,20752,70,tcpFlood
tcp,OTH,78,0,6520,67,tcpFlood
tcp,OTH,78,0,22561,77,tcpFlood
tcp,OTH,78,0,7665,74,tcpFlood
tcp,OTH,78,0,14541,72,tcpFlood
tcp,OTH,78,0,14173,72,tcpFlood
tcp,OTH,78,0,20541,68,tcpFlood
tcp,OTH,78,0,24591,73,tcpFlood
tcp,OTH,78,0,9074,69,tcpFlood
tcp,OTH,78,0,8870,69,tcpFlood
tcp,OTH,78,0,26890,68,tcpFlood
tcp,OTH,78,0,6646,63,tcpFlood
tcp,OTH,78,0,5959,67,tcpFlood
tcp,OTH,78,0,11628,70,tcpFlood
tcp,OTH,78,0,25745,64,tcpFlood
tcp,OTH,78,0,23618,69,tcpFlood
tcp,OTH,78,0,22501,65,tcpFlood
tcp,OTH,78,0,23487,65,tcpFlood
tcp,OTH,78,0,9888,69,tcpFlood
tcp,OTH,78,0,5436,73,tcpFlood
tcp,OTH,78,0,7134,68,tcpFlood
tcp,OTH,78,0,5437,69,tcpFlood
tcp,OTH,78,0,20673,65,tcpFlood
tcp,OTH,78,0,15148,72,tcpFlood
tcp,OTH,78,0,16498,75,tcpFlood
tcp,OTH,78,0,3990,69,tcpFlood
tcp,OTH,78,0,4648,65,tcpFlood
tcp,OTH,78,0,21310,67,tcpFlood
tcp,OTH,78,0,18190,76,tcpFlood
tcp,OTH,78,0,6905,68,tcpFlood
tcp,OTH,78,0,10184,72,tcpFlood
tcp,OTH,78,0,6558,70,tcpFlood
tcp,OTH,78,0,9928,66,tcpFlood
tcp,OTH,78,0,10779,66,tcpFlood
tcp,OTH,78,0,8283,66,tcpFlood
tcp,OTH,78,0,4778,63,tcpFlood
tcp,OTH,78,0,26885,68,tcpFlood
tcp,OTH,78,0,24463,62,tcpFlood
tcp,OTH,78,0,7898,76,tcpFlood
tcp,OTH,78,0,20681,64,tcpFlood
tcp,OTH,78,0,9961,72,tcpFlood
tcp,OTH,78,0,15652,78,tcpFlood
tcp,OTH,78,0,21120,73,tcpFlood
tcp,OTH,78,0,22833,68,tcpFlood
tcp,OTH,78,0,27098,65,tcpFlood
tcp,OTH,78,0,11021,72,tcpFlood
tcp,OTH,78,0,7173,69,tcpFlood
tcp,OTH,78,0,4701,59,tcpFlood
tcp,OTH,78,0,24061,76,tcpFlood
tcp,OTH,78,0,23951,66,tcpFlood
tcp,OTH,78,0,12670,70,tcpFlood
tcp,OTH,78,0,20632,72,tcpFlood
tcp,OTH,78,0,5455,66,tcpFlood
tcp,OTH,78,0,22234,72,tcpFlood
tcp,OTH,78,0,20707,68,tcpFlood
tcp,OTH,78,0,7562,68,tcpFlood
tcp,OTH,78,0,11827,63,tcpFlood
tcp,OTH,78,0,11984,68,tcpFlood
tcp,OTH,78,0,15064,75,tcpFlood
tcp,OTH,78,0,10318,68,tcpFlood
tcp,OTH,78,0,127,68,tcpFlood
tcp,OTH,78,0,8700,71,tcpFlood
tcp,OTH,78,0,13500,71,tcpFlood
tcp,OTH,78,0,12396,66,tcpFlood
tcp,OTH,78,0,24670,70,tcpFlood
tcp,OTH,78,0,14996,62,tcpFlood
tcp,OTH,78,0,5767,70,tcpFlood
tcp,OTH,78,0,20318,76,tcpFlood
tcp,OTH,78,0,23763,74,tcpFlood
tcp,OTH,78,0,26254,65,tcpFlood
tcp,OTH,78,0,21538,73,tcpFlood
tcp,OTH,78,0,7133,67,tcpFlood
tcp,OTH,78,0,15356,66,tcpFlood
tcp,OTH,78,0,21309,66,tcpFlood
tcp,OTH,78,0,9675,67,tcpFlood
tcp,OTH,78,0,15000,66,tcpFlood
tcp,OTH,78,0,8335,66,tcpFlood
tcp,OTH,78,0,17815,73,tcpFlood
tcp,OTH,78,0,8832,77,tcpFlood
tcp,OTH,78,0,23549,65,tcpFlood
tcp,OTH,78,0,23649,68,tcpFlood
tcp,OTH,78,0,21150,71,tcpFlood
tcp,OTH,78,0,6459,66,tcpFlood
tcp,OTH,78,0,20546,74,tcpFlood
tcp,OTH,78,0,6556,70,tcpFlood
tcp,OTH,78,0,26523,71,tcpFlood
tcp,OTH,78,0,11391,67,tcpFlood
tcp,OTH,78,0,10672,72,tcpFlood
tcp,OTH,78,0,5694,62,tcpFlood
tcp,OTH,78,0,11067,72,tcpFlood
tcp,OTH,78,0,26769,65,tcpFlood
tcp,OTH,78,0,11121,68,tcpFlood
tcp,OTH,78,0,17490,73,tcpFlood
tcp,OTH,78,0,25027,68,tcpFlood
tcp,OTH,78,0,6702,67,tcpFlood
tcp,OTH,78,0,12574,68,tcpFlood
tcp,OTH,78,0,17542,74,tcpFlood
tcp,OTH,78,0,21789,74,tcpFlood
tcp,OTH,78,0,22359,70,tcpFlood
tcp,OTH,78,0,19793,73,tcpFlood
tcp,OTH,78,0,24077,74,tcpFlood
tcp,OTH,78,0,5639,68,tcpFlood
tcp,OTH,78,0,438,68,tcpFlood
tcp,OTH,78,0,20385,67,tcpFlood
tcp,OTH,78,0,8057,70,tcpFlood
tcp,OTH,78,0,4645,58,tcpFlood
tcp,OTH,78,0,20540,73,tcpFlood
tcp,OTH,78,0,11118,68,tcpFlood
tcp,OTH,78,0,9399,64,tcpFlood
tcp,OTH,78,0,9875,68,tcpFlood
tcp,OTH,78,0,6475,75,tcpFlood
tcp,OTH,78,0,20630,68,tcpFlood
tcp,OTH,78,0,10707,70,tcpFlood
tcp,OTH,78,0,6458,71,tcpFlood
