% isAttack HIGH_RATE:	1705
% isAttack LOW_RATE:	2000
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,14-16,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
tcp,78,2153,2153,1,0,0,0.01,HIGH_RATE
tcp,78,9230,9230,1,0,0,0.01,HIGH_RATE
tcp,78,6283,6283,1,0,0,0.03,HIGH_RATE
tcp,78,11973,11973,1,0,0,0.01,HIGH_RATE
tcp,78,18499,18499,1,0,0,0.03,HIGH_RATE
tcp,78,27108,27108,1,0,0,0.03,HIGH_RATE
tcp,78,6488,6488,1,0,0,0.05,HIGH_RATE
tcp,78,10607,10607,1,0,0,0.01,HIGH_RATE
tcp,78,10631,10631,1,0,0,0.01,HIGH_RATE
tcp,78,22072,22072,1,0,0,0,HIGH_RATE
tcp,78,5266,5266,1,0,0,0.03,HIGH_RATE
tcp,78,15895,15895,1,0,0,0.03,HIGH_RATE
tcp,78,20127,20127,1,0,0,0.02,HIGH_RATE
tcp,78,7506,7506,1,0,0,0.03,HIGH_RATE
tcp,78,1115,1115,1,0,0,0.04,HIGH_RATE
tcp,78,27161,27161,1,0,0,0,HIGH_RATE
tcp,78,11407,11407,1,0,0,0.01,HIGH_RATE
tcp,78,8971,8971,1,0,0,0,HIGH_RATE
tcp,78,10368,10368,1,0,0,0.03,HIGH_RATE
tcp,78,14257,14257,1,0,0,0.03,HIGH_RATE
tcp,78,5531,5531,1,0,0,0.03,HIGH_RATE
tcp,78,14484,14484,1,0,0,0,HIGH_RATE
tcp,78,4550,4550,1,0,0,0.08,HIGH_RATE
tcp,78,11520,11520,1,0,0,0.05,HIGH_RATE
tcp,78,2326,2326,1,0,0,0,HIGH_RATE
tcp,78,12334,12334,1,0,0,0.06,HIGH_RATE
tcp,78,10531,10531,1,0,0,0.03,HIGH_RATE
tcp,78,840,840,1,0,0,0.04,HIGH_RATE
tcp,78,9361,9361,1,0,0,0.01,HIGH_RATE
tcp,78,20749,20749,1,0,0,0.01,HIGH_RATE
tcp,78,2191,2191,1,0,0,0.01,HIGH_RATE
tcp,78,22213,22213,1,0,0,0.03,HIGH_RATE
tcp,78,9904,9904,1,0,0,0.03,HIGH_RATE
tcp,78,24242,24242,1,0,0,0.04,HIGH_RATE
tcp,78,6456,6456,1,0,0,0.03,HIGH_RATE
tcp,78,9280,9280,1,0,0,0.01,HIGH_RATE
tcp,78,10868,10868,1,0,0,0.03,HIGH_RATE
tcp,78,24264,24264,1,0,0,0.04,HIGH_RATE
tcp,78,10204,10204,1,0,0,0.04,HIGH_RATE
tcp,78,9199,9199,1,0,0,0.03,HIGH_RATE
tcp,78,10975,10975,1,0,0,0,HIGH_RATE
tcp,78,4538,4538,1,0,0,0.03,HIGH_RATE
tcp,78,11766,11766,1,0,0,0.07,HIGH_RATE
tcp,78,20225,20225,1,0,0,0.03,HIGH_RATE
tcp,78,13780,13780,1,0,0,0.04,HIGH_RATE
tcp,78,2956,2956,1,0,0,0.03,HIGH_RATE
tcp,78,11678,11678,1,0,0,0.04,HIGH_RATE
tcp,78,19222,19222,1,0,0,0.01,HIGH_RATE
tcp,78,18666,18666,1,0,0,0,HIGH_RATE
tcp,78,20385,20385,1,0,0,0.03,HIGH_RATE
tcp,78,6925,6925,1,0,0,0.03,HIGH_RATE
tcp,78,9564,9564,1,0,0,0.04,HIGH_RATE
tcp,78,4543,4543,1,0,0,0.02,HIGH_RATE
tcp,78,26065,26065,1,0,0,0.04,HIGH_RATE
tcp,78,5798,5798,1,0,0,0.01,HIGH_RATE
tcp,78,16903,16903,1,0,0,0.04,HIGH_RATE
tcp,78,8297,8297,1,0,0,0.03,HIGH_RATE
tcp,78,12277,12277,1,0,0,0.03,HIGH_RATE
tcp,78,8129,8129,1,0,0,0.01,HIGH_RATE
tcp,78,20424,20424,1,0,0,0.02,HIGH_RATE
tcp,78,10602,10602,1,0,0,0.02,HIGH_RATE
tcp,78,22482,22482,1,0,0,0.05,HIGH_RATE
tcp,78,23547,23547,1,0,0,0,HIGH_RATE
tcp,78,7145,7145,1,0,0,0,HIGH_RATE
tcp,78,10908,10908,1,0,0,0.01,HIGH_RATE
tcp,78,7560,7560,1,0,0,0.05,HIGH_RATE
tcp,78,5571,5571,1,0,0,0.01,HIGH_RATE
tcp,78,6333,6333,1,0,0,0.03,HIGH_RATE
tcp,78,16614,16614,1,0,0,0.04,HIGH_RATE
tcp,78,22645,22645,1,0,0,0.01,HIGH_RATE
tcp,78,317,317,1,0,0,0.03,HIGH_RATE
tcp,78,5457,5457,1,0,0,0.01,HIGH_RATE
tcp,78,20717,20717,1,0,0,0.05,HIGH_RATE
tcp,78,10387,10387,1,0,0,0,HIGH_RATE
tcp,78,1851,1851,1,0,0,0.01,HIGH_RATE
tcp,78,9889,9889,1,0,0,0.01,HIGH_RATE
tcp,78,4518,4518,1,0,0,0.01,HIGH_RATE
tcp,78,15195,15195,1,0,0,0.01,HIGH_RATE
tcp,78,6776,6776,1,0,0,0.04,HIGH_RATE
tcp,78,21826,21826,1,0,0,0,HIGH_RATE
tcp,78,4590,4590,1,0,0,0.08,HIGH_RATE
tcp,78,7977,7977,1,0,0,0.01,HIGH_RATE
tcp,78,12097,12097,1,0,0,0.01,HIGH_RATE
tcp,78,24058,24058,1,0,0,0.03,HIGH_RATE
tcp,78,20170,20170,1,0,0,0.03,HIGH_RATE
tcp,78,9890,9890,1,0,0,0.03,HIGH_RATE
tcp,78,23812,23812,1,0,0,0.02,HIGH_RATE
tcp,78,13,13,1,0,0,0,HIGH_RATE
tcp,78,20387,20387,1,0,0,0.02,HIGH_RATE
tcp,78,15235,15235,1,0,0,0.01,HIGH_RATE
tcp,78,12898,12898,1,0,0,0.01,HIGH_RATE
tcp,78,8340,8340,1,0,0,0.01,HIGH_RATE
tcp,78,27017,27017,1,0,0,0.01,HIGH_RATE
tcp,78,11800,11800,1,0,0,0.04,HIGH_RATE
tcp,78,2718,2718,1,0,0,0.04,HIGH_RATE
tcp,78,11521,11521,1,0,0,0.01,HIGH_RATE
tcp,78,8192,8192,1,0,0,0.01,HIGH_RATE
tcp,78,6468,6468,1,0,0,0.01,HIGH_RATE
tcp,78,4590,4590,1,0,0,0,HIGH_RATE
tcp,78,20462,20462,1,0,0,0.01,HIGH_RATE
tcp,78,8185,8185,1,0,0,0.08,HIGH_RATE
tcp,78,22336,22336,1,0,0,0.03,HIGH_RATE
tcp,78,16674,16674,1,0,0,0.04,HIGH_RATE
tcp,78,8553,8553,1,0,0,0.01,HIGH_RATE
tcp,78,11799,11799,1,0,0,0.05,HIGH_RATE
tcp,78,12166,12166,1,0,0,0.06,HIGH_RATE
tcp,78,9427,9427,1,0,0,0.04,HIGH_RATE
tcp,78,20947,20947,1,0,0,0,HIGH_RATE
tcp,78,26959,26959,1,0,0,0.01,HIGH_RATE
tcp,78,14118,14118,1,0,0,0,HIGH_RATE
tcp,78,11519,11519,1,0,0,0.01,HIGH_RATE
tcp,78,9867,9867,1,0,0,0.01,HIGH_RATE
tcp,78,26628,26628,1,0,0,0,HIGH_RATE
tcp,78,9976,9976,1,0,0,0.03,HIGH_RATE
tcp,78,6505,6505,1,0,0,0.03,HIGH_RATE
