% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,8-9,18-19,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,12461,4042,4042,100,1,0,normal
0,tcp,SF,12538,3084,3084,90,1,0,normal
0,tcp,OTH,0,3402,3402,51,1,0,normal
0,tcp,SF,12461,2353,2353,88,1,0,normal
0,tcp,SF,12461,3452,3452,65,1,0,normal
0,tcp,OTH,0,5952,5952,50,1,0,normal
0,tcp,SF,12395,2246,2246,100,1,0,normal
0,tcp,SF,12461,3876,3876,100,1,0,normal
0,tcp,SF,12461,1344,1344,100,1,0,normal
0,tcp,SF,12461,2549,2549,100,1,0,normal
0,tcp,SF,12461,1932,1932,100,1,0,normal
0,tcp,SF,12461,3944,3944,100,1,0,normal
0,tcp,SF,12461,2182,2182,98,1,0,normal
0,tcp,OTH,0,3272,3272,49,1,0,normal
0,tcp,OTH,0,4674,4674,53,1,0,normal
0,tcp,OTH,0,5914,5914,44,1,0,normal
0,tcp,OTH,0,3498,3498,51,1,0,normal
0,tcp,SF,12395,566,566,97,1,0,normal
0,tcp,SF,12461,2435,2435,98,1,0,normal
0,tcp,OTH,0,5678,5678,21,1,0,normal
0,tcp,OTH,0,2884,2884,42,1,0,normal
0,tcp,SF,12461,3338,3338,91,1,0,normal
0,tcp,SF,12461,1747,1747,100,1,0,normal
0,tcp,SF,12461,3372,3372,100,1,0,normal
0,tcp,OTH,0,2671,2671,52,1,0,normal
0,tcp,OTH,0,1495,1495,69,1,0,normal
0,tcp,OTH,0,3291,3291,44,1,0,normal
0,tcp,OTH,0,3153,3153,56,1,0,normal
0,tcp,SF,12461,2218,2218,100,1,0,normal
0,tcp,OTH,0,2999,2999,49,1,0,normal
0,tcp,SF,12461,2386,2386,100,1,0,normal
0,tcp,OTH,0,3159,3159,57,1,0,normal
0,tcp,OTH,0,5058,5058,42,1,0,normal
0,tcp,OTH,0,3525,3525,48,1,0,normal
0,tcp,OTH,0,4960,4960,38,1,0,normal
0,tcp,SF,12461,3083,3083,100,1,0,normal
0,tcp,OTH,0,2840,2840,55,1,0,normal
0,tcp,SF,12461,3178,3178,87,1,0,normal
1,tcp,SF,12461,1969,1969,100,1,0,normal
0,tcp,OTH,0,5129,5129,69,1,0,normal
0,tcp,OTH,0,3283,3283,46,1,0,normal
0,tcp,SF,12461,1512,1512,100,1,0,normal
0,tcp,OTH,0,5246,5246,72,1,0,normal
0,tcp,OTH,0,3287,3287,34,1,0,normal
0,tcp,OTH,0,3905,3905,80,1,0,normal
0,tcp,OTH,0,3849,3849,45,1,0,normal
0,tcp,SF,12461,1998,1998,100,1,0,normal
0,tcp,OTH,0,2729,2729,48,1,0,normal
0,tcp,OTH,0,4862,4862,46,1,0,normal
0,tcp,OTH,0,2700,2700,45,1,0,normal
0,tcp,SF,12461,2211,2211,100,1,0,normal
0,tcp,SF,12461,5668,5668,72,1,0,normal
0,tcp,S1,140,2677,2677,100,1,0,normal
0,tcp,SF,12461,467,467,100,1,0,normal
0,tcp,OTH,0,5364,5364,96,1,0,normal
0,tcp,OTH,0,3393,3393,99,1,0,normal
0,tcp,SF,12461,2081,2081,88,1,0,normal
0,tcp,SF,12461,1835,1835,100,1,0,normal
0,tcp,OTH,0,2985,2985,71,1,0,normal
0,tcp,SF,12461,3886,3886,100,1,0,normal
0,tcp,OTH,0,2344,2344,68,1,0,normal
0,tcp,SF,12461,2150,2150,100,1,0,normal
1,tcp,SF,12461,1444,1444,100,1,0,normal
0,tcp,SF,12461,3513,3513,100,1,0,normal
0,tcp,OTH,0,2431,2431,52,1,0,normal
0,tcp,SF,12461,2109,2109,100,1,0,normal
0,tcp,OTH,0,5880,5880,48,1,0,normal
0,tcp,SF,12461,2435,2435,100,1,0,normal
0,tcp,OTH,0,4911,4911,48,1,0,normal
0,tcp,SF,12461,2266,2266,100,1,0,normal
0,tcp,SF,12461,1655,1655,100,1,0,normal
0,tcp,OTH,0,4961,4961,54,1,0,normal
0,tcp,OTH,0,3057,3057,55,1,0,normal
0,tcp,SF,12461,3010,3010,100,1,0,normal
0,tcp,OTH,0,2670,2670,50,1,0,normal
0,tcp,OTH,0,4837,4837,57,1,0,normal
0,tcp,SF,12461,1749,1749,100,1,0,normal
0,tcp,OTH,0,3397,3397,46,1,0,normal
0,tcp,OTH,0,5154,5154,51,1,0,normal
0,tcp,OTH,0,5787,5787,13,1,0,normal
0,tcp,OTH,0,5743,5743,65,1,0,normal
0,tcp,SF,12461,899,899,99,1,0,normal
0,tcp,SF,12527,2726,2726,72,1,0,normal
0,tcp,SF,12461,1019,1019,100,1,0,normal
0,tcp,SF,12461,3346,3346,93,1,0,normal
0,tcp,SF,12406,3172,3172,87,1,0,normal
0,tcp,SF,12461,2913,2913,98,1,0,normal
0,tcp,SF,12461,3296,3296,100,1,0,normal
0,tcp,SF,12461,3533,3533,100,1,0,normal
0,tcp,OTH,0,2498,2498,37,1,0,normal
0,tcp,SF,12461,2255,2255,100,1,0,normal
0,tcp,SF,12461,2205,2205,100,1,0,normal
0,tcp,SF,12461,2149,2149,100,1,0,normal
0,tcp,SF,12461,1429,1429,100,1,0,normal
0,tcp,SF,12461,2860,2860,100,1,0,normal
0,tcp,OTH,0,5778,5778,43,1,0,normal
0,tcp,OTH,0,4955,4955,57,1,0,normal
0,tcp,SF,12461,2243,2243,100,1,0,normal
0,tcp,OTH,0,3140,3140,39,1,0,normal
0,tcp,OTH,0,5813,5813,50,1,0,normal
0,tcp,S3,12395,1674,1674,100,1,0,normal
0,tcp,SF,272,3832,3832,54,1,0,normal
0,tcp,OTH,0,4935,4935,45,1,0,normal
0,tcp,SF,12461,3062,3062,24,1,0,normal
0,tcp,OTH,0,5701,5701,45,1,0,normal
0,tcp,SF,12461,2599,2599,100,1,0,normal
0,tcp,SF,12461,2968,2968,63,1,0,normal
0,tcp,SF,12395,3348,3348,93,1,0,normal
0,tcp,S1,12387,2462,2462,100,1,0,normal
0,tcp,OTH,0,3430,3430,47,1,0,normal
0,tcp,OTH,0,3142,3142,50,1,0,normal
0,tcp,OTH,0,4051,4051,99,1,0,normal
0,tcp,OTH,0,5515,5515,81,1,0,normal
0,tcp,SF,12461,1939,1939,100,1,0,normal
0,tcp,OTH,0,3286,3286,69,1,0,normal
0,tcp,SF,12461,3042,3042,88,1,0,normal
0,tcp,OTH,0,3483,3483,60,1,0,normal
0,tcp,OTH,0,3201,3201,49,1,0,normal
0,tcp,OTH,0,4813,4813,44,1,0,normal
0,tcp,OTH,0,2521,2521,44,1,0,normal
0,tcp,OTH,0,2494,2494,34,1,0,normal
0,tcp,SF,12461,2222,2222,100,1,0,normal
0,tcp,OTH,0,2618,2618,41,1,0,normal
0,tcp,SF,12461,2613,2613,100,1,0,normal
0,tcp,OTH,0,4192,4192,45,1,0,normal
0,tcp,SF,12461,2225,2225,100,1,0,normal
0,tcp,S1,132,2830,2830,100,1,0,normal
0,tcp,SF,12461,2515,2515,94,1,0,normal
0,tcp,SF,12461,3521,3521,100,1,0,normal
0,tcp,SF,12461,1525,1525,100,1,0,normal
0,tcp,SF,12461,2222,2222,100,1,0,normal
0,tcp,SF,12329,2201,2201,100,1,0,normal
0,tcp,SF,12461,2228,2228,100,1,0,normal
0,tcp,OTH,0,2903,2903,49,1,0,normal
0,tcp,SF,12461,1899,1899,100,1,0,normal
0,tcp,SF,12461,4252,4252,73,1,0,normal
0,tcp,SF,12461,2155,2155,98,1,0,normal
0,tcp,SF,12461,3998,3998,95,1,0,normal
0,tcp,SF,12461,1140,1140,100,1,0,normal
0,tcp,SF,12527,2725,2725,72,1,0,normal
0,tcp,SF,12461,2012,2012,100,1,0,normal
0,tcp,OTH,0,2883,2883,45,1,0,normal
0,tcp,SF,12461,4468,4468,55,1,0,normal
0,tcp,OTH,0,3848,3848,44,1,0,normal
0,tcp,OTH,0,3031,3031,58,1,0,normal
0,tcp,SF,12461,2250,2250,100,1,0,normal
0,tcp,SF,12461,3348,3348,96,1,0,normal
0,tcp,OTH,0,3393,3393,42,1,0,normal
0,tcp,OTH,0,4874,4874,57,1,0,normal
0,tcp,OTH,0,4042,4042,44,1,0,normal
0,tcp,SF,12461,2062,2062,100,1,0,normal
0,tcp,SF,12461,3916,3916,69,1,0,normal
0,tcp,SF,12461,2157,2157,100,1,0,normal
0,tcp,SF,12461,2853,2853,63,1,0,normal
0,tcp,OTH,0,6211,6211,52,1,0,normal
0,tcp,OTH,0,3146,3146,41,1,0,normal
0,tcp,S1,140,1611,1611,100,1,0,normal
0,tcp,SF,12461,2026,2026,100,1,0,normal
0,tcp,OTH,0,3299,3299,36,1,0,normal
0,tcp,SF,12461,2189,2189,41,1,0,normal
0,tcp,OTH,0,2953,2953,38,1,0,normal
0,tcp,SF,12461,1827,1827,100,1,0,normal
0,tcp,SF,12461,1931,1931,100,1,0,normal
0,tcp,SF,12395,2050,2050,100,1,0,normal
0,tcp,SF,12461,2130,2130,100,1,0,normal
0,tcp,OTH,0,3343,3343,49,1,0,normal
0,tcp,SF,12461,2040,2040,100,1,0,normal
0,tcp,OTH,0,2726,2726,42,1,0,normal
0,tcp,SF,12461,1940,1940,100,1,0,normal
0,tcp,OTH,0,4974,4974,28,1,0,normal
0,tcp,SF,12461,2390,2390,98,1,0,normal
0,tcp,OTH,0,3393,3393,52,1,0,normal
0,tcp,OTH,0,2830,2830,45,1,0,normal
0,tcp,SF,12461,1851,1851,100,1,0,normal
0,tcp,SF,12461,2071,2071,100,1,0,normal
0,tcp,SF,12461,1182,1182,100,1,0,normal
0,tcp,OTH,0,6119,6119,38,1,0,normal
0,tcp,SF,12461,2044,2044,100,1,0,normal
0,tcp,OTH,0,3883,3883,70,1,0,normal
0,tcp,OTH,0,4238,4238,95,1,0,normal
0,tcp,OTH,0,4992,4992,40,1,0,normal
0,tcp,OTH,0,4886,4886,52,1,0,normal
0,tcp,S1,140,2736,2736,100,1,0,normal
0,tcp,OTH,0,3954,3954,58,1,0,normal
0,tcp,SF,12527,3299,3299,75,1,0,normal
0,tcp,SF,12461,2254,2254,100,1,0,normal
0,tcp,SF,12395,2311,2311,100,1,0,normal
0,tcp,S3,12461,3098,3098,100,1,0,normal
0,tcp,SF,12461,1140,1140,100,1,0,normal
0,tcp,SF,12461,1906,1906,92,1,0,normal
0,tcp,SF,12395,2307,2307,100,1,0,normal
0,tcp,OTH,0,2133,2133,48,1,0,normal
0,tcp,SF,12461,3889,3889,98,1,0,normal
0,tcp,OTH,0,5592,5592,75,1,0,normal
0,tcp,OTH,0,2925,2925,29,1,0,normal
0,tcp,OTH,0,2598,2598,69,1,0,normal
