% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,26-27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,137,11,11,0,udpFlood
udp,OTH,60,120,33,33,0,udpFlood
udp,OTH,60,141,25,25,0,udpFlood
udp,OTH,60,37,34,34,0,udpFlood
udp,OTH,60,72,28,28,0,udpFlood
udp,OTH,60,61,25,25,0,udpFlood
udp,OTH,60,104,34,34,0,udpFlood
udp,OTH,60,108,33,33,0,udpFlood
udp,OTH,60,101,40,40,0,udpFlood
udp,OTH,60,110,33,33,0,udpFlood
udp,OTH,60,34,31,31,0,udpFlood
udp,OTH,60,135,33,33,0,udpFlood
udp,OTH,60,105,40,40,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,159,33,33,0,udpFlood
udp,OTH,60,153,33,33,0,udpFlood
udp,OTH,60,115,33,33,0,udpFlood
udp,OTH,60,141,27,27,0,udpFlood
udp,OTH,60,38,35,35,0,udpFlood
udp,OTH,60,15,15,15,0,udpFlood
udp,OTH,60,35,32,32,0,udpFlood
udp,OTH,60,113,33,33,0,udpFlood
udp,OTH,60,112,33,33,0,udpFlood
udp,OTH,60,142,33,33,0,udpFlood
udp,OTH,60,114,33,33,0,udpFlood
udp,OTH,60,162,33,33,0,udpFlood
