@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,14,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,139,1,17,highrate
OTH,60,119,1,35,highrate
OTH,60,108,1,34,highrate
OTH,60,151,1,33,highrate
OTH,60,102,1,33,highrate
OTH,60,106,1,34,highrate
OTH,60,82,1,42,highrate
OTH,60,153,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,108,1,33,highrate
OTH,60,101,1,34,highrate
OTH,60,118,1,34,highrate
OTH,60,103,1,33,highrate
OTH,60,105,1,33,highrate
OTH,60,18,1,18,highrate
OTH,60,109,1,40,highrate
OTH,60,151,1,33,highrate
OTH,60,114,1,33,highrate
OTH,60,113,1,33,highrate
OTH,60,106,1,39,highrate
OTH,60,121,1,33,highrate
OTH,60,117,1,33,highrate
OTH,60,105,1,33,highrate
OTH,60,111,1,34,highrate
OTH,60,41,1,36,highrate
OTH,60,86,1,40,highrate
OTH,60,66,1,26,highrate
OTH,60,116,1,33,highrate
OTH,60,6,1,6,highrate
OTH,60,138,1,15,highrate
OTH,60,112,1,33,highrate
OTH,60,96,1,43,highrate
OTH,60,128,1,33,highrate
OTH,60,116,1,34,highrate
OTH,60,136,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,141,1,34,highrate
OTH,60,131,1,33,highrate
OTH,60,130,1,33,highrate
OTH,60,115,1,34,highrate
OTH,60,105,1,33,highrate
OTH,60,130,1,33,highrate
OTH,60,97,1,43,highrate
OTH,60,142,1,33,highrate
OTH,60,2,1,2,highrate
OTH,60,125,1,33,highrate
OTH,60,153,1,33,highrate
OTH,60,137,1,11,highrate
OTH,60,120,1,33,highrate
OTH,60,141,1,25,highrate
OTH,60,37,1,34,highrate
OTH,60,72,1,28,highrate
OTH,60,61,1,25,highrate
OTH,60,104,1,34,highrate
OTH,60,108,1,33,highrate
OTH,60,101,1,40,highrate
OTH,60,110,1,33,highrate
OTH,60,34,1,31,highrate
OTH,60,135,1,33,highrate
OTH,60,105,1,40,highrate
OTH,60,142,1,33,highrate
OTH,60,159,1,33,highrate
OTH,60,153,1,33,highrate
OTH,60,115,1,33,highrate
OTH,60,141,1,27,highrate
OTH,60,38,1,35,highrate
OTH,60,15,1,15,highrate
OTH,60,35,1,32,highrate
OTH,60,113,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,114,1,33,highrate
OTH,60,162,1,33,highrate
OTH,60,0,0,0,highrate
OTH,60,115,1,37,highrate
OTH,60,153,1,33,highrate
OTH,60,146,1,33,highrate
OTH,60,43,1,32,highrate
OTH,60,108,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,108,1,33,highrate
OTH,60,82,1,38,highrate
OTH,60,105,1,34,highrate
OTH,60,158,1,33,highrate
OTH,60,125,1,33,highrate
OTH,60,110,1,33,highrate
OTH,60,84,1,40,highrate
OTH,60,108,1,33,highrate
OTH,60,140,1,33,highrate
OTH,60,119,1,33,highrate
OTH,60,45,1,22,highrate
OTH,60,93,1,42,highrate
OTH,60,47,1,22,highrate
OTH,60,113,1,34,highrate
OTH,60,118,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,146,1,33,highrate
OTH,60,143,1,33,highrate
OTH,60,113,1,33,highrate
OTH,60,131,1,33,highrate
OTH,60,145,1,33,highrate
OTH,60,152,1,33,highrate
OTH,60,7,1,7,highrate
OTH,60,117,1,34,highrate
OTH,60,80,1,41,highrate
OTH,60,125,1,33,highrate
OTH,60,20,1,20,highrate
OTH,60,138,1,19,highrate
OTH,60,141,1,25,highrate
OTH,60,103,1,34,highrate
OTH,60,138,1,33,highrate
OTH,60,109,1,33,highrate
OTH,60,16,1,16,highrate
OTH,60,102,1,34,highrate
OTH,60,81,1,41,highrate
OTH,60,153,1,33,highrate
OTH,60,40,1,37,highrate
OTH,60,140,1,21,highrate
OTH,60,87,1,41,highrate
OTH,60,145,1,33,highrate
OTH,60,80,1,42,highrate
OTH,60,70,1,28,highrate
OTH,60,134,1,33,highrate
OTH,60,129,1,33,highrate
OTH,60,126,1,33,highrate
OTH,60,103,1,40,highrate
OTH,60,142,1,33,highrate
OTH,60,141,1,33,highrate
OTH,60,141,1,30,highrate
OTH,60,65,1,26,highrate
OTH,60,131,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,153,1,33,highrate
OTH,60,137,1,11,highrate
OTH,60,64,1,26,highrate
OTH,60,42,1,34,highrate
OTH,60,141,1,31,highrate
OTH,60,32,1,29,highrate
OTH,60,24,1,24,highrate
OTH,60,143,1,33,highrate
OTH,60,114,1,33,highrate
OTH,60,151,1,33,highrate
OTH,60,54,1,23,highrate
OTH,60,49,1,21,highrate
OTH,60,146,1,33,highrate
OTH,60,117,1,34,highrate
OTH,60,110,1,34,highrate
OTH,60,108,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,133,1,33,highrate
OTH,60,110,1,33,highrate
OTH,60,8,1,8,highrate
OTH,60,142,1,33,highrate
OTH,60,79,1,41,highrate
OTH,60,125,1,33,highrate
OTH,60,125,1,33,highrate
OTH,60,154,1,33,highrate
OTH,60,107,1,34,highrate
OTH,60,106,1,33,highrate
OTH,60,98,1,41,highrate
OTH,60,114,1,33,highrate
OTH,60,109,1,34,highrate
OTH,60,93,1,42,highrate
OTH,60,138,1,11,highrate
OTH,60,131,1,33,highrate
OTH,60,148,1,33,highrate
OTH,60,108,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,13,1,13,highrate
OTH,60,113,1,33,highrate
OTH,60,109,1,33,highrate
OTH,60,141,1,22,highrate
OTH,60,102,1,40,highrate
OTH,60,138,1,33,highrate
OTH,60,166,1,33,highrate
OTH,60,10,1,10,highrate
OTH,60,138,1,13,highrate
OTH,60,87,1,42,highrate
OTH,60,87,1,42,highrate
OTH,60,104,1,40,highrate
OTH,60,117,1,33,highrate
OTH,60,86,1,43,highrate
OTH,60,86,1,41,highrate
OTH,60,91,1,42,highrate
OTH,60,137,1,33,highrate
OTH,60,82,1,42,highrate
OTH,60,108,1,38,highrate
OTH,60,109,1,33,highrate
OTH,60,136,1,33,highrate
OTH,60,121,1,33,highrate
OTH,60,44,1,33,highrate
OTH,60,153,1,33,highrate
OTH,60,71,1,29,highrate
OTH,60,145,1,33,highrate
OTH,60,76,1,32,highrate
OTH,60,114,1,33,highrate
OTH,60,114,1,33,highrate
OTH,60,110,1,37,highrate
OTH,60,81,1,37,highrate
OTH,60,143,1,30,highrate
OTH,60,141,1,28,highrate
OTH,60,117,1,33,highrate
OTH,60,145,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,141,1,32,highrate
OTH,60,70,1,28,highrate
OTH,60,86,1,42,highrate
OTH,60,117,1,36,highrate
OTH,60,110,1,33,highrate
OTH,60,107,1,34,highrate
OTH,60,128,1,33,highrate
OTH,60,145,1,33,highrate
OTH,60,131,1,33,highrate
OTH,60,110,1,33,highrate
OTH,60,137,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,145,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,138,1,33,highrate
OTH,60,153,1,33,highrate
OTH,60,104,1,34,highrate
OTH,60,113,1,34,highrate
OTH,60,124,1,33,highrate
OTH,60,85,1,41,highrate
OTH,60,131,1,33,highrate
OTH,60,142,1,33,highrate
OTH,60,117,1,33,highrate
OTH,60,87,1,40,highrate
OTH,60,155,1,33,highrate
OTH,60,17,1,17,highrate
OTH,60,141,1,24,highrate
OTH,60,112,1,33,highrate
OTH,60,141,1,33,highrate
OTH,60,109,1,38,highrate
OTH,60,83,1,42,highrate
OTH,60,138,1,14,highrate
OTH,60,88,1,40,highrate
OTH,60,114,1,37,highrate
OTH,60,75,1,31,highrate
OTH,60,109,1,33,highrate
OTH,60,112,1,33,highrate
OTH,60,57,1,24,highrate
OTH,60,138,1,21,highrate
OTH,60,128,1,33,highrate
OTH,60,101,1,34,highrate
OTH,60,138,1,33,highrate
OTH,60,137,1,33,highrate
OTH,60,53,1,23,highrate
OTH,60,107,1,33,highrate
OTH,60,153,1,33,highrate
OTH,60,62,1,25,highrate
OTH,60,85,1,42,highrate
OTH,60,127,1,33,highrate
OTH,60,132,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,160,1,33,highrate
OTH,60,89,1,41,highrate
OTH,60,163,1,33,highrate
OTH,60,107,1,33,highrate
OTH,60,108,1,33,highrate
OTH,60,80,1,36,highrate
OTH,60,131,1,33,highrate
OTH,60,108,1,34,highrate
OTH,60,101,1,34,highrate
OTH,60,117,1,33,highrate
OTH,60,139,1,33,highrate
OTH,60,11,1,11,highrate
S3,377,660,0.54,100,highrate
S3,374,321,1,100,highrate
OTH,60,124,1,33,highrate
S3,374,165,1,100,highrate
OTH,66,6,1,6,highrate
S3,374,150,1,100,highrate
RSTO,446,691,1,100,highrate
OTH,66,30,1,29,highrate
S3,377,580,0.48,100,highrate
OTH,66,49,1,34,highrate
OTH,60,180,1,33,highrate
OTH,60,172,1,33,highrate
S1,242,440,1,100,highrate
S3,377,463,0.34,100,highrate
S3,374,105,1,100,highrate
S3,374,105,1,100,highrate
OTH,66,268,1,98,highrate
OTH,60,135,1,33,highrate
RSTO,446,557,1,100,highrate
RSTO,446,336,1,100,highrate
S3,386,115,1,100,highrate
RSTO,446,663,1,100,highrate
RSTO,446,379,1,100,highrate
S3,374,188,1,100,highrate
OTH,60,25,1,25,highrate
S3,377,916,0.67,100,highrate
S3,380,759,1,100,highrate
OTH,66,36,1,34,highrate
S3,374,121,1,82,highrate
OTH,60,178,1,33,highrate
S3,374,142,1,100,highrate
S3,377,525,0.42,100,highrate
OTH,60,114,1,33,highrate
OTH,66,0,0,0,highrate
S3,377,368,0.17,88,highrate
S3,380,966,1,100,highrate
OTH,66,190,1,98,highrate
OTH,60,30,1,30,highrate
S3,374,138,1,100,highrate
OTH,60,178,1,33,highrate
S3,380,940,1,100,highrate
OTH,60,179,1,33,highrate
S3,374,150,1,100,highrate
S3,374,339,1,100,highrate
S3,374,432,1,100,highrate
RSTO,446,566,1,100,highrate
S3,374,142,1,94,highrate
S3,380,945,1,100,highrate
OTH,66,144,0.24,53,highrate
OTH,60,129,1,32,highrate
S3,374,430,1,100,highrate
OTH,60,93,1,36,highrate
S3,374,156,1,100,highrate
OTH,66,1,1,1,highrate
S3,380,873,1,100,highrate
OTH,60,109,1,33,highrate
S3,374,145,1,100,highrate
S3,374,189,1,100,highrate
OTH,60,102,1,34,highrate
S3,374,427,1,100,highrate
S3,374,85,1,98,highrate
OTH,66,131,0.17,49,highrate
S3,374,131,1,100,highrate
OTH,60,87,1,42,highrate
OTH,60,136,1,10,highrate
S3,374,146,1,100,highrate
S3,377,931,0.67,100,highrate
OTH,66,58,1,48,highrate
OTH,66,156,1,100,highrate
RSTO,446,497,1,100,highrate
OTH,66,218,1,98,highrate
OTH,60,121,1,33,highrate
OTH,60,95,1,42,highrate
OTH,60,141,1,24,highrate
OTH,60,133,1,33,highrate
S3,374,133,1,100,highrate
S3,377,768,0.6,99,highrate
S3,377,447,0.32,100,highrate
S3,374,250,1,100,highrate
OTH,66,1,1,63,highrate
RSTO,446,378,1,100,highrate
S3,374,164,1,100,highrate
OTH,60,147,1,33,highrate
S3,374,140,1,100,highrate
S3,374,112,1,100,highrate
OTH,66,15,1,15,highrate
S3,386,371,1,100,highrate
S3,377,863,0.65,100,highrate
RSTO,446,642,1,100,highrate
S3,374,156,1,100,highrate
S3,380,740,1,100,highrate
S3,377,491,0.38,100,highrate
S3,374,104,1,100,highrate
OTH,60,74,1,30,highrate
OTH,60,142,1,33,highrate
S3,377,400,0.24,98,highrate
RSTO,446,563,1,100,highrate
S3,377,423,0.28,100,highrate
OTH,60,50,1,22,highrate
S1,242,189,1,100,highrate
OTH,60,141,1,24,highrate
S3,377,390,0.22,95,highrate
OTH,60,136,1,33,highrate
S3,374,74,1,74,highrate
S3,374,155,1,100,highrate
OTH,60,177,1,33,highrate
OTH,60,129,1,32,highrate
OTH,60,130,1,33,highrate
RSTO,446,707,1,100,highrate
S3,377,870,0.65,100,highrate
S3,380,741,1,100,highrate
OTH,66,38,1,32,highrate
OTH,60,43,1,33,highrate
S3,374,151,1,100,highrate
OTH,66,48,1,33,highrate
S1,248,152,1,100,highrate
S3,377,876,0.65,100,highrate
S3,374,83,1,98,highrate
S3,374,149,1,100,highrate
OTH,60,56,1,24,highrate
S3,374,346,1,100,highrate
OTH,66,103,1,100,highrate
RSTO,446,632,1,100,highrate
OTH,60,134,1,9,highrate
S3,374,404,1,100,highrate
S3,377,946,0.68,100,highrate
S3,374,41,1,98,highrate
RSTO,446,666,1,100,highrate
S3,374,148,1,100,highrate
OTH,66,55,1,45,highrate
S3,386,0,0,0,highrate
S3,374,280,1,100,highrate
OTH,60,129,1,33,highrate
S3,380,957,1,100,highrate
S1,242,179,1,100,highrate
S3,374,144,1,100,highrate
S3,377,443,0.31,100,highrate
S3,452,163,1,100,highrate
S3,377,444,0.32,100,highrate
S3,374,16,1,98,highrate
S3,377,559,0.46,100,highrate
OTH,66,55,1,37,highrate
OTH,60,134,1,33,highrate
S3,374,435,1,100,highrate
S3,377,766,0.6,99,highrate
OTH,60,174,1,33,highrate
OTH,60,160,1,33,highrate
S3,380,142,1,100,highrate
S3,392,754,1,100,highrate
S3,374,147,1,100,highrate
S3,377,412,0.26,100,highrate
S3,374,400,1,100,highrate
S3,380,938,1,100,highrate
RSTO,446,517,1,100,highrate
S3,374,152,1,100,highrate
S3,374,131,1,100,highrate
RSTO,446,524,1,100,highrate
RSTO,446,481,1,100,highrate
OTH,60,9,1,9,highrate
S3,380,912,1,100,highrate
OTH,66,115,1,100,highrate
OTH,60,178,1,33,highrate
OTH,60,144,1,33,highrate
S3,374,150,1,100,highrate
OTH,66,222,1,98,highrate
S3,374,161,1,100,highrate
S3,377,774,0.61,99,highrate
S3,377,851,0.64,99,highrate
S3,374,145,1,100,highrate
S3,374,312,1,100,highrate
S3,380,915,1,100,highrate
S3,374,229,1,100,highrate
S3,377,778,0.61,99,highrate
S3,377,309,0.02,69,highrate
S3,377,630,0.52,100,highrate
S3,377,798,0.62,99,highrate
S3,374,87,1,98,highrate
S3,377,306,0.01,68,highrate
OTH,60,180,1,33,highrate
S3,374,91,1,91,highrate
OTH,60,6,1,6,highrate
S3,386,129,1,100,highrate
S3,377,585,0.48,100,highrate
S3,374,184,1,100,highrate
S1,248,169,1,100,highrate
S3,377,1008,0.7,100,highrate
RSTO,446,480,1,100,highrate
OTH,66,0,0,0,highrate
OTH,66,27,1,27,highrate
OTH,60,79,1,23,highrate
S3,374,96,1,100,highrate
RSTO,446,530,1,100,highrate
OTH,66,261,1,98,highrate
OTH,60,105,1,33,highrate
S3,374,3,1,98,highrate
RSTO,446,401,1,100,highrate
OTH,60,147,1,33,highrate
OTH,60,178,1,33,highrate
S3,374,6,1,6,highrate
OTH,66,117,1,100,highrate
S1,248,152,1,100,highrate
S3,374,152,1,100,highrate
OTH,60,162,1,33,highrate
OTH,60,117,1,33,highrate
S1,242,457,1,100,highrate
RSTO,446,352,1,100,highrate
S3,377,628,0.52,100,highrate
S3,374,131,1,100,highrate
S3,377,509,0.4,100,highrate
OTH,60,98,1,42,highrate
RSTO,446,706,1,100,highrate
S3,380,770,1,100,highrate
S3,374,9,1,9,highrate
OTH,60,109,1,33,highrate
S3,374,351,1,100,highrate
S3,377,825,0.63,99,highrate
S3,374,149,1,100,highrate
OTH,60,169,1,33,highrate
S3,377,850,0.64,99,highrate
S1,242,171,1,100,highrate
OTH,66,59,1,94,highrate
S3,377,636,0.52,100,highrate
S3,374,30,1,30,highrate
S3,374,134,1,100,highrate
S3,374,152,1,100,highrate
S3,374,120,1,100,highrate
OTH,60,177,1,33,highrate
S3,374,179,1,100,highrate
S3,374,166,1,100,highrate
OTH,60,117,1,33,highrate
OTH,60,113,1,38,highrate
S3,374,165,1,100,highrate
S3,374,152,1,100,highrate
RSTO,446,461,1,100,highrate
OTH,60,110,1,34,highrate
OTH,60,137,1,20,highrate
OTH,60,144,1,31,highrate
S3,374,175,1,100,highrate
S3,377,897,0.66,100,highrate
S3,380,771,1,100,highrate
S3,377,853,0.64,99,highrate
RSTO,446,486,1,100,highrate
RSTO,446,843,1,100,highrate
RSTO,446,689,1,100,highrate
S3,380,145,1,100,highrate
S3,377,928,0.67,100,highrate
S1,245,1034,0.71,100,highrate
OTH,60,177,1,33,highrate
