@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-10,18,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,5945,5945,0,47,normal
S1,74,2710,2710,0.39,100,normal
OTH,66,3401,3401,0,50,normal
SF,946,968,968,0,100,normal
OTH,66,5483,5483,0,74,normal
SF,1024,3242,3242,0,100,normal
SF,946,1903,1903,0,99,normal
SF,946,2161,2161,0,98,normal
SF,946,773,773,0,100,normal
SF,1060,2207,2207,0,100,normal
SF,946,1808,1808,0,100,normal
SF,1042,2149,2149,0,100,normal
SF,1024,3330,3330,0,93,normal
OTH,66,4685,4685,0,32,normal
OTH,66,2695,2695,0,39,normal
SF,946,2121,2121,0,86,normal
SF,946,2159,2159,0,100,normal
SF,946,2530,2530,0,100,normal
S1,74,2673,2673,0.38,100,normal
OTH,146,4929,4929,0,52,normal
S2,734,3230,3230,0.46,100,normal
SF,946,2261,2261,0,100,normal
SF,946,1768,1768,0,100,normal
SF,946,25,25,0,25,normal
SF,946,2180,2180,0,100,normal
S3,880,1641,1641,0.03,100,normal
OTH,66,2934,2934,0,53,normal
SF,1024,2996,2996,0,85,normal
OTH,66,4951,4951,0,43,normal
SF,946,1872,1872,0,100,normal
SF,946,1921,1921,0,100,normal
RSTR,364,1915,1915,0.13,100,normal
SF,946,2758,2758,0,100,normal
OTH,66,2903,2903,0,50,normal
SF,946,3511,3511,0,100,normal
SF,946,1890,1890,0,100,normal
SF,946,2211,2211,0,100,normal
OTH,146,4990,4990,0,49,normal
OTH,66,3351,3351,0,41,normal
SF,946,1820,1820,0,100,normal
OTH,66,4959,4959,0,43,normal
S1,140,3724,3724,0.51,100,normal
SF,1024,3801,3801,0,48,normal
OTH,66,4878,4878,0,51,normal
OTH,66,5083,5083,0,41,normal
SF,1024,2008,2008,0,86,normal
RSTR,880,3015,3015,0.43,100,normal
OTH,66,2945,2945,0,35,normal
SF,880,611,611,0,100,normal
SF,946,2374,2374,0,62,normal
SF,946,2873,2873,0,76,normal
SF,946,630,630,0,100,normal
SF,946,3056,3056,0,49,normal
SF,946,3424,3424,0,100,normal
SF,1024,3315,3315,0,89,normal
S2,946,3596,3596,0.5,100,normal
SF,946,187,187,0,100,normal
SF,946,2055,2055,0,98,normal
OTH,66,5845,5845,0,51,normal
SF,946,2143,2143,0,100,normal
SF,946,1670,1670,0,100,normal
SF,880,2483,2483,0,100,normal
SF,946,2077,2077,0,100,normal
SF,946,1841,1841,0,100,normal
OTH,66,2881,2881,0,39,normal
SF,946,2109,2109,0,100,normal
OTH,78,3844,3844,0,74,normal
SF,880,1466,1466,0,100,normal
OTH,66,5550,5550,0,92,normal
SF,946,2182,2182,0,98,normal
SF,946,3386,3386,0,100,normal
OTH,66,2941,2941,0,34,normal
S1,286,2465,2465,0.32,100,normal
SF,946,3008,3008,0,64,normal
SF,946,1873,1873,0,100,normal
SF,946,125,125,0,100,normal
OTH,66,2426,2426,0,44,normal
SF,946,2280,2280,0,100,normal
OTH,66,3607,3607,0,63,normal
OTH,66,3582,3582,0,56,normal
SF,946,3869,3869,0,100,normal
SF,946,1986,1986,0,100,normal
SF,946,1871,1871,0,100,normal
OTH,66,2801,2801,0,47,normal
OTH,66,3260,3260,0,46,normal
OTH,66,3475,3475,0,27,normal
SF,946,2065,2065,0,100,normal
OTH,66,3449,3449,0,40,normal
SF,946,1984,1984,0,100,normal
SF,946,3442,3442,0,100,normal
SF,946,2160,2160,0,100,normal
OTH,66,3471,3471,0,35,normal
OTH,66,5896,5896,0,42,normal
OTH,66,1999,1999,0,96,normal
SF,946,1499,1499,0,100,normal
SF,958,1900,1900,0,50,normal
SF,946,2147,2147,0,100,normal
SF,946,725,725,0,100,normal
SF,946,3945,3945,0,100,normal
SF,880,2719,2719,0,26,normal
SF,946,1130,1130,0,100,normal
OTH,66,4982,4982,0,36,normal
OTH,66,3563,3563,0,51,normal
OTH,66,3265,3265,0,48,normal
OTH,78,3143,3143,0,91,normal
SF,946,2833,2833,0,100,normal
OTH,66,6092,6092,0,38,normal
S1,880,1599,1599,0.01,100,normal
S1,286,2308,2308,0.28,100,normal
SF,880,1961,1961,0,100,normal
SF,946,3357,3357,0,100,normal
SF,946,3525,3525,0,100,normal
SF,946,3064,3064,0,100,normal
SF,946,2245,2245,0,100,normal
OTH,66,3332,3332,0,34,normal
OTH,66,2989,2989,0,53,normal
OTH,66,3708,3708,0,51,normal
OTH,66,3125,3125,0,36,normal
OTH,66,2709,2709,0,52,normal
SF,946,1392,1392,0,100,normal
SF,1042,2050,2050,0,100,normal
OTH,66,3207,3207,0,68,normal
OTH,66,4981,4981,0,38,normal
OTH,66,2941,2941,0,52,normal
SF,946,3460,3460,0,100,normal
OTH,66,5110,5110,0,71,normal
SF,946,1914,1914,0,100,normal
OTH,146,3041,3041,0,39,normal
OTH,146,4930,4930,0,53,normal
OTH,66,2939,2939,0,50,normal
SF,946,3555,3555,0,100,normal
SF,946,3733,3733,0,100,normal
S2,352,2336,2336,0.29,100,normal
OTH,66,3500,3500,0,47,normal
SF,1120,3991,3991,0,100,normal
SF,946,2415,2415,0,85,normal
OTH,66,2823,2823,0,50,normal
OTH,66,3040,3040,0,50,normal
SF,946,1238,1238,0,100,normal
SF,946,2295,2295,0,100,normal
SF,946,3879,3879,0,100,normal
OTH,66,2678,2678,0,50,normal
SF,946,3912,3912,0,100,normal
SF,946,1262,1262,0,100,normal
SF,946,2234,2234,0,100,normal
S1,74,2063,2063,0.19,100,normal
SF,880,3137,3137,0,91,normal
SF,946,1939,1939,0,100,normal
SF,946,2251,2251,0,100,normal
SF,946,3891,3891,0,100,normal
SF,946,2933,2933,0,77,normal
OTH,66,3768,3768,0,100,normal
SF,880,3383,3383,0,100,normal
SF,946,1738,1738,0,100,normal
SF,880,2545,2545,0,53,normal
SF,946,1659,1659,0,100,normal
SF,880,2226,2226,0,100,normal
OTH,66,2964,2964,0,45,normal
RSTO,206,3839,3839,0.52,100,normal
SF,946,2307,2307,0,100,normal
SF,1012,3263,3263,0,92,normal
OTH,66,2610,2610,0,45,normal
OTH,66,4975,4975,0,49,normal
SF,946,1815,1815,0,100,normal
OTH,66,2984,2984,0,46,normal
SF,1024,3079,3079,0,72,normal
SF,946,876,876,0,100,normal
OTH,66,2992,2992,0,51,normal
OTH,66,2753,2753,0,48,normal
SF,946,2123,2123,0,100,normal
SF,946,1872,1872,0,92,normal
SF,946,2843,2843,0,67,normal
SF,946,3970,3970,0,66,normal
SF,946,2090,2090,0,100,normal
SF,946,1866,1866,0,94,normal
OTH,66,3100,3100,0,50,normal
SF,946,2768,2768,0,64,normal
SF,946,2132,2132,0,100,normal
SF,946,3385,3385,0,100,normal
OTH,146,4915,4915,0,48,normal
SF,946,2144,2144,0,100,normal
SF,1120,2129,2129,0,86,normal
OTH,66,6467,6467,0,88,normal
OTH,66,5407,5407,0,97,normal
OTH,78,5603,5603,0,69,normal
S3,734,3714,3714,0.51,100,normal
S3,880,2563,2563,0.35,100,normal
SF,946,2159,2159,0,100,normal
S1,880,3254,3254,0.47,100,normal
SF,880,46,46,0,46,normal
OTH,66,4931,4931,0,60,normal
S3,880,2105,2105,0.21,100,normal
SF,946,853,853,0,100,normal
SF,946,1828,1828,0,100,normal
SF,946,3316,3316,0,70,normal
SF,946,1959,1959,0,100,normal
SF,946,1191,1191,0,100,normal
OTH,66,2534,2534,0,49,normal
OTH,66,5117,5117,0,42,normal
OTH,66,5068,5068,0,53,normal
OTH,66,2897,2897,0,41,normal
OTH,66,3811,3811,0,41,normal
SF,946,1588,1588,0,100,normal
OTH,146,2817,2817,0,68,normal
OTH,66,4450,4450,0,49,normal
SF,946,2364,2364,0,58,normal
OTH,66,4009,4009,0,99,normal
SF,946,3897,3897,0,100,normal
OTH,66,3049,3049,0,47,normal
SF,946,1846,1846,0,100,normal
SF,946,3864,3864,0,100,normal
SF,880,2164,2164,0,98,normal
SF,946,3970,3970,0,100,normal
OTH,66,3174,3174,0,50,normal
OTH,146,3318,3318,0,47,normal
S1,286,2412,2412,0.31,100,normal
OTH,66,3785,3785,0,51,normal
SF,946,1059,1059,0,100,normal
OTH,66,4939,4939,0,47,normal
SF,946,312,312,0,100,normal
OTH,66,2909,2909,0,47,normal
OTH,66,5706,5706,0,69,normal
SF,946,2248,2248,0,100,normal
SF,946,3511,3511,0,100,normal
SF,946,2206,2206,0,100,normal
S2,946,1730,1730,0.08,100,normal
SF,946,3318,3318,0,92,normal
SF,946,915,915,0,100,normal
SF,946,3301,3301,0,48,normal
S2,352,2337,2337,0.29,100,normal
OTH,66,3939,3939,0,80,normal
SF,946,935,935,0,100,normal
OTH,66,3357,3357,0,52,normal
SF,946,3992,3992,0,82,normal
SF,946,2956,2956,0,100,normal
OTH,66,2927,2927,0,40,normal
SF,946,1194,1194,0,100,normal
OTH,66,2656,2656,0,48,normal
SF,946,2130,2130,0,100,normal
OTH,66,4937,4937,0,69,normal
OTH,66,5073,5073,0,43,normal
SF,946,4987,4987,0,72,normal
SF,1092,2248,2248,0,100,normal
SF,880,2139,2139,0,100,normal
SF,1012,942,942,0,100,normal
OTH,66,3136,3136,0,46,normal
OTH,78,5746,5746,0,49,normal
SF,946,3518,3518,0,100,normal
OTH,66,3176,3176,0,47,normal
SF,946,1981,1981,0,100,normal
SF,946,1415,1415,0,100,normal
SF,946,1913,1913,0,85,normal
SF,946,2077,2077,0,100,normal
SF,946,3448,3448,0,100,normal
SF,946,2045,2045,0,100,normal
SF,946,1738,1738,0,100,normal
OTH,66,2652,2652,0,42,normal
SF,946,2526,2526,0,100,normal
SF,880,2029,2029,0,100,normal
SF,946,3914,3914,0,58,normal
SF,946,1854,1854,0,100,normal
RSTR,1298,1520,1520,0,88,normal
OTH,66,2920,2920,0,34,normal
SF,946,3555,3555,0,100,normal
S2,946,2525,2525,0.34,100,normal
SF,946,2053,2053,0,100,normal
OTH,66,6413,6413,0,66,normal
SF,946,2252,2252,0,100,normal
OTH,66,5918,5918,0,65,normal
SF,946,1149,1149,0,100,normal
SF,946,2090,2090,0,100,normal
OTH,66,3346,3346,0,59,normal
OTH,66,5920,5920,0,58,normal
OTH,66,3302,3302,0,52,normal
SF,946,386,386,0,100,normal
OTH,146,2829,2829,0,75,normal
SF,946,2153,2153,0,100,normal
OTH,66,2456,2456,0,48,normal
OTH,66,2967,2967,0,50,normal
S3,880,3490,3490,0.48,100,normal
