% isAttack tcpFlood:	99
% isAttack slowRead:	99
% isAttack httpFlood:	99
% isAttack slowHeaders:	99
% isAttack udpFlood:	99
% isAttack slowBody:	99
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove'

@attribute total_fpackets numeric
@attribute total_fvolume numeric
@attribute total_bpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute mean_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute min_fiat numeric
@attribute mean_fiat numeric
@attribute max_fiat numeric
@attribute std_fiat numeric
@attribute min_biat numeric
@attribute mean_biat numeric
@attribute max_biat numeric
@attribute std_biat numeric
@attribute duration numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_fbytes numeric
@attribute sflow_bpackets numeric
@attribute sflow_bbytes numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute furg_cnt numeric
@attribute burg_cnt numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
9,1980,1,60,52,220,1500,480,60,60,60,0,107,105198,212181,119823,0,0,0,0,15679322,420792,84158,420792,188183,1017401,3814632,8185988,3173802,1,396,0,12,2,0,0,0,508,60,tcpFlood
1834,218292,846,46932,60,119,2948,196,52,55,72,5,1,8071,683242,31410,2,17473,656624,45768,14795306,14795306,14795306,14795306,0,0,0,0,0,1834,218292,846,46932,1821,0,0,0,95376,46932,tcpFlood
6,356,1,60,52,59,64,3,60,60,60,0,754,867,980,159,0,0,0,0,28348909,1734,433,1734,867,4030227,9449058,16126459,6145543,1,89,0,15,1,0,0,0,344,60,tcpFlood
1,229,0,0,229,229,229,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229,0,0,0,0,0,0,28,0,tcpFlood
1402,186936,644,35596,60,133,2948,235,52,55,80,5,2,9836,654232,32871,2,21371,654231,47562,21039309,13750925,3437731,13750925,6875462,1014167,2429461,4258037,1660955,350,46734,161,8899,1390,0,0,0,72936,35596,tcpFlood
1223,171568,628,34820,52,140,2948,273,52,55,80,6,1,10687,954220,47610,2,20783,954222,66625,13059586,13059586,13059586,13059586,0,0,0,0,0,1223,171568,628,34820,1207,0,0,0,63604,34820,tcpFlood
3041,285672,2136,115158,52,93,2344,158,52,53,566,11,1,5497,666331,25387,2,7827,666332,30671,16711189,16711189,16711189,16711189,0,0,0,0,0,3041,285672,2136,115158,3023,1,0,0,158140,114644,tcpFlood
1678,198828,708,39484,52,118,2488,166,52,55,80,6,1,8124,668380,25977,2,19249,668380,39992,13624333,13624333,13624333,13624333,0,0,0,0,0,1678,198828,708,39484,1671,0,0,0,87264,39484,tcpFlood
3362,296620,2352,126990,52,88,2948,138,52,53,578,11,1,4952,695082,25801,2,7077,736415,31030,16645315,16645315,16645315,16645315,0,0,0,0,0,3362,296620,2352,126990,3348,1,0,0,174844,126476,tcpFlood
1449,178292,707,39144,52,123,2948,182,52,55,72,5,1,8736,686352,29418,2,17911,686353,41871,12651091,12651091,12651091,12651091,0,0,0,0,0,1449,178292,707,39144,1438,0,0,0,75356,39144,tcpFlood
