% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,SF,946,1932,1932,0,100,100,normal
tcp,SF,946,3944,3944,0,100,100,normal
tcp,SF,946,2182,2182,0,98,98,normal
tcp,OTH,66,3272,3272,0,49,49,normal
tcp,OTH,66,4674,4674,0,53,53,normal
tcp,OTH,66,5914,5914,0,44,44,normal
tcp,OTH,66,3498,3498,0,51,51,normal
tcp,SF,880,566,566,0,97,97,normal
tcp,SF,946,2435,2435,0,98,98,normal
tcp,OTH,146,5678,5678,0,21,21,normal
tcp,OTH,66,2884,2884,0,42,42,normal
tcp,SF,946,3338,3338,0,91,91,normal
tcp,SF,946,1747,1747,0,100,100,normal
tcp,SF,946,3372,3372,0,100,100,normal
tcp,OTH,66,2671,2671,0,52,52,normal
tcp,OTH,66,1495,1495,0,69,69,normal
tcp,OTH,66,3291,3291,0,44,44,normal
tcp,OTH,66,3153,3153,0,56,56,normal
tcp,SF,946,2218,2218,0,100,100,normal
tcp,OTH,66,2999,2999,0,49,49,normal
tcp,SF,946,2386,2386,0,100,100,normal
tcp,OTH,66,3159,3159,0,57,57,normal
tcp,OTH,66,5058,5058,0,42,42,normal
tcp,OTH,66,3525,3525,0,48,48,normal
tcp,OTH,66,4960,4960,0,38,38,normal
tcp,SF,946,3083,3083,0,100,100,normal
tcp,OTH,66,2840,2840,0,55,55,normal
tcp,SF,1024,3178,3178,0,87,87,normal
tcp,SF,946,1969,1969,0,100,100,normal
tcp,OTH,66,5129,5129,0,69,69,normal
tcp,OTH,66,3283,3283,0,46,46,normal
