@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,OTH,2929,0,52,normal
tcp,OTH,3769,0,100,normal
tcp,OTH,2498,0,52,normal
tcp,SF,1859,0,94,normal
tcp,SF,3915,0,69,normal
tcp,SF,2065,0,100,normal
tcp,SF,2516,0,100,normal
tcp,SF,5751,0,59,normal
tcp,SF,2418,0,100,normal
tcp,OTH,3553,0,49,normal
tcp,SF,2467,0,100,normal
tcp,SF,1942,0,100,normal
tcp,S3,3290,0,100,normal
tcp,S1,2590,0,100,normal
tcp,SF,3988,0,100,normal
tcp,SF,2308,0,100,normal
tcp,SF,1513,0,95,normal
tcp,SF,3577,0,54,normal
tcp,SF,2150,0,100,normal
tcp,SF,2181,0,98,normal
tcp,OTH,3845,0,46,normal
tcp,SF,2111,0,100,normal
tcp,SF,3881,0,100,normal
tcp,OTH,4063,0,32,normal
tcp,OTH,3557,0,52,normal
tcp,OTH,3125,0,33,normal
tcp,OTH,4353,0,80,normal
tcp,OTH,3293,0,45,normal
tcp,SF,2770,0,98,normal
tcp,OTH,5109,0,49,normal
tcp,SF,2123,0,86,normal
tcp,OTH,2193,0,55,normal
tcp,SF,2274,0,100,normal
tcp,OTH,5733,0,41,normal
tcp,SF,3318,0,100,normal
tcp,OTH,4926,0,37,normal
tcp,SF,2078,0,100,normal
tcp,SF,3948,0,100,normal
tcp,SF,1861,0,92,normal
tcp,SF,1867,0,100,normal
tcp,SF,2192,0,100,normal
tcp,OTH,4129,0,100,normal
tcp,OTH,6303,0,50,normal
tcp,SF,3509,0,100,normal
tcp,SF,2240,0,100,normal
tcp,SF,3305,0,92,normal
tcp,SF,3915,0,100,normal
tcp,OTH,3143,0,39,normal
tcp,SF,1974,0,100,normal
tcp,SF,3265,0,94,normal
tcp,SF,2275,0,100,normal
tcp,OTH,5666,0,51,normal
tcp,OTH,2553,0,39,normal
tcp,OTH,2979,0,50,normal
tcp,S1,3052,0,100,normal
tcp,OTH,3130,0,94,normal
tcp,SF,2079,0,100,normal
tcp,SF,3369,0,100,normal
tcp,SF,4044,0,100,normal
tcp,OTH,5845,0,42,normal
tcp,SF,1950,0,91,normal
tcp,SF,460,0,100,normal
tcp,SF,2066,0,100,normal
tcp,OTH,4954,0,51,normal
tcp,SF,4046,0,100,normal
tcp,OTH,4151,0,88,normal
tcp,SF,3221,0,98,normal
tcp,OTH,1948,0,46,normal
tcp,SF,1853,0,100,normal
tcp,SF,2094,0,100,normal
tcp,SF,1953,0,97,normal
tcp,SF,4008,0,100,normal
tcp,SF,3335,0,100,normal
tcp,S2,2373,0,100,normal
tcp,SF,3072,0,65,normal
tcp,OTH,4967,0,52,normal
tcp,OTH,2871,0,48,normal
tcp,OTH,3625,0,42,normal
tcp,SF,3718,0,100,normal
