% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-10,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,slowBody}

@data
78,0,2324,2324,0,0,tcpFlood
78,0,4187,4187,0,0,tcpFlood
78,0,4263,4263,0,0,tcpFlood
78,0,3213,3213,0,0,tcpFlood
78,0,3713,3713,0,0,tcpFlood
78,0,2403,2403,0,0,tcpFlood
78,0,5786,5786,0,0,tcpFlood
78,0,6073,6073,0,0,tcpFlood
78,0,1303,1303,0,0,tcpFlood
78,0,1614,1614,0,0,tcpFlood
78,0,3526,3526,0,0,tcpFlood
78,0,5086,5086,0,0,tcpFlood
78,0,4956,4956,0,0,tcpFlood
78,0,2571,2571,0,0,tcpFlood
78,0,4504,4504,0,0,tcpFlood
78,0,314,314,0,0,tcpFlood
78,0,1490,1490,0,0,tcpFlood
78,0,3073,3073,0,0,tcpFlood
78,0,519,519,0,0,tcpFlood
78,0,3785,3785,0,0,tcpFlood
78,0,2815,2815,0,0,tcpFlood
78,0,1715,1715,0,0,tcpFlood
78,0,625,625,0,0,tcpFlood
78,0,778,778,0,0,tcpFlood
78,0,1107,1107,0,0,tcpFlood
78,0,4975,4975,0,0,tcpFlood
78,0,1948,1948,0,0,tcpFlood
78,0,1609,1609,0,0,tcpFlood
78,0,3209,3209,0,0,tcpFlood
78,0,215,215,0,0,tcpFlood
78,0,3289,3289,0,0,tcpFlood
78,0,3985,3985,0,0,tcpFlood
78,0,34,34,0,0,tcpFlood
78,0,488,488,0,0,tcpFlood
78,0,776,776,0,0,tcpFlood
78,0,1865,1865,0,0,tcpFlood
78,0,5782,5782,0,0,tcpFlood
78,0,4411,4411,0,0,tcpFlood
78,0,6217,6217,0,0,tcpFlood
78,0,4237,4237,0,0,tcpFlood
78,0,3579,3579,0,0,tcpFlood
78,0,452,452,0,0,tcpFlood
78,0,1269,1269,0,0,tcpFlood
78,0,3039,3039,0,0,tcpFlood
78,0,1295,1295,0,0,tcpFlood
78,0,3734,3734,0,0,tcpFlood
78,0,263,263,0,0,tcpFlood
78,0,4671,4671,0,0,tcpFlood
78,0,3842,3842,0,0,tcpFlood
78,0,3145,3145,0,0,tcpFlood
78,0,2926,2926,0,0,tcpFlood
78,0,738,738,0,0,tcpFlood
78,0,2204,2204,0,0,tcpFlood
78,0,690,690,0,0,tcpFlood
78,0,6349,6349,0,0,tcpFlood
78,0,695,695,0,0,tcpFlood
78,0,1310,1310,0,0,tcpFlood
78,0,5874,5874,0,0,tcpFlood
78,0,3697,3697,0,0,tcpFlood
78,0,1432,1432,0,0,tcpFlood
78,0,6115,6115,0,0,tcpFlood
78,0,1319,1319,0,0,tcpFlood
78,0,1184,1184,0,0,tcpFlood
78,0,4205,4205,0,0,tcpFlood
78,0,4111,4111,0,0,tcpFlood
78,0,1606,1606,0,0,tcpFlood
78,0,5246,5246,0,0,tcpFlood
78,0,197,197,0,0,tcpFlood
78,0,4922,4922,0,0,tcpFlood
78,0,112,112,0,0,tcpFlood
78,0,4878,4878,0,0,tcpFlood
78,0,1173,1173,0,0,tcpFlood
78,0,3984,3984,0,0,tcpFlood
78,0,4155,4155,0,0,tcpFlood
78,0,4664,4664,0,0,tcpFlood
78,0,2532,2532,0,0,tcpFlood
78,0,1644,1644,0,0,tcpFlood
78,0,3859,3859,0,0,tcpFlood
78,0,3001,3001,0,0,tcpFlood
78,0,4661,4661,0,0,tcpFlood
78,0,1526,1526,0,0,tcpFlood
78,0,2757,2757,0,0,tcpFlood
78,0,5523,5523,0,0,tcpFlood
78,0,3643,3643,0,0,tcpFlood
78,0,587,587,0,0,tcpFlood
78,0,3412,3412,0,0,tcpFlood
78,0,678,678,0,0,tcpFlood
78,0,1541,1541,0,0,tcpFlood
78,0,6261,6261,0,0,tcpFlood
78,0,5553,5553,0,0,tcpFlood
78,0,4140,4140,0,0,tcpFlood
78,0,2276,2276,0,0,tcpFlood
78,0,5987,5987,0,0,tcpFlood
78,0,5962,5962,0,0,tcpFlood
78,0,4479,4479,0,0,tcpFlood
78,0,2871,2871,0,0,tcpFlood
78,0,517,517,0,0,tcpFlood
78,0,6347,6347,0,0,tcpFlood
78,0,11,11,0,0,tcpFlood
78,0,4363,4363,0,0,tcpFlood
78,0,5781,5781,0,0,tcpFlood
78,0,5703,5703,0,0,tcpFlood
78,0,2249,2249,0,0,tcpFlood
78,0,1044,1044,0,0,tcpFlood
78,0,730,730,0,0,tcpFlood
78,0,4210,4210,0,0,tcpFlood
