% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,8-9,16,18,22,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,tcp,946,2187,2187,0,100,0,normal
0,tcp,946,281,281,0,100,0,normal
0,tcp,66,5917,5917,0,64,0,normal
0,tcp,880,1886,1886,0,99,0,normal
0,tcp,946,2753,2753,0,100,0,normal
0,tcp,946,3368,3368,0,100,0,normal
0,tcp,946,3909,3909,0,100,0,normal
0,tcp,880,2621,2621,0,100,0,normal
0,tcp,66,3144,3144,0,100,0,normal
0,tcp,1120,1723,1723,0,100,0,normal
0,tcp,66,5463,5463,0,100,0,normal
0,tcp,66,3743,3743,0,52,0,normal
0,tcp,66,5044,5044,0,46,0,normal
0,tcp,946,3301,3301,0,100,0,normal
0,tcp,946,3345,3345,0,96,0,normal
0,tcp,430,3117,3117,0,86,0,normal
0,tcp,958,3754,3754,0,100,0,normal
0,tcp,66,4363,4363,0,48,0,normal
0,tcp,66,3868,3868,0,46,0,normal
0,tcp,946,2015,2015,0,100,0,normal
0,tcp,880,2216,2216,0,100,0,normal
0,tcp,66,5011,5011,0,47,0,normal
0,tcp,946,2041,2041,0,100,0,normal
0,tcp,66,3360,3360,0,50,0,normal
0,tcp,66,5902,5902,0,56,0,normal
0,tcp,66,3255,3255,0,38,0,normal
0,tcp,66,2952,2952,0,42,0,normal
0,tcp,66,5891,5891,0,45,0,normal
0,tcp,946,2202,2202,0,100,0,normal
0,tcp,364,1912,1912,0,100,0,normal
0,tcp,946,1241,1241,0,100,0,normal
0,tcp,66,3721,3721,0,50,0,normal
0,tcp,66,6276,6276,0,50,0,normal
0,tcp,66,1889,1889,0,45,0,normal
0,tcp,66,4318,4318,0,53,0,normal
0,tcp,66,5082,5082,0,31,0,normal
0,tcp,78,3876,3876,0,100,0,normal
0,tcp,352,1912,1912,0,68,0,normal
0,tcp,946,2306,2306,0,100,0,normal
0,tcp,66,5909,5909,0,50,0,normal
0,tcp,946,1906,1906,0,100,0,normal
0,tcp,1024,2214,2214,0,100,0,normal
0,tcp,66,3217,3217,0,47,0,normal
0,tcp,946,4263,4263,0,64,0,normal
0,tcp,66,3013,3013,0,43,0,normal
0,tcp,946,1945,1945,0,100,0,normal
0,tcp,66,3030,3030,0,45,0,normal
0,tcp,946,105,105,0,100,0,normal
0,tcp,880,3219,3219,0,98,0,normal
0,tcp,66,3616,3616,0,44,0,normal
0,tcp,1120,2113,2113,0,100,0,normal
0,tcp,66,2856,2856,0,48,0,normal
1,tcp,1020,1440,1440,0,100,0,normal
0,tcp,880,1980,1980,0,100,0,normal
1,tcp,946,2955,2955,0,100,0,normal
0,tcp,1120,1530,1530,0,100,0,normal
0,tcp,66,2987,2987,0,46,0,normal
0,tcp,946,2554,2554,0,100,0,normal
0,tcp,946,2243,2243,0,100,0,normal
0,tcp,78,2849,2849,0,88,0,normal
0,tcp,1024,1887,1887,0,79,0,normal
0,tcp,66,3079,3079,0,83,0,normal
0,tcp,352,3407,3407,0,100,0,normal
0,tcp,946,306,306,0,100,0,normal
0,tcp,78,3897,3897,0,88,0,normal
0,tcp,880,2031,2031,0,100,0,normal
0,tcp,946,1281,1281,0,100,0,normal
0,tcp,66,5099,5099,0,45,0,normal
0,tcp,946,1291,1291,0,100,0,normal
0,tcp,958,1776,1776,0,100,0,normal
0,tcp,66,3021,3021,0,84,0,normal
0,tcp,946,2321,2321,0,100,0,normal
0,tcp,946,3873,3873,0,100,0,normal
0,tcp,946,2077,2077,0,100,0,normal
0,tcp,946,2334,2334,0,100,0,normal
0,tcp,946,4071,4071,0,100,0,normal
0,tcp,946,1910,1910,0,89,0,normal
0,tcp,66,5104,5104,0,50,0,normal
0,tcp,880,3467,3467,0,100,0,normal
0,tcp,1024,3210,3210,0,52,0,normal
0,tcp,66,5192,5192,0,28,0,normal
0,tcp,66,3101,3101,0,83,0,normal
0,tcp,946,1852,1852,0,100,0,normal
0,tcp,66,4955,4955,0,43,0,normal
0,tcp,946,1842,1842,0,100,0,normal
0,tcp,66,5964,5964,0,52,0,normal
0,tcp,946,2381,2381,0,100,0,normal
0,tcp,66,5686,5686,0,47,0,normal
0,tcp,946,4011,4011,0,94,0,normal
0,tcp,66,3607,3607,0,32,0,normal
0,tcp,66,5182,5182,0,22,0,normal
0,tcp,66,5961,5961,0,39,0,normal
0,tcp,946,2077,2077,0,100,0,normal
0,tcp,66,3201,3201,0,48,0,normal
0,tcp,946,1855,1855,0,100,0,normal
0,tcp,1048,2134,2134,0,100,0,normal
0,tcp,946,1671,1671,0,100,0,normal
0,tcp,946,1829,1829,0,100,0,normal
0,tcp,946,1895,1895,0,100,0,normal
0,tcp,146,3075,3075,0,46,0,normal
0,tcp,146,5229,5229,0,39,0,normal
0,tcp,66,3686,3686,0,91,0,normal
0,tcp,946,1936,1936,0,100,0,normal
0,tcp,946,2066,2066,0,100,0,normal
0,tcp,66,2878,2878,0,53,0,normal
0,tcp,66,3363,3363,0,52,0,normal
0,tcp,66,2909,2909,0,19,0,normal
0,tcp,66,3172,3172,0,67,0,normal
0,tcp,66,2931,2931,0,49,0,normal
0,tcp,946,2147,2147,0,100,0,normal
0,tcp,946,2051,2051,0,88,0,normal
0,tcp,1024,3067,3067,0,72,0,normal
0,tcp,66,3906,3906,0,51,0,normal
0,tcp,66,5189,5189,0,40,0,normal
0,tcp,946,2440,2440,0,100,0,normal
0,tcp,78,1858,1858,0,100,0,normal
0,tcp,946,2511,2511,0,100,0,normal
0,tcp,66,6237,6237,0,47,0,normal
0,tcp,78,5707,5707,0,46,0,normal
0,tcp,66,3207,3207,0,48,0,normal
0,tcp,946,2612,2612,0,100,0,normal
0,tcp,286,2762,2762,0,100,0,normal
0,tcp,66,4310,4310,0,48,0,normal
0,tcp,946,280,280,0,100,0,normal
0,tcp,946,642,642,0,100,0,normal
0,tcp,66,3156,3156,0,52,0,normal
0,tcp,946,2282,2282,0,100,0,normal
0,tcp,946,2125,2125,0,100,0,normal
0,tcp,814,2126,2126,0,100,0,normal
0,tcp,946,590,590,0,100,0,normal
0,tcp,946,1925,1925,0,86,0,normal
0,tcp,66,5092,5092,0,69,0,normal
0,tcp,66,4840,4840,0,57,0,normal
0,tcp,66,3838,3838,0,44,0,normal
0,tcp,66,3186,3186,0,100,0,normal
0,tcp,66,3294,3294,0,45,0,normal
0,tcp,946,2843,2843,0,100,0,normal
0,tcp,946,1863,1863,0,100,0,normal
0,tcp,946,2201,2201,0,100,0,normal
0,tcp,386,2159,2159,0,100,0,normal
0,tcp,1024,3257,3257,0,100,0,normal
0,tcp,66,5933,5933,0,41,0,normal
0,tcp,66,6028,6028,0,42,0,normal
0,tcp,946,2023,2023,0,100,0,normal
0,tcp,946,3942,3942,0,71,0,normal
0,tcp,946,2357,2357,0,100,0,normal
0,tcp,946,3631,3631,0,100,0,normal
0,tcp,946,2170,2170,0,100,0,normal
0,tcp,146,5309,5309,0,81,0,normal
0,tcp,734,3944,3944,0,71,0,normal
0,tcp,946,2818,2818,0,99,0,normal
0,tcp,66,3037,3037,0,20,0,normal
0,tcp,946,3049,3049,0,100,0,normal
0,tcp,880,1129,1129,0,100,0,normal
0,tcp,946,1393,1393,0,100,0,normal
0,tcp,1120,2127,2127,0,100,0,normal
0,tcp,66,3810,3810,0,39,0,normal
0,tcp,946,2047,2047,0,100,0,normal
