% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,17,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,SF,1,2,0,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,57,36,0.95,NORMAL
tcp,OTH,323,34,0.97,NORMAL
tcp,OTH,0,18,0.35,NORMAL
tcp,OTH,230,33,0.97,NORMAL
tcp,OTH,5,7,0.12,NORMAL
tcp,OTH,167,33,0.97,NORMAL
tcp,OTH,92,20,0.91,NORMAL
tcp,OTH,2,2,0.04,NORMAL
tcp,OTH,95,39,0.95,NORMAL
tcp,OTH,61,38,0.97,NORMAL
tcp,OTH,10,10,0.33,NORMAL
tcp,OTH,12,20,0.41,NORMAL
tcp,OTH,160,33,0.92,NORMAL
tcp,OTH,58,34,0.71,NORMAL
tcp,OTH,48,32,0.97,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,SF,0,1,0,NORMAL
tcp,OTH,15,0,0,NORMAL
tcp,OTH,1,11,0.12,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,61,37,0.84,NORMAL
tcp,OTH,183,33,0.85,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,129,33,0.94,NORMAL
tcp,OTH,14,14,0.3,NORMAL
tcp,OTH,15,19,0.4,NORMAL
tcp,OTH,39,38,0.95,NORMAL
tcp,OTH,50,40,0.98,NORMAL
tcp,OTH,218,28,0.97,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,4,6,0.12,NORMAL
tcp,OTH,237,21,0.5,NORMAL
tcp,OTH,212,37,0.97,NORMAL
tcp,OTH,5,5,0.83,NORMAL
tcp,OTH,2,7,0,NORMAL
tcp,OTH,36,36,0.8,NORMAL
tcp,OTH,87,16,0.89,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,99,37,0.97,NORMAL
tcp,OTH,88,33,0.94,NORMAL
tcp,OTH,244,33,0.97,NORMAL
tcp,OTH,91,34,0.94,NORMAL
tcp,OTH,57,38,0.97,NORMAL
tcp,OTH,8,38,0.72,NORMAL
tcp,OTH,3,6,0.12,NORMAL
tcp,OTH,62,34,0.97,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,15,15,0.36,NORMAL
tcp,OTH,25,25,0.54,NORMAL
tcp,OTH,123,37,0.97,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,29,29,0.62,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,OTH,0,1,0.02,NORMAL
tcp,OTH,55,34,0.71,NORMAL
tcp,OTH,107,28,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,69,40,0.98,NORMAL
tcp,OTH,7,19,0.36,NORMAL
tcp,OTH,307,32,0.97,NORMAL
tcp,SF,0,2,0,NORMAL
tcp,OTH,201,39,0.97,NORMAL
tcp,OTH,0,0,0,NORMAL
tcp,OTH,253,50,0.98,NORMAL
tcp,OTH,319,42,0.98,NORMAL
tcp,OTH,6,32,0.6,NORMAL
tcp,OTH,1,1,0.02,NORMAL
tcp,SF,1,11,0,NORMAL
tcp,S1,4,4,0,NORMAL
tcp,OTH,23,23,0.48,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,OTH,15,5,0.17,NORMAL
tcp,OTH,250,23,0.92,NORMAL
tcp,OTH,22,22,0.45,NORMAL
tcp,OTH,456,50,0.98,NORMAL
tcp,OTH,66,33,0.97,NORMAL
tcp,OTH,45,36,0.97,NORMAL
tcp,OTH,43,42,0.98,NORMAL
tcp,OTH,19,34,0.69,NORMAL
tcp,OTH,147,39,0.97,NORMAL
tcp,OTH,307,27,0.96,NORMAL
tcp,OTH,26,26,0.55,NORMAL
tcp,OTH,135,35,0.9,NORMAL
tcp,OTH,13,3,0.06,NORMAL
tcp,OTH,309,30,0.97,NORMAL
tcp,OTH,71,37,0.97,NORMAL
tcp,OTH,121,34,0.94,NORMAL
tcp,OTH,49,14,0.74,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,OTH,64,24,0.56,NORMAL
tcp,OTH,284,39,0.97,NORMAL
tcp,OTH,241,49,0.98,NORMAL
tcp,OTH,327,50,0.98,NORMAL
tcp,OTH,27,9,0.19,NORMAL
tcp,SF,1,8,0,NORMAL
tcp,OTH,49,36,0.97,NORMAL
tcp,OTH,309,41,0.93,NORMAL
tcp,OTH,255,34,0.97,NORMAL
tcp,OTH,162,35,0.97,NORMAL
tcp,SF,10,13,0,NORMAL
tcp,SF,1,4,0,NORMAL
tcp,OTH,75,33,0.97,NORMAL
tcp,OTH,32,32,0.7,NORMAL
tcp,OTH,2,10,0.22,NORMAL
tcp,OTH,163,36,0.92,NORMAL
tcp,OTH,113,27,0.93,NORMAL
tcp,OTH,16,16,0.19,NORMAL
tcp,OTH,122,31,0.97,NORMAL
tcp,OTH,198,46,0.98,NORMAL
tcp,OTH,311,37,0.97,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,162,31,0.91,NORMAL
tcp,OTH,291,33,0.97,NORMAL
tcp,OTH,33,15,0.75,NORMAL
tcp,OTH,1,1,0.05,NORMAL
tcp,OTH,144,33,0.85,NORMAL
tcp,OTH,176,30,0.83,NORMAL
tcp,OTH,97,27,0.96,NORMAL
tcp,OTH,6,6,0.13,NORMAL
tcp,OTH,15,15,0.31,NORMAL
tcp,OTH,356,49,0.98,NORMAL
tcp,OTH,15,15,0.38,NORMAL
tcp,OTH,57,37,0.97,NORMAL
tcp,OTH,9,10,0.2,NORMAL
tcp,SF,2,2,0,NORMAL
tcp,OTH,297,32,0.97,NORMAL
tcp,OTH,319,39,0.97,NORMAL
tcp,OTH,292,36,0.97,NORMAL
tcp,OTH,166,36,0.97,NORMAL
tcp,OTH,67,37,0.95,NORMAL
tcp,OTH,6,4,0.12,NORMAL
tcp,OTH,99,43,0.98,NORMAL
tcp,RSTO,4,1,0,NORMAL
tcp,SF,1,6,0,NORMAL
tcp,S1,0,0,0,NORMAL
tcp,OTH,245,30,0.62,NORMAL
tcp,SF,0,0,0,NORMAL
tcp,OTH,36,33,0.69,NORMAL
tcp,OTH,298,49,0.98,NORMAL
tcp,OTH,71,39,0.95,NORMAL
tcp,OTH,312,35,0.97,NORMAL
tcp,OTH,103,34,0.97,NORMAL
tcp,OTH,73,32,0.97,NORMAL
tcp,OTH,111,29,0.97,NORMAL
tcp,OTH,305,40,0.98,NORMAL
tcp,OTH,82,27,0.96,NORMAL
tcp,OTH,304,30,0.97,NORMAL
tcp,OTH,310,33,0.97,NORMAL
tcp,OTH,490,43,0.98,NORMAL
tcp,OTH,45,35,0.97,NORMAL
tcp,OTH,207,33,0.97,NORMAL
tcp,OTH,60,34,0.97,NORMAL
tcp,OTH,203,38,0.97,NORMAL
tcp,OTH,1,3,0.05,NORMAL
tcp,OTH,114,29,0.97,NORMAL
tcp,S1,6,5,0,NORMAL
tcp,OTH,167,34,0.97,NORMAL
