% isAttack HIGH_RATE:	1333
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,27'

@attribute duration numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
0,HIGH_RATE
