% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,udp,OTH,60,0,96,0,1,0,43,43,udpFlood
0,udp,OTH,60,0,128,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,116,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,136,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,160,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,141,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,131,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,130,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,115,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,105,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,130,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,97,0,1,0,43,43,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,2,0,1,0,2,2,udpFlood
0,udp,OTH,60,0,125,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,153,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,137,0,1,0,11,11,udpFlood
0,udp,OTH,60,0,120,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,141,0,1,0,25,25,udpFlood
0,udp,OTH,60,0,37,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,72,0,1,0,28,28,udpFlood
0,udp,OTH,60,0,61,0,1,0,25,25,udpFlood
0,udp,OTH,60,0,104,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,108,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,101,0,1,0,40,40,udpFlood
0,udp,OTH,60,0,110,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,34,0,1,0,31,31,udpFlood
0,udp,OTH,60,0,135,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,105,0,1,0,40,40,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,159,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,153,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,115,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,141,0,1,0,27,27,udpFlood
0,udp,OTH,60,0,38,0,1,0,35,35,udpFlood
0,udp,OTH,60,0,15,0,1,0,15,15,udpFlood
0,udp,OTH,60,0,35,0,1,0,32,32,udpFlood
0,udp,OTH,60,0,113,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,112,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,114,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,162,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,0,0,0,0,0,0,udpFlood
0,udp,OTH,60,0,115,0,1,0,37,37,udpFlood
0,udp,OTH,60,0,153,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,146,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,43,0,1,0,32,32,udpFlood
0,udp,OTH,60,0,108,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,112,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,108,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,82,0,1,0,38,38,udpFlood
0,udp,OTH,60,0,105,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,158,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,125,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,110,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,84,0,1,0,40,40,udpFlood
0,udp,OTH,60,0,108,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,140,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,119,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,45,0,1,0,22,22,udpFlood
0,udp,OTH,60,0,93,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,47,0,1,0,22,22,udpFlood
0,udp,OTH,60,0,113,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,118,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,146,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,143,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,113,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,131,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,145,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,152,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,7,0,1,0,7,7,udpFlood
0,udp,OTH,60,0,117,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,80,0,1,0,41,41,udpFlood
0,udp,OTH,60,0,125,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,20,0,1,0,20,20,udpFlood
0,udp,OTH,60,0,138,0,1,0,19,19,udpFlood
0,udp,OTH,60,0,141,0,1,0,25,25,udpFlood
0,udp,OTH,60,0,103,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,138,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,109,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,16,0,1,0,16,16,udpFlood
0,udp,OTH,60,0,102,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,81,0,1,0,41,41,udpFlood
0,udp,OTH,60,0,153,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,40,0,1,0,37,37,udpFlood
0,udp,OTH,60,0,140,0,1,0,21,21,udpFlood
0,udp,OTH,60,0,87,0,1,0,41,41,udpFlood
0,udp,OTH,60,0,145,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,80,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,70,0,1,0,28,28,udpFlood
0,udp,OTH,60,0,134,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,129,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,126,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,103,0,1,0,40,40,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,141,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,141,0,1,0,30,30,udpFlood
0,udp,OTH,60,0,65,0,1,0,26,26,udpFlood
0,udp,OTH,60,0,131,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,112,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,153,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,137,0,1,0,11,11,udpFlood
0,udp,OTH,60,0,64,0,1,0,26,26,udpFlood
0,udp,OTH,60,0,42,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,141,0,1,0,31,31,udpFlood
0,udp,OTH,60,0,32,0,1,0,29,29,udpFlood
0,udp,OTH,60,0,24,0,1,0,24,24,udpFlood
0,udp,OTH,60,0,143,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,114,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,151,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,54,0,1,0,23,23,udpFlood
0,udp,OTH,60,0,49,0,1,0,21,21,udpFlood
0,udp,OTH,60,0,146,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,117,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,110,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,108,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,133,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,110,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,8,0,1,0,8,8,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,79,0,1,0,41,41,udpFlood
0,udp,OTH,60,0,125,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,125,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,154,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,107,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,106,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,98,0,1,0,41,41,udpFlood
0,udp,OTH,60,0,114,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,109,0,1,0,34,34,udpFlood
0,udp,OTH,60,0,93,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,138,0,1,0,11,11,udpFlood
0,udp,OTH,60,0,131,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,148,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,108,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,142,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,13,0,1,0,13,13,udpFlood
0,udp,OTH,60,0,113,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,109,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,141,0,1,0,22,22,udpFlood
0,udp,OTH,60,0,102,0,1,0,40,40,udpFlood
0,udp,OTH,60,0,138,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,166,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,10,0,1,0,10,10,udpFlood
0,udp,OTH,60,0,138,0,1,0,13,13,udpFlood
0,udp,OTH,60,0,87,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,87,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,104,0,1,0,40,40,udpFlood
0,udp,OTH,60,0,117,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,86,0,1,0,43,43,udpFlood
0,udp,OTH,60,0,86,0,1,0,41,41,udpFlood
0,udp,OTH,60,0,91,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,137,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,82,0,1,0,42,42,udpFlood
0,udp,OTH,60,0,108,0,1,0,38,38,udpFlood
0,udp,OTH,60,0,109,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,136,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,121,0,1,0,33,33,udpFlood
0,udp,OTH,60,0,44,0,1,0,33,33,udpFlood
0,tcp,S3,374,755,242,1,1,0,100,100,httpFlood
0,tcp,S3,374,755,137,1,1,0,100,100,httpFlood
0,tcp,S1,242,140,175,1,1,0,100,100,httpFlood
0,tcp,S3,374,755,129,1,1,0,100,100,httpFlood
0,tcp,S3,377,755,555,0.64,0.45,0.55,100,100,httpFlood
1,tcp,S3,380,755,756,0.23,1,0,100,100,httpFlood
0,tcp,S3,386,821,370,1,1,0,100,100,httpFlood
0,tcp,OTH,60,0,136,0,1,0,33,33,httpFlood
1,tcp,S3,392,821,749,0.22,1,0,100,100,httpFlood
0,tcp,S3,374,755,84,1,1,0,84,84,httpFlood
0,tcp,S3,377,755,786,0.77,0.61,0.39,99,99,httpFlood
0,tcp,OTH,66,0,62,0,1,0,42,42,httpFlood
1,tcp,S3,374,755,21,1,1,0,98,98,httpFlood
0,tcp,S3,374,755,214,1,1,0,100,100,httpFlood
0,tcp,S3,374,755,247,1,1,0,100,100,httpFlood
