% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R5,7-8,16,30,38-40'

@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute std_fiat numeric
@attribute sflow_fpackets numeric
@attribute total_fhlen numeric
@attribute total_bhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
52,448,20,88662,150,23512,6720,tcpFlood
52,388,9,10118,5026,261360,185504,tcpFlood
60,124,4,103148,102,10668,2884,tcpFlood
52,268,7,9601,5238,272384,192796,tcpFlood
52,1500,87,85470,124,19456,6972,tcpFlood
52,88,3,36330,131,6820,3140,tcpFlood
52,364,8,1572,4773,248204,183580,tcpFlood
52,1060,16,13804,4072,211752,47796,tcpFlood
52,124,2,3398,769,39996,12384,tcpFlood
52,292,9,1846,3039,158036,135376,tcpFlood
52,268,14,77387,304,31676,7012,tcpFlood
52,388,8,9144,5475,284708,188924,tcpFlood
52,352,11,1946,2763,143684,121844,tcpFlood
52,388,17,19645,1542,80216,53532,tcpFlood
52,400,9,1740,4131,214820,163080,tcpFlood
52,100,1,1768,446,23200,6560,tcpFlood
52,280,6,9574,9189,477836,155324,tcpFlood
52,220,15,42832,107,5572,2348,tcpFlood
52,1500,79,87032,243,25332,8300,tcpFlood
52,172,9,85500,255,26540,5272,tcpFlood
52,148,8,77662,132,20704,6020,tcpFlood
52,256,6,10400,4739,246436,177284,tcpFlood
52,172,5,34457,346,18000,2972,tcpFlood
52,388,9,9977,4785,248828,185452,tcpFlood
52,1500,72,90549,133,20808,5336,tcpFlood
52,124,4,98103,195,20288,4532,tcpFlood
52,220,10,80581,190,29752,5532,tcpFlood
52,184,8,79727,187,29180,6956,tcpFlood
52,1500,39,18504,1640,85288,56212,tcpFlood
52,1500,109,94589,233,24240,6948,tcpFlood
52,640,21,18938,1618,84144,51124,tcpFlood
52,1500,45,20920,1394,72496,50576,tcpFlood
