% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8-9,11,14,16-19,21-22,24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,60,0,114,165,0,1,0.31,37,40,1,0.9,0.07,0,normal
0,tcp,60,0,277,283,0,1,0.02,49,49,1,0.98,0,0,normal
0,tcp,60,0,53,60,0,1,0.12,36,42,1,0.84,0.14,0,normal
0,tcp,60,0,7,55,0,1,0.87,7,53,1,0.13,0.87,0,normal
0,tcp,60,0,308,314,0,1,0.02,49,49,1,0.98,0,0,normal
0,tcp,60,0,110,120,0,1,0.08,26,26,1,0.96,0,0,normal
0,tcp,66,0,188,189,0,1,0.01,33,33,1,0.97,0,0,normal
0,tcp,60,0,87,91,0,1,0.04,34,34,1,0.97,0,0,normal
0,tcp,60,0,70,70,0,1,0,25,25,1,0.96,0,0,normal
0,tcp,66,0,8,16,0,1,0.5,8,27,1,0.29,0.7,0,normal
11,tcp,1522,6441,7,16,0,1,0.56,7,51,1,0,0.86,0,normal
0,tcp,66,0,44,60,0,1,0.27,36,49,1,0.72,0.27,0,normal
25,tcp,2142,8815,0,7,0,0,1,0,56,0,0,1,0,normal
0,tcp,66,0,242,272,0,1,0.11,27,44,1,0.6,0.39,0,normal
0,tcp,60,0,56,57,0,1,0.02,33,34,1,0.94,0.03,0,normal
0,tcp,60,0,31,32,0,1,0.03,37,38,1,0.95,0.03,0,normal
0,tcp,60,0,47,70,0,1,0.33,32,32,1,0.97,0,0,normal
0,tcp,60,0,130,133,0,1,0.02,34,34,1,0.97,0,0,normal
0,tcp,60,0,3,14,0,1,0.79,24,41,1,0.57,0.41,0,normal
0,tcp,112,0,5,11,0,1,0.55,5,45,1,0.11,0.89,0,normal
0,tcp,60,0,2,3,0,1,0.33,9,15,1,0.56,0.4,0,normal
0,tcp,66,0,93,106,0,1,0.12,38,39,1,0.95,0.03,0,normal
0,tcp,60,0,53,54,0,1,0.02,15,16,1,0.88,0.06,0,normal
0,tcp,60,0,323,325,0,1,0.01,40,40,1,0.98,0,0,normal
0,tcp,272,0,0,10,0,0,1,23,39,1,0.57,0.41,0,normal
43,tcp,2184,4444,3,90,0.47,1,0.97,3,43,1,0,0.93,0.67,normal
6,tcp,1135,607,0,63,0,0,1,0,40,0,0,1,0,normal
0,tcp,66,0,2,20,0,1,0.9,2,45,1,0.04,0.96,0,normal
