% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,4-5,9,11,15,17,23,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,60,0,102,0,0,33,0,udpFlood
udp,60,0,106,0,0,34,0,udpFlood
udp,60,0,82,0,0,42,0,udpFlood
udp,60,0,153,0,0,33,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,101,0,0,34,0,udpFlood
udp,60,0,118,0,0,34,0,udpFlood
udp,60,0,103,0,0,33,0,udpFlood
udp,60,0,105,0,0,33,0,udpFlood
udp,60,0,18,0,0,18,0,udpFlood
udp,60,0,109,0,0,40,0,udpFlood
udp,60,0,151,0,0,33,0,udpFlood
udp,60,0,114,0,0,33,0,udpFlood
udp,60,0,113,0,0,33,0,udpFlood
udp,60,0,106,0,0,39,0,udpFlood
udp,60,0,121,0,0,33,0,udpFlood
udp,60,0,117,0,0,33,0,udpFlood
udp,60,0,105,0,0,33,0,udpFlood
udp,60,0,111,0,0,34,0,udpFlood
udp,60,0,41,0,0,36,0,udpFlood
udp,60,0,86,0,0,40,0,udpFlood
udp,60,0,66,0,0,26,0,udpFlood
udp,60,0,116,0,0,33,0,udpFlood
udp,60,0,6,0,0,6,0,udpFlood
udp,60,0,138,0,0,15,0,udpFlood
udp,60,0,112,0,0,33,0,udpFlood
udp,60,0,96,0,0,43,0,udpFlood
udp,60,0,128,0,0,33,0,udpFlood
udp,60,0,116,0,0,34,0,udpFlood
udp,60,0,136,0,0,33,0,udpFlood
udp,60,0,160,0,0,33,0,udpFlood
udp,60,0,141,0,0,34,0,udpFlood
udp,60,0,131,0,0,33,0,udpFlood
udp,60,0,130,0,0,33,0,udpFlood
udp,60,0,115,0,0,34,0,udpFlood
udp,60,0,105,0,0,33,0,udpFlood
udp,60,0,130,0,0,33,0,udpFlood
udp,60,0,97,0,0,43,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,2,0,0,2,0,udpFlood
udp,60,0,125,0,0,33,0,udpFlood
udp,60,0,153,0,0,33,0,udpFlood
udp,60,0,137,0,0,11,0,udpFlood
udp,60,0,120,0,0,33,0,udpFlood
udp,60,0,141,0,0,25,0,udpFlood
udp,60,0,37,0,0,34,0,udpFlood
udp,60,0,72,0,0,28,0,udpFlood
udp,60,0,61,0,0,25,0,udpFlood
udp,60,0,104,0,0,34,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,101,0,0,40,0,udpFlood
udp,60,0,110,0,0,33,0,udpFlood
udp,60,0,34,0,0,31,0,udpFlood
udp,60,0,135,0,0,33,0,udpFlood
udp,60,0,105,0,0,40,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,159,0,0,33,0,udpFlood
udp,60,0,153,0,0,33,0,udpFlood
udp,60,0,115,0,0,33,0,udpFlood
udp,60,0,141,0,0,27,0,udpFlood
udp,60,0,38,0,0,35,0,udpFlood
udp,60,0,15,0,0,15,0,udpFlood
udp,60,0,35,0,0,32,0,udpFlood
udp,60,0,113,0,0,33,0,udpFlood
udp,60,0,112,0,0,33,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,114,0,0,33,0,udpFlood
udp,60,0,162,0,0,33,0,udpFlood
udp,60,0,0,0,0,0,0,udpFlood
udp,60,0,115,0,0,37,0,udpFlood
udp,60,0,153,0,0,33,0,udpFlood
udp,60,0,146,0,0,33,0,udpFlood
udp,60,0,43,0,0,32,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,112,0,0,33,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,82,0,0,38,0,udpFlood
udp,60,0,105,0,0,34,0,udpFlood
udp,60,0,158,0,0,33,0,udpFlood
udp,60,0,125,0,0,33,0,udpFlood
udp,60,0,110,0,0,33,0,udpFlood
udp,60,0,84,0,0,40,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,140,0,0,33,0,udpFlood
udp,60,0,119,0,0,33,0,udpFlood
udp,60,0,45,0,0,22,0,udpFlood
udp,60,0,93,0,0,42,0,udpFlood
udp,60,0,47,0,0,22,0,udpFlood
udp,60,0,113,0,0,34,0,udpFlood
udp,60,0,118,0,0,33,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,146,0,0,33,0,udpFlood
udp,60,0,143,0,0,33,0,udpFlood
udp,60,0,113,0,0,33,0,udpFlood
udp,60,0,131,0,0,33,0,udpFlood
udp,60,0,145,0,0,33,0,udpFlood
udp,60,0,152,0,0,33,0,udpFlood
udp,60,0,7,0,0,7,0,udpFlood
udp,60,0,117,0,0,34,0,udpFlood
udp,60,0,80,0,0,41,0,udpFlood
udp,60,0,125,0,0,33,0,udpFlood
udp,60,0,20,0,0,20,0,udpFlood
udp,60,0,138,0,0,19,0,udpFlood
udp,60,0,141,0,0,25,0,udpFlood
udp,60,0,103,0,0,34,0,udpFlood
udp,60,0,138,0,0,33,0,udpFlood
udp,60,0,109,0,0,33,0,udpFlood
udp,60,0,16,0,0,16,0,udpFlood
udp,60,0,102,0,0,34,0,udpFlood
udp,60,0,81,0,0,41,0,udpFlood
udp,60,0,153,0,0,33,0,udpFlood
udp,60,0,40,0,0,37,0,udpFlood
udp,60,0,140,0,0,21,0,udpFlood
udp,60,0,87,0,0,41,0,udpFlood
udp,60,0,145,0,0,33,0,udpFlood
udp,60,0,80,0,0,42,0,udpFlood
udp,60,0,70,0,0,28,0,udpFlood
udp,60,0,134,0,0,33,0,udpFlood
udp,60,0,129,0,0,33,0,udpFlood
udp,60,0,126,0,0,33,0,udpFlood
udp,60,0,103,0,0,40,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,141,0,0,33,0,udpFlood
udp,60,0,141,0,0,30,0,udpFlood
udp,60,0,65,0,0,26,0,udpFlood
udp,60,0,131,0,0,33,0,udpFlood
udp,60,0,112,0,0,33,0,udpFlood
udp,60,0,153,0,0,33,0,udpFlood
udp,60,0,137,0,0,11,0,udpFlood
udp,60,0,64,0,0,26,0,udpFlood
udp,60,0,42,0,0,34,0,udpFlood
udp,60,0,141,0,0,31,0,udpFlood
udp,60,0,32,0,0,29,0,udpFlood
udp,60,0,24,0,0,24,0,udpFlood
udp,60,0,143,0,0,33,0,udpFlood
udp,60,0,114,0,0,33,0,udpFlood
udp,60,0,151,0,0,33,0,udpFlood
udp,60,0,54,0,0,23,0,udpFlood
udp,60,0,49,0,0,21,0,udpFlood
udp,60,0,146,0,0,33,0,udpFlood
udp,60,0,117,0,0,34,0,udpFlood
udp,60,0,110,0,0,34,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,133,0,0,33,0,udpFlood
udp,60,0,110,0,0,33,0,udpFlood
udp,60,0,8,0,0,8,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,79,0,0,41,0,udpFlood
udp,60,0,125,0,0,33,0,udpFlood
udp,60,0,125,0,0,33,0,udpFlood
udp,60,0,154,0,0,33,0,udpFlood
udp,60,0,107,0,0,34,0,udpFlood
udp,60,0,106,0,0,33,0,udpFlood
udp,60,0,98,0,0,41,0,udpFlood
udp,60,0,114,0,0,33,0,udpFlood
udp,60,0,109,0,0,34,0,udpFlood
udp,60,0,93,0,0,42,0,udpFlood
udp,60,0,138,0,0,11,0,udpFlood
udp,60,0,131,0,0,33,0,udpFlood
udp,60,0,148,0,0,33,0,udpFlood
udp,60,0,108,0,0,33,0,udpFlood
udp,60,0,142,0,0,33,0,udpFlood
udp,60,0,13,0,0,13,0,udpFlood
udp,60,0,113,0,0,33,0,udpFlood
udp,60,0,109,0,0,33,0,udpFlood
udp,60,0,141,0,0,22,0,udpFlood
udp,60,0,102,0,0,40,0,udpFlood
