% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
udp,OTH,60,114,33,udpFlood
udp,OTH,60,90,42,udpFlood
udp,OTH,60,137,20,udpFlood
udp,OTH,60,105,33,udpFlood
udp,OTH,60,92,42,udpFlood
udp,OTH,60,107,33,udpFlood
udp,OTH,60,113,34,udpFlood
udp,OTH,60,117,33,udpFlood
udp,OTH,60,112,34,udpFlood
udp,OTH,60,111,34,udpFlood
udp,OTH,60,145,33,udpFlood
udp,OTH,60,91,42,udpFlood
udp,OTH,60,141,23,udpFlood
udp,OTH,60,99,42,udpFlood
udp,OTH,60,109,33,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,100,42,udpFlood
udp,OTH,60,78,43,udpFlood
udp,OTH,60,103,33,udpFlood
udp,OTH,60,108,40,udpFlood
udp,OTH,60,135,18,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,82,40,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,52,24,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,33,30,udpFlood
udp,OTH,60,27,27,udpFlood
udp,OTH,60,161,33,udpFlood
udp,OTH,60,162,33,udpFlood
udp,OTH,60,110,33,udpFlood
udp,OTH,60,108,34,udpFlood
udp,OTH,60,139,17,udpFlood
udp,OTH,60,119,35,udpFlood
udp,OTH,60,108,34,udpFlood
udp,OTH,60,151,33,udpFlood
udp,OTH,60,102,33,udpFlood
udp,OTH,60,106,34,udpFlood
udp,OTH,60,82,42,udpFlood
udp,OTH,60,153,33,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,101,34,udpFlood
udp,OTH,60,118,34,udpFlood
udp,OTH,60,103,33,udpFlood
udp,OTH,60,105,33,udpFlood
udp,OTH,60,18,18,udpFlood
udp,OTH,60,109,40,udpFlood
udp,OTH,60,151,33,udpFlood
udp,OTH,60,114,33,udpFlood
udp,OTH,60,113,33,udpFlood
udp,OTH,60,106,39,udpFlood
udp,OTH,60,121,33,udpFlood
udp,OTH,60,117,33,udpFlood
udp,OTH,60,105,33,udpFlood
udp,OTH,60,111,34,udpFlood
udp,OTH,60,41,36,udpFlood
udp,OTH,60,86,40,udpFlood
udp,OTH,60,66,26,udpFlood
udp,OTH,60,116,33,udpFlood
udp,OTH,60,6,6,udpFlood
udp,OTH,60,138,15,udpFlood
udp,OTH,60,112,33,udpFlood
udp,OTH,60,96,43,udpFlood
udp,OTH,60,128,33,udpFlood
udp,OTH,60,116,34,udpFlood
udp,OTH,60,136,33,udpFlood
udp,OTH,60,160,33,udpFlood
udp,OTH,60,141,34,udpFlood
udp,OTH,60,131,33,udpFlood
udp,OTH,60,130,33,udpFlood
udp,OTH,60,115,34,udpFlood
udp,OTH,60,105,33,udpFlood
udp,OTH,60,130,33,udpFlood
udp,OTH,60,97,43,udpFlood
udp,OTH,60,142,33,udpFlood
udp,OTH,60,2,2,udpFlood
udp,OTH,60,125,33,udpFlood
udp,OTH,60,153,33,udpFlood
udp,OTH,60,137,11,udpFlood
udp,OTH,60,120,33,udpFlood
udp,OTH,60,141,25,udpFlood
udp,OTH,60,37,34,udpFlood
udp,OTH,60,72,28,udpFlood
udp,OTH,60,61,25,udpFlood
udp,OTH,60,104,34,udpFlood
udp,OTH,60,108,33,udpFlood
udp,OTH,60,101,40,udpFlood
