% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
668,0,40,40,0,-1,17846,0,2360355,13368,udpFlood
6085,0,40,40,0,-1,4909,0,29867929,121708,udpFlood
18992,0,40,40,0,-1,1596,0,30326475,379848,udpFlood
3843,0,40,40,0,-1,7629,0,29313743,76868,udpFlood
4585,0,40,40,0,-1,6402,0,29350686,91708,udpFlood
4680,0,40,40,0,-1,6277,0,29370935,93608,udpFlood
5983,0,40,40,0,-1,4366,0,35762,119668,udpFlood
4978,0,40,40,0,-1,1939,0,9651218,99568,udpFlood
5763,0,40,40,0,-1,4465,0,160740,115268,udpFlood
3692,0,40,40,0,-1,7941,0,29313047,73848,udpFlood
4680,0,40,40,0,-1,2062,0,9650002,93608,udpFlood
3451,0,40,40,0,-1,7571,0,8273338,69028,udpFlood
2851,0,40,40,0,-1,9076,0,1121662,57028,udpFlood
4603,0,40,40,0,-1,2097,0,9653436,92068,udpFlood
15617,0,40,40,0,-1,1900,0,29673963,312348,udpFlood
15920,0,40,40,0,-1,1864,0,29674290,318408,udpFlood
14901,0,40,40,0,-1,1991,0,29674539,298028,udpFlood
14756,0,40,40,0,-1,2011,0,29672606,295128,udpFlood
12139,0,40,40,0,-1,2479,0,30092522,242788,udpFlood
2846,0,40,40,0,-1,9141,0,1118265,56928,udpFlood
2,0,56,56,0,-1,410284,0,410284,48,udpFlood
4966,0,40,40,0,-1,1944,0,9652305,99328,udpFlood
3653,0,40,40,0,-1,8025,0,29310613,73068,udpFlood
15151,0,40,40,0,-1,1958,0,29672144,303028,udpFlood
3045,0,40,40,0,-1,8554,0,1083949,60908,udpFlood
6513,0,40,40,0,-1,4005,0,34394,130268,udpFlood
3124,0,40,40,0,-1,8365,0,8301026,62488,udpFlood
9265,0,40,40,0,-1,3106,0,8459078,185308,udpFlood
5115,0,40,40,0,-1,1887,0,9654247,102308,udpFlood
6104,0,40,40,0,-1,4278,0,35424,122088,udpFlood
4784,0,40,40,0,-1,2018,0,9654202,95688,udpFlood
4729,0,40,40,0,-1,2041,0,9653294,94588,udpFlood
10010,0,40,40,0,-1,2933,0,29365552,200208,udpFlood
1993,0,40,40,0,-1,11451,0,920086,39868,udpFlood
3787,0,40,40,0,-1,7476,0,12653402,75748,udpFlood
17569,0,40,40,0,-1,1705,0,29956323,351388,udpFlood
3038,0,40,40,0,-1,8229,0,1115334,60768,udpFlood
574,0,40,40,0,-1,15089,0,8646412,11488,udpFlood
4305,0,40,40,0,-1,6665,0,28689387,86108,udpFlood
2754,0,40,40,0,-1,7148,0,35095,55088,udpFlood
6348,0,40,40,0,-1,4705,0,29867719,126968,udpFlood
7511,0,40,40,0,-1,3910,0,29366359,150228,udpFlood
9134,0,40,40,0,-1,3201,0,29243026,182688,udpFlood
19047,0,40,40,0,-1,1592,0,30327426,380948,udpFlood
2757,0,40,40,0,-1,9314,0,1123707,55148,udpFlood
11826,0,40,40,0,-1,2544,0,30091831,236528,udpFlood
9270,0,40,40,0,-1,3126,0,8463494,185408,udpFlood
7474,0,40,40,0,-1,3645,0,27244349,149488,udpFlood
7085,0,40,40,0,-1,4145,0,29366333,141708,udpFlood
1004,0,40,40,0,-1,10076,0,10106273,20088,udpFlood
7383,0,40,40,0,-1,3978,0,29367372,147668,udpFlood
2297,0,40,40,0,-1,10347,0,902539,45948,udpFlood
6506,0,40,40,0,-1,4013,0,30338,130128,udpFlood
6210,0,40,40,0,-1,4205,0,36904,124208,udpFlood
3059,0,40,40,0,-1,8869,0,8291090,61188,udpFlood
4588,0,40,40,0,-1,2104,0,9652059,91768,udpFlood
1548,0,40,40,0,-1,9672,0,14963100,30968,udpFlood
3898,0,40,40,0,-1,7264,0,12653112,77968,udpFlood
3453,0,40,40,0,-1,2074,0,7159480,69068,udpFlood
726,0,40,40,0,-1,16435,0,2361329,14528,udpFlood
6586,0,40,40,0,-1,3697,0,35707,131728,udpFlood
8917,0,40,40,0,-1,3250,0,8463909,178348,udpFlood
9275,0,40,40,0,-1,3102,0,8448349,185508,udpFlood
2366,0,40,40,0,-1,10023,0,910539,47328,udpFlood
6375,0,40,40,0,-1,4051,0,231347,127508,udpFlood
6518,0,40,40,0,-1,4582,0,29866987,130368,udpFlood
2570,0,40,40,0,-1,10111,0,9594823,51408,udpFlood
12629,0,40,40,0,-1,2382,0,30091713,252588,udpFlood
5128,0,40,40,0,-1,5723,0,29341939,102568,udpFlood
9387,0,40,40,0,-1,3115,0,29245585,187748,udpFlood
2992,0,40,40,0,-1,8693,0,9604559,59848,udpFlood
5676,0,40,40,0,-1,4516,0,28605,113528,udpFlood
6432,0,40,40,0,-1,4059,0,48997,128648,udpFlood
4867,0,40,40,0,-1,1983,0,9651401,97348,udpFlood
6707,0,40,40,0,-1,4453,0,29864477,134148,udpFlood
12353,0,40,40,0,-1,2436,0,30092094,247068,udpFlood
4731,0,40,40,0,-1,6206,0,29357883,94628,udpFlood
9957,0,40,40,0,-1,2946,0,29336782,199148,udpFlood
3031,0,40,40,0,-1,8958,0,8300980,60628,udpFlood
4802,0,40,40,0,-1,2010,0,9653365,96048,udpFlood
12149,0,40,40,0,-1,2477,0,30092443,242988,udpFlood
9715,0,40,40,0,-1,3022,0,29365383,194308,udpFlood
14741,0,40,40,0,-1,2013,0,29673347,294828,udpFlood
2457,0,40,40,0,-1,9715,0,913208,49148,udpFlood
3537,0,40,40,0,-1,7666,0,8257131,70748,udpFlood
6537,0,40,40,0,-1,4569,0,29868513,130748,udpFlood
9321,0,40,40,0,-1,3137,0,29245794,186428,udpFlood
3663,0,40,40,0,-1,8004,0,29313558,73268,udpFlood
742,0,40,40,0,-1,13054,0,28512,14848,udpFlood
4790,0,40,40,0,-1,2015,0,9650835,95808,udpFlood
6566,0,40,40,0,-1,3932,0,204093,131328,udpFlood
9460,0,40,40,0,-1,3045,0,8464639,189208,udpFlood
1244,0,40,40,0,-1,13413,0,2119576,24888,udpFlood
2,0,53,53,0,-1,409601,0,409601,48,udpFlood
6529,0,40,40,0,-1,3867,0,31439,130588,udpFlood
2349,0,40,40,0,-1,9926,0,915252,46988,udpFlood
4776,0,40,40,0,-1,6150,0,29368750,95528,udpFlood
3930,0,40,40,0,-1,7459,0,29308543,78608,udpFlood
7574,0,40,40,0,-1,3877,0,29367913,151488,udpFlood
2820,0,40,40,0,-1,8400,0,1653968,56408,udpFlood
4055,0,40,40,0,-1,6981,0,12647977,81108,udpFlood
2843,0,40,40,0,-1,9138,0,9605456,56868,udpFlood
2803,0,40,40,0,-1,9267,0,9548337,56068,udpFlood
12493,0,40,40,0,-1,2408,0,30092717,249868,udpFlood
12047,0,40,40,0,-1,2497,0,30090495,240948,udpFlood
4306,0,40,40,0,-1,6811,0,29324193,86128,udpFlood
3539,0,40,40,0,-1,7937,0,13705012,70788,udpFlood
1224,0,40,40,0,-1,13245,0,1676469,24488,udpFlood
2649,0,40,40,0,-1,9813,0,9570595,52988,udpFlood
4460,0,40,40,0,-1,6580,0,29340486,89208,udpFlood
6297,0,40,40,0,-1,4742,0,29861883,125948,udpFlood
3616,0,40,40,0,-1,7280,0,4319198,72328,udpFlood
9395,0,40,40,0,-1,3085,0,8464086,187908,udpFlood
4981,0,40,40,0,-1,5894,0,29352644,99628,udpFlood
2938,0,40,40,0,-1,8500,0,1662776,58768,udpFlood
7069,0,40,40,0,-1,4224,0,29860581,141388,udpFlood
2330,0,40,40,0,-1,11167,0,9584326,46608,udpFlood
5944,0,40,40,0,-1,4347,0,231475,118888,udpFlood
7807,0,40,40,0,-1,3491,0,27250762,156148,udpFlood
7201,0,40,40,0,-1,3784,0,27251472,144028,udpFlood
4734,0,40,40,0,-1,6192,0,29310024,94688,udpFlood
4231,0,40,40,0,-1,6782,0,28688363,84628,udpFlood
7435,0,40,40,0,-1,3950,0,29366747,148708,udpFlood
2949,0,40,40,0,-1,6672,0,766,58988,udpFlood
9014,0,40,40,0,-1,3195,0,8465033,180288,udpFlood
2684,0,40,40,0,-1,9314,0,1670808,53688,udpFlood
7426,0,40,40,0,-1,3669,0,27248664,148528,udpFlood
17722,0,40,40,0,-1,1690,0,29964567,354448,udpFlood
2984,0,40,40,0,-1,6235,0,5018,59688,udpFlood
3170,0,40,40,0,-1,8085,0,1110195,63408,udpFlood
3847,0,40,40,0,-1,7359,0,12645049,76948,udpFlood
4173,0,40,40,0,-1,6698,0,12977622,83468,udpFlood
12262,0,40,40,0,-1,2446,0,29995977,245248,udpFlood
3095,0,40,40,0,-1,8411,0,8304945,61908,udpFlood
4087,0,40,40,0,-1,7173,0,29311539,81748,udpFlood
4670,0,40,40,0,-1,6286,0,29349743,93408,udpFlood
7743,0,40,40,0,-1,3520,0,27251851,154868,udpFlood
4427,0,40,40,0,-1,2180,0,9652284,88548,udpFlood
3555,0,40,40,0,-1,8065,0,28664542,71108,udpFlood
9132,0,40,40,0,-1,3202,0,29244628,182648,udpFlood
4149,0,40,40,0,-1,7080,0,29371133,82988,udpFlood
3049,0,40,40,0,-1,8873,0,8297887,60988,udpFlood
1069,0,40,40,0,-1,16151,0,2348315,21388,udpFlood
2824,0,40,40,0,-1,6781,0,22748,56488,udpFlood
4185,0,40,40,0,-1,7019,0,29368802,83708,udpFlood
15574,0,40,40,0,-1,1905,0,29672772,311488,udpFlood
4480,0,40,40,0,-1,6556,0,29368577,89608,udpFlood
7693,0,40,40,0,-1,3817,0,29366508,153868,udpFlood
6369,0,40,40,0,-1,4051,0,228057,127388,udpFlood
6304,0,40,40,0,-1,4139,0,27253,126088,udpFlood
4088,0,40,40,0,-1,7171,0,29308368,81768,udpFlood
15478,0,40,40,0,-1,1917,0,29674506,309568,udpFlood
3041,0,40,40,0,-1,8552,0,1125162,60828,udpFlood
294,0,40,40,0,-1,17701,0,5186398,5888,udpFlood
3936,0,40,40,0,-1,7448,0,29309923,78728,udpFlood
15974,0,40,40,0,-1,1857,0,29673849,319488,udpFlood
6407,0,40,40,0,-1,3658,0,30049,128148,udpFlood
12686,0,40,40,0,-1,2372,0,30091738,253728,udpFlood
3535,0,40,40,0,-1,7649,0,8183861,70708,udpFlood
4921,0,40,40,0,-1,1962,0,9653281,98428,udpFlood
12237,0,40,40,0,-1,2451,0,29996751,244748,udpFlood
4035,0,40,40,0,-1,7237,0,29194939,80708,udpFlood
6810,0,40,40,0,-1,4002,0,27252502,136208,udpFlood
5785,0,40,40,0,-1,5163,0,29862815,115708,udpFlood
6801,0,40,40,0,-1,3837,0,34973,136028,udpFlood
4350,0,40,40,0,-1,6750,0,29359374,87008,udpFlood
7811,0,40,40,0,-1,3760,0,29366479,156228,udpFlood
17719,0,40,40,0,-1,1691,0,29964047,354388,udpFlood
6119,0,40,40,0,-1,4223,0,231449,122388,udpFlood
7586,0,40,40,0,-1,3592,0,27252358,151728,udpFlood
4050,0,40,40,0,-1,7239,0,29312597,81008,udpFlood
1108,0,40,40,0,-1,12475,0,2229,22168,udpFlood
3775,0,40,40,0,-1,2053,0,7748462,75508,udpFlood
3328,0,40,40,0,-1,7858,0,1191375,66568,udpFlood
6479,0,40,40,0,-1,3760,0,46795,129588,udpFlood
4456,0,40,40,0,-1,6274,0,12984478,89128,udpFlood
8007,0,40,40,0,-1,3668,0,29366421,160148,udpFlood
6088,0,40,40,0,-1,4906,0,29866750,121768,udpFlood
4572,0,40,40,0,-1,6424,0,29368428,91448,udpFlood
6668,0,40,40,0,-1,4478,0,29861393,133368,udpFlood
9312,0,40,40,0,-1,3140,0,29241313,186248,udpFlood
6636,0,40,40,0,-1,3932,0,31106,132728,udpFlood
6602,0,40,40,0,-1,4524,0,29867468,132048,udpFlood
4798,0,40,40,0,-1,2012,0,9651936,95968,udpFlood
5078,0,40,40,0,-1,1901,0,9653921,101568,udpFlood
3760,0,40,40,0,-1,7797,0,29309237,75208,udpFlood
3998,0,40,40,0,-1,7332,0,29306593,79968,udpFlood
6032,0,40,40,0,-1,4326,0,31587,120648,udpFlood
4410,0,40,40,0,-1,6506,0,28685537,88208,udpFlood
4315,0,40,40,0,-1,6792,0,29304925,86308,udpFlood
5023,0,40,40,0,-1,1922,0,9653777,100468,udpFlood
3043,0,40,40,0,-1,8295,0,446975,60868,udpFlood
9242,0,40,40,0,-1,3164,0,29245828,184848,udpFlood
11852,0,40,40,0,-1,2539,0,30091362,237048,udpFlood
3202,0,40,40,0,-1,8474,0,8299328,64048,udpFlood
3359,0,40,40,0,-1,7681,0,1109847,67188,udpFlood
15538,0,40,40,0,-1,1909,0,29670731,310768,udpFlood
3253,0,40,40,0,-1,8335,0,8291861,65068,udpFlood
2897,0,40,40,0,-1,8580,0,993149,57948,udpFlood
3667,0,40,40,0,-1,7720,0,12646464,73348,udpFlood
6218,0,40,40,0,-1,4197,0,48530,124368,udpFlood
8910,0,40,40,0,-1,3282,0,29243323,178208,udpFlood
9287,0,40,40,0,-1,3095,0,8424772,185748,udpFlood
19219,0,40,40,0,-1,1578,0,30326141,384388,udpFlood
2304,0,40,40,0,-1,10842,0,1659825,46088,udpFlood
1637,0,40,40,0,-1,11147,0,2360516,32748,udpFlood
7057,0,40,40,0,-1,3862,0,27251835,141148,udpFlood
18786,0,40,40,0,-1,1614,0,30326904,375728,udpFlood
2779,0,40,40,0,-1,8982,0,1658661,55588,udpFlood
2886,0,40,40,0,-1,8706,0,429153,57728,udpFlood
6672,0,40,40,0,-1,4477,0,29868217,133448,udpFlood
4247,0,40,40,0,-1,6903,0,29313094,84948,udpFlood
3590,0,40,40,0,-1,7824,0,13704665,71808,udpFlood
7912,0,40,40,0,-1,3712,0,29366411,158248,udpFlood
15898,0,40,40,0,-1,1866,0,29673998,317968,udpFlood
6253,0,40,40,0,-1,4109,0,128651,125068,udpFlood
11629,0,40,40,0,-1,2579,0,29995954,232588,udpFlood
7479,0,40,40,0,-1,3927,0,29367463,149588,udpFlood
1258,0,40,40,0,-1,13456,0,2359411,25168,udpFlood
3848,0,40,40,0,-1,7619,0,29311115,76968,udpFlood
4909,0,40,40,0,-1,5977,0,29339957,98188,udpFlood
18031,0,40,40,0,-1,1661,0,29956729,360628,udpFlood
15271,0,40,40,0,-1,1943,0,29674115,305428,udpFlood
6726,0,40,40,0,-1,3882,0,34312,134528,udpFlood
15575,0,40,40,0,-1,1905,0,29672902,311508,udpFlood
9571,0,40,40,0,-1,3028,0,8464408,191428,udpFlood
4690,0,40,40,0,-1,2058,0,9653986,93808,udpFlood
7962,0,40,40,0,-1,3689,0,29368970,159248,udpFlood
19328,0,40,40,0,-1,1569,0,30326909,386568,udpFlood
5454,0,40,40,0,-1,4684,0,3084,109088,udpFlood
1412,0,40,40,0,-1,12321,0,1662103,28248,udpFlood
6109,0,40,40,0,-1,4220,0,190944,122188,udpFlood
3779,0,40,40,0,-1,7397,0,12982357,75588,udpFlood
9387,0,40,40,0,-1,3002,0,10322295,187748,udpFlood
4678,0,40,40,0,-1,6268,0,29319298,93568,udpFlood
2575,0,40,40,0,-1,8003,0,2356631,51508,udpFlood
10178,0,40,40,0,-1,2885,0,29365226,203568,udpFlood
2430,0,40,40,0,-1,10267,0,1664356,48608,udpFlood
1597,0,40,40,0,-1,11198,0,1681909,31948,udpFlood
3004,0,40,40,0,-1,8320,0,1664255,60088,udpFlood
4012,0,40,40,0,-1,6964,0,12966055,80248,udpFlood
3069,0,40,40,0,-1,8406,0,1093192,61388,udpFlood
785,0,40,40,0,-1,16366,0,253976,15708,udpFlood
19227,0,40,40,0,-1,1577,0,30326903,384548,udpFlood
3089,0,40,40,0,-1,6049,0,12601,61788,udpFlood
5934,0,40,40,0,-1,5034,0,29867195,118688,udpFlood
3168,0,40,40,0,-1,7496,0,1118569,63368,udpFlood
6054,0,40,40,0,-1,4267,0,230756,121088,udpFlood
3261,0,40,40,0,-1,8298,0,8301462,65228,udpFlood
3878,0,40,40,0,-1,7550,0,29273225,77568,udpFlood
3769,0,40,40,0,-1,7512,0,12649294,75388,udpFlood
3675,0,40,40,0,-1,7977,0,29310190,73508,udpFlood
15695,0,40,40,0,-1,1890,0,29674000,313908,udpFlood
2850,0,40,40,0,-1,8639,0,1116795,57008,udpFlood
4281,0,40,40,0,-1,2048,0,8766433,85628,udpFlood
3208,0,40,40,0,-1,8134,0,8274927,64168,udpFlood
4242,0,40,40,0,-1,6910,0,29305437,84848,udpFlood
9833,0,40,40,0,-1,2986,0,29364579,196668,udpFlood
5082,0,40,40,0,-1,5776,0,29352410,101648,udpFlood
6917,0,40,40,0,-1,3766,0,31874,138348,udpFlood
5296,0,40,40,0,-1,1823,0,9653102,105928,udpFlood
9603,0,40,40,0,-1,3058,0,29364201,192068,udpFlood
7742,0,40,40,0,-1,3793,0,29364233,154848,udpFlood
4876,0,40,40,0,-1,6024,0,29370257,97528,udpFlood
9267,0,40,40,0,-1,3122,0,8417837,185348,udpFlood
9186,0,40,40,0,-1,3151,0,8434698,183728,udpFlood
4618,0,40,40,0,-1,2090,0,9651319,92368,udpFlood
3724,0,40,40,0,-1,7538,0,13704424,74488,udpFlood
19136,0,40,40,0,-1,1584,0,30326856,382728,udpFlood
3834,0,40,40,0,-1,7472,0,28641515,76688,udpFlood
7558,0,40,40,0,-1,3885,0,29366117,151168,udpFlood
3374,0,40,40,0,-1,8010,0,8265597,67488,udpFlood
4024,0,40,40,0,-1,7026,0,12633819,80488,udpFlood
6263,0,40,40,0,-1,1558,0,9758446,125268,udpFlood
4986,0,40,40,0,-1,1936,0,9653009,99728,udpFlood
6322,0,40,40,0,-1,1543,0,9758306,126448,udpFlood
3263,0,40,40,0,-1,8318,0,8296587,65268,udpFlood
3757,0,40,40,0,-1,7819,0,29370264,75148,udpFlood
18979,0,40,40,0,-1,1597,0,30326673,379588,udpFlood
2482,0,40,40,0,-1,10061,0,1654620,49648,udpFlood
6688,0,40,40,0,-1,3643,0,30603,133768,udpFlood
3262,0,40,40,0,-1,8301,0,41018,65248,udpFlood
6676,0,40,40,0,-1,3779,0,29735,133528,udpFlood
6064,0,40,40,0,-1,4309,0,35833,121288,udpFlood
9448,0,40,40,0,-1,3095,0,29245801,188968,udpFlood
2940,0,40,40,0,-1,8786,0,1115011,58808,udpFlood
4229,0,40,40,0,-1,6932,0,29311211,84588,udpFlood
6056,0,40,40,0,-1,4236,0,72886,121128,udpFlood
6410,0,40,40,0,-1,4073,0,31129,128208,udpFlood
4620,0,40,40,0,-1,6352,0,29342704,92408,udpFlood
3102,0,40,40,0,-1,8095,0,415392,62048,udpFlood
7903,0,40,40,0,-1,3716,0,29368710,158068,udpFlood
4743,0,40,40,0,-1,2035,0,9653792,94868,udpFlood
3989,0,40,40,0,-1,7089,0,12652595,79788,udpFlood
865,0,40,40,0,-1,15411,0,2346497,17308,udpFlood
4382,0,40,40,0,-1,6704,0,29370269,87648,udpFlood
3857,0,40,40,0,-1,7601,0,29311714,77148,udpFlood
3328,0,40,40,0,-1,8155,0,8292859,66568,udpFlood
17679,0,40,40,0,-1,1695,0,29964536,353588,udpFlood
2933,0,40,40,0,-1,7108,0,2117743,58668,udpFlood
17675,0,40,40,0,-1,1694,0,29956467,353508,udpFlood
3120,0,40,40,0,-1,8672,0,8297201,62408,udpFlood
3347,0,40,40,0,-1,8113,0,8296174,66948,udpFlood
3173,0,40,40,0,-1,9241,0,29313139,63468,udpFlood
6284,0,40,40,0,-1,4157,0,48432,125688,udpFlood
986,0,40,40,0,-1,15414,0,2360054,19728,udpFlood
15375,0,40,40,0,-1,1930,0,29672769,307508,udpFlood
5815,0,40,40,0,-1,4437,0,197386,116308,udpFlood
15526,0,40,40,0,-1,1911,0,29674700,310528,udpFlood
6216,0,40,40,0,-1,4150,0,219041,124328,udpFlood
6960,0,40,40,0,-1,4291,0,29866106,139208,udpFlood
17807,0,40,40,0,-1,1681,0,29948219,356148,udpFlood
3107,0,40,40,0,-1,8370,0,2822178,62148,udpFlood
7479,0,40,40,0,-1,3926,0,29364839,149588,udpFlood
9159,0,40,40,0,-1,3145,0,8464993,183188,udpFlood
7326,0,40,40,0,-1,3719,0,27244166,146528,udpFlood
6704,0,40,40,0,-1,3895,0,30573,134088,udpFlood
2831,0,40,40,0,-1,9189,0,9583179,56628,udpFlood
2958,0,40,40,0,-1,6663,0,33131,59168,udpFlood
5191,0,40,40,0,-1,5647,0,29310501,103828,udpFlood
6568,0,40,40,0,-1,4547,0,29862106,131368,udpFlood
696,0,40,40,0,-1,15605,0,1677018,13928,udpFlood
3080,0,40,40,0,-1,6069,0,12403,61608,udpFlood
4817,0,40,40,0,-1,2003,0,9650525,96348,udpFlood
4003,0,40,40,0,-1,7323,0,29310589,80068,udpFlood
6569,0,40,40,0,-1,4547,0,29868695,131388,udpFlood
4040,0,40,40,0,-1,7255,0,29305254,80808,udpFlood
7175,0,40,40,0,-1,4093,0,29364748,143508,udpFlood
3070,0,40,40,0,-1,8479,0,9606995,61408,udpFlood
2533,0,40,40,0,-1,9348,0,839046,50668,udpFlood
2986,0,40,40,0,-1,6599,0,32494,59728,udpFlood
3003,0,40,40,0,-1,8615,0,1125004,60068,udpFlood
6427,0,40,40,0,-1,4647,0,29867277,128548,udpFlood
4159,0,40,40,0,-1,6899,0,28689514,83188,udpFlood
6207,0,40,40,0,-1,4152,0,205177,124148,udpFlood
9362,0,40,40,0,-1,3136,0,29361574,187248,udpFlood
6176,0,40,40,0,-1,4227,0,30574,123528,udpFlood
8100,0,40,40,0,-1,3626,0,29370160,162008,udpFlood
17426,0,40,40,0,-1,1718,0,29947405,348528,udpFlood
4360,0,40,40,0,-1,6736,0,29365491,87208,udpFlood
4932,0,40,40,0,-1,5949,0,29336588,98648,udpFlood
1507,0,40,40,0,-1,11417,0,1681655,30148,udpFlood
17561,0,40,40,0,-1,1706,0,29964746,351228,udpFlood
9006,0,40,40,0,-1,3218,0,8464154,180128,udpFlood
6748,0,40,40,0,-1,3739,0,25143,134968,udpFlood
4961,0,40,40,0,-1,5919,0,29362685,99228,udpFlood
4038,0,40,40,0,-1,7006,0,12646098,80768,udpFlood
7246,0,40,40,0,-1,4053,0,29367918,144928,udpFlood
7295,0,40,40,0,-1,3736,0,27251937,145908,udpFlood
6407,0,40,40,0,-1,4662,0,29866162,128148,udpFlood
3236,0,40,40,0,-1,8404,0,8338882,64728,udpFlood
4841,0,40,40,0,-1,1993,0,9647804,96828,udpFlood
7531,0,40,40,0,-1,3900,0,29367370,150628,udpFlood
6215,0,40,40,0,-1,4200,0,44244,124308,udpFlood
5971,0,40,40,0,-1,5002,0,29862595,119428,udpFlood
6301,0,40,40,0,-1,4144,0,30586,126028,udpFlood
3817,0,40,40,0,-1,7681,0,29310982,76348,udpFlood
6442,0,40,40,0,-1,4636,0,29861452,128848,udpFlood
3857,0,40,40,0,-1,7601,0,29312693,77148,udpFlood
6712,0,40,40,0,-1,3760,0,35393,134248,udpFlood
6277,0,40,40,0,-1,4020,0,34929,125548,udpFlood
7338,0,40,40,0,-1,3714,0,27252388,146768,udpFlood
3755,0,40,40,0,-1,7808,0,29311480,75108,udpFlood
7799,0,40,40,0,-1,3494,0,27251824,155988,udpFlood
8083,0,40,40,0,-1,3633,0,29365499,161668,udpFlood
4893,0,40,40,0,-1,5998,0,29344376,97868,udpFlood
4601,0,40,40,0,-1,2098,0,9652493,92028,udpFlood
3546,0,40,40,0,-1,8268,0,29313588,70928,udpFlood
2628,0,40,40,0,-1,9812,0,1101260,52568,udpFlood
7370,0,40,40,0,-1,3985,0,29366557,147408,udpFlood
4173,0,40,40,0,-1,6876,0,28689989,83468,udpFlood
987,0,40,40,0,-1,13560,0,12888,19748,udpFlood
2647,0,40,40,0,-1,9411,0,1625509,52948,udpFlood
2908,0,40,40,0,-1,8952,0,9607585,58168,udpFlood
2385,0,40,40,0,-1,9960,0,919026,47708,udpFlood
3919,0,40,40,0,-1,7130,0,12979324,78388,udpFlood
17793,0,40,40,0,-1,1684,0,29964774,355868,udpFlood
18012,0,40,40,0,-1,1663,0,29957054,360248,udpFlood
3682,0,40,40,0,-1,7963,0,29313541,73648,udpFlood
4023,0,40,40,0,-1,7297,0,29348538,80468,udpFlood
3314,0,40,40,0,-1,7851,0,9598988,66288,udpFlood
3669,0,40,40,0,-1,7991,0,29313348,73388,udpFlood
4014,0,40,40,0,-1,7149,0,28690830,80288,udpFlood
4965,0,40,40,0,-1,5916,0,29369990,99308,udpFlood
3677,0,40,40,0,-1,7973,0,29310653,73548,udpFlood
6616,0,40,40,0,-1,3889,0,128758,132328,udpFlood
15415,0,40,40,0,-1,1925,0,29672507,308308,udpFlood
1411,0,40,40,0,-1,11802,0,12833,28228,udpFlood
2876,0,40,40,0,-1,8758,0,455831,57528,udpFlood
6257,0,40,40,0,-1,4104,0,136856,125148,udpFlood
4343,0,40,40,0,-1,6741,0,29270592,86868,udpFlood
3910,0,40,40,0,-1,7498,0,29310764,78208,udpFlood
17471,0,40,40,0,-1,1714,0,29947131,349428,udpFlood
4165,0,40,40,0,-1,7049,0,29353111,83308,udpFlood
1155,0,40,40,0,-1,9695,0,11188368,23108,udpFlood
7790,0,40,40,0,-1,3770,0,29369230,155808,udpFlood
17720,0,40,40,0,-1,1690,0,29953024,354408,udpFlood
17521,0,40,40,0,-1,1709,0,29955170,350428,udpFlood
4308,0,40,40,0,-1,6655,0,28663685,86168,udpFlood
6655,0,40,40,0,-1,4488,0,29867507,133108,udpFlood
7659,0,40,40,0,-1,3834,0,29367904,153188,udpFlood
6636,0,40,40,0,-1,4501,0,29868199,132728,udpFlood
3097,0,40,40,0,-1,5611,0,35539,61948,udpFlood
4815,0,40,40,0,-1,6095,0,29343370,96308,udpFlood
6637,0,40,40,0,-1,3933,0,13371,132748,udpFlood
6777,0,40,40,0,-1,3820,0,33963,135548,udpFlood
2279,0,40,40,0,-1,10410,0,893291,45588,udpFlood
3273,0,40,40,0,-1,7949,0,9605826,65468,udpFlood
3809,0,40,40,0,-1,7692,0,29293900,76188,udpFlood
4427,0,40,40,0,-1,6482,0,28690467,88548,udpFlood
2452,0,40,40,0,-1,9592,0,7094241,49048,udpFlood
1972,0,40,40,0,-1,10585,0,4438555,39448,udpFlood
2485,0,40,40,0,-1,10471,0,9604720,49708,udpFlood
6270,0,40,40,0,-1,1556,0,9757339,125408,udpFlood
4187,0,40,40,0,-1,6847,0,28664402,83748,udpFlood
6554,0,40,40,0,-1,3935,0,219440,131088,udpFlood
4061,0,40,40,0,-1,7060,0,28664646,81228,udpFlood
6263,0,40,40,0,-1,4769,0,29866543,125268,udpFlood
4919,0,40,40,0,-1,1962,0,9653720,98388,udpFlood
9806,0,40,40,0,-1,2994,0,29365172,196128,udpFlood
2887,0,40,40,0,-1,8611,0,2251477,57748,udpFlood
12667,0,40,40,0,-1,2375,0,30086197,253348,udpFlood
597,0,40,40,0,-1,12228,0,32847,11948,udpFlood
6468,0,40,40,0,-1,4618,0,29865382,129368,udpFlood
4655,0,40,40,0,-1,2074,0,9652499,93108,udpFlood
5921,0,40,40,0,-1,5045,0,29868394,118428,udpFlood
2964,0,40,40,0,-1,8692,0,1092688,59288,udpFlood
