% isAttack tcpFlood:	199
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,7-9,14,18,22,38,40'

@attribute total_fpackets numeric
@attribute total_bvolume numeric
@attribute min_fpktl numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute min_active numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
1799,68762,52,640,23,52,4541,6249,8165853,93556,tcpFlood
1420,55970,52,496,20,52,5618,7513,7972294,73848,tcpFlood
487,5712,52,1500,120,52,16385,70562,429530,25332,tcpFlood
2275,86438,52,340,11,52,1832,2523,4167245,118308,tcpFlood
338,5128,52,232,10,52,27707,102922,66652,17584,tcpFlood
286,2504,52,172,7,52,13769,82977,3924175,14880,tcpFlood
1016,38662,52,292,16,52,5646,7831,5734251,52840,tcpFlood
5074,189058,52,388,9,52,3277,4592,16632967,263856,tcpFlood
1440,56066,52,1500,47,52,5420,7331,7799519,74888,tcpFlood
1843,61362,52,640,19,52,4806,7608,8853896,95844,tcpFlood
484,6832,52,280,16,52,18939,73569,2570769,25176,tcpFlood
382,4220,52,172,10,52,26979,129370,3716774,19872,tcpFlood
5053,185520,52,256,6,52,3202,4543,16182011,262764,tcpFlood
1442,50894,52,1500,43,52,5330,7969,7684647,74992,tcpFlood
5052,181974,52,388,9,52,3166,4587,15993545,262712,tcpFlood
2406,34218,52,268,5,52,2681,9950,6448968,125120,tcpFlood
1344,19034,52,304,9,52,2519,9460,3383150,69896,tcpFlood
96,1880,52,76,2,52,20615,54989,1958485,5000,tcpFlood
117,1308,52,64,1,52,3567,15974,413847,6092,tcpFlood
1642,62542,52,1500,40,52,4872,6724,7995801,85392,tcpFlood
482,5420,52,256,14,52,18146,87075,64488,25072,tcpFlood
5439,184026,52,232,5,52,2970,4585,16159029,282836,tcpFlood
494,6504,52,232,12,52,18186,76150,71036,25696,tcpFlood
196,1256,52,148,6,52,7364,60934,1436020,10200,tcpFlood
113,3712,52,196,13,52,17416,27424,1951024,5884,tcpFlood
1118,45642,52,472,19,52,5279,6786,5897193,58144,tcpFlood
