@relation 'highrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, normal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute service {aol,auth,bgp,courier,csnet_ns,ctf,daytime,discard,domain,domain_u,echo,eco_i,ecr_i,efs,exec,finger,ftp,ftp_data,gopher,harvest,hostnames,http,http_2784,http_443,http_8001,imap4,IRC,iso_tsap,klogin,kshell,ldap,link,login,mtp,name,netbios_dgm,netbios_ns,netbios_ssn,netstat,nnsp,nntp,ntp_u,other,pm_dump,pop_2,pop_3,printer,private,red_i,remote_job,rje,shell,smtp,sql_net,ssh,sunrpc,supdup,systat,telnet,tftp_u,tim_i,time,urh_i,urp_i,uucp,uucp_path,vmnet,whois,X11,Z39_50}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute land {0,1}
@attribute wrong_fragment numeric
@attribute urgent numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_serror_rate numeric
@attribute rerror_rate numeric
@attribute srv_rerror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute dst_host_rerror_rate numeric
@attribute dst_host_srv_rerror_rate numeric
@attribute isAttack {NORMAL,neptune,smurf,pod,back,land,LOW_RATE,slowHeaders,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
0,tcp,http_443,OTH,60,0,0,0,0,127,160,0,0,0,0,1,0,0.21,33,34,1,0,0.94,0.03,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,65,99,0,0,0,0,1,0,0.34,32,32,1,0,0.97,0,0,0,0,0,NORMAL
17,tcp,http_443,RSTO,3223,2742,0,0,0,4,108,0,0.21,0,0,1,0,0.96,4,44,1,0,0,0.91,0,0.2,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,288,288,0,0,0,0,1,0,0,66,66,1,0,0.99,0,0,0,0,0,NORMAL
209,tcp,http_443,SF,3540,6418,0,0,0,0,3,0,0,0,0,0,0,1,0,64,0,0,0,1,0,0,0,0,NORMAL
0,tcp,http_443,OTH,66,0,0,0,0,191,192,0,0,0,0,1,0,0.01,33,33,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,29,35,0,0,0,0,1,0,0.17,35,42,1,0,0.81,0.17,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,274,274,0,0,0,0,1,0,0,62,62,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,other,OTH,1464,0,0,0,0,94,13,0,0,0,0,0.14,0.86,0,69,4,0.06,0.94,0.8,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,656,655,0,0,0,0,1,0,0,91,91,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,238,238,0,0,0,0,1,0,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,108,101,0,0,0,0,0.94,0.06,0,66,66,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,543,543,0,0,0,0,1,0,0,69,69,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,322,318,0,0,0,0,0.99,0.01,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,33,53,0,0,0,0,1,0,0.38,33,44,1,0,0.73,0.25,0,0,0,0,NORMAL
7,tcp,http,SF,272,140,0,0,0,0,5,0,0,0,0,0,0,1,4,62,0.5,0.5,0,0.97,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,37,40,0,0,0,0,1,0,0.07,37,44,1,0,0.82,0.16,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,541,541,0,0,0,0,1,0,0,61,61,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,150,176,0,0,0,0,1,0,0.15,34,35,1,0,0.94,0.03,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,4,4,0,0,0,0,1,0,0,4,4,1,0,0.8,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,588,587,0,0,0,0,1,0,0,62,61,0.98,0.02,0.98,0,0,0,0,0,NORMAL
30,tcp,http_443,SF,6998,7845,0,0,0,2,8,0,0,0,0,1,0,0.75,2,57,1,0,0,0.96,0,0,0,0,NORMAL
0,tcp,other,OTH,66,0,0,0,0,20,4,0,0,0,0,0.2,0.8,0,49,14,0.29,0.71,0.93,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,211,211,0,0,0,0,1,0,0,82,82,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,38,38,0,0,0,0,1,0,0,38,38,1,0,0.97,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,114,114,0,0,0,0,1,0,0,66,66,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,479,479,0,0,0,0,1,0,0,58,58,1,0,0.98,0,0,0,0,0,NORMAL
6,tcp,http_443,SF,1895,4915,0,0,0,0,0,0,0,0,0,0,0,0,1,34,1,0,0,0.97,0,0,0,0,NORMAL
0,tcp,other,OTH,260,0,0,0,0,4,3,0,0,0,0,0.75,0.25,0,15,14,0.93,0.07,0.93,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,66,0,0,0,0,310,312,0,0,0,0,1,0,0.01,34,34,1,0,0.97,0,0,0,0,0,NORMAL
16,tcp,http_443,RSTO,2610,7258,0,0,0,0,23,0,0,0,0,0,0,1,0,22,0,0,0,1,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,661,660,0,0,0,0,1,0,0,91,91,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,74,0,0,0,0,116,119,0,0,0,0,1,0,0.03,28,28,1,0,0.97,0,0,0,0,0,NORMAL
1,tcp,http_443,RSTO,1675,6542,0,0,0,1,187,1,0.24,0,0,1,0,0.99,1,37,1,0,0,0.97,1,0.32,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,409,409,0,0,0,0,1,0,0,63,63,1,0,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,84,83,0,0,0,0,0.99,0.01,0,66,65,0.98,0.02,0.98,0,0,0,0,0,NORMAL
0,tcp,private,OTH,112,0,0,0,0,19,16,0,0,0,0,0.84,0.16,0,62,50,0.81,0.19,0.96,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,1015,0,0,0,0,0,71,0,0,0,0,0,0,1,0,43,0,0,0,1,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,208,208,0,0,0,0,1,0,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,other,OTH,66,0,0,0,0,11,3,0,0,0,0,0.27,0.73,0,56,3,0.05,0.95,0.75,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,21,21,0,0,0,0,1,0,0,70,70,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,1464,0,0,0,0,220,218,0,0,0,0,0.99,0.01,0,67,67,1,0,0.99,0,0,0,0,0,NORMAL
0,tcp,private,OTH,66,0,0,0,0,4,3,0,0,0,0,0.75,0.25,0,44,25,0.57,0.43,0.96,0,0,0,0,0,NORMAL
0,tcp,http_443,OTH,60,0,0,0,0,114,131,0,0,0,0,1,0,0.13,33,33,1,0,0.97,0,0,0,0,0,NORMAL
