% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,7-9,12,17,27,34-35,40'

@attribute total_fpackets numeric
@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute std_bpktl numeric
@attribute min_biat numeric
@attribute mean_idle numeric
@attribute fpsh_cnt numeric
@attribute bpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
4796,2948,114,52,10,2,1155638,4783,1,HIGH_RATE
7408,1500,41,52,9,2,0,7404,1,HIGH_RATE
1225,2068,170,52,5,2,0,1219,0,HIGH_RATE
6178,2948,143,52,9,2,1107195,6154,1,HIGH_RATE
1177,2948,245,52,6,4,0,1170,0,HIGH_RATE
2848,2948,173,52,13,1,3624635,2825,1,HIGH_RATE
2153,2248,166,52,6,2,0,2144,0,HIGH_RATE
10312,2948,106,52,7,2,1082911,10288,1,HIGH_RATE
5785,2948,109,52,10,2,1143667,5771,1,HIGH_RATE
2428,1924,108,52,5,34,1148392,2424,0,HIGH_RATE
444,1500,133,52,5,2,0,440,0,HIGH_RATE
7339,2800,48,52,8,5,0,7334,1,HIGH_RATE
8410,2692,62,52,8,2,0,8406,1,HIGH_RATE
8177,2368,57,52,8,2,0,8173,1,HIGH_RATE
3134,1720,105,52,14,2,1090221,3127,1,HIGH_RATE
3030,1500,38,52,14,7,0,3026,1,HIGH_RATE
2417,1828,56,52,18,34,0,2414,1,HIGH_RATE
3448,2948,141,52,12,2,1116981,3436,1,HIGH_RATE
2853,1912,122,52,15,2,1105402,2844,1,HIGH_RATE
3182,1732,45,52,13,33,0,3178,1,HIGH_RATE
5931,2948,100,52,10,2,1224259,5915,1,HIGH_RATE
4641,2872,139,52,10,2,0,4623,1,HIGH_RATE
5942,2948,110,52,9,2,1182632,5926,1,HIGH_RATE
1172,2948,280,52,5,2,3882968,1155,0,HIGH_RATE
4922,1804,122,52,10,2,0,4902,1,HIGH_RATE
8720,2764,55,52,8,2,0,8716,1,HIGH_RATE
11641,2800,41,52,6,2,0,11636,1,HIGH_RATE
4415,2512,122,52,11,2,1124742,4404,1,HIGH_RATE
10850,2824,44,52,6,2,0,10845,1,HIGH_RATE
2355,2948,176,52,5,3,0,2345,0,HIGH_RATE
189,328,46,52,4,2,0,187,0,HIGH_RATE
900,2948,243,52,5,3,0,891,0,HIGH_RATE
9,1500,479,60,0,0,2986604,5,0,HIGH_RATE
12115,76,1,52,9,7,0,12111,2,HIGH_RATE
18,328,121,60,0,0,2432205,16,0,HIGH_RATE
1269,2948,214,52,6,32,0,1257,0,HIGH_RATE
2960,2536,60,52,13,74,0,2957,1,HIGH_RATE
5404,2948,146,52,10,2,1105613,5384,1,HIGH_RATE
8035,2236,43,52,9,5,0,8031,1,HIGH_RATE
11066,2512,79,40,7,2,1174472,11048,1,HIGH_RATE
1184,2200,209,52,6,2,0,1174,0,HIGH_RATE
1726,1500,122,52,6,2,0,1721,0,HIGH_RATE
1872,1500,125,52,6,2,1093706,1867,0,HIGH_RATE
4978,2452,129,52,10,2,1111505,4967,1,HIGH_RATE
5015,2812,119,52,10,2,1116629,5005,1,HIGH_RATE
1380,1672,209,52,6,2,0,1361,0,HIGH_RATE
2538,1500,109,52,5,2,1147883,2532,0,HIGH_RATE
15370,760,8,52,4,47,0,15367,1,HIGH_RATE
11898,1768,24,52,6,1,0,11895,1,HIGH_RATE
2074,2948,201,52,5,2,0,2060,0,HIGH_RATE
11498,1804,25,52,7,40,0,11495,1,HIGH_RATE
2161,2948,165,52,5,2,0,2152,0,HIGH_RATE
1933,2948,167,52,18,1,1082859,1925,1,HIGH_RATE
2352,2948,140,52,5,2,1146253,2344,0,HIGH_RATE
10949,2948,95,52,7,1,1117647,10933,1,HIGH_RATE
2163,2948,154,52,5,2,1148401,2157,0,HIGH_RATE
6992,2716,51,52,8,3,0,6987,1,HIGH_RATE
10958,2320,27,52,7,5,0,10955,1,HIGH_RATE
5866,2948,106,52,10,1,1107413,5854,1,HIGH_RATE
6165,2948,121,52,10,2,1082970,6146,1,HIGH_RATE
2324,1500,128,52,5,2,1144395,2314,0,HIGH_RATE
1751,2948,175,52,5,2,1084382,1742,0,HIGH_RATE
1452,2948,192,52,6,2,0,1440,0,HIGH_RATE
1689,2948,201,52,6,2,0,1678,0,HIGH_RATE
10687,2948,97,52,7,1,1100189,10668,1,HIGH_RATE
10,1500,454,60,0,0,2645645,5,0,HIGH_RATE
1279,2524,196,52,6,33,0,1272,0,HIGH_RATE
987,1924,132,52,5,3,0,982,0,HIGH_RATE
7570,1500,44,52,9,4,0,7561,1,HIGH_RATE
7423,2284,47,52,9,3,0,7417,1,HIGH_RATE
2964,1840,44,52,14,3,0,2961,1,HIGH_RATE
5127,2332,107,52,10,2,1168140,5115,1,HIGH_RATE
6699,2776,52,52,8,2,0,6695,1,HIGH_RATE
5818,2948,94,52,10,2,1145860,5805,1,HIGH_RATE
653,1552,124,52,6,3,0,650,0,HIGH_RATE
10557,76,0,52,6,6,0,10554,1,HIGH_RATE
2498,2948,125,52,6,2,1148078,2493,0,HIGH_RATE
2757,2948,163,52,15,2,1082243,2741,1,HIGH_RATE
1834,2948,196,52,5,2,0,1821,0,HIGH_RATE
485,1500,94,52,5,3,0,482,0,HIGH_RATE
849,1500,114,52,5,2,0,845,0,HIGH_RATE
4607,2948,146,52,11,2,1145527,4586,1,HIGH_RATE
2027,2836,180,52,6,4,0,2020,0,HIGH_RATE
1968,2128,140,52,5,2,0,1962,0,HIGH_RATE
2212,2236,171,52,6,2,0,2200,0,HIGH_RATE
7189,2416,46,52,9,2,0,7186,1,HIGH_RATE
4925,2584,146,52,10,2,0,4907,1,HIGH_RATE
2105,2948,176,52,6,31,0,2092,0,HIGH_RATE
1289,2548,169,52,6,2,0,1283,0,HIGH_RATE
1068,2164,170,52,6,30,0,1063,0,HIGH_RATE
11801,2512,32,52,7,2,0,11798,1,HIGH_RATE
1821,2948,210,52,6,2,0,1811,0,HIGH_RATE
5408,2948,108,52,10,2,1169653,5394,1,HIGH_RATE
970,2948,237,52,5,2,0,960,0,HIGH_RATE
11172,2948,50,52,7,2,0,11167,1,HIGH_RATE
2113,2572,204,52,5,2,0,2099,0,HIGH_RATE
8217,2272,41,52,9,2,0,8214,1,HIGH_RATE
8301,2860,54,52,7,22,0,8297,1,HIGH_RATE
2104,1936,195,52,6,2,0,2093,0,HIGH_RATE
1890,2452,138,52,5,3,1081900,1885,0,HIGH_RATE
2284,2144,133,52,5,13,1148250,2277,0,HIGH_RATE
3004,1500,43,52,13,50,0,2999,1,HIGH_RATE
9707,2848,46,52,7,1,0,9702,1,HIGH_RATE
