% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,7,21,26,30,40'

@attribute total_fvolume numeric
@attribute max_fpktl numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_fpackets numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
49404,124,1966647,0,769,HIGH_RATE
196712,292,5683563,0,3039,HIGH_RATE
40316,268,12489582,1938160,304,HIGH_RATE
353972,388,15970123,0,5475,HIGH_RATE
179552,352,5173174,0,2763,HIGH_RATE
101456,388,7997045,0,1542,HIGH_RATE
266888,400,7719712,0,4131,HIGH_RATE
28588,100,900080,0,446,HIGH_RATE
592724,280,28675716,0,9189,HIGH_RATE
7096,220,1687830,0,107,HIGH_RATE
35124,1500,11957947,1938198,243,HIGH_RATE
33464,172,11967357,1960749,255,HIGH_RATE
26080,148,11134237,1766833,132,HIGH_RATE
306352,256,16157041,0,4739,HIGH_RATE
22236,172,3265078,0,346,HIGH_RATE
309896,388,16182972,0,4785,HIGH_RATE
27588,1500,12021649,1414611,133,HIGH_RATE
25172,124,13509528,4042392,195,HIGH_RATE
37528,220,12999422,1421307,190,HIGH_RATE
36608,184,13723228,1420954,187,HIGH_RATE
109504,1500,7820115,0,1640,HIGH_RATE
34812,1500,12059682,1938692,233,HIGH_RATE
106308,640,8175000,0,1618,HIGH_RATE
95152,1500,7565917,0,1394,HIGH_RATE
314516,244,15871975,0,4860,HIGH_RATE
67400,256,5812846,0,1023,HIGH_RATE
26792,220,13723134,1422922,137,HIGH_RATE
15480,292,5453505,0,229,HIGH_RATE
116520,376,7796312,0,1792,HIGH_RATE
124060,1500,7998953,0,1865,HIGH_RATE
120836,820,8428284,0,1821,HIGH_RATE
101008,1168,7828778,0,1484,HIGH_RATE
436940,952,23577892,0,6768,HIGH_RATE
13380,148,1467912,0,208,HIGH_RATE
108356,496,7736741,0,1638,HIGH_RATE
86004,460,2656591,0,1321,HIGH_RATE
8748,184,2260309,0,133,HIGH_RATE
237296,436,6708903,0,3666,HIGH_RATE
111432,316,7873382,0,1702,HIGH_RATE
96976,508,7477826,0,1460,HIGH_RATE
102908,652,8165918,0,1545,HIGH_RATE
25236,1500,10973826,1419923,113,HIGH_RATE
489680,868,25090943,0,7587,HIGH_RATE
130828,256,5444001,0,2033,HIGH_RATE
239572,484,16879127,0,3692,HIGH_RATE
296364,208,15814670,0,4588,HIGH_RATE
360052,736,19994708,0,5543,HIGH_RATE
3696,64,1132639,0,58,HIGH_RATE
65672,340,5881225,0,984,HIGH_RATE
113756,640,8835339,0,1731,HIGH_RATE
545548,496,26608160,0,8450,HIGH_RATE
9344,100,2187107,0,144,HIGH_RATE
328156,232,16183560,0,5081,HIGH_RATE
4704,88,1314095,0,73,HIGH_RATE
10488,88,3728310,0,163,HIGH_RATE
40124,208,1120441,0,624,HIGH_RATE
106196,964,7775259,0,1587,HIGH_RATE
35588,184,22835317,1210774,67,HIGH_RATE
211900,460,16850449,0,3254,HIGH_RATE
17308,172,1432874,0,269,HIGH_RATE
10272,184,1842086,0,157,HIGH_RATE
124388,496,8274562,0,1902,HIGH_RATE
8984,148,2217095,0,138,HIGH_RATE
109432,1500,8000897,0,1637,HIGH_RATE
333748,388,16121778,0,5153,HIGH_RATE
13540,172,824703,0,209,HIGH_RATE
29584,1500,10747730,1016386,95,HIGH_RATE
156,78,751980,0,2,HIGH_RATE
339604,328,9233697,0,5270,HIGH_RATE
58388,292,7214803,1233565,453,HIGH_RATE
319368,388,16670439,0,4933,HIGH_RATE
43328,292,6564503,1240167,336,HIGH_RATE
26136,184,12333618,1421892,134,HIGH_RATE
251580,316,7207879,0,3895,HIGH_RATE
327512,388,15949805,0,5064,HIGH_RATE
215496,340,6188208,0,3328,HIGH_RATE
70680,304,7783813,1192428,548,HIGH_RATE
114532,1500,7954262,0,1706,HIGH_RATE
105372,496,7996291,0,1603,HIGH_RATE
122648,484,7833492,0,1878,HIGH_RATE
279888,352,15487830,0,4345,HIGH_RATE
324852,388,16445336,0,5020,HIGH_RATE
126796,1456,8350799,0,1889,HIGH_RATE
106708,376,7473566,0,1631,HIGH_RATE
117904,496,7832915,0,1796,HIGH_RATE
