% isAttack tcpFlood:	1333
% isAttack httpFlood:	1333
% isAttack udpFlood:	372
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2,9,17,20,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {tcpFlood,httpFlood,udpFlood}

@data
udp,18,18,0,udpFlood
udp,109,40,0,udpFlood
udp,151,33,0,udpFlood
udp,114,33,0,udpFlood
udp,113,33,0,udpFlood
udp,106,39,0,udpFlood
udp,121,33,0,udpFlood
udp,117,33,0,udpFlood
udp,105,33,0,udpFlood
udp,111,34,0,udpFlood
udp,41,36,0,udpFlood
udp,86,40,0,udpFlood
udp,66,26,0,udpFlood
udp,116,33,0,udpFlood
udp,6,6,0,udpFlood
udp,138,15,0,udpFlood
udp,112,33,0,udpFlood
udp,96,43,0,udpFlood
udp,128,33,0,udpFlood
udp,116,34,0,udpFlood
udp,136,33,0,udpFlood
udp,160,33,0,udpFlood
udp,141,34,0,udpFlood
udp,131,33,0,udpFlood
udp,130,33,0,udpFlood
udp,115,34,0,udpFlood
udp,105,33,0,udpFlood
udp,130,33,0,udpFlood
udp,97,43,0,udpFlood
udp,142,33,0,udpFlood
udp,2,2,0,udpFlood
udp,125,33,0,udpFlood
udp,153,33,0,udpFlood
udp,137,11,0,udpFlood
udp,120,33,0,udpFlood
udp,141,25,0,udpFlood
udp,37,34,0,udpFlood
udp,72,28,0,udpFlood
udp,61,25,0,udpFlood
udp,104,34,0,udpFlood
udp,108,33,0,udpFlood
udp,101,40,0,udpFlood
udp,110,33,0,udpFlood
udp,34,31,0,udpFlood
udp,135,33,0,udpFlood
udp,105,40,0,udpFlood
udp,142,33,0,udpFlood
udp,159,33,0,udpFlood
udp,153,33,0,udpFlood
udp,115,33,0,udpFlood
udp,141,27,0,udpFlood
udp,38,35,0,udpFlood
udp,15,15,0,udpFlood
udp,35,32,0,udpFlood
udp,113,33,0,udpFlood
udp,112,33,0,udpFlood
udp,142,33,0,udpFlood
udp,114,33,0,udpFlood
udp,162,33,0,udpFlood
udp,0,0,0,udpFlood
udp,115,37,0,udpFlood
udp,153,33,0,udpFlood
udp,146,33,0,udpFlood
udp,43,32,0,udpFlood
udp,108,33,0,udpFlood
udp,112,33,0,udpFlood
udp,108,33,0,udpFlood
udp,82,38,0,udpFlood
udp,105,34,0,udpFlood
udp,158,33,0,udpFlood
udp,125,33,0,udpFlood
udp,110,33,0,udpFlood
udp,84,40,0,udpFlood
udp,108,33,0,udpFlood
udp,140,33,0,udpFlood
udp,119,33,0,udpFlood
udp,45,22,0,udpFlood
udp,93,42,0,udpFlood
udp,47,22,0,udpFlood
udp,113,34,0,udpFlood
udp,118,33,0,udpFlood
udp,142,33,0,udpFlood
udp,146,33,0,udpFlood
udp,143,33,0,udpFlood
udp,113,33,0,udpFlood
udp,131,33,0,udpFlood
udp,145,33,0,udpFlood
udp,152,33,0,udpFlood
udp,7,7,0,udpFlood
udp,117,34,0,udpFlood
udp,80,41,0,udpFlood
udp,125,33,0,udpFlood
udp,20,20,0,udpFlood
udp,138,19,0,udpFlood
udp,141,25,0,udpFlood
udp,103,34,0,udpFlood
udp,138,33,0,udpFlood
udp,109,33,0,udpFlood
udp,16,16,0,udpFlood
udp,102,34,0,udpFlood
udp,81,41,0,udpFlood
udp,153,33,0,udpFlood
udp,40,37,0,udpFlood
udp,140,21,0,udpFlood
udp,87,41,0,udpFlood
udp,145,33,0,udpFlood
udp,80,42,0,udpFlood
udp,70,28,0,udpFlood
udp,134,33,0,udpFlood
udp,129,33,0,udpFlood
udp,126,33,0,udpFlood
udp,103,40,0,udpFlood
udp,142,33,0,udpFlood
udp,141,33,0,udpFlood
udp,141,30,0,udpFlood
udp,65,26,0,udpFlood
udp,131,33,0,udpFlood
udp,112,33,0,udpFlood
udp,153,33,0,udpFlood
udp,137,11,0,udpFlood
udp,64,26,0,udpFlood
udp,42,34,0,udpFlood
udp,141,31,0,udpFlood
udp,32,29,0,udpFlood
udp,24,24,0,udpFlood
udp,143,33,0,udpFlood
udp,114,33,0,udpFlood
udp,151,33,0,udpFlood
udp,54,23,0,udpFlood
udp,49,21,0,udpFlood
udp,146,33,0,udpFlood
udp,117,34,0,udpFlood
udp,110,34,0,udpFlood
udp,108,33,0,udpFlood
udp,142,33,0,udpFlood
udp,142,33,0,udpFlood
udp,133,33,0,udpFlood
udp,110,33,0,udpFlood
udp,8,8,0,udpFlood
udp,142,33,0,udpFlood
udp,79,41,0,udpFlood
udp,125,33,0,udpFlood
tcp,129,100,0,httpFlood
tcp,133,100,0,httpFlood
tcp,93,5,0,httpFlood
tcp,878,100,0,httpFlood
tcp,688,99,0,httpFlood
tcp,22,22,0,httpFlood
tcp,139,30,0,httpFlood
udp,125,33,0,udpFlood
tcp,180,33,0,httpFlood
tcp,142,32,0,httpFlood
tcp,505,100,0,httpFlood
tcp,532,100,0,httpFlood
tcp,143,100,0,httpFlood
tcp,100,100,0,httpFlood
tcp,646,100,0,httpFlood
tcp,148,33,0,httpFlood
tcp,177,33,0,httpFlood
tcp,125,100,0,httpFlood
tcp,166,33,0,httpFlood
tcp,520,100,0,httpFlood
tcp,726,100,0,httpFlood
tcp,498,100,0,httpFlood
tcp,145,100,0,httpFlood
tcp,356,100,0,httpFlood
tcp,105,100,0,httpFlood
tcp,147,100,0,httpFlood
tcp,178,78,0.56,httpFlood
tcp,753,100,0,httpFlood
tcp,183,100,0,httpFlood
tcp,942,100,0,httpFlood
tcp,109,100,0,httpFlood
tcp,980,100,0,httpFlood
tcp,136,100,0,httpFlood
udp,154,33,0,udpFlood
tcp,630,99,0,httpFlood
tcp,792,100,0,httpFlood
tcp,275,100,0,httpFlood
tcp,165,100,0,httpFlood
tcp,598,99,0,httpFlood
tcp,814,100,0,httpFlood
tcp,193,100,0,httpFlood
tcp,88,88,0,httpFlood
tcp,143,32,0,httpFlood
tcp,52,35,0,httpFlood
tcp,830,100,0,httpFlood
tcp,533,100,0,httpFlood
tcp,181,100,0,httpFlood
tcp,178,33,0,httpFlood
tcp,195,100,0,httpFlood
tcp,116,100,0,httpFlood
tcp,160,100,0,httpFlood
tcp,150,100,0,httpFlood
tcp,177,33,0,httpFlood
tcp,278,99,0,httpFlood
tcp,776,100,0,httpFlood
udp,107,34,0,udpFlood
tcp,171,100,0,httpFlood
tcp,153,100,0,httpFlood
tcp,646,99,0,httpFlood
tcp,305,100,0,httpFlood
tcp,233,96,0.07,httpFlood
tcp,144,100,0,httpFlood
udp,106,33,0,udpFlood
tcp,148,100,0,httpFlood
tcp,52,98,0,httpFlood
udp,98,41,0,udpFlood
tcp,704,100,0,httpFlood
tcp,155,100,0,httpFlood
tcp,543,100,0,httpFlood
tcp,131,100,0,httpFlood
tcp,174,33,0,httpFlood
tcp,106,71,0,httpFlood
tcp,861,100,0,httpFlood
udp,114,33,0,udpFlood
tcp,498,100,0,httpFlood
udp,109,34,0,udpFlood
tcp,178,32,0,httpFlood
tcp,838,100,0,httpFlood
tcp,433,100,0,httpFlood
tcp,448,100,0,httpFlood
tcp,15,72,0,httpFlood
tcp,40,36,0,httpFlood
tcp,743,100,0,httpFlood
udp,93,42,0,udpFlood
tcp,178,33,0,httpFlood
tcp,563,100,0,httpFlood
tcp,20,20,0,httpFlood
tcp,406,100,0,httpFlood
tcp,263,98,0,httpFlood
tcp,130,100,0,httpFlood
tcp,174,33,0,httpFlood
tcp,151,100,0,httpFlood
tcp,158,100,0,httpFlood
tcp,364,100,0,httpFlood
tcp,176,33,0,httpFlood
tcp,367,100,0,httpFlood
tcp,509,100,0,httpFlood
tcp,219,91,0.18,httpFlood
tcp,153,100,0,httpFlood
tcp,173,100,0,httpFlood
udp,138,11,0,udpFlood
tcp,146,100,0,httpFlood
tcp,150,100,0,httpFlood
tcp,114,100,0,httpFlood
udp,131,33,0,udpFlood
udp,148,33,0,udpFlood
tcp,166,100,0,httpFlood
tcp,324,100,0,httpFlood
tcp,146,100,0,httpFlood
tcp,207,98,0,httpFlood
udp,108,33,0,udpFlood
tcp,1,1,0,httpFlood
tcp,174,33,0,httpFlood
tcp,430,100,0,httpFlood
tcp,131,100,0,httpFlood
tcp,35,35,0,httpFlood
tcp,443,100,0,httpFlood
tcp,143,100,0,httpFlood
tcp,138,100,0,httpFlood
tcp,148,100,0,httpFlood
tcp,147,100,0,httpFlood
udp,142,33,0,udpFlood
tcp,572,100,0,httpFlood
tcp,214,90,0.22,httpFlood
tcp,168,75,0.68,httpFlood
udp,13,13,0,udpFlood
tcp,124,100,0,httpFlood
tcp,307,100,0,httpFlood
tcp,178,33,0,httpFlood
tcp,140,100,0,httpFlood
tcp,445,100,0,httpFlood
tcp,764,100,0,httpFlood
tcp,545,100,0,httpFlood
tcp,37,37,0,httpFlood
tcp,119,33,0,httpFlood
tcp,124,100,0,httpFlood
tcp,140,94,0,httpFlood
tcp,169,100,0,httpFlood
tcp,716,100,0,httpFlood
tcp,157,72,0.82,httpFlood
udp,113,33,0,udpFlood
udp,109,33,0,udpFlood
tcp,131,100,0,httpFlood
tcp,935,100,0,httpFlood
tcp,153,100,0,httpFlood
tcp,7,7,0,httpFlood
udp,141,22,0,udpFlood
tcp,314,100,0,httpFlood
udp,102,40,0,udpFlood
tcp,258,100,0,httpFlood
udp,138,33,0,udpFlood
tcp,146,100,0,httpFlood
tcp,99,100,0,httpFlood
udp,166,33,0,udpFlood
tcp,612,100,0,httpFlood
tcp,174,33,0,httpFlood
tcp,98,98,0,httpFlood
