% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,11,15,18,20,23-24,27'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
OTH,101,0,288,0,0,50,0,0,0,slowHeaders
OTH,60,0,824,0,0,46,0,0,0,slowHeaders
OTH,103,0,138,0,0,50,0,0,0,slowHeaders
OTH,66,0,427,0,0,100,0,0,0,slowHeaders
S1,74,0,135,0.98,0,100,0,1,1,slowHeaders
RSTO,1105,1019,160,0.61,0,100,0,0.4,0.4,slowHeaders
RSTO,1055,958,125,0,0,99,0,0,0,slowHeaders
OTH,90,0,155,0,0,50,0,0,0,slowHeaders
S1,370,0,651,1,0,100,0,1,1,slowHeaders
S1,370,0,71,0.96,0,100,0,0.7,0.7,slowHeaders
S1,665,140,116,0.97,0.01,96,0,0.99,0.99,slowHeaders
S1,370,0,204,0.62,0,100,0,0.31,0.31,slowHeaders
OTH,95,0,265,0,0,50,0,0,0,slowHeaders
RSTO,964,953,134,0,0,100,0,0,0,slowHeaders
OTH,66,0,357,0,0,82,0,0,0,slowHeaders
RSTO,932,953,164,0,0,100,0,0,0,slowHeaders
S1,296,0,687,1,0,100,0,1,1,slowHeaders
S1,370,0,245,1,0,100,0,1,1,slowHeaders
S1,370,0,19,0.89,0,100,0,0.91,0.91,slowHeaders
S1,370,0,570,0.51,0,100,0,1,1,slowHeaders
S1,370,0,251,0.98,0,100,0,0.99,0.99,slowHeaders
OTH,60,0,2,0,0,2,0,0,0,slowHeaders
S1,370,0,471,0.42,0,100,0,0.4,0.4,slowHeaders
RSTO,1026,953,164,0,0,100,0,0,0,slowHeaders
OTH,60,0,814,0,0,50,0,0,0,slowHeaders
OTH,66,0,544,0,0,100,0,0,0,slowHeaders
OTH,60,0,974,0,0,53,0,0,0,slowHeaders
S1,400,140,25,1,0.04,92,0.01,0.97,0.98,slowHeaders
S1,665,140,64,0.95,0.02,93,0.01,0.96,0.97,slowHeaders
OTH,66,0,381,0,0,100,0,0,0,slowHeaders
RSTO,1083,1019,163,0.6,0,100,0,0.37,0.37,slowHeaders
OTH,60,0,1065,0,0,55,0,0,0,slowHeaders
OTH,60,0,649,0,0,48,0,0,0,slowHeaders
RSTO,985,1019,185,0,0,100,0,0,0,slowHeaders
OTH,122,0,160,0,0,50,0,0,0,slowHeaders
S1,370,0,292,0.31,0,100,0,0.9,0.9,slowHeaders
S1,370,0,44,0.98,0,100,0,0.77,0.77,slowHeaders
OTH,60,0,8,0,0,64,0,0,0,slowHeaders
S1,296,0,496,1,0,99,0,1,1,slowHeaders
S1,370,0,516,0.46,0,100,0,0.56,0.56,slowHeaders
S1,608,272,112,1,0.01,100,0,1,1,slowHeaders
S1,370,0,298,1,0,99,0,1,1,slowHeaders
S1,370,0,473,0.42,0,100,0,0.42,0.42,slowHeaders
S1,370,0,314,1,0,99,0,1,1,slowHeaders
RSTO,4323,838,9,0,0,61,0,0,0,slowHeaders
S1,74,0,406,1,0,100,0,1,1,slowHeaders
S1,222,0,428,1,0,100,0,1,1,slowHeaders
OTH,66,0,329,0,0,75,0,0,0,slowHeaders
S1,148,0,192,0.94,0,100,0,1,1,slowHeaders
OTH,66,0,505,0,0,84,0,0,0,slowHeaders
OTH,60,0,964,0,0,51,0,0,0,slowHeaders
S2,4204,148,1,1,0,100,0,0.03,0.03,slowHeaders
OTH,66,0,289,0,0,55,0,0,0,slowHeaders
S1,296,0,680,1,0,100,0,1,1,slowHeaders
OTH,66,0,2,0,0,56,0,0,0,slowHeaders
S1,370,0,85,0.96,0,100,0,0.84,0.84,slowHeaders
RSTO,825,887,54,0,0,82,0,0,0,slowHeaders
RSTO,1105,1019,147,0.66,0,100,0,0.53,0.53,slowHeaders
OTH,94,0,127,0,0,50,0,0,0,slowHeaders
RSTO,965,953,106,0,0,100,0,0,0,slowHeaders
OTH,116,0,163,0,0,50,0,0,0,slowHeaders
RSTO,993,1019,80,0,0,92,0,0,0,slowHeaders
S1,296,0,651,1,0,100,0,1,1,slowHeaders
OTH,93,0,80,0,0,50,0,0,0,slowHeaders
S1,74,0,234,1,0,100,0,1,1,slowHeaders
RSTO,1035,953,226,0.93,0,100,0,0.86,0.86,slowHeaders
S1,370,0,454,0.39,0,100,0,0.3,0.3,slowHeaders
RSTO,1079,958,65,0,0,86,0.01,0,0,slowHeaders
S1,370,0,397,0.98,0,100,0,0.97,0.97,slowHeaders
S1,370,0,323,0.87,0,100,0,0.6,0.6,slowHeaders
OTH,60,0,908,0,0,20,0,0,0,slowHeaders
OTH,101,0,81,0,0,50,0,0,0,slowHeaders
OTH,60,0,1082,0,0,51,0,0,0,slowHeaders
S1,370,0,182,0.99,0,100,0,1,1,slowHeaders
OTH,98,0,57,0,0,50,0,0,0,slowHeaders
OTH,94,0,34,0,0,42,0,0,0,slowHeaders
RSTO,940,953,140,0,0,100,0,0,0,slowHeaders
OTH,78,0,35,0,0,54,0,0,0,slowHeaders
S1,370,0,74,0.96,0,100,0,0.73,0.73,slowHeaders
S1,222,0,204,1,0,99,0,1,1,slowHeaders
RSTO,1115,1024,168,0,0,99,0,0,0,slowHeaders
OTH,112,0,183,0,0,50,0,0,0,slowHeaders
RSTO,992,953,3,0,0,4,0,0,0,slowHeaders
S1,370,0,28,0.96,0,100,0,0.65,0.65,slowHeaders
S1,370,0,785,0.64,0,100,0,1,1,slowHeaders
S1,370,0,210,1,0,100,0,1,1,slowHeaders
OTH,60,0,621,0,0,79,0,0,0,slowHeaders
OTH,60,0,849,0,0,49,0,0,0,slowHeaders
OTH,66,0,425,0,0,100,0,0,0,slowHeaders
S1,370,0,287,0.2,0,100,0,0.58,0.58,slowHeaders
S1,296,0,410,1,0,100,0,1,1,slowHeaders
S1,370,0,389,0.42,0,100,0,1,1,slowHeaders
S1,370,0,58,0.93,0,100,0,0.94,0.94,slowHeaders
S1,370,0,323,1,0,100,0,1,1,slowHeaders
S1,370,0,183,0.99,0,100,0,1,1,slowHeaders
OTH,60,0,931,0,0,31,0,0,0,slowHeaders
OTH,66,0,424,0,0,100,0,0,0,slowHeaders
RSTO,1084,958,72,0,0,89,0.01,0,0,slowHeaders
RSTO,1021,953,34,0,0,62,0,0,0,slowHeaders
OTH,66,0,419,0,0,100,0,0,0,slowHeaders
OTH,94,0,99,0,0,50,0,0,0,slowHeaders
RSTO,951,953,124,0,0,100,0,0,0,slowHeaders
RSTO,1037,1019,190,0,0,100,0,0,0,slowHeaders
OTH,60,0,987,0,0,49,0,0,0,slowHeaders
OTH,60,0,843,0,0,50,0,0,0,slowHeaders
OTH,60,0,832,0,0,51,0,0,0,slowHeaders
OTH,66,0,556,0,0,100,0,0,0,slowHeaders
S1,296,0,572,1,0,99,0,1,1,slowHeaders
S1,296,0,522,1,0,99,0,1,1,slowHeaders
OTH,66,0,320,0,0,70,0,0,0,slowHeaders
OTH,60,0,773,0,0,47,0,0,0,slowHeaders
S1,370,0,517,1,0,100,0,1,1,slowHeaders
OTH,60,0,606,0,0,29,0,0,0,slowHeaders
RSTO,1039,953,31,0,0,59,0,0,0,slowHeaders
S1,148,0,112,0.89,0,100,0,1,1,slowHeaders
OTH,60,0,966,0,0,51,0,0,0,slowHeaders
OTH,60,0,345,0,0,77,0,0,0,slowHeaders
OTH,66,0,320,0,0,70,0,0,0,slowHeaders
OTH,66,0,520,0,0,100,0,0,0,slowHeaders
OTH,66,0,292,0,0,56,0,0,0,slowHeaders
RSTO,986,953,130,0,0,100,0,0,0,slowHeaders
OTH,60,0,1117,0,0,60,0,0,0,slowHeaders
S1,370,0,30,0.9,0,100,0,0.29,0.29,slowHeaders
OTH,92,0,36,0,0,44,0,0,0,slowHeaders
RSTO,1078,1019,98,0,0,100,0,0,0,slowHeaders
OTH,91,0,218,0,0,50,0,0,0,slowHeaders
S1,400,140,70,1,0.01,92,0.01,0.97,0.98,slowHeaders
OTH,105,0,65,0,0,50,0,0,0,slowHeaders
RSTO,1527,953,361,0.98,0,100,0,0.97,0.97,slowHeaders
OTH,93,0,276,0,0,50,0,0,0,slowHeaders
OTH,60,0,865,0,0,66,0,0,0,slowHeaders
S1,222,0,407,1,0,100,0,1,1,slowHeaders
S1,370,0,216,0.64,0,100,0,0.43,0.43,slowHeaders
S1,74,0,533,1,0,99,0,1,1,slowHeaders
OTH,60,0,628,0,0,46,0,0,0,slowHeaders
S1,370,0,285,0.29,0,100,0,0.83,0.83,slowHeaders
S1,370,0,551,0.49,0,100,0,0.79,0.79,slowHeaders
OTH,60,0,1110,0,0,52,0,0,0,slowHeaders
OTH,60,0,866,0,0,52,0,0,0,slowHeaders
OTH,74,0,141,0,0,50,0,0,0,slowHeaders
S1,148,0,102,0.88,0,100,0,0.9,0.9,slowHeaders
OTH,60,0,654,0,0,49,0,0,0,slowHeaders
S1,779,206,0,0,1,64,0.02,0,0,slowHeaders
OTH,60,0,1132,0,0,61,0,0,0,slowHeaders
S1,370,0,311,0.34,0,100,0,0.98,0.98,slowHeaders
S1,370,0,188,0.99,0,100,0,1,1,slowHeaders
OTH,60,0,842,0,0,49,0,0,0,slowHeaders
OTH,60,0,1016,0,0,47,0,0,0,slowHeaders
RSTO,1059,1019,105,0,0,100,0,0,0,slowHeaders
OTH,66,0,350,0,0,79,0,0,0,slowHeaders
OTH,66,0,454,0,0,80,0,0,0,slowHeaders
S1,222,0,538,1,0,100,0,1,1,slowHeaders
OTH,503,0,1,0,0,20,0,0,0,slowHeaders
RSTO,1027,953,90,0,0,91,0,0,0,slowHeaders
OTH,97,0,214,0,0,50,0,0,0,slowHeaders
S1,296,0,698,1,0,100,0,1,1,slowHeaders
S1,370,0,398,0.43,0,100,0,1,1,slowHeaders
OTH,177,0,486,0,0,100,0,0,0,slowHeaders
OTH,99,0,160,0,0,50,0,0,0,slowHeaders
S1,370,0,296,0.24,0,100,0,0.71,0.71,slowHeaders
S1,296,0,675,1,0,100,0,1,1,slowHeaders
OTH,79,0,49,0,0,57,0,0,0,slowHeaders
RSTO,929,953,32,0,0,33,0,0,0,slowHeaders
S1,370,0,242,0.15,0,100,0,0.36,0.36,slowHeaders
OTH,66,0,594,0,0,93,0,0,0,slowHeaders
RSTO,933,953,36,0,0,67,0,0,0,slowHeaders
RSTO,1051,1019,139,0,0,100,0,0,0,slowHeaders
OTH,60,0,837,0,0,50,0,0,0,slowHeaders
OTH,60,0,903,0,0,47,0,0,0,slowHeaders
OTH,66,0,357,0,0,83,0,0,0,slowHeaders
S1,370,0,280,0.98,0,100,0,0.97,0.97,slowHeaders
S1,370,0,530,0.54,0,100,0,1,1,slowHeaders
S1,370,0,130,0.99,0,100,0,1,1,slowHeaders
OTH,60,0,1064,0,0,48,0,0,0,slowHeaders
S1,296,0,411,1,0,100,0,1,1,slowHeaders
OTH,60,0,951,0,0,52,0,0,0,slowHeaders
OTH,97,0,269,0,0,50,0,0,0,slowHeaders
S1,612,272,128,1,0.01,99,0,1,1,slowHeaders
S1,370,0,130,0.97,0,100,0,0.98,0.98,slowHeaders
RSTO,1095,1019,146,0,0,100,0,0,0,slowHeaders
OTH,60,0,1031,0,0,43,0,0,0,slowHeaders
OTH,100,0,220,0,0,50,0,0,0,slowHeaders
OTH,60,0,1044,0,0,50,0,0,0,slowHeaders
OTH,104,0,29,0,0,55,0,0,0,slowHeaders
RSTO,1096,958,18,0,0,62,0.02,0,0,slowHeaders
RSTO,927,953,108,0,0,100,0,0,0,slowHeaders
S1,370,0,382,1,0,100,0,1,1,slowHeaders
S1,370,0,419,0.98,0,100,0,0.97,0.97,slowHeaders
RSTO,1051,1019,132,0.73,0,100,0,0.67,0.67,slowHeaders
OTH,60,0,901,0,0,13,0,0,0,slowHeaders
OTH,96,0,163,0,0,50,0,0,0,slowHeaders
OTH,60,0,7,0,0,64,0,0,0,slowHeaders
RSTO,1127,958,162,0,0,99,0,0,0,slowHeaders
RSTO,1044,1019,100,0,0,100,0,0,0,slowHeaders
RSTO,942,953,117,0,0,100,0,0,0,slowHeaders
OTH,322,0,3,0,0,8,0,0,0,slowHeaders
