% isAttack slowRead:	1333
% isAttack slowHeaders:	1333
% isAttack slowBody:	1333
@relation 'Slowrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,11,15,18,20,23-24,27'

@attribute flag {SF,S0,REJ,RSTR,SH,RSTO,S1,RSTOS0,S3,S2,OTH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {slowRead,slowHeaders,slowBody}

@data
S1,370,0,287,0.98,0,100,0,0.97,0.97,slowHeaders
OTH,98,0,106,0,0,50,0,0,0,slowRead
RSTO,1101,1019,39,0,0,40,0,0,0,slowHeaders
S1,74,0,23,0.91,0.04,97,0.01,0.97,0.98,slowHeaders
S1,370,0,265,0.15,0,100,0,0.4,0.4,slowHeaders
S1,296,0,658,1,0,100,0,1,1,slowRead
OTH,66,0,579,0,0,75,0,0,0,slowRead
OTH,113,0,227,0,0,50,0,0,0,slowRead
RSTO,1034,1820,431,0,0,100,0,0,0,slowRead
OTH,110,0,231,0,0,50,0,0,0,slowRead
OTH,66,0,510,0,0,95,0,0,0,slowRead
OTH,60,0,1171,0,0,47,0,0,0,slowRead
OTH,101,0,150,0,0,50,0,0,0,slowRead
OTH,60,0,1037,0,0,50,0,0,0,slowRead
S1,148,0,184,0.93,0,100,0,1,1,slowHeaders
S1,296,0,178,1,0,100,0,1,1,slowRead
OTH,60,0,911,0,0,49,0,0,0,slowHeaders
OTH,60,0,4,0,0,7,0,0,0,slowRead
OTH,60,0,762,0,0,52,0,0,0,slowHeaders
S1,74,0,356,1,0,100,0,1,1,slowHeaders
S1,296,0,261,1,0,100,0,1,1,slowRead
RSTO,1300,1820,241,0,0,100,0,0,0,slowRead
RSTO,3968,689,291,0.88,0,100,0,0.99,0.99,slowHeaders
RSTO,1139,1754,506,0,0,100,0,0,0,slowRead
OTH,60,0,611,0,0,87,0,0,0,slowHeaders
S1,222,0,863,1,0,100,0,1,1,slowRead
S1,222,0,626,1,0,100,0,1,1,slowRead
OTH,102,0,144,0,0,50,0,0,0,slowRead
S1,296,0,125,1,0,100,0,1,1,slowRead
RSTO,5267,760,545,0.98,0,100,0,0.95,0.95,slowRead
OTH,60,0,293,0,0,48,0,0,0,slowRead
OTH,66,0,386,0,0,85,0,0,0,slowHeaders
S1,296,0,440,1,0,100,0,1,1,slowRead
OTH,66,0,358,0,0,83,0,0,0,slowHeaders
S1,296,0,344,1,0,100,0,1,1,slowRead
S1,370,0,200,0.98,0,100,0,0.97,0.97,slowHeaders
S1,370,0,273,1,0,99,0,1,1,slowHeaders
OTH,60,0,415,0,0,89,0,0,0,slowRead
S1,836,1688,437,0.98,0,100,0,1,1,slowRead
OTH,116,0,273,0,0,50,0,0,0,slowHeaders
S1,370,0,918,0.31,0,100,0,0.95,0.95,slowRead
S1,370,0,838,0.24,0,100,0,0.95,0.95,slowRead
OTH,66,0,389,0,0,85,0,0,0,slowHeaders
S1,296,0,101,1,0,100,0,1,1,slowRead
OTH,110,0,175,0,0,50,0,0,0,slowHeaders
S1,370,0,746,0.62,0,100,0,1,1,slowHeaders
OTH,87,0,275,0,0,50,0,0,0,slowRead
OTH,102,0,14,0,0,57,0,0,0,slowRead
OTH,60,0,1073,0,0,51,0,0,0,slowHeaders
S1,148,0,80,0.89,0,91,0,0.78,0.78,slowRead
OTH,60,0,1041,0,0,48,0,0,0,slowRead
S1,296,0,86,1,0,87,0,1,1,slowRead
S1,74,0,856,0.99,0,100,0,1,1,slowRead
S1,148,0,12,0.83,0.08,98,0.01,0.95,0.96,slowRead
S1,296,0,287,1,0,100,0,1,1,slowBody
S1,665,140,374,1,0,100,0,1,1,slowHeaders
S1,148,0,589,1,0,100,0,1,1,slowBody
S1,370,0,982,0.71,0,100,0,1,1,slowRead
S1,370,0,340,0.4,0,100,0,1,1,slowBody
RSTO,1143,958,182,0,0,100,0,0,0,slowBody
OTH,108,0,5,0,0,55,0,0,0,slowHeaders
OTH,60,0,899,0,0,11,0,0,0,slowHeaders
S1,370,0,944,1,0,100,0,1,1,slowRead
S1,370,0,185,0.58,0,100,0,0.26,0.26,slowHeaders
OTH,60,0,6,0,0,61,0,0,0,slowHeaders
S1,548,140,550,0.99,0,89,0,0.99,0.99,slowBody
OTH,161,0,571,0,0,100,0,0,0,slowHeaders
RSTO,1100,1886,101,0,0,100,0,0,0,slowRead
OTH,105,0,99,0,0,50,0,0,0,slowHeaders
OTH,121,0,110,0,0,50,0,0,0,slowHeaders
OTH,262,0,1,0,0,60,0,0,0,slowBody
OTH,60,0,1075,0,0,53,0,0,0,slowBody
S1,296,0,425,1,0,100,0,1,1,slowBody
S1,296,0,600,0.54,0,100,0,1,1,slowBody
RSTO,1035,1019,110,0,0,100,0,0,0,slowHeaders
OTH,66,0,534,0,0,93,0,0,0,slowRead
S1,370,0,241,0.16,0,100,0,0.39,0.39,slowHeaders
OTH,118,0,1,0,0,1,0,0,0,slowRead
S1,296,0,58,1,0,100,0,1,1,slowBody
S1,296,0,128,1,0,100,0,1,1,slowBody
RSTO,1047,953,24,0,0,52,0,0,0,slowHeaders
S1,296,0,116,1,0,100,0,1,1,slowRead
OTH,66,0,332,0,0,76,0,0,0,slowHeaders
S1,296,0,97,1,0,100,0,1,1,slowBody
S1,148,0,472,0.99,0,100,0,1,1,slowRead
RSTO,2982,958,200,0,0,100,0,0,0,slowBody
S1,370,0,40,0.97,0,100,0,0.73,0.73,slowBody
OTH,66,0,555,0,0,80,0,0,0,slowRead
S1,296,0,136,1,0,100,0,1,1,slowRead
OTH,54,0,13,0,0,19,0,0,0,slowBody
S1,755,206,121,0.9,0.01,100,0,1,1,slowBody
RSTO,3430,1424,398,0,0,100,0,0,0,slowRead
OTH,110,0,88,0,0,50,0,0,0,slowBody
S2,1541,140,107,1,0,100,0,1,1,slowBody
S1,222,0,70,0.7,0,88,0,0.56,0.56,slowRead
S1,296,0,911,0.7,0,100,0,1,1,slowBody
OTH,60,0,622,0,0,85,0,0,0,slowBody
S1,774,206,206,0.94,0,100,0,1,1,slowBody
S1,296,0,131,1,0,100,0,1,1,slowRead
S1,296,0,234,1,0,100,0,1,1,slowRead
OTH,60,0,814,0,0,29,0,0,0,slowBody
S1,370,0,538,0.85,0,100,0,0.56,0.56,slowBody
S1,665,140,175,0.99,0.01,100,0,1,1,slowHeaders
S1,296,0,565,0.52,0,100,0,1,1,slowBody
S1,148,0,299,0.99,0,100,0,1,1,slowRead
OTH,66,0,583,0,0,91,0,0,0,slowRead
S1,548,140,629,0.99,0,100,0,1,1,slowBody
OTH,66,0,350,0,0,85,0,0,0,slowHeaders
RSTO,1139,1754,524,0,0,100,0,0,0,slowRead
RSTO,1644,1688,336,0,0,100,0,0,0,slowRead
S1,296,0,474,1,0,100,0,1,1,slowBody
S1,370,0,396,1,0,100,0,1,1,slowHeaders
S1,222,0,919,1,0,100,0,1,1,slowRead
OTH,66,0,448,0,0,80,0,0,0,slowBody
S1,762,206,183,1,0,100,0,1,1,slowBody
S2,1497,140,13,1,0,25,0,0.52,0.52,slowBody
OTH,89,0,180,0,0,50,0,0,0,slowHeaders
OTH,93,0,202,0,0,50,0,0,0,slowBody
S1,296,0,155,1,0,100,0,1,1,slowBody
OTH,60,0,844,0,0,28,0,0,0,slowRead
OTH,66,0,322,0,0,69,0,0,0,slowHeaders
S1,296,0,498,1,0,100,0,1,1,slowRead
S1,296,0,338,1,0,100,0,1,1,slowRead
S1,222,0,53,0.64,0,79,0,0.43,0.43,slowRead
OTH,66,0,532,0,0,71,0,0,0,slowBody
S1,148,0,38,0.76,0,79,0,0.37,0.37,slowRead
RSTO,2576,11980,134,0,0,54,0,0,0,slowRead
S1,370,0,246,0.17,0,100,0,0.41,0.41,slowBody
S1,370,0,58,0.98,0,100,0,0.91,0.91,slowBody
OTH,86,0,100,0,0,50,0,0,0,slowHeaders
OTH,143,0,12,0,0,20,0,0,0,slowBody
OTH,632,0,2,0,0,57,0,0,0,slowRead
OTH,60,0,966,0,0,32,0,0,0,slowRead
S1,296,0,369,1,0,100,0,1,1,slowRead
S1,370,0,264,0.73,0,100,0,0.45,0.45,slowBody
S1,296,0,688,1,0,100,0,1,1,slowRead
S1,222,0,922,1,0,100,0,1,1,slowBody
OTH,60,0,741,0,0,45,0,0,0,slowBody
OTH,66,0,477,0,0,81,0,0,0,slowHeaders
S1,370,0,700,0.59,0,100,0,1,1,slowHeaders
OTH,60,0,1084,0,0,50,0,0,0,slowHeaders
S1,2776,140,461,0.98,0,100,0,1,1,slowRead
RSTO,1164,958,86,0,0,94,0,0,0,slowBody
OTH,89,0,196,0,0,50,0,0,0,slowRead
S1,370,0,866,0.27,0,100,0,0.95,0.95,slowRead
S1,148,0,279,1,0,100,0,1,1,slowBody
OTH,60,0,864,0,0,21,0,0,0,slowRead
S1,222,0,855,1,0,100,0,1,1,slowBody
OTH,86,0,7,0,0,11,0,0,0,slowBody
S1,370,0,240,1,0,99,0,1,1,slowHeaders
S1,755,206,171,0.93,0.01,100,0,1,1,slowBody
S1,370,0,407,0.44,0,100,0,1,1,slowHeaders
OTH,127,0,87,0,0,50,0,0,0,slowBody
S1,902,1754,169,0.95,0.01,100,0,1,1,slowRead
S1,370,0,710,0.88,0,100,0,0.97,0.97,slowBody
S1,370,0,671,0.62,0,100,0,1,1,slowBody
S1,370,0,214,0.06,0,99,0,0.13,0.13,slowBody
OTH,60,0,990,0,0,49,0,0,0,slowBody
S1,296,0,353,1,0,100,0,1,1,slowBody
OTH,60,0,492,0,0,79,0,0,0,slowBody
S1,370,0,501,0.44,0,100,0,0.48,0.48,slowHeaders
OTH,186,0,576,0,0,100,0,0,0,slowHeaders
OTH,66,0,512,0,0,69,0,0,0,slowBody
S1,926,1490,305,0.97,0,100,0,1,1,slowRead
RSTO,1134,958,16,0,0,60,0.02,0,0,slowHeaders
OTH,93,0,153,0,0,50,0,0,0,slowRead
OTH,66,0,314,0,0,65,0,0,0,slowRead
OTH,60,0,869,0,0,35,0,0,0,slowRead
S1,1058,1688,246,0.97,0,100,0,1,1,slowRead
S1,296,0,274,1,0,100,0,1,1,slowBody
OTH,60,0,1128,0,0,51,0,0,0,slowBody
S1,222,0,495,1,0,100,0,1,1,slowHeaders
S1,296,0,67,1,0,68,0,1,1,slowRead
S1,370,0,871,0.68,0,100,0,0.98,0.98,slowRead
OTH,98,0,128,0,0,50,0,0,0,slowBody
RSTO,3416,12244,290,0.73,0,100,0,0.64,0.64,slowBody
S1,296,0,536,0.49,0,100,0,1,1,slowBody
RSTO,1099,1024,180,0,0,99,0,0,0,slowHeaders
OTH,60,0,1040,0,0,49,0,0,0,slowBody
OTH,112,0,112,0,0,50,0,0,0,slowHeaders
RSTO,1168,1024,107,0,0.01,100,0,0,0,slowBody
OTH,60,0,1026,0,0,49,0,0,0,slowBody
OTH,66,0,324,0,0,72,0,0,0,slowHeaders
S2,5174,148,182,0.81,0,100,0,0.67,0.67,slowBody
S1,296,0,657,1,0,100,0,1,1,slowRead
S1,148,0,272,1,0,100,0,1,1,slowBody
S1,74,0,737,0.99,0,100,0,1,1,slowRead
S1,370,0,507,0.52,0,100,0,1,1,slowHeaders
RSTO,1142,958,22,0,0.04,47,0.02,0,0,slowBody
RSTO,1103,958,137,0,0,99,0,0,0,slowHeaders
OTH,112,0,20,0,0,28,0,0,0,slowHeaders
OTH,105,0,174,0,0,50,0,0,0,slowHeaders
OTH,60,0,684,0,0,60,0,0,0,slowBody
OTH,66,0,371,0,0,91,0,0,0,slowRead
S1,738,206,120,1,0.01,99,0,1,1,slowRead
S1,370,0,492,1,0,100,0,1,1,slowBody
S1,296,0,560,1,0,100,0,1,1,slowRead
S1,296,0,419,1,0,100,0,1,1,slowHeaders
OTH,94,0,133,0,0,50,0,0,0,slowRead
S1,370,0,366,1,0,100,0,1,1,slowBody
OTH,60,0,813,0,0,21,0,0,0,slowBody
S1,370,0,264,0.23,0,100,0,0.62,0.62,slowHeaders
OTH,525,0,7,0,0,7,0,0,0,slowBody
S1,74,0,716,0.99,0,100,0,1,1,slowRead
RSTO,933,953,96,0,0,99,0,0,0,slowHeaders
OTH,114,0,52,0,0,52,0,0,0,slowBody
OTH,66,0,10,0,0,54,0,0,0,slowRead
S1,400,140,132,1,0.01,99,0,1,1,slowHeaders
RSTO,1115,958,74,0,0,88,0,0,0,slowBody
OTH,99,0,216,0,0,50,0,0,0,slowHeaders
S1,296,0,266,1,0,100,0,1,1,slowBody
S1,296,0,45,1,0,46,0,1,1,slowRead
S1,148,0,132,0.99,0,100,0,1,1,slowRead
S1,296,0,138,1,0,100,0,1,1,slowBody
S1,296,0,555,1,0,100,0,1,1,slowRead
S2,1245,140,4,1,0,16,0,0.25,0.25,slowBody
S1,222,0,544,1,0,100,0,1,1,slowBody
S1,4072,206,743,1,0,100,0,1,1,slowHeaders
OTH,60,0,853,0,0,24,0,0,0,slowRead
S1,370,0,87,1,0,100,0,1,1,slowBody
OTH,102,0,102,0,0,50,0,0,0,slowRead
S1,296,0,303,1,0,100,0,1,1,slowRead
S1,370,0,309,0.34,0,100,0,0.98,0.98,slowBody
OTH,60,0,935,0,0,46,0,0,0,slowHeaders
OTH,60,0,806,0,0,50,0,0,0,slowHeaders
S1,296,0,453,1,0,100,0,1,1,slowRead
S1,768,206,189,1,0,100,0,1,1,slowBody
S1,370,0,255,0.12,0,100,0,0.3,0.3,slowHeaders
OTH,103,0,136,0,0,50,0,0,0,slowBody
OTH,525,0,651,0,0,86,0,0,0,slowBody
RSTO,1069,1019,140,0.69,0,100,0,0.6,0.6,slowHeaders
S1,296,0,82,1,0,83,0,1,1,slowBody
S1,296,0,354,0.23,0,100,0,0.8,0.8,slowBody
OTH,90,0,204,0,0,50,0,0,0,slowBody
S1,296,0,667,1,0,100,0,1,1,slowHeaders
S1,621,140,694,0.99,0,96,0,0.99,0.99,slowRead
OTH,54,0,4,0,0,4,0,0,0,slowHeaders
OTH,96,0,205,0,0,50,0,0,0,slowRead
S1,74,0,100,0.97,0,100,0,0.97,0.97,slowHeaders
S1,148,0,191,0.99,0,100,0,1,1,slowRead
OTH,60,0,817,0,0,49,0,0,0,slowHeaders
OTH,66,0,7,0,0,55,0,0,0,slowRead
S1,370,0,481,1,0,100,0,1,1,slowBody
OTH,60,0,790,0,0,34,0,0,0,slowBody
OTH,60,0,1068,0,0,50,0,0,0,slowHeaders
S1,370,0,941,0.32,0,100,0,0.96,0.96,slowRead
S1,370,0,193,0.99,0,100,0,1,1,slowHeaders
S1,370,0,308,0.88,0,100,0,1,1,slowBody
S1,296,0,668,1,0,100,0,1,1,slowBody
OTH,60,0,792,0,0,35,0,0,0,slowRead
OTH,60,0,769,0,0,52,0,0,0,slowHeaders
S1,148,0,151,0.99,0,100,0,1,1,slowRead
OTH,60,0,688,0,0,59,0,0,0,slowRead
OTH,66,0,345,0,0,73,0,0,0,slowRead
S1,222,0,605,1,0,100,0,1,1,slowBody
S1,296,0,25,1,0,100,0,1,1,slowRead
S1,296,0,415,1,0,100,0,1,1,slowHeaders
RSTO,1140,958,8,0,0,23,0,0,0,slowBody
OTH,66,0,415,0,0,80,0,0,0,slowBody
OTH,66,0,524,0,0,85,0,0,0,slowBody
S1,370,0,527,0.52,0,100,0,0.97,0.97,slowBody
RSTO,1133,1024,728,0.62,0,100,0,0.73,0.73,slowBody
S1,370,0,756,1,0,100,0,1,1,slowRead
OTH,60,0,852,0,0,42,0,0,0,slowBody
OTH,119,0,127,0,0,50,0,0,0,slowRead
S1,296,0,385,1,0,100,0,1,1,slowRead
OTH,87,0,168,0,0,50,0,0,0,slowRead
S1,296,0,265,1,0,100,0,1,1,slowBody
OTH,84,0,61,0,0,51,0,0,0,slowHeaders
OTH,60,0,738,0,0,52,0,0,0,slowRead
S1,148,0,83,0.89,0,94,0,0.79,0.79,slowRead
S1,370,0,589,0.86,0,100,0,0.67,0.67,slowBody
OTH,498,0,3,0,0,62,0,0,0,slowRead
S1,370,0,83,0.98,0,100,0,0.88,0.88,slowHeaders
RSTO,1125,958,159,0,0,100,0,0,0,slowBody
OTH,102,0,82,0,0,50,0,0,0,slowBody
S1,296,0,538,1,0,100,0,1,1,slowRead
OTH,60,0,812,0,0,21,0,0,0,slowBody
S1,647,206,35,0.97,0.03,69,0.01,0.49,0.49,slowBody
RSTO,884,1019,298,0.91,0,100,0,0.75,0.75,slowHeaders
S1,370,0,558,1,0,100,0,1,1,slowRead
S1,74,0,398,1,0,100,0,1,1,slowHeaders
RSTO,1143,958,63,0,0,84,0.01,0,0,slowHeaders
S1,296,0,482,1,0,100,0,1,1,slowBody
OTH,60,0,996,0,0,50,0,0,0,slowRead
S1,370,0,131,1,0,100,0,1,1,slowBody
S1,2558,74,372,0.98,0,100,0,1,1,slowRead
OTH,60,0,473,0,0,89,0,0,0,slowBody
S1,296,0,784,0.65,0,100,0,1,1,slowBody
RSTO,4033,958,341,0.89,0,100,0,1,1,slowBody
S1,400,140,147,1,0.01,99,0,1,1,slowHeaders
S1,370,0,925,0.31,0,100,0,0.94,0.94,slowRead
OTH,106,0,143,0,0,50,0,0,0,slowRead
S1,759,206,13,1,0.07,64,0.02,0.2,0.2,slowHeaders
S1,148,0,381,0.99,0,100,0,1,1,slowRead
OTH,66,0,567,0,0,92,0,0,0,slowHeaders
S1,296,0,315,1,0,100,0,1,1,slowRead
S1,665,140,128,0.99,0.01,100,0,1,1,slowHeaders
S1,74,0,147,0.99,0.01,100,0,1,1,slowBody
S1,296,0,543,1,0,99,0,1,1,slowHeaders
RSTO,1264,1754,479,0,0,100,0,0,0,slowRead
S1,296,0,316,0.13,0,100,0,0.42,0.42,slowBody
S1,776,206,207,0.94,0,100,0,1,1,slowBody
OTH,60,0,1124,0,0,48,0,0,0,slowRead
S1,642,206,518,1,0,100,0,1,1,slowBody
S1,370,0,254,0.85,0,100,0,0.78,0.78,slowBody
S1,370,0,677,0.58,0,100,0,0.98,0.98,slowHeaders
OTH,60,0,718,0,0,45,0,0,0,slowRead
S1,622,140,161,1,0,100,0,1,1,slowBody
OTH,60,0,788,0,0,47,0,0,0,slowRead
S1,296,0,389,1,0,100,0,1,1,slowRead
S1,370,0,325,0.38,0,100,0,0.98,0.98,slowRead
S1,296,0,695,1,0,100,0,1,1,slowHeaders
OTH,66,0,516,0,0,86,0,0,0,slowHeaders
OTH,86,0,233,0,0,50,0,0,0,slowBody
OTH,66,0,497,0,0,90,0,0,0,slowRead
S1,296,0,299,1,0,100,0,1,1,slowBody
S1,370,0,839,0.24,0,100,0,0.95,0.95,slowRead
S1,296,0,508,1,0,99,0,1,1,slowHeaders
OTH,125,0,169,0,0,50,0,0,0,slowHeaders
OTH,84,0,94,0,0,50,0,0,0,slowHeaders
S1,370,0,267,0.16,0,100,0,0.42,0.42,slowHeaders
S1,148,0,19,0.89,0.05,98,0.01,0.96,0.97,slowRead
OTH,60,0,980,0,0,48,0,0,0,slowHeaders
S1,222,0,222,1,0,100,0,1,1,slowHeaders
S1,74,0,450,0.99,0,100,0,1,1,slowBody
S1,296,0,250,1,0,100,0,1,1,slowBody
OTH,60,0,1055,0,0,50,0,0,0,slowRead
OTH,60,0,8,0,0,64,0,0,0,slowBody
S1,296,0,641,1,0,100,0,1,1,slowBody
S1,370,0,342,0.4,0,100,0,1,1,slowBody
S1,3512,74,673,1,0,100,0,1,1,slowBody
S1,296,0,536,1,0,100,0,1,1,slowRead
S1,296,0,479,1,0,100,0,1,1,slowRead
S1,222,0,945,1,0,100,0,1,1,slowRead
RSTO,3100,689,400,0.4,0,100,0,0.66,0.66,slowHeaders
S1,148,0,160,0.97,0.01,100,0,1,1,slowRead
S1,548,140,465,0.99,0,93,0,1,1,slowBody
S1,370,0,462,1,0,100,0,1,1,slowBody
S1,745,206,164,0.93,0.01,100,0,1,1,slowBody
S1,370,0,777,0.63,0,100,0,1,1,slowHeaders
OTH,60,0,761,0,0,27,0,0,0,slowBody
S2,4709,74,623,0.87,0,100,0,0.98,0.98,slowBody
S1,370,0,960,0.71,0,100,0,1,1,slowRead
S1,370,0,247,0.18,0,99,0,0.44,0.44,slowBody
OTH,99,0,76,0,0,50,0,0,0,slowBody
S1,370,0,264,0.71,0,100,0,0.9,0.9,slowHeaders
OTH,87,0,233,0,0,50,0,0,0,slowHeaders
OTH,60,0,907,0,0,19,0,0,0,slowHeaders
S1,370,0,610,1,0,100,0,1,1,slowRead
S1,296,0,641,1,0,100,0,1,1,slowRead
OTH,94,0,18,0,0,61,0,0,0,slowRead
S1,370,0,337,0.88,0,99,0,0.6,0.6,slowBody
OTH,94,0,139,0,0,50,0,0,0,slowBody
OTH,121,0,45,0,0,53,0,0,0,slowHeaders
OTH,114,0,203,0,0,50,0,0,0,slowHeaders
OTH,66,0,536,0,0,90,0,0,0,slowHeaders
RSTO,1144,1886,59,0,0,63,0,0,0,slowRead
S1,370,0,228,0,0,100,0,0.01,0.01,slowHeaders
OTH,60,0,722,0,0,54,0,0,0,slowHeaders
OTH,110,0,136,0,0,50,0,0,0,slowRead
OTH,174,0,110,0,0,100,0,0,0,slowBody
OTH,525,0,285,0,0,52,0,0,0,slowRead
S1,370,0,21,1,0,100,0,1,1,slowBody
S1,296,0,740,1,0,100,0,1,1,slowBody
S1,296,0,378,1,0,100,0,1,1,slowBody
OTH,60,0,636,0,0,72,0,0,0,slowHeaders
RSTO,1264,1754,473,0,0,100,0,0,0,slowRead
S1,148,0,605,1,0,100,0,1,1,slowBody
S1,296,0,402,1,0,100,0,1,1,slowBody
OTH,66,0,527,0,0,100,0,0,0,slowHeaders
OTH,60,0,990,0,0,49,0,0,0,slowHeaders
OTH,82,0,229,0,0,50,0,0,0,slowBody
S1,296,0,868,0.68,0,100,0,1,1,slowBody
S1,548,140,608,0.99,0,100,0,1,1,slowBody
S1,370,0,636,0.55,0,100,0,0.97,0.97,slowHeaders
S1,148,0,694,1,0,100,0,1,1,slowBody
OTH,54,0,14,0,0,14,0,0,0,slowRead
OTH,60,0,948,0,0,32,0,0,0,slowRead
S1,296,0,482,1,0,100,0,1,1,slowBody
S1,296,0,401,1,0,100,0,1,1,slowBody
S1,370,0,674,0.64,0,100,0,1,1,slowRead
S1,370,0,731,0.17,0,100,0,1,1,slowRead
RSTO,1016,1019,209,0,0,100,0,0,0,slowHeaders
S1,296,0,715,0.62,0,100,0,1,1,slowBody
S1,222,0,0,0,0,0,0,0,0,slowRead
S1,148,0,436,1,0,100,0,1,1,slowBody
RSTO,909,1820,191,0,0,100,0,0,0,slowRead
OTH,60,0,626,0,0,84,0,0,0,slowRead
OTH,119,0,264,0,0,50,0,0,0,slowRead
RSTO,966,887,48,0,0.02,79,0.01,0,0,slowRead
S1,370,0,38,1,0,100,0,0.38,0.38,slowHeaders
S1,370,0,441,0.44,0,100,0,0.57,0.57,slowHeaders
S1,296,0,637,1,0,100,0,1,1,slowRead
RSTO,953,953,110,0,0,100,0,0,0,slowHeaders
OTH,60,0,858,0,0,50,0,0,0,slowHeaders
S1,296,0,603,1,0,100,0,1,1,slowRead
S1,296,0,586,1,0,100,0,1,1,slowBody
OTH,60,0,663,0,0,72,0,0,0,slowRead
OTH,106,0,241,0,0,50,0,0,0,slowRead
S1,828,206,363,1,0,100,0,1,1,slowHeaders
S1,74,0,328,1,0,100,0,1,1,slowHeaders
S1,74,0,200,0.99,0,100,0,1,1,slowBody
OTH,184,0,63,0,0,71,0,0,0,slowBody
OTH,60,0,794,0,0,37,0,0,0,slowBody
S1,370,0,587,0.86,0,100,0,0.65,0.65,slowBody
OTH,60,0,831,0,0,48,0,0,0,slowHeaders
S1,296,0,612,1,0,100,0,1,1,slowBody
S1,729,206,63,1,0.02,82,0.01,0.76,0.77,slowRead
OTH,60,0,611,0,0,40,0,0,0,slowHeaders
OTH,182,0,39,0,0,47,0,0,0,slowBody
OTH,66,0,538,0,0,100,0,0,0,slowHeaders
S1,296,0,591,0.54,0,100,0,1,1,slowBody
RSTO,951,887,710,0.64,0,100,0,0.91,0.91,slowRead
RSTO,1154,1024,385,0.4,0,100,0,0.73,0.73,slowBody
OTH,525,0,582,0,0,85,0,0,0,slowBody
OTH,66,0,537,0,0,80,0,0,0,slowRead
S1,370,0,280,0.88,0,100,0,0.91,0.91,slowHeaders
RSTO,3268,12244,291,0.73,0,100,0,0.64,0.64,slowBody
OTH,60,0,1032,0,0,49,0,0,0,slowRead
S1,370,0,369,0.39,0,100,0,1,1,slowHeaders
S1,222,0,773,1,0,100,0,1,1,slowBody
S1,400,140,130,1,0.01,99,0,1,1,slowHeaders
S1,370,0,5,0.8,0,100,0,0.65,0.65,slowHeaders
S1,148,0,90,0.87,0,94,0,0.83,0.83,slowHeaders
S1,370,0,451,1,0,100,0,1,1,slowBody
OTH,60,0,1026,0,0,50,0,0,0,slowRead
S1,780,206,211,1,0,100,0,1,1,slowRead
OTH,60,0,392,0,0,84,0,0,0,slowBody
OTH,60,0,1031,0,0,49,0,0,0,slowRead
S1,370,0,588,0.58,0,100,0,0.99,0.99,slowRead
RSTO,1139,1754,473,0,0,100,0,0,0,slowRead
RSTO,1163,1024,716,0.63,0,100,0,0.86,0.86,slowBody
S1,370,0,41,0.9,0,100,0,0.89,0.89,slowHeaders
OTH,60,0,1077,0,0,48,0,0,0,slowBody
OTH,83,0,94,0,0,50,0,0,0,slowBody
RSTO,1060,1024,363,0.43,0,100,0,0.98,0.98,slowBody
S1,222,0,637,1,0,100,0,1,1,slowRead
S1,370,0,108,1,0,100,0,1,1,slowBody
S1,296,0,263,1,0,100,0,1,1,slowRead
OTH,66,0,440,0,0,81,0,0,0,slowHeaders
S1,148,0,365,1,0,100,0,1,1,slowBody
OTH,165,0,72,0,0,80,0,0,0,slowBody
OTH,60,0,1036,0,0,54,0,0,0,slowBody
OTH,113,0,62,0,0,50,0,0,0,slowBody
S1,665,140,105,0.97,0.01,93,0.01,0.98,0.99,slowHeaders
OTH,60,0,1133,0,0,54,0,0,0,slowBody
RSTO,1308,1754,507,0,0,100,0,0,0,slowRead
RSTO,1131,1820,312,0,0,100,0,0,0,slowRead
S1,74,0,238,1,0,100,0,1,1,slowHeaders
S1,222,0,940,1,0,100,0,1,1,slowBody
S1,296,0,587,1,0,100,0,1,1,slowRead
S1,296,0,586,1,0,100,0,1,1,slowBody
S1,74,0,27,0.93,0.04,72,0.01,0.34,0.35,slowBody
S1,148,0,232,0.98,0,100,0,1,1,slowRead
S1,370,0,375,0.98,0,100,0,0.95,0.95,slowHeaders
S1,296,0,606,1,0,100,0,1,1,slowRead
OTH,103,0,280,0,0,50,0,0,0,slowRead
S1,370,0,478,0.42,0,100,0,0.47,0.47,slowHeaders
S1,370,0,258,0.11,0,100,0,0.29,0.29,slowHeaders
S1,370,0,296,0.32,0,100,0,0.94,0.94,slowHeaders
S1,296,0,252,1,0,100,0,1,1,slowBody
S1,148,0,35,0.89,0.03,98,0.01,0.95,0.96,slowRead
OTH,66,0,434,0,0,84,0,0,0,slowRead
S1,222,0,15,1,0,100,0,1,1,slowBody
S1,74,0,3,0,0,64,0,0,0,slowHeaders
OTH,66,0,364,0,0,87,0,0,0,slowBody
OTH,89,0,134,0,0,50,0,0,0,slowBody
RSTO,976,887,27,0,0.04,62,0.02,0,0,slowRead
OTH,60,0,11,0,0,59,0,0,0,slowRead
OTH,60,0,863,0,0,29,0,0,0,slowRead
OTH,60,0,939,0,0,49,0,0,0,slowHeaders
