% isAttack normal:	1333
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,12,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute rerror_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
0,OTH,3057,0,0,normal
0,SF,3010,0,0,normal
0,OTH,2670,0,0.02,normal
0,OTH,4837,0,0,normal
0,SF,1749,0,0,normal
0,OTH,3397,0,0.06,normal
0,OTH,5154,0,0.02,normal
0,OTH,5787,0,0,normal
0,OTH,5743,0,0.08,normal
0,SF,899,0,0,normal
0,SF,2726,0,0,normal
0,SF,1019,0,0,normal
0,SF,3346,0,0,normal
0,SF,3172,0,0,normal
0,SF,2913,0,0,normal
0,SF,3296,0,0,normal
0,SF,3533,0,0,normal
0,OTH,2498,0,0.03,normal
0,SF,2255,0,0,normal
0,SF,2205,0,0,normal
0,SF,2149,0,0,normal
0,SF,1429,0,0,normal
0,SF,2860,0,0,normal
0,OTH,5778,0,0.11,normal
0,OTH,4955,0,0.02,normal
0,SF,2243,0,0,normal
0,OTH,3140,0,0,normal
0,OTH,5813,0,0.08,normal
0,S3,1674,0,0,normal
0,SF,3832,0,0,normal
0,OTH,4935,0,0.11,normal
0,SF,3062,0,0,normal
0,OTH,5701,0,0,normal
0,SF,2599,0,0,normal
0,SF,2968,0,0,normal
0,SF,3348,0,0,normal
0,S1,2462,0,0,normal
0,OTH,3430,0,0.08,normal
0,OTH,3142,0,0.02,normal
0,OTH,4051,0,0.08,normal
0,OTH,5515,0,0,normal
0,SF,1939,0,0,normal
0,OTH,3286,0,0,normal
0,SF,3042,0,0,normal
0,OTH,3483,0,0,normal
0,OTH,3201,0,0.06,normal
0,OTH,4813,0,0,normal
0,OTH,2521,0,0.02,normal
0,OTH,2494,0,0,normal
0,SF,2222,0,0,normal
0,OTH,2618,0,0,normal
0,SF,2613,0,0,normal
0,OTH,4192,0,0.13,normal
0,SF,2225,0,0,normal
0,S1,2830,0,0,normal
0,SF,2515,0,0,normal
0,SF,3521,0,0,normal
0,SF,1525,0,0,normal
0,SF,2222,0,0,normal
0,SF,2201,0,0,normal
0,SF,2228,0,0,normal
0,OTH,2903,0,0.14,normal
0,SF,1899,0,0,normal
0,SF,4252,0,0,normal
0,SF,2155,0,0,normal
0,SF,3998,0,0,normal
0,SF,1140,0,0,normal
0,SF,2725,0,0,normal
0,SF,2012,0,0,normal
0,OTH,2883,0,0,normal
0,SF,4468,0,0,normal
0,OTH,3848,0,0.18,normal
0,OTH,3031,0,0,normal
0,SF,2250,0,0,normal
0,SF,3348,0,0,normal
0,OTH,3393,0,0,normal
0,OTH,4874,0,0.16,normal
0,OTH,4042,0,0.2,normal
0,SF,2062,0,0,normal
0,SF,3916,0,0,normal
0,SF,2157,0,0,normal
0,SF,2853,0,0,normal
0,OTH,6211,0,0,normal
0,OTH,3146,0,0.12,normal
0,S1,1611,0,0,normal
0,SF,2026,0,0,normal
0,OTH,3299,0,0.03,normal
0,SF,2189,0,0,normal
0,OTH,2953,0,0,normal
0,SF,1827,0,0,normal
0,SF,1931,0,0,normal
0,SF,2050,0,0,normal
0,SF,2130,0,0,normal
0,OTH,3343,0,0.06,normal
0,SF,2040,0,0,normal
0,OTH,2726,0,0.09,normal
0,SF,1940,0,0,normal
0,OTH,4974,0,0,normal
0,SF,2390,0,0,normal
0,OTH,3393,0,0.15,normal
0,OTH,2830,0,0.09,normal
0,SF,1851,0,0,normal
0,SF,2071,0,0,normal
0,SF,1182,0,0,normal
0,OTH,6119,0,0.23,normal
0,SF,2044,0,0,normal
0,OTH,3883,0,0.01,normal
0,OTH,4238,0,0.01,normal
0,OTH,4992,0,0.05,normal
0,OTH,4886,0,0.09,normal
0,S1,2736,0,0,normal
0,OTH,3954,0,0.12,normal
0,SF,3299,0,0,normal
0,SF,2254,0,0,normal
0,SF,2311,0,0,normal
0,S3,3098,0,0,normal
0,SF,1140,0,0,normal
0,SF,1906,0,0,normal
0,SF,2307,0,0,normal
0,OTH,2133,0,0,normal
0,SF,3889,0,0,normal
0,OTH,5592,0,0.01,normal
0,OTH,2925,0,0.03,normal
0,OTH,2598,0,0.01,normal
0,OTH,2016,0,0.02,normal
0,SF,2358,0,0,normal
0,OTH,3076,0,0.16,normal
0,OTH,2506,0,0.08,normal
0,SF,2282,0,0,normal
0,OTH,5702,0,0,normal
0,OTH,4954,0,0.02,normal
0,SF,3207,0,0,normal
0,SF,2386,0,0,normal
0,SF,2367,0,0,normal
0,SF,2989,0,0,normal
0,OTH,5178,0,0,normal
0,OTH,2719,0,0.02,normal
0,OTH,5330,0,0.08,normal
0,SF,2205,0,0,normal
0,SF,3295,0,0,normal
0,SF,2400,0,0,normal
1,SF,592,0,0,normal
0,SF,2012,0,0,normal
0,SF,591,0,0,normal
0,OTH,3197,0,0.18,normal
0,SF,2790,0,0,normal
0,SF,795,0,0,normal
0,SF,2492,0,0,normal
0,SF,1948,0,0,normal
0,SF,3349,0,0,normal
0,OTH,6272,0,0.06,normal
0,OTH,3330,0,0.11,normal
0,SF,3026,0,0,normal
0,SF,2321,0,0,normal
0,SF,2619,0,0,normal
0,OTH,5859,0,0.08,normal
0,SF,1834,0,0,normal
0,OTH,4301,0,0,normal
0,SF,1885,0,0,normal
0,SF,3015,0,0,normal
0,SF,2316,0,0,normal
0,OTH,3615,0,0.05,normal
0,OTH,3076,0,0.02,normal
0,SF,1865,0,0,normal
0,OTH,4913,0,0.08,normal
0,OTH,4416,0,0,normal
0,SF,4231,0,0,normal
0,OTH,4746,0,0,normal
0,SF,2531,0,0,normal
0,OTH,5982,0,0.15,normal
0,OTH,2864,0,0.14,normal
0,SF,3539,0,0,normal
0,S2,3615,0,0,normal
0,SF,1973,0,0,normal
0,SF,2337,0,0,normal
0,OTH,5109,0,0.12,normal
0,OTH,3268,0,0.17,normal
0,OTH,5784,0,0.05,normal
0,SF,3428,0,0,normal
0,SF,2778,0,0,normal
0,S1,2986,0,0,normal
0,OTH,4679,0,0.09,normal
0,OTH,2999,0,0,normal
0,SF,2285,0,0,normal
0,SF,2786,0,0,normal
0,OTH,3358,0,0.12,normal
0,SF,1479,0,0,normal
0,OTH,2905,0,0.04,normal
0,OTH,3850,0,0.08,normal
0,OTH,2766,0,0.12,normal
0,SF,3017,0,0,normal
0,OTH,3945,0,0,normal
0,OTH,2142,0,0.15,normal
0,SF,2021,0,0,normal
0,OTH,4980,0,0,normal
0,OTH,5076,0,0,normal
0,SF,2533,0,0,normal
0,OTH,4883,0,0,normal
0,SF,2114,0,0,normal
0,OTH,5993,0,0.04,normal
0,SF,3098,0,0,normal
0,OTH,5510,0,0,normal
0,RSTR,3342,0,0,normal
0,OTH,3316,0,0.02,normal
0,SF,1548,0,0,normal
0,OTH,3185,0,0.14,normal
0,SF,1943,0,0,normal
0,OTH,3535,0,0,normal
0,OTH,4059,0,0,normal
0,OTH,5084,0,0.02,normal
0,OTH,4937,0,0,normal
0,OTH,4073,0,0.03,normal
0,SF,2413,0,0,normal
0,SF,2251,0,0,normal
0,SF,1926,0,0,normal
0,OTH,5701,0,0.25,normal
0,OTH,3261,0,0.15,normal
0,OTH,3948,0,0.09,normal
0,OTH,5147,0,0.1,normal
0,SF,2139,0,0,normal
0,SF,2043,0,0,normal
0,SF,1950,0,0,normal
0,SF,1953,0,0,normal
0,SF,2249,0,0,normal
0,SF,2003,0,0,normal
0,OTH,5943,0,0.15,normal
0,OTH,3758,0,0.02,normal
0,S3,1757,0,0,normal
0,OTH,2956,0,0,normal
0,OTH,6323,0,0.06,normal
0,OTH,5023,0,0.15,normal
0,S2,2883,0,0,normal
0,SF,1248,0,0,normal
0,SF,3356,0,0,normal
0,OTH,2477,0,0.06,normal
0,SF,2784,0,0,normal
0,OTH,4441,0,0.1,normal
0,OTH,2520,0,0,normal
0,SF,1866,0,0,normal
0,SF,1944,0,0,normal
0,OTH,4742,0,0.08,normal
0,SF,2210,0,0,normal
0,SF,2141,0,0,normal
0,OTH,3065,0,0.17,normal
0,SF,2122,0,0,normal
0,OTH,5910,0,0.04,normal
0,SF,1144,0,0,normal
0,SF,2119,0,0,normal
0,SF,2323,0,0,normal
0,SF,2750,0,0,normal
0,OTH,3114,0,0.08,normal
0,SF,3028,0,0,normal
0,S1,1665,0,0,normal
0,SF,2187,0,0,normal
0,OTH,3069,0,0,normal
0,OTH,3493,0,0.18,normal
0,SF,1583,0,0,normal
0,SF,2122,0,0,normal
0,SF,2330,0,0,normal
0,S1,2264,0,0,normal
0,SF,2711,0,0,normal
0,OTH,3383,0,0.08,normal
0,SF,2179,0,0,normal
0,SF,2943,0,0,normal
0,SF,999,0,0,normal
0,OTH,3546,0,0.02,normal
0,SF,2034,0,0,normal
13,RSTR,1530,0,0,normal
0,SF,2780,0,0,normal
0,SF,2685,0,0,normal
0,SF,2533,0,0,normal
0,OTH,2789,0,0.02,normal
0,SF,2321,0,0,normal
0,SF,2167,0,0,normal
0,SF,2080,0,0,normal
0,SF,3088,0,0,normal
0,OTH,4355,0,0.01,normal
0,OTH,3005,0,0,normal
0,SF,3372,0,0,normal
0,OTH,5974,0,0.19,normal
0,SF,2187,0,0,normal
0,SF,281,0,0,normal
0,OTH,5917,0,0.03,normal
0,SF,1886,0,0,normal
0,SF,2753,0,0,normal
0,SF,3368,0,0,normal
0,SF,3909,0,0,normal
0,SF,2621,0,0,normal
0,OTH,3144,0,0.01,normal
0,SF,1723,0,0,normal
0,OTH,5463,0,0.01,normal
0,OTH,3743,0,0.11,normal
0,OTH,5044,0,0,normal
0,SF,3301,0,0,normal
0,SF,3345,0,0,normal
0,SF,3117,0,0,normal
0,S3,3754,0,0,normal
0,OTH,4363,0,0.06,normal
0,OTH,3868,0,0.13,normal
0,SF,2015,0,0,normal
0,SF,2216,0,0,normal
0,OTH,5011,0,0.06,normal
0,SF,2041,0,0,normal
0,OTH,3360,0,0.16,normal
0,OTH,5902,0,0,normal
0,OTH,3255,0,0.08,normal
0,OTH,2952,0,0.14,normal
0,OTH,5891,0,0,normal
0,SF,2202,0,0,normal
0,RSTR,1912,0,0,normal
0,SF,1241,0,0,normal
0,OTH,3721,0,0.02,normal
0,OTH,6276,0,0.12,normal
0,OTH,1889,0,0.04,normal
0,OTH,4318,0,0,normal
0,OTH,5082,0,0.19,normal
0,OTH,3876,0,0.01,normal
0,SF,1912,0,0,normal
0,SF,2306,0,0,normal
0,OTH,5909,0,0.08,normal
0,SF,1906,0,0,normal
0,SF,2214,0,0,normal
0,OTH,3217,0,0,normal
0,SF,4263,0,0,normal
0,OTH,3013,0,0.14,normal
0,SF,1945,0,0,normal
0,OTH,3030,0,0.17,normal
0,SF,105,0,0,normal
0,SF,3219,0,0,normal
0,OTH,3616,0,0,normal
0,SF,2113,0,0,normal
0,OTH,2856,0,0.18,normal
1,SF,1440,0,0,normal
0,SF,1980,0,0,normal
1,SF,2955,0,0,normal
0,SF,1530,0,0,normal
0,OTH,2987,0,0.13,normal
0,SF,2554,0,0,normal
0,SF,2243,0,0,normal
0,OTH,2849,0,0.01,normal
0,SF,1887,0,0,normal
0,OTH,3079,0,0.1,normal
0,S2,3407,0,0,normal
0,SF,306,0,0,normal
0,OTH,3897,0,0.01,normal
0,SF,2031,0,0,normal
0,SF,1281,0,0,normal
0,OTH,5099,0,0.13,normal
0,SF,1291,0,0,normal
0,RSTR,1776,0,0,normal
0,OTH,3021,0,0.04,normal
0,SF,2321,0,0,normal
0,SF,3873,0,0,normal
0,SF,2077,0,0,normal
0,SF,2334,0,0,normal
0,SF,4071,0,0,normal
0,SF,1910,0,0,normal
0,OTH,5104,0,0.04,normal
0,S1,3467,0,0,normal
0,SF,3210,0,0,normal
0,OTH,5192,0,0,normal
0,OTH,3101,0,0.04,normal
0,SF,1852,0,0,normal
0,OTH,4955,0,0.11,normal
0,SF,1842,0,0,normal
0,OTH,5964,0,0.15,normal
0,SF,2381,0,0,normal
0,OTH,5686,0,0.12,normal
0,SF,4011,0,0,normal
0,OTH,3607,0,0.09,normal
0,OTH,5182,0,0,normal
0,OTH,5961,0,0.03,normal
0,SF,2077,0,0,normal
0,OTH,3201,0,0.04,normal
0,SF,1855,0,0,normal
0,SF,2134,0,0,normal
0,SF,1671,0,0,normal
0,SF,1829,0,0,normal
0,SF,1895,0,0,normal
0,OTH,3075,0,0.02,normal
0,OTH,5229,0,0.03,normal
0,OTH,3686,0,0.02,normal
0,SF,1936,0,0,normal
0,SF,2066,0,0,normal
0,OTH,2878,0,0.15,normal
0,OTH,3363,0,0.09,normal
0,OTH,2909,0,0.2,normal
0,OTH,3172,0,0.12,normal
0,OTH,2931,0,0.16,normal
0,SF,2147,0,0,normal
0,SF,2051,0,0,normal
0,SF,3067,0,0,normal
0,OTH,3906,0,0.13,normal
0,OTH,5189,0,0.02,normal
0,SF,2440,0,0,normal
0,OTH,1858,0,0.01,normal
0,SF,2511,0,0,normal
0,OTH,6237,0,0.08,normal
0,OTH,5707,0,0.02,normal
0,OTH,3207,0,0.04,normal
0,SF,2612,0,0,normal
0,S3,2762,0,0,normal
0,OTH,4310,0,0,normal
0,SF,280,0,0,normal
0,SF,642,0,0,normal
0,OTH,3156,0,0,normal
0,SF,2282,0,0,normal
0,SF,2125,0,0,normal
0,S3,2126,0,0,normal
0,SF,590,0,0,normal
0,SF,1925,0,0,normal
0,OTH,5092,0,0,normal
0,OTH,4840,0,0,normal
0,OTH,3838,0,0,normal
0,OTH,3186,0,0.04,normal
0,OTH,3294,0,0.13,normal
0,SF,2843,0,0,normal
0,SF,1863,0,0,normal
0,SF,2201,0,0,normal
0,S1,2159,0,0,normal
0,S2,3257,0,0,normal
0,OTH,5933,0,0.21,normal
0,OTH,6028,0,0.09,normal
0,SF,2023,0,0,normal
0,SF,3942,0,0,normal
0,SF,2357,0,0,normal
0,S2,3631,0,0,normal
0,SF,2170,0,0,normal
0,OTH,5309,0,0,normal
0,SF,3944,0,0,normal
0,SF,2818,0,0,normal
0,OTH,3037,0,0.38,normal
0,SF,3049,0,0,normal
0,SF,1129,0,0,normal
0,SF,1393,0,0,normal
0,SF,2127,0,0,normal
0,OTH,3810,0,0.05,normal
0,SF,2047,0,0,normal
0,OTH,3281,0,0.18,normal
0,OTH,2972,0,0.02,normal
0,SF,2143,0,0,normal
0,OTH,2368,0,0.04,normal
0,SF,3381,0,0,normal
0,OTH,2789,0,0.03,normal
0,SF,2263,0,0,normal
0,SF,1558,0,0,normal
0,OTH,3667,0,0,normal
0,OTH,3947,0,0.02,normal
0,OTH,2814,0,0.11,normal
0,SF,1606,0,0,normal
0,SF,2914,0,0,normal
0,SF,1580,0,0,normal
0,OTH,2608,0,0.18,normal
0,OTH,5789,0,0.12,normal
0,SF,2290,0,0,normal
0,SF,3090,0,0,normal
0,SF,1916,0,0,normal
0,SF,307,0,0,normal
0,OTH,4210,0,0.1,normal
0,SF,5681,0,0,normal
0,OTH,5340,0,0,normal
0,OTH,3195,0,0.16,normal
0,SF,3115,0,0,normal
0,OTH,3185,0,0.02,normal
0,OTH,2770,0,0.16,normal
0,OTH,4996,0,0.01,normal
0,OTH,5199,0,0.15,normal
0,SF,2102,0,0,normal
0,SF,905,0,0,normal
0,SF,976,0,0,normal
0,SF,1471,0,0,normal
0,OTH,5491,0,0.03,normal
0,SF,20,0,0,normal
0,OTH,6233,0,0,normal
0,SF,2057,0,0,normal
0,SF,3053,0,0,normal
0,SF,1528,0,0,normal
0,SF,2146,0,0,normal
0,OTH,3091,0,0,normal
0,S2,2575,0,0,normal
0,SF,779,0,0,normal
0,SF,1871,0,0,normal
0,OTH,2795,0,0,normal
0,SF,985,0,0,normal
0,OTH,6297,0,0.02,normal
0,SF,2456,0,0,normal
0,SF,3309,0,0,normal
0,OTH,2740,0,0.05,normal
0,OTH,1449,0,0.02,normal
0,SF,2153,0,0,normal
0,S2,3266,0,0,normal
0,S2,3582,0,0,normal
0,OTH,2973,0,0,normal
0,SF,4460,0,0,normal
0,OTH,5465,0,0.03,normal
0,OTH,1492,0,0.01,normal
0,OTH,2863,0,0.12,normal
0,OTH,2849,0,0.1,normal
0,SF,1126,0,0,normal
0,SF,2177,0,0,normal
0,SF,2039,0,0,normal
0,OTH,4082,0,0.05,normal
0,SF,1536,0,0,normal
0,SF,2251,0,0,normal
0,OTH,3186,0,0.16,normal
0,SF,1910,0,0,normal
0,OTH,3877,0,0.15,normal
0,SF,1892,0,0,normal
0,SF,2242,0,0,normal
0,SF,3358,0,0,normal
0,OTH,4879,0,0.14,normal
0,SF,1150,0,0,normal
0,SF,1917,0,0,normal
0,S3,3688,0,0,normal
0,SF,2978,0,0,normal
0,OTH,2026,0,0.04,normal
0,OTH,2129,0,0.07,normal
0,SF,1981,0,0,normal
0,OTH,2490,0,0.02,normal
0,OTH,2890,0,0.07,normal
0,OTH,5820,0,0.02,normal
0,SF,2126,0,0,normal
0,OTH,3648,0,0,normal
0,OTH,3927,0,0,normal
0,SF,3846,0,0,normal
0,SF,2120,0,0,normal
0,OTH,3865,0,0.01,normal
0,SF,3909,0,0,normal
0,OTH,2960,0,0.15,normal
0,SF,2000,0,0,normal
0,OTH,2242,0,0.16,normal
0,SF,1904,0,0,normal
0,SF,3022,0,0,normal
0,OTH,3973,0,0.01,normal
0,SF,3173,0,0,normal
0,SF,2138,0,0,normal
0,OTH,3384,0,0.09,normal
0,OTH,4392,0,0.12,normal
0,SF,2067,0,0,normal
0,SF,2272,0,0,normal
0,SF,4271,0,0,normal
0,SF,3378,0,0,normal
0,SF,1146,0,0,normal
0,OTH,3081,0,0,normal
0,SF,2842,0,0,normal
0,OTH,4394,0,0.17,normal
0,OTH,5659,0,0,normal
0,OTH,5833,0,0,normal
0,SF,3161,0,0,normal
0,S1,3179,0,0,normal
0,SF,2757,0,0,normal
0,OTH,4010,0,0.02,normal
0,SF,2619,0,0,normal
0,S1,3568,0,0,normal
