% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,17-18,25,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_rerror_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,946,2218,100,100,0,normal
tcp,OTH,66,2999,49,49,0,normal
tcp,SF,946,2386,100,100,0,normal
tcp,OTH,66,3159,57,57,0,normal
tcp,OTH,66,5058,42,42,0,normal
tcp,OTH,66,3525,48,48,0,normal
tcp,OTH,66,4960,38,38,0,normal
tcp,SF,946,3083,100,100,0,normal
tcp,OTH,66,2840,55,55,0,normal
tcp,SF,1024,3178,87,87,0,normal
tcp,SF,946,1969,100,100,0,normal
tcp,OTH,66,5129,69,69,0,normal
tcp,OTH,66,3283,46,46,0,normal
tcp,SF,1120,1512,100,100,0,normal
tcp,OTH,66,5246,72,72,0,normal
tcp,OTH,66,3287,34,34,0,normal
tcp,OTH,66,3905,80,80,0,normal
tcp,OTH,66,3849,45,45,0,normal
tcp,SF,946,1998,100,100,0,normal
tcp,OTH,66,2729,48,48,0,normal
tcp,OTH,146,4862,46,46,0,normal
tcp,OTH,66,2700,45,45,0,normal
tcp,SF,946,2211,100,100,0,normal
tcp,SF,946,5668,72,72,0,normal
tcp,S1,74,2677,100,100,0,normal
tcp,SF,946,467,100,100,0,normal
tcp,OTH,66,5364,96,96,0,normal
tcp,OTH,78,3393,99,99,0,normal
tcp,SF,946,2081,88,88,0,normal
tcp,SF,946,1835,100,100,0,normal
tcp,OTH,66,2985,71,71,0,normal
tcp,SF,946,3886,100,100,0,normal
tcp,OTH,66,2344,68,68,0,normal
tcp,SF,946,2150,100,100,0,normal
tcp,SF,1020,1444,100,100,0,normal
tcp,SF,946,3513,100,100,0,normal
tcp,OTH,66,2431,52,52,0,normal
tcp,SF,946,2109,100,100,0,normal
tcp,OTH,66,5880,48,48,0,normal
tcp,SF,946,2435,100,100,0,normal
tcp,OTH,146,4911,48,48,0,normal
tcp,SF,1012,2266,100,100,0,normal
tcp,SF,982,1655,100,100,0,normal
tcp,OTH,66,4961,54,54,0,normal
tcp,OTH,66,3057,55,55,0,normal
tcp,SF,946,3010,100,100,0,normal
tcp,OTH,66,2670,50,50,0,normal
tcp,OTH,66,4837,57,57,0,normal
tcp,SF,946,1749,100,100,0,normal
tcp,OTH,66,3397,46,46,0,normal
tcp,OTH,146,5154,51,51,0,normal
tcp,OTH,66,5787,13,13,0,normal
tcp,OTH,78,5743,65,65,0,normal
tcp,SF,946,899,99,99,0,normal
tcp,SF,1024,2726,72,72,0,normal
tcp,SF,946,1019,100,100,0,normal
tcp,SF,946,3346,93,93,0,normal
tcp,SF,352,3172,87,87,0,normal
tcp,SF,946,2913,98,98,0,normal
tcp,SF,946,3296,100,100,0,normal
tcp,SF,946,3533,100,100,0,normal
tcp,OTH,146,2498,37,37,0,normal
tcp,SF,946,2255,100,100,0,normal
tcp,SF,946,2205,100,100,0,normal
tcp,SF,946,2149,100,100,0,normal
tcp,SF,946,1429,100,100,0,normal
tcp,SF,946,2860,100,100,0,normal
tcp,OTH,66,5778,43,43,0,normal
tcp,OTH,66,4955,57,57,0,normal
tcp,SF,946,2243,100,100,0,normal
tcp,OTH,66,3140,39,39,0,normal
tcp,OTH,78,5813,50,50,0,normal
tcp,S3,880,1674,100,100,0,normal
tcp,SF,1024,3832,54,54,0,normal
tcp,OTH,66,4935,45,45,0,normal
tcp,SF,946,3062,24,24,0,normal
tcp,OTH,78,5701,45,45,0,normal
tcp,SF,946,2599,100,100,0,normal
tcp,SF,946,2968,63,63,0,normal
tcp,SF,880,3348,93,93,0,normal
tcp,S1,218,2462,100,100,0,normal
tcp,OTH,66,3430,47,47,0,normal
tcp,OTH,66,3142,50,50,0,normal
tcp,OTH,66,4051,99,99,0,normal
tcp,OTH,78,5515,81,81,0,normal
tcp,SF,946,1939,100,100,0,normal
tcp,OTH,66,3286,69,69,0,normal
tcp,SF,946,3042,88,88,0,normal
tcp,OTH,66,3483,60,60,0,normal
tcp,OTH,66,3201,49,49,0,normal
tcp,OTH,78,4813,44,44,0,normal
tcp,OTH,146,2521,44,44,0,normal
tcp,OTH,66,2494,34,34,0,normal
tcp,SF,946,2222,100,100,0,normal
tcp,OTH,146,2618,41,41,0,normal
tcp,SF,1120,2613,100,100,0,normal
tcp,OTH,66,4192,45,45,0,normal
tcp,SF,946,2225,100,100,0,normal
tcp,S1,74,2830,100,100,0,normal
tcp,SF,946,2515,94,94,0,normal
tcp,SF,946,3521,100,100,0,normal
tcp,SF,946,1525,100,100,0,normal
tcp,SF,946,2222,100,100,0,normal
tcp,SF,880,2201,100,100,0,normal
tcp,SF,946,2228,100,100,0,normal
tcp,OTH,66,2903,49,49,0,normal
tcp,SF,946,1899,100,100,0,normal
tcp,SF,946,4252,73,73,0,normal
tcp,SF,946,2155,98,98,0,normal
tcp,SF,946,3998,95,95,0,normal
tcp,SF,946,1140,100,100,0,normal
tcp,SF,1024,2725,72,72,0,normal
tcp,SF,946,2012,100,100,0,normal
tcp,OTH,66,2883,45,45,0,normal
tcp,SF,946,4468,55,55,0,normal
tcp,OTH,66,3848,44,44,0,normal
tcp,OTH,66,3031,58,58,0,normal
tcp,SF,946,2250,100,100,0,normal
tcp,SF,946,3348,96,96,0,normal
tcp,OTH,66,3393,42,42,0,normal
tcp,OTH,66,4874,57,57,0,normal
tcp,OTH,66,4042,44,44,0,normal
tcp,SF,946,2062,100,100,0,normal
tcp,SF,946,3916,69,69,0,normal
tcp,SF,946,2157,100,100,0,normal
tcp,SF,946,2853,63,63,0,normal
tcp,OTH,66,6211,52,52,0,normal
tcp,OTH,66,3146,41,41,0,normal
tcp,S1,286,1611,100,100,0,normal
tcp,SF,946,2026,100,100,0,normal
tcp,OTH,66,3299,36,36,0,normal
tcp,SF,946,2189,41,41,0,normal
tcp,OTH,66,2953,38,38,0,normal
tcp,SF,946,1827,100,100,0,normal
tcp,SF,946,1931,100,100,0,normal
tcp,SF,946,2050,100,100,0,normal
tcp,SF,946,2130,100,100,0,normal
tcp,OTH,66,3343,49,49,0,normal
tcp,SF,1012,2040,100,100,0,normal
tcp,OTH,66,2726,42,42,0,normal
tcp,SF,946,1940,100,100,0,normal
tcp,OTH,66,4974,28,28,0,normal
tcp,SF,946,2390,98,98,0,normal
tcp,OTH,66,3393,52,52,0,normal
tcp,OTH,66,2830,45,45,0,normal
tcp,SF,946,1851,100,100,0,normal
tcp,SF,946,2071,100,100,0,normal
tcp,SF,1078,1182,100,100,0,normal
tcp,OTH,66,6119,38,38,0,normal
tcp,SF,946,2044,100,100,0,normal
tcp,OTH,66,3883,70,70,0,normal
tcp,OTH,78,4238,95,95,0,normal
tcp,OTH,66,4992,40,40,0,normal
tcp,OTH,66,4886,52,52,0,normal
tcp,S1,286,2736,100,100,0,normal
tcp,OTH,66,3954,58,58,0,normal
tcp,SF,1024,3299,75,75,0,normal
tcp,SF,1120,2254,100,100,0,normal
tcp,SF,880,2311,100,100,0,normal
tcp,S3,880,3098,100,100,0,normal
tcp,SF,946,1140,100,100,0,normal
tcp,SF,946,1906,92,92,0,normal
tcp,SF,880,2307,100,100,0,normal
tcp,OTH,66,2133,48,48,0,normal
tcp,SF,946,3889,98,98,0,normal
tcp,OTH,78,5592,75,75,0,normal
tcp,OTH,66,2925,29,29,0,normal
tcp,OTH,146,2598,69,69,0,normal
tcp,OTH,66,2016,47,47,0,normal
tcp,SF,946,2358,63,63,0,normal
tcp,OTH,66,3076,43,43,0,normal
tcp,OTH,66,2506,50,50,0,normal
tcp,SF,946,2282,100,100,0,normal
tcp,OTH,78,5702,45,45,0,normal
tcp,OTH,66,4954,46,46,0,normal
tcp,SF,946,3207,100,100,0,normal
tcp,SF,946,2386,100,100,0,normal
tcp,SF,946,2367,100,100,0,normal
tcp,SF,946,2989,98,98,0,normal
tcp,OTH,66,5178,58,58,0,normal
tcp,OTH,66,2719,52,52,0,normal
tcp,OTH,66,5330,86,86,0,normal
tcp,SF,946,2205,100,100,0,normal
tcp,SF,946,3295,71,71,0,normal
tcp,SF,880,2400,85,85,0,normal
tcp,SF,946,592,100,100,0,normal
tcp,SF,946,2012,100,100,0,normal
tcp,SF,1120,591,100,100,0,normal
tcp,OTH,66,3197,49,49,0,normal
tcp,SF,946,2790,98,98,0,normal
tcp,SF,946,795,100,100,0,normal
tcp,SF,946,2492,100,100,0,normal
tcp,SF,946,1948,100,100,0,normal
tcp,SF,946,3349,100,100,0,normal
tcp,OTH,66,6272,47,47,0,normal
tcp,OTH,66,3330,44,44,0,normal
tcp,SF,946,3026,68,68,0,normal
tcp,SF,1042,2321,100,100,0,normal
tcp,SF,1120,2619,100,100,0,normal
tcp,OTH,66,5859,52,52,0,normal
tcp,SF,946,1834,100,100,0,normal
tcp,OTH,66,4301,51,51,0,normal
tcp,SF,946,1885,100,100,0,normal
