% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	667
% isAttack slowBody:	667
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7,11-12,18,21,26,30,32,40'

@attribute max_fpktl numeric
@attribute max_bpktl numeric
@attribute std_bpktl numeric
@attribute mean_biat numeric
@attribute duration numeric
@attribute min_idle numeric
@attribute sflow_fpackets numeric
@attribute sflow_bpackets numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
2948,566,10,5992,19372872,1202735,2998,1517,tcpFlood
2948,566,7,5060,31011525,1104975,5850,2953,tcpFlood
2948,80,6,19299,11022985,0,1191,572,tcpFlood
2464,80,6,22533,21203616,0,2266,942,tcpFlood
2188,566,14,4058,5391353,0,3010,1329,tcpFlood
2560,72,5,17198,12079608,0,1396,703,tcpFlood
2948,80,6,14705,8645883,1037479,614,259,tcpFlood
64,566,6,1495,10601120,0,7904,7091,tcpFlood
1936,80,6,18314,17541528,1018274,264,142,tcpFlood
2948,566,10,4283,10054100,0,5455,2348,tcpFlood
2284,566,9,4221,13775559,0,8037,3262,tcpFlood
2948,566,10,7617,21884222,0,4766,2874,tcpFlood
2948,72,5,19030,13802150,0,1462,726,tcpFlood
2080,80,6,21698,20331823,0,2263,938,tcpFlood
280,60,0,0,13144348,1663556,4,0,tcpFlood
1500,566,7,3083,13372048,0,8230,4337,tcpFlood
2948,72,6,16844,8915627,0,1221,530,tcpFlood
2948,566,7,5287,31044315,1135734,5370,2804,tcpFlood
2008,566,9,4538,13766942,0,7500,3033,tcpFlood
2620,64,1,3655,5370522,0,2976,1470,tcpFlood
2948,566,7,5322,31220600,1099894,5000,2830,tcpFlood
2116,80,5,15367,8470186,0,1191,552,tcpFlood
64,566,5,1573,12086054,0,9035,7683,tcpFlood
2948,566,11,6944,15835199,0,3361,2281,tcpFlood
2452,80,6,16418,11229948,0,1429,685,tcpFlood
340,60,0,0,6568651,1665333,6,0,tcpFlood
2948,566,9,7891,29499506,1036029,2090,1153,tcpFlood
2884,566,6,2896,19634934,0,11837,6779,tcpFlood
1500,64,4,6957,377502,0,60,52,tcpFlood
1708,566,7,3331,18081257,0,10601,5428,tcpFlood
280,60,0,0,237149,0,14,1,tcpFlood
2092,566,18,17146,15413375,1117173,991,417,tcpFlood
2948,72,6,19391,9288361,0,1007,480,tcpFlood
2692,566,6,2873,20182211,0,12203,7024,tcpFlood
1768,566,14,4035,5391840,0,2953,1337,tcpFlood
1876,566,17,14950,15603482,1106261,1152,485,tcpFlood
2224,72,5,18181,14661892,0,1725,807,tcpFlood
2884,566,8,4596,18396885,0,9620,4003,tcpFlood
2948,566,7,3522,19106753,0,10740,5422,tcpFlood
2948,578,12,8919,19979110,1081867,1933,1058,tcpFlood
2948,72,6,22241,14078957,0,1334,634,tcpFlood
2908,566,8,4865,18391714,0,9092,3781,tcpFlood
2296,566,9,4061,12799067,0,7552,3152,tcpFlood
2948,72,5,19599,10219057,0,1088,522,tcpFlood
2948,566,10,7182,22744244,0,4910,3166,tcpFlood
2948,566,9,7543,29378549,1086597,3499,1875,tcpFlood
2948,566,11,8819,23869560,1098213,2457,1290,tcpFlood
2948,566,7,5492,31118422,1100655,4924,2733,tcpFlood
2884,566,6,2881,19185959,0,11837,6660,tcpFlood
2948,566,10,8764,22781828,0,4119,2599,tcpFlood
2948,566,10,8262,25048127,1121066,2627,1448,tcpFlood
2200,72,5,17811,13022443,0,1580,732,tcpFlood
2704,566,7,3529,18082381,0,10644,5123,tcpFlood
2164,566,7,4563,31005614,1100577,6716,3277,tcpFlood
2948,80,5,18170,9508264,0,921,524,tcpFlood
1720,566,14,11670,18418763,1088121,1542,743,tcpFlood
2332,566,7,3568,17976270,0,10857,5037,tcpFlood
1500,566,14,4247,5390218,0,3097,1270,tcpFlood
2948,566,7,3039,14776383,0,9122,4863,tcpFlood
2948,72,5,18733,9993500,0,1128,534,tcpFlood
2948,80,6,19126,15189014,0,1699,795,tcpFlood
2948,566,6,2805,17671180,0,10712,6300,tcpFlood
880,566,4,1434,18839330,0,14376,13130,tcpFlood
2948,566,8,4774,18395044,0,8955,3854,tcpFlood
2948,80,6,19251,10245891,0,1060,533,tcpFlood
1636,566,7,3363,17940601,0,10797,5334,tcpFlood
2104,566,7,5026,31182771,1178366,6100,2983,tcpFlood
2948,566,10,6235,18123191,1203359,2596,1357,tcpFlood
2440,566,11,8293,21408010,1107826,2112,1224,tcpFlood
1700,80,5,15511,9716353,0,1433,627,tcpFlood
2948,566,10,5596,17982195,1229052,2519,1457,tcpFlood
