% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,10,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute serror_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,SF,0,0,normal
tcp,OTH,0,0.09,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.41,normal
tcp,OTH,0,0.48,normal
tcp,OTH,0,0.05,normal
tcp,OTH,0,0.95,normal
tcp,OTH,0,0.88,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.76,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.19,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.56,normal
tcp,OTH,0,0.39,normal
tcp,OTH,0,0.13,normal
tcp,OTH,0,0.97,normal
tcp,RSTR,0,0,normal
tcp,OTH,0,0.77,normal
tcp,OTH,0,0.57,normal
tcp,OTH,0,0.09,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.98,normal
tcp,RSTO,0,0,normal
tcp,RSTO,0.09,0,normal
tcp,OTH,0,0.06,normal
tcp,SF,0,0,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.04,normal
tcp,OTH,0,0.5,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.9,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.48,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.71,normal
tcp,OTH,0,0.78,normal
tcp,OTH,0,0.66,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.95,normal
tcp,RSTO,0,0,normal
tcp,OTH,0,0.7,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.5,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.72,normal
tcp,RSTO,0,0,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.2,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.94,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.88,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.86,normal
tcp,OTH,0,0,normal
tcp,OTH,0,0.79,normal
tcp,OTH,0,0.58,normal
tcp,OTH,0,0.08,normal
tcp,OTH,0,0.07,normal
tcp,OTH,0,0.97,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.95,normal
tcp,OTH,0,0.84,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.17,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.93,normal
tcp,OTH,0,0.95,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.12,normal
tcp,OTH,0,0.79,normal
tcp,OTH,0,0.9,normal
tcp,OTH,0,0.98,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.93,normal
tcp,OTH,0,0.73,normal
tcp,OTH,0,0.54,normal
tcp,S1,1,0,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.57,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.97,normal
tcp,OTH,0,0.64,normal
tcp,OTH,0,0.16,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.02,normal
tcp,OTH,0,0.97,normal
tcp,SF,0,0,normal
tcp,OTH,0,0.67,normal
tcp,OTH,0,0.16,normal
tcp,S2,0.8,0,normal
tcp,OTH,0,0.73,normal
tcp,OTH,0,0.98,normal
tcp,OTH,0,0.76,normal
tcp,S1,0,0,normal
tcp,SF,0,0,normal
