% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-9,16-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {highrate,lowrate}

@data
udp,OTH,60,121,121,0,33,33,highrate
udp,OTH,60,141,141,0,33,33,highrate
udp,OTH,60,109,109,0,33,33,highrate
udp,OTH,60,156,156,0,33,33,highrate
udp,OTH,60,159,159,0,33,33,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,84,84,0,40,40,highrate
udp,OTH,60,121,121,0,33,33,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,85,85,0,42,42,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,103,103,0,34,34,highrate
udp,OTH,60,164,164,0,33,33,highrate
udp,OTH,60,139,139,0,20,20,highrate
udp,OTH,60,1,1,0,1,1,highrate
udp,OTH,60,104,104,0,34,34,highrate
udp,OTH,60,141,141,0,34,34,highrate
udp,OTH,60,138,138,0,16,16,highrate
udp,OTH,60,141,141,0,21,21,highrate
udp,OTH,60,141,141,0,33,33,highrate
udp,OTH,60,144,144,0,33,33,highrate
udp,OTH,60,112,112,0,33,33,highrate
udp,OTH,60,138,138,0,12,12,highrate
udp,OTH,60,111,111,0,34,34,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,123,123,0,33,33,highrate
udp,OTH,60,130,130,0,33,33,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,90,90,0,42,42,highrate
udp,OTH,60,137,137,0,20,20,highrate
udp,OTH,60,105,105,0,33,33,highrate
udp,OTH,60,92,92,0,42,42,highrate
udp,OTH,60,107,107,0,33,33,highrate
udp,OTH,60,113,113,0,34,34,highrate
udp,OTH,60,117,117,0,33,33,highrate
udp,OTH,60,112,112,0,34,34,highrate
udp,OTH,60,111,111,0,34,34,highrate
udp,OTH,60,145,145,0,33,33,highrate
udp,OTH,60,91,91,0,42,42,highrate
udp,OTH,60,141,141,0,23,23,highrate
udp,OTH,60,99,99,0,42,42,highrate
udp,OTH,60,109,109,0,33,33,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,100,100,0,42,42,highrate
udp,OTH,60,78,78,0,43,43,highrate
udp,OTH,60,103,103,0,33,33,highrate
udp,OTH,60,108,108,0,40,40,highrate
udp,OTH,60,135,135,0,18,18,highrate
udp,OTH,60,125,125,0,33,33,highrate
udp,OTH,60,82,82,0,40,40,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,52,52,0,24,24,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,33,33,0,30,30,highrate
udp,OTH,60,27,27,0,27,27,highrate
udp,OTH,60,161,161,0,33,33,highrate
udp,OTH,60,162,162,0,33,33,highrate
udp,OTH,60,110,110,0,33,33,highrate
udp,OTH,60,108,108,0,34,34,highrate
udp,OTH,60,139,139,0,17,17,highrate
udp,OTH,60,119,119,0,35,35,highrate
udp,OTH,60,108,108,0,34,34,highrate
udp,OTH,60,151,151,0,33,33,highrate
udp,OTH,60,102,102,0,33,33,highrate
udp,OTH,60,106,106,0,34,34,highrate
udp,OTH,60,82,82,0,42,42,highrate
udp,OTH,60,153,153,0,33,33,highrate
udp,OTH,60,142,142,0,33,33,highrate
udp,OTH,60,108,108,0,33,33,highrate
udp,OTH,60,101,101,0,34,34,highrate
udp,OTH,60,118,118,0,34,34,highrate
udp,OTH,60,103,103,0,33,33,highrate
udp,OTH,60,105,105,0,33,33,highrate
udp,OTH,60,18,18,0,18,18,highrate
udp,OTH,60,109,109,0,40,40,highrate
udp,OTH,60,151,151,0,33,33,highrate
udp,OTH,60,114,114,0,33,33,highrate
udp,OTH,60,113,113,0,33,33,highrate
udp,OTH,60,106,106,0,39,39,highrate
udp,OTH,60,121,121,0,33,33,highrate
