% isAttack normal:	2000
% isAttack attack:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,16,18,20-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,3402,0,51,0,0.02,0,normal
tcp,SF,946,2353,0,88,0,0,0,normal
tcp,SF,946,3452,0,65,0,0,0,normal
tcp,OTH,66,5952,0,50,0,0.12,0,normal
tcp,SF,880,2246,0,100,0,0,0,normal
tcp,SF,946,3876,0,100,0,0,0,normal
tcp,SF,946,1344,0,100,0,0,0,normal
tcp,SF,946,2549,0,100,0,0,0,normal
tcp,SF,946,1932,0,100,0,0,0,normal
tcp,SF,946,3944,0,100,0,0,0,normal
tcp,SF,946,2182,0,98,0,0,0,normal
tcp,OTH,66,3272,0,49,0,0.06,0,normal
tcp,OTH,66,4674,0,53,0,0.13,0,normal
tcp,OTH,66,5914,0,44,0,0.16,0,normal
tcp,OTH,66,3498,0,51,0,0.13,0,normal
tcp,SF,880,566,0,97,0,0,0,normal
tcp,SF,946,2435,0,98,0,0,0,normal
tcp,OTH,146,5678,0,21,0,0,0,normal
tcp,OTH,66,2884,0,42,0,0.12,0,normal
tcp,SF,946,3338,0,91,0,0,0,normal
tcp,SF,946,1747,0,100,0,0,0,normal
tcp,SF,946,3372,0,100,0,0,0,normal
tcp,OTH,66,2671,0,52,0,0.15,0,normal
tcp,OTH,66,1495,0,69,0,0,0,normal
tcp,OTH,66,3291,0,44,0,0.04,0,normal
tcp,OTH,66,3153,0,56,0,0.05,0,normal
tcp,SF,946,2218,0,100,0,0,0,normal
tcp,OTH,66,2999,0,49,0,0.02,0,normal
tcp,SF,946,2386,0,100,0,0,0,normal
tcp,OTH,66,3159,0,57,0,0,0,normal
tcp,OTH,66,5058,0,42,0,0.16,0,normal
tcp,OTH,66,3525,0,48,0,0,0,normal
tcp,OTH,66,4960,0,38,0,0.1,0,normal
tcp,SF,946,3083,0,100,0,0,0,normal
tcp,OTH,66,2840,0,55,0,0.05,0,normal
tcp,SF,1024,3178,0,87,0,0,0,normal
tcp,SF,946,1969,0,100,0,0,0,normal
tcp,OTH,66,5129,0,69,0,0,0,normal
tcp,OTH,66,3283,0,46,0,0.13,0,normal
tcp,SF,1120,1512,0,100,0,0,0,normal
tcp,OTH,66,5246,0,72,0,0.07,0,normal
tcp,OTH,66,3287,0,34,0,0.17,0,normal
tcp,OTH,66,3905,0,80,0,0.06,0,normal
tcp,OTH,66,3849,0,45,0,0,0,normal
tcp,SF,946,1998,0,100,0,0,0,normal
tcp,OTH,66,2729,0,48,0,0.02,0,normal
tcp,OTH,146,4862,0,46,0,0.02,0,normal
tcp,OTH,66,2700,0,45,0,0.11,0,normal
tcp,SF,946,2211,0,100,0,0,0,normal
tcp,SF,946,5668,0,72,0,0,0,normal
tcp,S1,74,2677,0,100,0,0,0,normal
tcp,SF,946,467,0,100,0,0,0,normal
tcp,OTH,66,5364,0,96,0,0.04,0,normal
tcp,OTH,78,3393,0,99,0,0.01,0,normal
tcp,SF,946,2081,0,88,0,0,0,normal
tcp,SF,946,1835,0,100,0,0,0,normal
tcp,OTH,66,2985,0,71,0,0.04,0,normal
tcp,SF,946,3886,0,100,0,0,0,normal
tcp,OTH,66,2344,0,68,0,0,0,normal
tcp,SF,946,2150,0,100,0,0,0,normal
tcp,SF,1020,1444,0,100,0,0,0,normal
tcp,SF,946,3513,0,100,0,0,0,normal
tcp,OTH,66,2431,0,52,0,0.02,0,normal
tcp,SF,946,2109,0,100,0,0,0,normal
tcp,OTH,66,5880,0,48,0,0,0,normal
tcp,SF,946,2435,0,100,0,0,0,normal
tcp,OTH,146,4911,0,48,0,0.02,0,normal
tcp,SF,1012,2266,0,100,0,0,0,normal
tcp,SF,982,1655,0,100,0,0,0,normal
tcp,OTH,66,4961,0,54,0,0.02,0,normal
tcp,OTH,66,3057,0,55,0,0,0,normal
tcp,SF,946,3010,0,100,0,0,0,normal
tcp,OTH,66,2670,0,50,0,0.02,0,normal
tcp,OTH,66,4837,0,57,0,0,0,normal
tcp,SF,946,1749,0,100,0,0,0,normal
tcp,OTH,66,3397,0,46,0,0.06,0,normal
tcp,OTH,146,5154,0,51,0,0.02,0,normal
tcp,OTH,66,5787,0,13,0,0,0,normal
tcp,OTH,78,5743,0,65,0,0.08,0,normal
tcp,SF,946,899,0,99,0,0,0,normal
tcp,SF,1024,2726,0,72,0,0,0,normal
tcp,SF,946,1019,0,100,0,0,0,normal
tcp,SF,946,3346,0,93,0,0,0,normal
tcp,SF,352,3172,0,87,0,0,0,normal
tcp,SF,946,2913,0,98,0,0,0,normal
tcp,SF,946,3296,0,100,0,0,0,normal
tcp,SF,946,3533,0,100,0,0,0,normal
tcp,OTH,146,2498,0,37,0,0.03,0,normal
tcp,SF,946,2255,0,100,0,0,0,normal
tcp,SF,946,2205,0,100,0,0,0,normal
tcp,SF,946,2149,0,100,0,0,0,normal
tcp,SF,946,1429,0,100,0,0,0,normal
tcp,SF,946,2860,0,100,0,0,0,normal
tcp,OTH,66,5778,0,43,0,0.11,0,normal
