% isAttack normal:	2000
% isAttack highrate:	1000
% isAttack lowrate:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,9,18-19,21,24,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute srv_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
OTH,66,5087,66,1,0.06,0,normal
SF,946,905,100,1,0,0,normal
OTH,66,5786,41,1,0.19,0,normal
SF,946,1982,100,1,0,0,normal
SF,946,1116,100,1,0,0,normal
SF,946,3932,69,1,0,0,normal
SF,946,3997,97,1,0,0,normal
SF,946,2046,100,1,0,0,normal
SF,946,3324,100,1,0,0,normal
OTH,66,3577,56,1,0.02,0,normal
SF,946,2133,100,1,0,0,normal
SF,946,3035,100,1,0,0,normal
SF,946,2047,100,1,0,0,normal
SF,946,3116,100,1,0,0,normal
OTH,66,6269,44,1,0.16,0,normal
SF,946,752,100,1,0,0,normal
SF,946,2266,100,1,0,0,normal
SF,946,3879,100,1,0,0,normal
SF,946,3517,100,1,0,0,normal
SF,946,2981,63,1,0,0,normal
SF,946,919,100,1,0,0,normal
SF,946,1851,100,1,0,0,normal
OTH,66,4439,48,1,0.06,0,normal
SF,946,1195,100,1,0,0,normal
SF,946,1860,100,1,0,0,normal
OTH,66,2179,38,1,0,0,normal
OTH,66,3005,46,1,0.13,0,normal
OTH,146,2589,67,1,0.01,0,normal
SF,946,2212,100,1,0,0,normal
OTH,66,2804,60,1,0.11,0,normal
OTH,66,2929,52,1,0,0,normal
OTH,66,3769,100,1,0,0,normal
OTH,66,2498,52,1,0.11,0,normal
SF,1120,1859,94,1,0,0,normal
SF,946,3915,69,1,0,0,normal
SF,946,2065,100,1,0,0,normal
SF,946,2516,100,1,0,0,normal
SF,880,5751,59,1,0,0,normal
SF,946,2418,100,1,0,0,normal
OTH,66,3553,49,1,0.04,0,normal
SF,946,2467,100,1,0,0,normal
SF,946,1942,100,1,0,0,normal
S3,880,3290,100,1,0,1,normal
S1,140,2590,100,1,0,1,normal
SF,946,3988,100,1,0,0,normal
SF,946,2308,100,1,0,0,normal
SF,946,1513,95,1,0,0,normal
SF,734,3577,54,1,0,0,normal
SF,946,2150,100,1,0,0,normal
SF,880,2181,98,1,0,0,normal
OTH,66,3845,46,1,0.15,0,normal
SF,946,2111,100,1,0,0,normal
SF,946,3881,100,1,0,0,normal
OTH,66,4063,32,1,0,0,normal
OTH,66,3557,52,1,0.13,0,normal
OTH,66,3125,33,1,0.06,0,normal
OTH,66,4353,80,1,0,0,normal
OTH,66,3293,45,1,0.02,0,normal
SF,946,2770,98,1,0,0,normal
