% isAttack tcpFlood:	199
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	571
% isAttack slowBody:	571
@relation 'normal-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R7-10,13,21,24,26,38,40'

@attribute max_fpktl numeric
@attribute std_fpktl numeric
@attribute min_bpktl numeric
@attribute mean_bpktl numeric
@attribute min_fiat numeric
@attribute duration numeric
@attribute max_active numeric
@attribute min_idle numeric
@attribute total_fhlen numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
69,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,0,0,0,0,28,normal
156,0,-1,-1,0,0,0,0,28,normal
169,69,-1,-1,495319,3392098,495319,2896779,68,normal
92,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
59,0,-1,-1,0,0,0,0,28,normal
30,0,-1,-1,0,0,0,0,28,normal
92,10,-1,-1,3,4993907,3,1975215,88,normal
84,0,-1,-1,0,2009574,0,2009574,48,normal
303,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
317,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,2074855,0,2074855,48,normal
81,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,61118,61118,61118,0,48,normal
117,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
174,0,-1,-1,0,0,0,0,28,normal
90,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
64,0,-1,-1,0,0,0,0,28,normal
92,0,-1,-1,0,0,0,0,28,normal
726,0,-1,-1,0,0,0,0,28,normal
69,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
74,0,-1,-1,0,0,0,0,28,normal
30,0,-1,-1,0,0,0,0,28,normal
326,0,-1,-1,0,0,0,0,28,normal
82,0,-1,-1,0,0,0,0,28,normal
300,0,-1,-1,0,0,0,0,28,normal
67,0,-1,-1,0,0,0,0,28,normal
90,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,210706,210706,210706,0,48,normal
71,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
93,0,-1,-1,0,0,0,0,28,normal
73,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,0,0,0,28,normal
70,0,-1,-1,0,0,0,0,28,normal
805,0,-1,-1,0,0,0,0,28,normal
58,0,-1,-1,0,3320958,0,3320958,48,normal
475,0,-1,-1,0,0,0,0,28,normal
51,0,-1,-1,0,0,0,0,28,normal
81,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
56,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
59,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
1108,0,-1,-1,0,0,0,0,28,normal
1453,474,-1,-1,13703,10399509,3466358,1969123,488,normal
129,0,-1,-1,0,0,0,0,28,normal
116,36,-1,-1,141536,498436,498436,0,68,normal
64,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,15346,1057258,1057258,0,128,normal
313,0,-1,-1,0,5009846,0,5009846,48,normal
121,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
177,27,-1,-1,380134,990733,990733,0,68,normal
273,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
29,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,537,962678,962678,0,108,normal
1016,0,-1,-1,0,0,0,0,28,normal
131,0,-1,-1,0,0,0,0,28,normal
514,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
72,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
268,0,-1,-1,0,0,0,0,28,normal
177,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
209,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
97,0,-1,-1,0,0,0,0,28,normal
62,0,-1,-1,0,0,0,0,28,normal
203,71,-1,-1,0,6617089,0,1363573,68,normal
92,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,0,0,0,0,28,normal
48,0,-1,-1,2,252096,252096,0,2408,normal
1360,382,-1,-1,588,2631231,5401,2625830,88,normal
717,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
596,0,-1,-1,0,0,0,0,28,normal
89,3,-1,-1,6,8007109,218,8006891,968,normal
93,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
126,0,-1,-1,0,0,0,0,28,normal
176,33,-1,-1,0,7449730,0,7449730,48,normal
627,0,-1,-1,0,0,0,0,28,normal
116,0,-1,-1,0,0,0,0,28,normal
129,0,-1,-1,0,0,0,0,28,normal
44,0,-1,-1,84882,84882,84882,0,48,normal
44,0,-1,-1,0,0,0,0,28,normal
