@relation 'normal'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/N/Every5Sec_40secRun.pcapng,normal
192.168.1.102,60278,192.168.2.100,80,6,13,800,6,11915,52,61,168,32,52,1985,7292,3128,20,498,1730,460,446,2180,5626,2431,1544228,2193,4378,6563,3090,1535472,1535472,1535472,0,6,400,3,5957,1,1,0,0,684,320,normal
192.168.1.131,40670,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,35,8573,23785,13206,513,1194,1875,963,1370626,1989,13634,25279,16468,1343358,1343358,1343358,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40668,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,489,11745,43212,20986,177,1341,2505,1646,1408551,2570,24440,46310,30928,1359671,1359671,1359671,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40672,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,34,11560,33014,18596,356,1006,1656,919,1551032,1721,18656,35591,23949,1513720,1513720,1513720,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40674,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,37,15300,44989,20760,229,1120,2012,1260,1455038,2082,31366,60651,41414,1392305,1392305,1392305,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.130,41470,192.168.2.100,80,6,16,1304,9,12071,52,81,168,51,52,1341,2948,1524,1,61288,439025,132099,209,122853,856894,323681,2246348,3080,430020,856961,603785,1386307,1386307,1386307,0,8,652,4,6035,4,1,0,0,840,476,normal
192.168.1.131,40676,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,37,15112,43975,20293,197,1054,1912,1212,1463448,1987,31048,60110,41099,1401351,1401351,1401351,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40678,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,38,15033,43032,19779,765,1494,2223,1030,1383978,2292,30955,59618,40535,1322068,1322068,1322068,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40680,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,35,8425,23808,13340,305,853,1401,774,1425209,1526,14061,26596,17727,1397087,1397087,1397087,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40666,192.168.2.100,80,6,14,860,6,11915,52,61,168,30,52,1985,7292,3128,4,169,1355,411,492,1013,1649,578,2514080,1389,1362,2697,1348,1026117,1254997,1483877,323685,4,286,2,3971,1,1,0,0,744,320,normal
192.168.1.101,51766,192.168.2.100,80,6,14,968,9,12071,52,69,168,41,52,1341,2948,1524,6,17758,206519,59447,219,30850,209148,78644,1651043,6807,108009,209212,143121,1435024,1435024,1435024,0,7,484,4,6035,2,1,0,0,736,476,normal
192.168.1.131,40682,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,41,10569,39485,19293,298,1133,1968,1180,1437067,2038,22780,43523,29334,1391506,1391506,1391506,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.112,57740,192.168.2.100,80,6,14,860,6,11915,52,61,168,30,52,1985,7292,3128,33,520,1641,495,413,2208,5865,2516,2422137,1900,2959,6979,3608,1030218,1206629,1383040,249482,4,286,2,3971,1,1,0,0,744,320,normal
192.168.1.131,40684,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,19,13986,40157,22681,360,1069,1779,1003,1492229,1852,21793,41734,28200,1448643,1448643,1448643,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40688,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,22,8455,23323,12914,847,1448,2050,850,1584776,2090,13204,24319,15718,1558367,1558367,1558367,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40686,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,3,15949,42413,19828,299,895,1492,843,1605865,1514,32707,63901,44114,1540450,1540450,1540450,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40690,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,39,3234,7685,3974,206,1111,2016,1279,1352404,2080,5559,9038,4920,1341286,1341286,1341286,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40692,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,15,7504,20247,11091,256,1253,2250,1409,1378569,2295,12070,21845,13823,1354429,1354429,1354429,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40694,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,23,9699,27168,15157,377,1150,1923,1093,1377718,1965,15323,28682,18891,1347071,1347071,1347071,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40696,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,40,4523,11366,6020,780,1506,2232,1026,1496687,2265,7651,13037,7616,1481385,1481385,1481385,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40698,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,36,16123,42665,19764,976,1560,2144,825,1522470,2218,33539,64860,44294,1455392,1455392,1455392,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40700,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,4,13009,36912,20726,176,1139,2102,1361,1359451,2175,20986,39798,26603,1317478,1317478,1317478,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40702,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,65,2947,6862,3513,274,1115,1957,1190,1420859,2027,5210,8393,4501,1410439,1410439,1410439,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.121,54128,192.168.2.100,80,6,15,920,6,11915,52,61,168,29,52,1985,7292,3128,25,435,1990,589,458,1830,4328,1813,4469990,2075,1846,5309,2507,1024961,1487535,2014784,498070,3,230,1,2978,1,1,0,0,804,320,normal
192.168.1.131,40704,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,35,5615,15034,8202,189,1021,1853,1176,1565882,1917,9152,16387,10231,1547578,1547578,1547578,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40706,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,8,7238,20252,11293,189,810,1432,878,1587339,1498,11732,21966,14473,1563875,1563875,1563875,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40708,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,13,14698,44145,20515,258,814,1370,786,1631501,1409,30473,59537,41102,1570555,1570555,1570555,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40710,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,19,3796,9425,4968,569,1176,1784,859,1704671,2009,6517,11026,6375,1691636,1691636,1691636,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40712,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,17,6179,17223,9585,225,752,1280,745,1712327,1353,10152,18952,12444,1692022,1692022,1692022,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40714,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,39,12548,35474,19881,305,1246,2188,1331,1636884,2230,19731,37232,24750,1597422,1597422,1597422,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40716,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,34,16110,43584,20308,346,979,1613,895,1627704,1637,33109,64581,44508,1561486,1561486,1561486,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40718,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,32,15120,42783,19701,91,1013,1935,1303,1602424,2120,31103,60087,40988,1540217,1540217,1540217,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40720,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,43,7153,18135,9647,286,1808,3331,2153,1391460,3387,12095,20804,12315,1367269,1367269,1367269,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40722,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,3,7878,21793,12085,298,1088,1879,1117,1457886,1952,13147,24342,15832,1431592,1431592,1431592,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40724,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,26,14212,42983,19904,301,1053,1805,1063,1524085,1874,29745,57616,39415,1464595,1464595,1464595,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40726,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,37,12082,33948,18969,236,1275,2314,1469,1561382,2358,19201,36045,23820,1522979,1522979,1522979,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40728,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,18,7945,21988,12194,356,1090,1824,1038,1452900,1888,13150,24413,15927,1426599,1426599,1426599,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40730,192.168.2.100,80,6,5,305,4,699,52,61,89,16,52,174,535,240,38,2398,5193,2604,193,1095,1997,1275,1460126,2058,4552,7046,3527,1451022,1451022,1451022,0,2,152,2,349,1,1,0,0,268,216,normal
192.168.1.131,40732,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,36,15218,42977,19767,358,1264,2171,1281,1537803,2235,31246,60258,41028,1475310,1475310,1475310,0,3,178,2,349,1,1,0,0,320,216,normal
192.168.1.131,40734,192.168.2.100,80,6,6,357,4,699,52,59,89,14,52,174,535,240,18,15354,40429,18935,322,864,1406,766,1564462,1478,31778,62078,42850,1500906,1500906,1500906,0,3,178,2,349,1,1,0,0,320,216,normal
