@relation 'tcpFlood'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Loic/T/10ConnectionsNoAppend.pcapng,tcpFlood
192.168.1.141,49726,192.168.2.100,80,6,12414,838760,952,51442,52,67,1500,40,52,54,566,17,2,1785,496653,6414,3,23295,632354,27808,22159435,22159435,22159435,22159435,0,0,0,0,0,12414,838760,952,51442,12409,1,0,0,645536,50928,tcpFlood
192.168.1.120,51282,192.168.2.100,80,6,8376,556496,2100,110088,52,66,1500,37,52,52,80,2,3,1668,360665,5937,1,6657,625431,17070,13973906,13973906,13973906,13973906,0,0,0,0,0,8376,556496,2100,110088,8372,0,0,0,435560,110088,tcpFlood
0.0.0.0,68,255.255.255.255,67,17,3,984,0,0,328,328,328,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,23190862,0,0,0,0,6739961,11595431,16450901,6866671,1,328,0,0,0,0,0,0,68,0,tcpFlood
192.168.1.141,49734,192.168.2.100,80,6,11963,790624,3000,157666,52,66,2948,58,52,52,566,9,1,1629,912102,11128,2,6496,2202291,40834,19488087,19488087,19488087,19488087,0,0,0,0,0,11963,790624,3000,157666,11955,1,0,0,622084,157152,tcpFlood
192.168.1.120,51294,192.168.2.100,80,6,6425,431692,1562,82118,52,67,2948,58,52,52,566,13,2,1726,476735,9465,2,7104,1220790,32234,11089992,11089992,11089992,11089992,0,0,0,0,0,6425,431692,1562,82118,6419,1,0,0,334108,81604,tcpFlood
192.168.1.102,52250,192.168.2.100,80,6,750,48968,152,8426,52,65,220,11,52,55,566,41,1,1496,18795,1348,51,7419,35414,8756,1121224,1121224,1121224,1121224,0,0,0,0,0,750,48968,152,8426,747,1,0,0,39008,7912,tcpFlood
192.168.1.112,56386,192.168.2.100,80,6,4076,261880,911,47894,52,64,184,4,52,52,566,17,1,1388,16334,729,6,6198,44105,7835,5656711,5656711,5656711,5656711,0,0,0,0,0,4076,261880,911,47894,4073,1,0,0,211960,47380,tcpFlood
192.168.1.132,54496,192.168.2.100,80,6,10599,694928,2621,137874,52,65,976,20,52,52,566,10,2,1543,154232,3651,4,6239,130730,9511,16352916,16352916,16352916,16352916,0,0,0,0,0,10599,694928,2621,137874,10596,1,0,0,551156,137360,tcpFlood
192.168.1.100,48920,192.168.2.100,80,6,736,48036,147,8166,52,65,208,10,52,55,566,42,17,1482,17507,1338,6,7441,34325,9362,1089323,1089323,1089323,1089323,0,0,0,0,0,736,48036,147,8166,733,1,0,0,38280,7652,tcpFlood
192.168.1.142,52752,192.168.2.100,80,6,12413,815908,3090,162590,52,65,2948,43,52,52,566,9,3,1569,521215,6102,2,6306,973632,19504,19482388,19482388,19482388,19482388,0,0,0,0,0,12413,815908,3090,162590,12408,1,0,0,645484,162076,tcpFlood
