@relation 'slowRead'

@attribute 'srcip' STRING
@attribute 'srcport' NUMERIC
@attribute 'dstip' STRING
@attribute 'dstport' NUMERIC
@attribute 'proto' NUMERIC
@attribute 'total_fpackets' NUMERIC
@attribute 'total_fvolume' NUMERIC
@attribute 'total_bpackets' NUMERIC
@attribute 'total_bvolume' NUMERIC
@attribute 'min_fpktl' NUMERIC
@attribute 'mean_fpktl' NUMERIC
@attribute 'max_fpktl' NUMERIC
@attribute 'std_fpktl' NUMERIC
@attribute 'min_bpktl' NUMERIC
@attribute 'mean_bpktl' NUMERIC
@attribute 'max_bpktl' NUMERIC
@attribute 'std_bpktl' NUMERIC
@attribute 'min_fiat' NUMERIC
@attribute 'mean_fiat' NUMERIC
@attribute 'max_fiat' NUMERIC
@attribute 'std_fiat' NUMERIC
@attribute 'min_biat' NUMERIC
@attribute 'mean_biat' NUMERIC
@attribute 'max_biat' NUMERIC
@attribute 'std_biat' NUMERIC
@attribute 'duration' NUMERIC
@attribute 'min_active' NUMERIC
@attribute 'mean_active' NUMERIC
@attribute 'max_active' NUMERIC
@attribute 'std_active' NUMERIC
@attribute 'min_idle' NUMERIC
@attribute 'mean_idle' NUMERIC
@attribute 'max_idle' NUMERIC
@attribute 'std_idle' NUMERIC
@attribute 'sflow_fpackets' NUMERIC
@attribute 'sflow_fbytes' NUMERIC
@attribute 'sflow_bpackets' NUMERIC
@attribute 'sflow_bbytes' NUMERIC
@attribute 'fpsh_cnt' NUMERIC
@attribute 'bpsh_cnt' NUMERIC
@attribute 'furg_cnt' NUMERIC
@attribute 'burg_cnt' NUMERIC
@attribute 'total_fhlen' NUMERIC
@attribute 'total_bhlen' NUMERIC

@attribute isAttack {normal,slowBody,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}

@DATA
%Filename: /mnt/hgfs/VMShares/testbed/Feb2_2018/Slowhttptest/GET/X/100Connection.pcapng,slowRead
192.168.1.140,33580,192.168.2.100,80,6,11,2661,8,12012,40,241,351,151,52,1501,2948,1544,636,241381,831024,306287,127,397,1351,533,11035815,1478,422965,1688252,843524,1659192,3114651,6020817,2516814,2,665,2,3003,7,1,0,0,568,436,slowRead
192.168.1.131,46076,192.168.2.100,80,6,5,555,6,11896,40,111,351,134,52,1982,7292,3125,601,185703,555667,320398,242,128758,513064,256204,5602553,1504,278585,555667,391852,5045382,5045382,5045382,0,2,277,3,5948,1,1,0,0,256,320,slowRead
192.168.1.101,41136,192.168.2.100,80,6,5,451,6,11896,40,90,247,87,52,1982,7292,3125,159,180399,539157,310694,219,124193,494193,246667,5597953,2087,270622,539157,379765,5056709,5056709,5056709,0,2,225,3,5948,1,1,0,0,256,320,slowRead
192.168.1.111,46234,192.168.2.100,80,6,5,451,6,11896,40,90,247,87,52,1982,7292,3125,382,196416,587159,338393,220,136310,542636,270884,5598786,2121,294640,587159,413684,5009506,5009506,5009506,0,2,225,3,5948,1,1,0,0,256,320,slowRead
192.168.1.142,51930,192.168.2.100,80,6,5,451,6,11896,40,90,247,87,52,1982,7292,3125,21,323104,967926,558432,219,231531,924286,461836,5979703,1430,484678,967926,683415,5010347,5010347,5010347,0,2,225,3,5948,1,1,0,0,256,320,slowRead
192.168.1.120,50476,192.168.2.100,80,6,12,1846,8,12012,40,153,226,89,52,1501,2948,1544,34,238017,832008,304016,218,600,1885,721,11415935,1919,333690,1664220,743789,1017501,2436870,6002021,2394848,2,369,1,2402,7,1,0,0,628,436,slowRead
192.168.1.120,50478,192.168.2.100,80,6,5,430,6,11896,40,86,226,78,52,1982,7292,3125,387,331944,993817,573198,385,238213,949998,474523,6005952,2030,497923,993817,701299,5010105,5010105,5010105,0,2,215,3,5948,1,1,0,0,256,320,slowRead
192.168.1.141,48926,192.168.2.100,80,6,5,451,6,11896,40,90,247,87,52,1982,5844,2987,833,332406,994778,573630,443,237822,947923,473401,6007874,2458,498618,994778,701676,5010638,5010638,5010638,0,2,225,3,5948,1,1,0,0,256,320,slowRead
192.168.1.112,55286,192.168.2.100,80,6,5,451,6,11896,40,90,247,87,52,1982,7292,3125,363,332304,994718,573667,381,238126,949533,474271,6006824,2223,498470,994718,701799,5009883,5009883,5009883,0,2,225,3,5948,1,1,0,0,256,320,slowRead
192.168.1.121,44038,192.168.2.100,80,6,5,430,5,11844,40,86,226,78,52,2368,7292,3330,472,309390,926333,534287,336,295091,883085,509218,6007466,1865,464099,926333,653697,5079268,5079268,5079268,0,2,215,2,5922,1,1,0,0,256,268,slowRead
