% isAttack HIGH_RATE:	1333
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
OTH,78,0,3713,HIGH_RATE
OTH,78,0,2403,HIGH_RATE
OTH,78,0,5786,HIGH_RATE
OTH,78,0,6073,HIGH_RATE
OTH,78,0,1303,HIGH_RATE
OTH,78,0,1614,HIGH_RATE
OTH,78,0,3526,HIGH_RATE
OTH,78,0,5086,HIGH_RATE
OTH,78,0,4956,HIGH_RATE
OTH,78,0,2571,HIGH_RATE
OTH,78,0,4504,HIGH_RATE
OTH,78,0,314,HIGH_RATE
OTH,78,0,1490,HIGH_RATE
OTH,78,0,3073,HIGH_RATE
OTH,78,0,519,HIGH_RATE
OTH,78,0,3785,HIGH_RATE
OTH,78,0,2815,HIGH_RATE
OTH,78,0,1715,HIGH_RATE
OTH,78,0,625,HIGH_RATE
OTH,78,0,778,HIGH_RATE
OTH,78,0,1107,HIGH_RATE
OTH,78,0,4975,HIGH_RATE
OTH,78,0,1948,HIGH_RATE
OTH,78,0,1609,HIGH_RATE
OTH,78,0,3209,HIGH_RATE
OTH,78,0,215,HIGH_RATE
OTH,78,0,3289,HIGH_RATE
OTH,78,0,3985,HIGH_RATE
OTH,78,0,34,HIGH_RATE
OTH,78,0,488,HIGH_RATE
OTH,78,0,776,HIGH_RATE
OTH,78,0,1865,HIGH_RATE
OTH,78,0,5782,HIGH_RATE
OTH,78,0,4411,HIGH_RATE
OTH,78,0,6217,HIGH_RATE
OTH,78,0,4237,HIGH_RATE
OTH,78,0,3579,HIGH_RATE
OTH,78,0,452,HIGH_RATE
OTH,78,0,1269,HIGH_RATE
OTH,78,0,3039,HIGH_RATE
OTH,78,0,1295,HIGH_RATE
OTH,78,0,3734,HIGH_RATE
OTH,78,0,263,HIGH_RATE
OTH,78,0,4671,HIGH_RATE
OTH,78,0,3842,HIGH_RATE
OTH,78,0,3145,HIGH_RATE
OTH,78,0,2926,HIGH_RATE
OTH,78,0,738,HIGH_RATE
OTH,78,0,2204,HIGH_RATE
OTH,78,0,690,HIGH_RATE
OTH,78,0,6349,HIGH_RATE
OTH,78,0,695,HIGH_RATE
OTH,78,0,1310,HIGH_RATE
OTH,78,0,5874,HIGH_RATE
OTH,78,0,3697,HIGH_RATE
OTH,78,0,1432,HIGH_RATE
OTH,78,0,6115,HIGH_RATE
OTH,78,0,1319,HIGH_RATE
OTH,78,0,1184,HIGH_RATE
OTH,78,0,4205,HIGH_RATE
OTH,78,0,4111,HIGH_RATE
OTH,78,0,1606,HIGH_RATE
OTH,78,0,5246,HIGH_RATE
OTH,78,0,197,HIGH_RATE
OTH,78,0,4922,HIGH_RATE
OTH,78,0,112,HIGH_RATE
OTH,78,0,4878,HIGH_RATE
OTH,78,0,1173,HIGH_RATE
OTH,78,0,3984,HIGH_RATE
OTH,78,0,4155,HIGH_RATE
OTH,78,0,4664,HIGH_RATE
OTH,78,0,2532,HIGH_RATE
OTH,78,0,1644,HIGH_RATE
OTH,78,0,3859,HIGH_RATE
OTH,78,0,3001,HIGH_RATE
OTH,78,0,4661,HIGH_RATE
OTH,78,0,1526,HIGH_RATE
OTH,78,0,2757,HIGH_RATE
OTH,78,0,5523,HIGH_RATE
OTH,78,0,3643,HIGH_RATE
OTH,78,0,587,HIGH_RATE
OTH,78,0,3412,HIGH_RATE
OTH,78,0,678,HIGH_RATE
OTH,78,0,1541,HIGH_RATE
OTH,78,0,6261,HIGH_RATE
OTH,78,0,5553,HIGH_RATE
OTH,78,0,4140,HIGH_RATE
OTH,78,0,2276,HIGH_RATE
OTH,78,0,5987,HIGH_RATE
OTH,78,0,5962,HIGH_RATE
OTH,78,0,4479,HIGH_RATE
OTH,78,0,2871,HIGH_RATE
OTH,78,0,517,HIGH_RATE
OTH,78,0,6347,HIGH_RATE
OTH,78,0,11,HIGH_RATE
OTH,78,0,4363,HIGH_RATE
OTH,78,0,5781,HIGH_RATE
OTH,78,0,5703,HIGH_RATE
OTH,78,0,2249,HIGH_RATE
OTH,78,0,1044,HIGH_RATE
OTH,78,0,730,HIGH_RATE
OTH,78,0,4210,HIGH_RATE
OTH,78,0,4119,HIGH_RATE
OTH,78,0,673,HIGH_RATE
OTH,78,0,5204,HIGH_RATE
OTH,78,0,1094,HIGH_RATE
OTH,78,0,1763,HIGH_RATE
OTH,78,0,2648,HIGH_RATE
OTH,78,0,5466,HIGH_RATE
OTH,78,0,5900,HIGH_RATE
OTH,78,0,4331,HIGH_RATE
OTH,78,0,3065,HIGH_RATE
OTH,78,0,2439,HIGH_RATE
OTH,78,0,3480,HIGH_RATE
OTH,78,0,1195,HIGH_RATE
OTH,78,0,2682,HIGH_RATE
OTH,78,0,4604,HIGH_RATE
OTH,78,0,598,HIGH_RATE
OTH,78,0,2991,HIGH_RATE
OTH,78,0,835,HIGH_RATE
OTH,78,0,261,HIGH_RATE
OTH,78,0,2476,HIGH_RATE
OTH,78,0,3296,HIGH_RATE
OTH,78,0,4558,HIGH_RATE
OTH,78,0,1330,HIGH_RATE
OTH,78,0,1151,HIGH_RATE
OTH,78,0,2619,HIGH_RATE
OTH,78,0,5198,HIGH_RATE
OTH,78,0,3185,HIGH_RATE
OTH,78,0,4143,HIGH_RATE
OTH,78,0,1853,HIGH_RATE
OTH,78,0,3012,HIGH_RATE
OTH,78,0,2245,HIGH_RATE
OTH,78,0,959,HIGH_RATE
OTH,78,0,4510,HIGH_RATE
OTH,78,0,1054,HIGH_RATE
OTH,78,0,2065,HIGH_RATE
OTH,78,0,2274,HIGH_RATE
OTH,78,0,1744,HIGH_RATE
OTH,78,0,3212,HIGH_RATE
OTH,78,0,1050,HIGH_RATE
OTH,78,0,3810,HIGH_RATE
OTH,78,0,4249,HIGH_RATE
OTH,78,0,2091,HIGH_RATE
OTH,78,0,5136,HIGH_RATE
OTH,78,0,4723,HIGH_RATE
OTH,78,0,6182,HIGH_RATE
OTH,78,0,3147,HIGH_RATE
OTH,78,0,3112,HIGH_RATE
OTH,78,0,4966,HIGH_RATE
OTH,78,0,3535,HIGH_RATE
OTH,78,0,4282,HIGH_RATE
OTH,78,0,4701,HIGH_RATE
OTH,78,0,1832,HIGH_RATE
OTH,78,0,2500,HIGH_RATE
OTH,78,0,924,HIGH_RATE
OTH,78,0,2336,HIGH_RATE
OTH,78,0,4454,HIGH_RATE
OTH,78,0,1562,HIGH_RATE
OTH,78,0,4326,HIGH_RATE
OTH,78,0,2538,HIGH_RATE
OTH,78,0,6213,HIGH_RATE
OTH,78,0,3388,HIGH_RATE
OTH,78,0,3254,HIGH_RATE
OTH,78,0,4716,HIGH_RATE
OTH,78,0,3776,HIGH_RATE
OTH,78,0,17,HIGH_RATE
OTH,78,0,801,HIGH_RATE
OTH,78,0,902,HIGH_RATE
OTH,78,0,4714,HIGH_RATE
OTH,78,0,4638,HIGH_RATE
OTH,78,0,1129,HIGH_RATE
OTH,78,0,482,HIGH_RATE
OTH,78,0,2005,HIGH_RATE
OTH,78,0,1751,HIGH_RATE
OTH,78,0,4668,HIGH_RATE
OTH,78,0,4059,HIGH_RATE
OTH,78,0,5229,HIGH_RATE
OTH,78,0,3435,HIGH_RATE
OTH,78,0,796,HIGH_RATE
OTH,78,0,927,HIGH_RATE
OTH,78,0,2765,HIGH_RATE
OTH,78,0,3919,HIGH_RATE
OTH,78,0,181,HIGH_RATE
OTH,78,0,6262,HIGH_RATE
OTH,78,0,3629,HIGH_RATE
OTH,78,0,3905,HIGH_RATE
OTH,78,0,700,HIGH_RATE
OTH,78,0,476,HIGH_RATE
OTH,78,0,4996,HIGH_RATE
OTH,78,0,1857,HIGH_RATE
OTH,78,0,5326,HIGH_RATE
OTH,78,0,5094,HIGH_RATE
OTH,78,0,1610,HIGH_RATE
OTH,78,0,4407,HIGH_RATE
OTH,78,0,1727,HIGH_RATE
OTH,78,0,5277,HIGH_RATE
OTH,78,0,1141,HIGH_RATE
OTH,78,0,2509,HIGH_RATE
OTH,78,0,450,HIGH_RATE
OTH,78,0,1252,HIGH_RATE
OTH,78,0,5183,HIGH_RATE
OTH,78,0,5747,HIGH_RATE
OTH,78,0,5000,HIGH_RATE
OTH,78,0,221,HIGH_RATE
OTH,78,0,5357,HIGH_RATE
OTH,78,0,3356,HIGH_RATE
OTH,78,0,5159,HIGH_RATE
OTH,78,0,6218,HIGH_RATE
OTH,78,0,1932,HIGH_RATE
OTH,78,0,4109,HIGH_RATE
OTH,78,0,1105,HIGH_RATE
OTH,78,0,828,HIGH_RATE
OTH,78,0,5919,HIGH_RATE
OTH,78,0,3504,HIGH_RATE
OTH,78,0,1539,HIGH_RATE
OTH,78,0,2637,HIGH_RATE
OTH,78,0,333,HIGH_RATE
OTH,78,0,165,HIGH_RATE
OTH,78,0,3396,HIGH_RATE
OTH,78,0,2482,HIGH_RATE
OTH,78,0,6032,HIGH_RATE
OTH,78,0,5589,HIGH_RATE
OTH,78,0,3297,HIGH_RATE
OTH,78,0,1325,HIGH_RATE
OTH,78,0,6277,HIGH_RATE
OTH,78,0,2384,HIGH_RATE
OTH,78,0,848,HIGH_RATE
OTH,78,0,2690,HIGH_RATE
OTH,78,0,4386,HIGH_RATE
OTH,78,0,4908,HIGH_RATE
OTH,78,0,6309,HIGH_RATE
OTH,78,0,5888,HIGH_RATE
OTH,78,0,3114,HIGH_RATE
OTH,78,0,225,HIGH_RATE
OTH,78,0,6230,HIGH_RATE
OTH,78,0,2617,HIGH_RATE
OTH,78,0,3295,HIGH_RATE
OTH,78,0,291,HIGH_RATE
OTH,78,0,3484,HIGH_RATE
OTH,78,0,5337,HIGH_RATE
OTH,78,0,85,HIGH_RATE
OTH,78,0,393,HIGH_RATE
OTH,78,0,2125,HIGH_RATE
OTH,78,0,3204,HIGH_RATE
OTH,78,0,5327,HIGH_RATE
OTH,78,0,4704,HIGH_RATE
OTH,78,0,6313,HIGH_RATE
OTH,78,0,3646,HIGH_RATE
OTH,78,0,1197,HIGH_RATE
OTH,78,0,1775,HIGH_RATE
OTH,78,0,1427,HIGH_RATE
OTH,78,0,3438,HIGH_RATE
OTH,78,0,5129,HIGH_RATE
OTH,78,0,5810,HIGH_RATE
OTH,78,0,2708,HIGH_RATE
OTH,78,0,2436,HIGH_RATE
OTH,78,0,992,HIGH_RATE
OTH,78,0,105,HIGH_RATE
OTH,78,0,1549,HIGH_RATE
OTH,78,0,5496,HIGH_RATE
OTH,78,0,5030,HIGH_RATE
OTH,78,0,608,HIGH_RATE
OTH,78,0,1384,HIGH_RATE
OTH,78,0,2605,HIGH_RATE
OTH,78,0,759,HIGH_RATE
OTH,78,0,4419,HIGH_RATE
OTH,78,0,4216,HIGH_RATE
OTH,78,0,3520,HIGH_RATE
OTH,78,0,2364,HIGH_RATE
OTH,78,0,3077,HIGH_RATE
OTH,78,0,6321,HIGH_RATE
OTH,78,0,816,HIGH_RATE
OTH,78,0,2977,HIGH_RATE
OTH,78,0,3836,HIGH_RATE
OTH,78,0,2372,HIGH_RATE
OTH,78,0,5012,HIGH_RATE
OTH,78,0,2653,HIGH_RATE
OTH,78,0,3340,HIGH_RATE
OTH,78,0,4547,HIGH_RATE
OTH,78,0,4432,HIGH_RATE
OTH,78,0,64,HIGH_RATE
OTH,78,0,4055,HIGH_RATE
OTH,78,0,6195,HIGH_RATE
OTH,78,0,4348,HIGH_RATE
OTH,78,0,3647,HIGH_RATE
OTH,78,0,5211,HIGH_RATE
OTH,78,0,4891,HIGH_RATE
OTH,78,0,2102,HIGH_RATE
OTH,78,0,3427,HIGH_RATE
OTH,78,0,5399,HIGH_RATE
OTH,78,0,3726,HIGH_RATE
OTH,78,0,2980,HIGH_RATE
OTH,78,0,4944,HIGH_RATE
OTH,78,0,3500,HIGH_RATE
OTH,78,0,1305,HIGH_RATE
OTH,78,0,5035,HIGH_RATE
OTH,78,0,1841,HIGH_RATE
OTH,78,0,1392,HIGH_RATE
OTH,78,0,4379,HIGH_RATE
OTH,78,0,1983,HIGH_RATE
OTH,78,0,4567,HIGH_RATE
OTH,78,0,3799,HIGH_RATE
OTH,78,0,5358,HIGH_RATE
OTH,78,0,5268,HIGH_RATE
OTH,78,0,2904,HIGH_RATE
OTH,78,0,4172,HIGH_RATE
OTH,78,0,1075,HIGH_RATE
OTH,78,0,6178,HIGH_RATE
