% isAttack normal:	1332
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,8,11,15-17,21,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {normal,attack}

@data
0,tcp,SF,946,12395,2323,0,0,0,47,0,normal
0,tcp,SF,946,12461,2750,0,0,0,100,0,normal
0,tcp,OTH,66,0,3114,0,0,0,83,0.08,normal
0,tcp,SF,946,12461,3028,0,0,0,100,0,normal
0,tcp,S1,286,140,1665,0.05,0,0,100,0,normal
0,tcp,SF,946,12461,2187,0,0,0,100,0,normal
0,tcp,OTH,66,0,3069,0,0,0,85,0,normal
0,tcp,OTH,66,0,3493,0,0,0,48,0.18,normal
0,tcp,SF,946,12461,1583,0,0,0,100,0,normal
0,tcp,SF,946,12461,2122,0,0,0,100,0,normal
0,tcp,SF,946,12461,2330,0,0,0,100,0,normal
0,tcp,S1,140,66,2264,0.26,0,0,100,0,normal
0,tcp,SF,880,12472,2711,0,0,0,78,0,normal
0,tcp,OTH,66,0,3383,0,0,0,52,0.08,normal
0,tcp,SF,946,12461,2179,0,0,0,98,0,normal
0,tcp,SF,946,12461,2943,0,0,0,100,0,normal
0,tcp,SF,946,12461,999,0,0,0,100,0,normal
0,tcp,OTH,146,0,3546,0,0,0,52,0.02,normal
0,tcp,SF,1048,12461,2034,0,0,0,100,0,normal
13,tcp,RSTR,1086,12521,1530,0,0,0,90,0,normal
0,tcp,SF,1024,12527,2780,0,0,0,100,0,normal
0,tcp,SF,1024,12527,2685,0,0,0,100,0,normal
0,tcp,SF,946,12461,2533,0,0,0,100,0,normal
0,tcp,OTH,66,0,2789,0,0,0,46,0.02,normal
0,tcp,SF,946,12461,2321,0,0,0,100,0,normal
0,tcp,SF,946,12461,2167,0,0,0,99,0,normal
0,tcp,SF,880,12395,2080,0,0,0,88,0,normal
0,tcp,SF,946,12461,3088,0,0,0,100,0,normal
0,tcp,OTH,146,0,4355,0,0,0,80,0.01,normal
0,tcp,OTH,66,0,3005,0,0,0,56,0,normal
0,tcp,SF,880,12395,3372,0,0,0,65,0,normal
0,tcp,OTH,66,0,5974,0,0,0,42,0.19,normal
0,tcp,SF,946,12461,2187,0,0,0,100,0,normal
0,tcp,SF,946,12461,281,0,0,0,100,0,normal
0,tcp,OTH,66,0,5917,0,0,0,64,0.03,normal
0,tcp,SF,880,12395,1886,0,0,0,99,0,normal
0,tcp,SF,946,12461,2753,0,0,0,100,0,normal
0,tcp,SF,946,12461,3368,0,0,0,100,0,normal
0,tcp,SF,946,12461,3909,0,0,0,100,0,normal
0,tcp,SF,880,12395,2621,0,0,0,100,0,normal
0,tcp,OTH,66,0,3144,0,0,0,100,0.01,normal
0,tcp,SF,1120,12461,1723,0,0,0,100,0,normal
0,tcp,OTH,66,0,5463,0,0,0,100,0.01,normal
0,tcp,OTH,66,0,3743,0,0,0,52,0.11,normal
0,tcp,OTH,66,0,5044,0,0,0,46,0,normal
0,tcp,SF,946,12461,3301,0,0,0,100,0,normal
0,tcp,SF,946,12461,3345,0,0,0,96,0,normal
0,tcp,SF,430,206,3117,0,0,0,86,0,normal
0,tcp,S3,958,12527,3754,0.52,0,0,100,0,normal
0,tcp,OTH,66,0,4363,0,0,0,48,0.06,normal
0,tcp,OTH,66,0,3868,0,0,0,46,0.13,normal
0,tcp,SF,946,12461,2015,0,0,0,100,0,normal
0,tcp,SF,880,12395,2216,0,0,0,100,0,normal
0,tcp,OTH,66,0,5011,0,0,0,47,0.06,normal
