% isAttack normal:	1000
% isAttack attack:	1000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-V-R2-4,8-10,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute serror_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,OTH,66,3607,3607,0,0,32,0.09,0,normal
tcp,OTH,66,5182,5182,0,0,22,0,0,normal
tcp,OTH,66,5961,5961,0,0,39,0.03,0,normal
tcp,SF,946,2077,2077,0,0,100,0,0,normal
tcp,OTH,66,3201,3201,0,0,48,0.04,0,normal
tcp,SF,946,1855,1855,0,0,100,0,0,normal
tcp,SF,1048,2134,2134,0,0,100,0,0,normal
tcp,SF,946,1671,1671,0,0,100,0,0,normal
tcp,SF,946,1829,1829,0,0,100,0,0,normal
tcp,SF,946,1895,1895,0,0,100,0,0,normal
tcp,OTH,146,3075,3075,0,0,46,0.02,0,normal
tcp,OTH,146,5229,5229,0,0,39,0.03,0,normal
tcp,OTH,66,3686,3686,0,0,91,0.02,0,normal
tcp,SF,946,1936,1936,0,0,100,0,0,normal
tcp,SF,946,2066,2066,0,0,100,0,0,normal
tcp,OTH,66,2878,2878,0,0,53,0.15,0,normal
tcp,OTH,66,3363,3363,0,0,52,0.09,0,normal
tcp,OTH,66,2909,2909,0,0,19,0.2,0,normal
tcp,OTH,66,3172,3172,0,0,67,0.12,0,normal
tcp,OTH,66,2931,2931,0,0,49,0.16,0,normal
tcp,SF,946,2147,2147,0,0,100,0,0,normal
tcp,SF,946,2051,2051,0,0,88,0,0,normal
tcp,SF,1024,3067,3067,0,0,72,0,0,normal
