% isAttack normal:	1000
% isAttack highrate:	500
% isAttack lowrate:	500
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8-9,16,18,21-22,27-weka.filters.unsupervised.attribute.Remove'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
SF,946,2263,2263,0,100,0,0,normal
SF,946,1558,1558,0,100,0,0,normal
OTH,66,3667,3667,0,45,0,0,normal
OTH,66,3947,3947,0,84,0.02,0,normal
OTH,66,2814,2814,0,46,0.11,0,normal
SF,946,1606,1606,0,100,0,0,normal
SF,946,2914,2914,0,100,0,0,normal
SF,946,1580,1580,0,100,0,0,normal
OTH,66,2608,2608,0,43,0.18,0,normal
OTH,66,5789,5789,0,32,0.12,0,normal
SF,946,2290,2290,0,100,0,0,normal
SF,946,3090,3090,0,100,0,0,normal
SF,946,1916,1916,0,50,0,0,normal
SF,946,307,307,0,100,0,0,normal
OTH,66,4210,4210,0,57,0.1,0,normal
SF,946,5681,5681,0,72,0,0,normal
OTH,66,5340,5340,0,81,0,0,normal
OTH,66,3195,3195,0,43,0.16,0,normal
SF,1024,3115,3115,0,74,0,0,normal
OTH,66,3185,3185,0,53,0.02,0,normal
OTH,66,2770,2770,0,50,0.16,0,normal
OTH,66,4996,4996,0,68,0.01,0,normal
OTH,66,5199,5199,0,51,0.15,0,normal
SF,946,2102,2102,0,100,0,0,normal
SF,946,905,905,0,99,0,0,normal
SF,946,976,976,0,100,0,0,normal
SF,880,1471,1471,0,100,0,0,normal
OTH,66,5491,5491,0,79,0.03,0,normal
SF,946,20,20,0,20,0,0,normal
OTH,66,6233,6233,0,50,0,0,normal
SF,946,2057,2057,0,99,0,0,normal
SF,946,3053,3053,0,100,0,0,normal
SF,946,1528,1528,0,100,0,0,normal
SF,946,2146,2146,0,100,0,0,normal
OTH,146,3091,3091,0,41,0,0,normal
S2,206,2575,2575,0,100,0,0,normal
SF,946,779,779,0,100,0,0,normal
SF,946,1871,1871,0,100,0,0,normal
OTH,66,2795,2795,0,53,0,0,normal
SF,946,985,985,0,100,0,0,normal
OTH,66,6297,6297,0,44,0.02,0,normal
SF,946,2456,2456,0,100,0,0,normal
SF,430,3309,3309,0,82,0,0,normal
OTH,66,2740,2740,0,56,0.05,0,normal
OTH,66,1449,1449,0,50,0.02,0,normal
SF,946,2153,2153,0,100,0,0,normal
S2,1024,3266,3266,0,100,0,0,normal
S2,946,3582,3582,0,100,0,0,normal
OTH,66,2973,2973,0,63,0,0,normal
SF,880,4460,4460,0,60,0,0,normal
OTH,66,5465,5465,0,100,0.03,0,normal
OTH,66,1492,1492,0,67,0.01,0,normal
OTH,66,2863,2863,0,49,0.12,0,normal
OTH,66,2849,2849,0,50,0.1,0,normal
SF,946,1126,1126,0,100,0,0,normal
SF,946,2177,2177,0,100,0,0,normal
SF,946,2039,2039,0,100,0,0,normal
OTH,66,4082,4082,0,99,0.05,0,normal
SF,946,1536,1536,0,100,0,0,normal
SF,946,2251,2251,0,100,0,0,normal
OTH,66,3186,3186,0,44,0.16,0,normal
SF,946,1910,1910,0,100,0,0,normal
OTH,66,3877,3877,0,54,0.15,0,normal
SF,946,1892,1892,0,99,0,0,normal
SF,1092,2242,2242,0,100,0,0,normal
SF,946,3358,3358,0,100,0,0,normal
OTH,66,4879,4879,0,50,0.14,0,normal
SF,946,1150,1150,0,100,0,0,normal
SF,946,1917,1917,0,85,0,0,normal
S3,800,3688,3688,0,100,0,0,normal
SF,946,2978,2978,0,63,0,0,normal
OTH,66,2026,2026,0,47,0.04,0,normal
OTH,66,2129,2129,0,53,0.07,0,normal
SF,946,1981,1981,0,100,0,0,normal
OTH,78,2490,2490,0,55,0.02,0,normal
OTH,66,2890,2890,0,41,0.07,0,normal
OTH,66,5820,5820,0,45,0.02,0,normal
SF,946,2126,2126,0,100,0,0,normal
OTH,66,3648,3648,0,85,0,0,normal
OTH,66,3927,3927,0,80,0,0,normal
SF,946,3846,3846,0,100,0,0,normal
SF,946,2120,2120,0,100,0,0,normal
OTH,78,3865,3865,0,75,0.01,0,normal
SF,946,3909,3909,0,100,0,0,normal
OTH,66,2960,2960,0,46,0.15,0,normal
SF,946,2000,2000,0,86,0,0,normal
OTH,66,2242,2242,0,48,0.16,0,normal
SF,946,1904,1904,0,100,0,0,normal
SF,946,3022,3022,0,63,0,0,normal
OTH,66,3973,3973,0,97,0.01,0,normal
SF,946,3173,3173,0,100,0,0,normal
SF,946,2138,2138,0,100,0,0,normal
OTH,66,3384,3384,0,52,0.09,0,normal
OTH,66,4392,4392,0,32,0.12,0,normal
SF,946,2067,2067,0,47,0,0,normal
SF,880,2272,2272,0,100,0,0,normal
SF,880,4271,4271,0,66,0,0,normal
SF,946,3378,3378,0,100,0,0,normal
SF,946,1146,1146,0,100,0,0,normal
OTH,66,3081,3081,0,46,0,0,normal
SF,946,2842,2842,0,100,0,0,normal
OTH,66,4394,4394,0,34,0.17,0,normal
OTH,66,5659,5659,0,11,0,0,normal
OTH,66,5833,5833,0,41,0,0,normal
SF,880,3161,3161,0,100,0,0,normal
S1,220,3179,3179,0,100,0,0,normal
SF,946,2757,2757,0,48,0,0,normal
OTH,66,4010,4010,0,99,0.02,0,normal
SF,800,2619,2619,0,66,0,0,normal
S1,734,3568,3568,0,100,0,0,normal
OTH,66,3459,3459,0,53,0.07,0,normal
OTH,146,5762,5762,0,45,0.02,0,normal
SF,880,2133,2133,0,99,0,0,normal
S3,1012,2927,2927,0,100,0,0,normal
SF,946,3098,3098,0,80,0,0,normal
SF,946,1952,1952,0,100,0,0,normal
SF,946,3523,3523,0,100,0,0,normal
OTH,66,4372,4372,0,39,0.07,0,normal
SF,946,2253,2253,0,100,0,0,normal
OTH,66,3156,3156,0,39,0.12,0,normal
SF,946,2989,2989,0,65,0,0,normal
OTH,66,3266,3266,0,48,0.02,0,normal
SF,946,3238,3238,0,98,0,0,normal
SF,880,5662,5662,0,72,0,0,normal
SF,946,2531,2531,0,100,0,0,normal
SF,946,3901,3901,0,100,0,0,normal
OTH,66,2930,2930,0,47,0.04,0,normal
SF,946,3883,3883,0,98,0,0,normal
OTH,78,2880,2880,0,76,0.01,0,normal
SF,946,2112,2112,0,100,0,0,normal
SF,946,2963,2963,0,100,0,0,normal
S3,946,1739,1739,0,100,0,0,normal
SF,880,3045,3045,0,89,0,0,normal
OTH,66,3661,3661,0,86,0.05,0,normal
OTH,66,3306,3306,0,58,0.02,0,normal
SF,946,1737,1737,0,100,0,0,normal
OTH,66,5211,5211,0,42,0.14,0,normal
SF,946,3331,3331,0,91,0,0,normal
SF,946,2168,2168,0,100,0,0,normal
SF,946,3081,3081,0,85,0,0,normal
S2,1024,1927,1927,0,100,0,0,normal
