% isAttack HIGH_RATE:	2000
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R8,17,34,40'

@attribute std_fpktl numeric
@attribute min_biat numeric
@attribute fpsh_cnt numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
170,30,1063,HIGH_RATE
32,2,11798,HIGH_RATE
210,2,1811,HIGH_RATE
108,2,5394,HIGH_RATE
237,2,960,HIGH_RATE
50,2,11167,HIGH_RATE
204,2,2099,HIGH_RATE
41,2,8214,HIGH_RATE
54,22,8297,HIGH_RATE
195,2,2093,HIGH_RATE
138,3,1885,HIGH_RATE
133,13,2277,HIGH_RATE
43,50,2999,HIGH_RATE
46,1,9702,HIGH_RATE
112,2,5315,HIGH_RATE
433,0,6,HIGH_RATE
45,4,2905,HIGH_RATE
4,429,41,HIGH_RATE
33,5,12539,HIGH_RATE
118,2,8217,HIGH_RATE
142,2,2533,HIGH_RATE
220,11,1122,HIGH_RATE
241,2,1213,HIGH_RATE
77,2,11373,HIGH_RATE
117,0,14,HIGH_RATE
184,1,2364,HIGH_RATE
68,2,8427,HIGH_RATE
147,1,3294,HIGH_RATE
454,0,7,HIGH_RATE
183,2,1754,HIGH_RATE
39,3,8294,HIGH_RATE
77,1,11200,HIGH_RATE
103,2,5938,HIGH_RATE
210,2,2037,HIGH_RATE
194,2,1329,HIGH_RATE
78,0,15,HIGH_RATE
63,2,8970,HIGH_RATE
136,2,4370,HIGH_RATE
52,2,7904,HIGH_RATE
101,33,2450,HIGH_RATE
165,2,3834,HIGH_RATE
122,1,5699,HIGH_RATE
191,31,2038,HIGH_RATE
209,2,1590,HIGH_RATE
128,2,4920,HIGH_RATE
179,2,1948,HIGH_RATE
141,2,1897,HIGH_RATE
89,36,680,HIGH_RATE
62,2,8512,HIGH_RATE
27,2,8903,HIGH_RATE
141,2,3962,HIGH_RATE
57,2,12041,HIGH_RATE
159,2,1132,HIGH_RATE
88,2,5199,HIGH_RATE
54,4,7303,HIGH_RATE
415,0,7,HIGH_RATE
127,2,4821,HIGH_RATE
45,4,8226,HIGH_RATE
98,2,7229,HIGH_RATE
128,2,2149,HIGH_RATE
118,2,5592,HIGH_RATE
93,2,10635,HIGH_RATE
172,2,2212,HIGH_RATE
37,59,12114,HIGH_RATE
105,2,6142,HIGH_RATE
65,32,8803,HIGH_RATE
12,57,13723,HIGH_RATE
747,0,6,HIGH_RATE
108,3,2804,HIGH_RATE
144,2,4517,HIGH_RATE
199,2,1165,HIGH_RATE
454,0,5,HIGH_RATE
71,2,12629,HIGH_RATE
146,21,2469,HIGH_RATE
233,2,2020,HIGH_RATE
35,4,11678,HIGH_RATE
223,2,1041,HIGH_RATE
56,5,7841,HIGH_RATE
22,2,11360,HIGH_RATE
134,2,1753,HIGH_RATE
165,2,2244,HIGH_RATE
137,3,1544,HIGH_RATE
218,30,1179,HIGH_RATE
128,2,5193,HIGH_RATE
105,2,6572,HIGH_RATE
195,2,2237,HIGH_RATE
532,8,78,HIGH_RATE
37,2,10812,HIGH_RATE
181,2,2008,HIGH_RATE
49,32,8266,HIGH_RATE
265,2,1718,HIGH_RATE
151,31,2356,HIGH_RATE
124,2,4691,HIGH_RATE
26,28,10782,HIGH_RATE
136,32,2278,HIGH_RATE
66,2,2588,HIGH_RATE
141,3,2794,HIGH_RATE
110,2,5930,HIGH_RATE
109,2,5738,HIGH_RATE
113,2,5603,HIGH_RATE
94,2,5959,HIGH_RATE
39,1,10923,HIGH_RATE
151,2,2864,HIGH_RATE
156,32,1503,HIGH_RATE
166,2,1439,HIGH_RATE
81,2,5595,HIGH_RATE
0,51,9149,HIGH_RATE
153,32,1223,HIGH_RATE
249,2,900,HIGH_RATE
58,2,9051,HIGH_RATE
265,2,1427,HIGH_RATE
86,0,14,HIGH_RATE
165,31,2365,HIGH_RATE
57,2,8954,HIGH_RATE
44,5,9289,HIGH_RATE
39,2,11190,HIGH_RATE
195,3,2053,HIGH_RATE
593,0,3,HIGH_RATE
143,2,2851,HIGH_RATE
122,2,5049,HIGH_RATE
24,4,9137,HIGH_RATE
172,3,2096,HIGH_RATE
154,3,1532,HIGH_RATE
100,3,601,HIGH_RATE
39,4,11953,HIGH_RATE
156,2,2389,HIGH_RATE
25,2,9061,HIGH_RATE
101,0,13,HIGH_RATE
114,2,4122,HIGH_RATE
172,2,3062,HIGH_RATE
97,2,10259,HIGH_RATE
47,4,3017,HIGH_RATE
157,31,2549,HIGH_RATE
37,3,11787,HIGH_RATE
479,0,4,HIGH_RATE
8,3,15395,HIGH_RATE
222,2,1397,HIGH_RATE
91,35,1224,HIGH_RATE
156,1,4185,HIGH_RATE
164,5,1299,HIGH_RATE
200,2,1973,HIGH_RATE
100,2,9464,HIGH_RATE
40,4,2959,HIGH_RATE
165,2,2155,HIGH_RATE
56,2,7706,HIGH_RATE
95,2,9483,HIGH_RATE
40,3,9364,HIGH_RATE
235,2,1390,HIGH_RATE
0,0,0,HIGH_RATE
45,2,7541,HIGH_RATE
208,3,1923,HIGH_RATE
185,2,2206,HIGH_RATE
195,2,2641,HIGH_RATE
93,2,5708,HIGH_RATE
102,1,9274,HIGH_RATE
102,2,5123,HIGH_RATE
199,2,1608,HIGH_RATE
0,6,8628,HIGH_RATE
27,1,11712,HIGH_RATE
177,2,2182,HIGH_RATE
93,2,6149,HIGH_RATE
39,9,11465,HIGH_RATE
136,2,1990,HIGH_RATE
198,12,2095,HIGH_RATE
23,2,11442,HIGH_RATE
38,6,2928,HIGH_RATE
42,4,8658,HIGH_RATE
102,34,712,HIGH_RATE
249,2,2048,HIGH_RATE
111,3,845,HIGH_RATE
3,0,1,HIGH_RATE
164,4,2436,HIGH_RATE
41,5,10673,HIGH_RATE
104,2,5663,HIGH_RATE
53,2,8580,HIGH_RATE
173,3,2308,HIGH_RATE
147,35,1931,HIGH_RATE
117,3,2560,HIGH_RATE
158,2,3023,HIGH_RATE
103,2,9136,HIGH_RATE
0,11,9410,HIGH_RATE
145,2,2225,HIGH_RATE
148,2,1537,HIGH_RATE
121,31,1140,HIGH_RATE
112,2,4587,HIGH_RATE
166,31,2495,HIGH_RATE
50,2,8758,HIGH_RATE
33,2,7644,HIGH_RATE
50,5,8178,HIGH_RATE
65,2,6040,HIGH_RATE
154,2,2047,HIGH_RATE
142,2,3083,HIGH_RATE
126,3,1489,HIGH_RATE
157,3,1271,HIGH_RATE
88,2,6027,HIGH_RATE
136,2,2924,HIGH_RATE
96,1,9906,HIGH_RATE
43,2,6243,HIGH_RATE
134,3,2429,HIGH_RATE
202,3,1976,HIGH_RATE
126,32,2278,HIGH_RATE
52,2,6826,HIGH_RATE
47,5,7855,HIGH_RATE
203,2,1340,HIGH_RATE
94,2,11409,HIGH_RATE
38,4,12241,HIGH_RATE
75,1,8704,HIGH_RATE
118,1,8310,HIGH_RATE
97,2,7814,HIGH_RATE
41,4,2964,HIGH_RATE
110,2,5434,HIGH_RATE
51,1,5858,HIGH_RATE
58,2,8614,HIGH_RATE
508,0,5,HIGH_RATE
88,38,425,HIGH_RATE
98,1,5606,HIGH_RATE
169,2,1451,HIGH_RATE
113,2,6971,HIGH_RATE
111,2,5530,HIGH_RATE
273,2,1207,HIGH_RATE
81,2,6097,HIGH_RATE
141,3,2628,HIGH_RATE
101,2,5042,HIGH_RATE
114,2,4529,HIGH_RATE
88,1,10798,HIGH_RATE
196,2,1468,HIGH_RATE
187,2,2410,HIGH_RATE
0,0,0,HIGH_RATE
28,2,11411,HIGH_RATE
138,2,1062,HIGH_RATE
178,2,2301,HIGH_RATE
119,0,15,HIGH_RATE
157,3,3398,HIGH_RATE
39,4,3100,HIGH_RATE
27,2,10763,HIGH_RATE
137,36,2309,HIGH_RATE
78,0,13,HIGH_RATE
46,2,2984,HIGH_RATE
98,2,5771,HIGH_RATE
83,1,10372,HIGH_RATE
105,1,5298,HIGH_RATE
179,2,1984,HIGH_RATE
152,2,2048,HIGH_RATE
0,0,0,HIGH_RATE
43,3,8113,HIGH_RATE
243,34,1450,HIGH_RATE
186,3,2223,HIGH_RATE
41,38,10476,HIGH_RATE
200,2,1652,HIGH_RATE
415,0,5,HIGH_RATE
111,0,15,HIGH_RATE
99,2,6176,HIGH_RATE
130,9,2165,HIGH_RATE
8,15,15357,HIGH_RATE
38,3,12308,HIGH_RATE
137,2,3688,HIGH_RATE
167,2,2028,HIGH_RATE
113,1,5639,HIGH_RATE
0,55,9877,HIGH_RATE
175,5,532,HIGH_RATE
155,30,1483,HIGH_RATE
175,3,1869,HIGH_RATE
161,2,1550,HIGH_RATE
106,2,7153,HIGH_RATE
127,0,16,HIGH_RATE
185,2,3965,HIGH_RATE
149,2,1878,HIGH_RATE
188,2,2177,HIGH_RATE
83,2,6386,HIGH_RATE
169,32,2327,HIGH_RATE
78,2,10089,HIGH_RATE
132,2,3944,HIGH_RATE
158,2,2761,HIGH_RATE
89,2,6673,HIGH_RATE
65,2,6522,HIGH_RATE
72,2,12196,HIGH_RATE
203,5,2004,HIGH_RATE
104,2,9812,HIGH_RATE
93,2,7725,HIGH_RATE
119,0,15,HIGH_RATE
63,2,8611,HIGH_RATE
157,2,2447,HIGH_RATE
45,23,7853,HIGH_RATE
91,2,6428,HIGH_RATE
100,22,1108,HIGH_RATE
34,2,12483,HIGH_RATE
105,2,5328,HIGH_RATE
24,4,11447,HIGH_RATE
188,2,2132,HIGH_RATE
218,3,1460,HIGH_RATE
79,2,7028,HIGH_RATE
35,1,11434,HIGH_RATE
97,2,10664,HIGH_RATE
56,2,8507,HIGH_RATE
107,2,5914,HIGH_RATE
117,37,430,HIGH_RATE
63,2,2676,HIGH_RATE
169,2,1489,HIGH_RATE
193,2,2333,HIGH_RATE
134,31,1629,HIGH_RATE
144,2,1585,HIGH_RATE
110,1,5983,HIGH_RATE
124,2,4082,HIGH_RATE
133,4,2469,HIGH_RATE
131,2,5333,HIGH_RATE
199,3,2124,HIGH_RATE
50,5,6624,HIGH_RATE
152,3,2142,HIGH_RATE
160,3,2875,HIGH_RATE
29,5,10791,HIGH_RATE
79,2,10534,HIGH_RATE
174,2,1935,HIGH_RATE
193,2,1664,HIGH_RATE
415,0,8,HIGH_RATE
118,2,4065,HIGH_RATE
40,2,9417,HIGH_RATE
156,2,1837,HIGH_RATE
69,0,11,HIGH_RATE
40,4,12434,HIGH_RATE
101,2,5669,HIGH_RATE
98,1,9904,HIGH_RATE
147,43,1960,HIGH_RATE
27,35,10909,HIGH_RATE
113,32,2481,HIGH_RATE
235,34,1070,HIGH_RATE
62,3,460,HIGH_RATE
55,2,7203,HIGH_RATE
37,5,11936,HIGH_RATE
31,5,9036,HIGH_RATE
89,2,11098,HIGH_RATE
163,2,2051,HIGH_RATE
161,1,1333,HIGH_RATE
172,2,2367,HIGH_RATE
145,2,5078,HIGH_RATE
155,3,2381,HIGH_RATE
254,8,1006,HIGH_RATE
33,2,10895,HIGH_RATE
182,2,2144,HIGH_RATE
140,2,3037,HIGH_RATE
122,2,3713,HIGH_RATE
105,2,5513,HIGH_RATE
39,54,3069,HIGH_RATE
26,6,11149,HIGH_RATE
122,3,3514,HIGH_RATE
83,2,11393,HIGH_RATE
59,2,8323,HIGH_RATE
170,31,2211,HIGH_RATE
188,32,1428,HIGH_RATE
136,2,1797,HIGH_RATE
175,2,2192,HIGH_RATE
45,3,7584,HIGH_RATE
49,2,8602,HIGH_RATE
170,2,2378,HIGH_RATE
50,2,232,HIGH_RATE
148,2,2233,HIGH_RATE
242,2,1116,HIGH_RATE
193,2,2080,HIGH_RATE
97,1,10968,HIGH_RATE
0,0,0,HIGH_RATE
71,4,539,HIGH_RATE
50,6,6846,HIGH_RATE
235,2,1035,HIGH_RATE
57,1,7114,HIGH_RATE
132,2,3987,HIGH_RATE
202,2,1121,HIGH_RATE
46,74,2940,HIGH_RATE
100,2,2788,HIGH_RATE
187,3,2176,HIGH_RATE
126,2,1689,HIGH_RATE
454,0,6,HIGH_RATE
125,2,2445,HIGH_RATE
123,1,5640,HIGH_RATE
60,5,7910,HIGH_RATE
120,2,5380,HIGH_RATE
53,3,9266,HIGH_RATE
44,2,7715,HIGH_RATE
383,0,11,HIGH_RATE
105,2,5399,HIGH_RATE
26,4,11646,HIGH_RATE
55,44,5981,HIGH_RATE
49,2,9022,HIGH_RATE
161,2,4513,HIGH_RATE
46,3,7631,HIGH_RATE
182,2,2253,HIGH_RATE
159,2,1563,HIGH_RATE
122,1,4530,HIGH_RATE
43,4,7926,HIGH_RATE
22,32,11145,HIGH_RATE
143,2,3479,HIGH_RATE
59,2,7125,HIGH_RATE
32,5,7678,HIGH_RATE
60,3,8884,HIGH_RATE
110,2,3215,HIGH_RATE
150,2,1204,HIGH_RATE
38,3,8297,HIGH_RATE
128,3,590,HIGH_RATE
140,4,1897,HIGH_RATE
116,0,16,HIGH_RATE
50,2,10979,HIGH_RATE
202,32,2166,HIGH_RATE
124,2,4023,HIGH_RATE
115,2,4982,HIGH_RATE
151,2,2514,HIGH_RATE
183,2,1545,HIGH_RATE
45,29,9707,HIGH_RATE
0,0,0,HIGH_RATE
198,2,1177,HIGH_RATE
50,3,9561,HIGH_RATE
174,3,1460,HIGH_RATE
192,3,451,HIGH_RATE
62,1,11791,HIGH_RATE
67,2,7590,HIGH_RATE
213,4,2201,HIGH_RATE
10,6,12427,HIGH_RATE
131,2,4266,HIGH_RATE
204,2,1354,HIGH_RATE
88,2,11423,HIGH_RATE
80,1,10471,HIGH_RATE
144,2,4514,HIGH_RATE
155,2,1621,HIGH_RATE
130,2,3506,HIGH_RATE
133,2,2486,HIGH_RATE
166,3,974,HIGH_RATE
86,0,16,HIGH_RATE
224,2,1291,HIGH_RATE
43,5,11263,HIGH_RATE
157,2,1985,HIGH_RATE
135,2,6607,HIGH_RATE
254,2,934,HIGH_RATE
47,4,7653,HIGH_RATE
543,0,2,HIGH_RATE
89,1,7566,HIGH_RATE
99,0,16,HIGH_RATE
122,2,4906,HIGH_RATE
44,3,9315,HIGH_RATE
57,2,9342,HIGH_RATE
35,4,3040,HIGH_RATE
112,0,14,HIGH_RATE
97,4,5322,HIGH_RATE
48,2,8713,HIGH_RATE
47,279,212,HIGH_RATE
202,2,1725,HIGH_RATE
66,2,7054,HIGH_RATE
166,2,2205,HIGH_RATE
174,2,1616,HIGH_RATE
151,32,983,HIGH_RATE
100,2,5080,HIGH_RATE
176,2,3848,HIGH_RATE
160,9,1961,HIGH_RATE
119,2,3293,HIGH_RATE
43,2,7680,HIGH_RATE
186,2,2260,HIGH_RATE
93,1,9381,HIGH_RATE
127,1,5655,HIGH_RATE
98,2,6067,HIGH_RATE
180,3,1215,HIGH_RATE
42,2,7746,HIGH_RATE
120,7,2431,HIGH_RATE
10,52,13236,HIGH_RATE
159,2,2582,HIGH_RATE
24,3,11053,HIGH_RATE
75,280,529,HIGH_RATE
38,4,7676,HIGH_RATE
115,1,3033,HIGH_RATE
172,2,1383,HIGH_RATE
208,2,1978,HIGH_RATE
644,0,1,HIGH_RATE
115,3,500,HIGH_RATE
103,2,6137,HIGH_RATE
121,2,8723,HIGH_RATE
55,42,337,HIGH_RATE
115,2,6155,HIGH_RATE
139,6,2304,HIGH_RATE
51,5,2915,HIGH_RATE
95,2,10411,HIGH_RATE
44,3,7737,HIGH_RATE
88,2,9884,HIGH_RATE
0,0,0,HIGH_RATE
86,1,6705,HIGH_RATE
134,2,3216,HIGH_RATE
104,1,8792,HIGH_RATE
157,3,1502,HIGH_RATE
48,3,9629,HIGH_RATE
118,2,8922,HIGH_RATE
107,2,8944,HIGH_RATE
113,2,9802,HIGH_RATE
0,51,11345,HIGH_RATE
46,4,2926,HIGH_RATE
39,32,3025,HIGH_RATE
57,3,7232,HIGH_RATE
60,2,8245,HIGH_RATE
220,32,1103,HIGH_RATE
137,2,5058,HIGH_RATE
480,0,2,HIGH_RATE
90,2,6145,HIGH_RATE
43,4,2895,HIGH_RATE
49,2,8648,HIGH_RATE
0,4,11394,HIGH_RATE
51,3,9012,HIGH_RATE
176,2,1894,HIGH_RATE
149,2,1348,HIGH_RATE
24,4,11307,HIGH_RATE
112,2,6256,HIGH_RATE
138,2,3348,HIGH_RATE
55,5,5970,HIGH_RATE
129,2,4588,HIGH_RATE
41,1,7008,HIGH_RATE
204,3,1843,HIGH_RATE
44,4,9351,HIGH_RATE
259,32,1100,HIGH_RATE
127,2,4291,HIGH_RATE
129,102,2313,HIGH_RATE
25,3,11609,HIGH_RATE
59,2,9618,HIGH_RATE
87,1,6437,HIGH_RATE
184,6,2266,HIGH_RATE
64,2,11369,HIGH_RATE
86,1,10073,HIGH_RATE
177,3,2073,HIGH_RATE
166,2,1671,HIGH_RATE
36,6,3009,HIGH_RATE
59,3,8284,HIGH_RATE
175,1,2463,HIGH_RATE
190,36,580,HIGH_RATE
42,53,9216,HIGH_RATE
160,2,2140,HIGH_RATE
45,5,9235,HIGH_RATE
45,4,8319,HIGH_RATE
148,6,2406,HIGH_RATE
127,2,6094,HIGH_RATE
177,2,1512,HIGH_RATE
113,2,6075,HIGH_RATE
285,2,1187,HIGH_RATE
178,3,1290,HIGH_RATE
231,2,1471,HIGH_RATE
210,2,1190,HIGH_RATE
118,2,5998,HIGH_RATE
93,2,6108,HIGH_RATE
153,2,2389,HIGH_RATE
106,2,5409,HIGH_RATE
108,2,5169,HIGH_RATE
149,2,2729,HIGH_RATE
112,2,1562,HIGH_RATE
89,2,10786,HIGH_RATE
137,2,5906,HIGH_RATE
22,32,11389,HIGH_RATE
136,2,1567,HIGH_RATE
192,2,2012,HIGH_RATE
155,2,2788,HIGH_RATE
180,2,1670,HIGH_RATE
25,38,10873,HIGH_RATE
218,2,1112,HIGH_RATE
25,2,11615,HIGH_RATE
119,2,1355,HIGH_RATE
135,2,5247,HIGH_RATE
135,2,4897,HIGH_RATE
275,3,1352,HIGH_RATE
221,7,1974,HIGH_RATE
138,2,4498,HIGH_RATE
88,0,14,HIGH_RATE
289,2,880,HIGH_RATE
57,2,9718,HIGH_RATE
144,1,3675,HIGH_RATE
39,1,12046,HIGH_RATE
144,1,4007,HIGH_RATE
58,2,7331,HIGH_RATE
160,3,1586,HIGH_RATE
169,2,3158,HIGH_RATE
182,2,1506,HIGH_RATE
174,2,2431,HIGH_RATE
264,2,871,HIGH_RATE
175,2,1693,HIGH_RATE
38,2,11696,HIGH_RATE
102,2,1089,HIGH_RATE
11,6,15363,HIGH_RATE
199,2,1832,HIGH_RATE
152,2,4399,HIGH_RATE
182,2,1438,HIGH_RATE
433,0,8,HIGH_RATE
39,2,7604,HIGH_RATE
129,2,5569,HIGH_RATE
120,2,5417,HIGH_RATE
161,2,2334,HIGH_RATE
235,5,1520,HIGH_RATE
0,44,11409,HIGH_RATE
271,2,1258,HIGH_RATE
132,2,2330,HIGH_RATE
159,2,2609,HIGH_RATE
128,2,8502,HIGH_RATE
508,0,3,HIGH_RATE
