% isAttack tcpFlood:	667
% isAttack slowRead:	667
% isAttack httpFlood:	667
% isAttack slowHeaders:	667
% isAttack udpFlood:	372
% isAttack slowBody:	667
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-5,9,11,14-15,18-19,23-24,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_serror_rate numeric
@attribute dst_host_srv_serror_rate numeric
@attribute isAttack {tcpFlood,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,OTH,78,0,11918,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,22074,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,12978,0,1,0,79,1,0,0,tcpFlood
0,tcp,OTH,78,0,6873,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,9864,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,27022,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,15661,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,351,0,1,0,69,1,0,0,tcpFlood
0,tcp,OTH,78,0,9921,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,186,0,2553,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,10522,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,4170,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,26414,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,20665,0,1,0,70,1,0,0,tcpFlood
0,tcp,OTH,78,0,22500,0,1,0,65,1,0,0,tcpFlood
0,tcp,OTH,78,0,8218,0,1,0,66,1,0,0,tcpFlood
0,tcp,OTH,78,0,10822,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,20930,0,1,0,74,1,0,0,tcpFlood
0,tcp,OTH,78,0,5504,0,1,0,68,1,0,0,tcpFlood
0,tcp,OTH,78,0,9543,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,2153,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,9230,0,1,0,76,1,0,0,tcpFlood
0,tcp,OTH,78,0,6283,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,11973,0,1,0,72,1,0,0,tcpFlood
0,tcp,OTH,78,0,18499,0,1,0,73,1,0,0,tcpFlood
0,tcp,OTH,78,0,27108,0,1,0,67,1,0,0,tcpFlood
0,tcp,OTH,78,0,6488,0,1,0,64,1,0,0,tcpFlood
0,tcp,OTH,78,0,10607,0,1,0,71,1,0,0,tcpFlood
0,tcp,OTH,78,0,10631,0,1,0,74,1,0,0,tcpFlood
