@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-4,8,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,138,19,0.95,highrate
OTH,60,141,25,0.96,highrate
OTH,60,103,34,0.97,highrate
OTH,60,138,33,0.97,highrate
OTH,60,109,33,0.97,highrate
OTH,60,16,16,0.94,highrate
OTH,60,102,34,0.97,highrate
OTH,60,81,41,0.98,highrate
OTH,60,153,33,0.97,highrate
OTH,60,40,37,0.97,highrate
OTH,60,140,21,0.95,highrate
OTH,60,87,41,0.98,highrate
OTH,60,145,33,0.97,highrate
OTH,60,80,42,0.98,highrate
OTH,60,70,28,0.97,highrate
OTH,60,134,33,0.97,highrate
OTH,60,129,33,0.97,highrate
OTH,60,126,33,0.97,highrate
OTH,60,103,40,0.98,highrate
OTH,60,142,33,0.97,highrate
OTH,60,141,33,0.97,highrate
OTH,60,141,30,0.97,highrate
OTH,60,65,26,0.96,highrate
OTH,60,131,33,0.97,highrate
OTH,60,112,33,0.97,highrate
OTH,60,153,33,0.97,highrate
OTH,60,137,11,0.92,highrate
OTH,60,64,26,0.96,highrate
OTH,60,42,34,0.97,highrate
OTH,60,141,31,0.97,highrate
OTH,60,32,29,0.97,highrate
OTH,60,24,24,0.96,highrate
OTH,60,143,33,0.97,highrate
OTH,60,114,33,0.97,highrate
OTH,60,151,33,0.97,highrate
OTH,60,54,23,0.96,highrate
OTH,60,49,21,0.95,highrate
OTH,60,146,33,0.97,highrate
OTH,60,117,34,0.97,highrate
OTH,60,110,34,0.97,highrate
OTH,60,108,33,0.97,highrate
OTH,60,142,33,0.97,highrate
OTH,60,142,33,0.97,highrate
OTH,60,133,33,0.97,highrate
OTH,60,110,33,0.97,highrate
OTH,60,8,8,0.89,highrate
OTH,60,142,33,0.97,highrate
OTH,60,79,41,0.98,highrate
OTH,60,125,33,0.97,highrate
OTH,60,125,33,0.97,highrate
OTH,60,154,33,0.97,highrate
OTH,60,107,34,0.97,highrate
OTH,60,106,33,0.97,highrate
OTH,60,98,41,0.98,highrate
OTH,60,114,33,0.97,highrate
OTH,60,109,34,0.97,highrate
OTH,60,93,42,0.98,highrate
OTH,60,138,11,0.92,highrate
OTH,60,131,33,0.97,highrate
OTH,60,148,33,0.97,highrate
OTH,60,108,33,0.97,highrate
OTH,60,142,33,0.97,highrate
OTH,60,13,13,0.93,highrate
OTH,60,113,33,0.97,highrate
OTH,60,109,33,0.97,highrate
OTH,60,141,22,0.96,highrate
OTH,60,102,40,0.98,highrate
OTH,60,138,33,0.97,highrate
OTH,60,166,33,0.97,highrate
OTH,60,10,10,0.91,highrate
OTH,60,138,13,0.93,highrate
OTH,60,87,42,0.98,highrate
OTH,60,87,42,0.98,highrate
OTH,60,104,40,0.98,highrate
OTH,60,117,33,0.97,highrate
OTH,60,86,43,0.98,highrate
OTH,60,86,41,0.98,highrate
OTH,60,91,42,0.98,highrate
OTH,60,137,33,0.97,highrate
OTH,60,82,42,0.98,highrate
OTH,60,108,38,0.97,highrate
OTH,60,109,33,0.97,highrate
OTH,60,136,33,0.97,highrate
OTH,60,121,33,0.97,highrate
OTH,60,44,33,0.97,highrate
OTH,60,153,33,0.97,highrate
OTH,60,71,29,0.97,highrate
OTH,60,145,33,0.97,highrate
OTH,60,76,32,0.97,highrate
OTH,60,114,33,0.97,highrate
