% isAttack HIGH_RATE:	1533
% isAttack LOW_RATE:	2000
@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R6,15,21,40'

@attribute mean_fpktl numeric
@attribute max_fiat numeric
@attribute duration numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
64,42521,6708903,HIGH_RATE
65,561171,7873382,HIGH_RATE
66,563272,7477826,HIGH_RATE
66,545819,8165918,HIGH_RATE
74,923379,10973826,HIGH_RATE
64,307346,25090943,HIGH_RATE
64,42432,5444001,HIGH_RATE
64,405976,16879127,HIGH_RATE
64,388697,15814670,HIGH_RATE
64,307303,19994708,HIGH_RATE
63,272176,1132639,HIGH_RATE
66,514799,5881225,HIGH_RATE
65,538134,8835339,HIGH_RATE
64,357724,26608160,HIGH_RATE
64,390401,2187107,HIGH_RATE
64,379651,16183560,HIGH_RATE
64,411717,1314095,HIGH_RATE
64,736234,3728310,HIGH_RATE
64,26049,1120441,HIGH_RATE
66,538566,7775259,HIGH_RATE
65,776211,22835317,HIGH_RATE
65,424840,16850449,HIGH_RATE
64,258032,1432874,HIGH_RATE
65,406997,1842086,HIGH_RATE
65,545423,8274562,HIGH_RATE
65,390471,2217095,HIGH_RATE
66,551856,8000897,HIGH_RATE
64,379063,16121778,HIGH_RATE
64,102948,824703,HIGH_RATE
77,670740,10747730,HIGH_RATE
78,751980,751980,HIGH_RATE
64,34706,9233697,HIGH_RATE
64,337480,7214803,HIGH_RATE
64,379796,16670439,HIGH_RATE
64,314273,6564503,HIGH_RATE
64,925007,12333618,HIGH_RATE
64,35259,7207879,HIGH_RATE
64,381935,15949805,HIGH_RATE
64,42127,6188208,HIGH_RATE
64,314139,7783813,HIGH_RATE
67,536886,7954262,HIGH_RATE
65,551260,7996291,HIGH_RATE
65,575826,7833492,HIGH_RATE
64,617370,15487830,HIGH_RATE
64,379241,16445336,HIGH_RATE
67,559342,8350799,HIGH_RATE
65,555865,7473566,HIGH_RATE
65,542429,7832915,HIGH_RATE
66,512007,5963040,HIGH_RATE
64,24651,1616654,HIGH_RATE
64,308299,25605200,HIGH_RATE
66,553179,7222416,HIGH_RATE
64,421333,16182419,HIGH_RATE
64,258032,1432874,HIGH_RATE
64,308321,18495153,HIGH_RATE
65,417325,2217855,HIGH_RATE
64,15337,724648,HIGH_RATE
63,270601,1075129,HIGH_RATE
64,34299,2147409,HIGH_RATE
63,8775,80255,HIGH_RATE
64,385055,16419403,HIGH_RATE
66,511755,5890774,HIGH_RATE
64,427444,1897633,HIGH_RATE
68,964965,12749488,HIGH_RATE
64,420055,16871462,HIGH_RATE
65,324281,20507867,HIGH_RATE
65,544581,21536270,HIGH_RATE
65,541122,7798263,HIGH_RATE
66,542346,8633964,HIGH_RATE
65,544049,7821216,HIGH_RATE
64,41751,4503144,HIGH_RATE
65,943699,11433566,HIGH_RATE
67,888573,11338360,HIGH_RATE
65,938629,12308037,HIGH_RATE
64,318671,2093595,HIGH_RATE
65,424009,16435340,HIGH_RATE
64,308750,24584444,HIGH_RATE
65,45165,4668885,HIGH_RATE
65,432998,1816991,HIGH_RATE
64,314139,7783813,HIGH_RATE
64,382038,15685502,HIGH_RATE
65,541407,7995952,HIGH_RATE
66,551515,8541847,HIGH_RATE
67,968555,10731338,HIGH_RATE
66,551467,8269364,HIGH_RATE
65,605026,7996117,HIGH_RATE
65,659342,12300302,HIGH_RATE
66,554141,8331015,HIGH_RATE
65,416153,16454704,HIGH_RATE
65,512655,5704094,HIGH_RATE
65,924686,13619847,HIGH_RATE
64,314273,6564503,HIGH_RATE
67,537179,8409015,HIGH_RATE
65,678550,13661462,HIGH_RATE
64,251387,1467912,HIGH_RATE
64,379938,16158994,HIGH_RATE
67,560603,8640017,HIGH_RATE
65,923388,12726531,HIGH_RATE
66,540153,6423493,HIGH_RATE
64,380190,15769692,HIGH_RATE
66,544840,7940608,HIGH_RATE
67,559475,8564335,HIGH_RATE
64,308574,19498765,HIGH_RATE
64,34798,9742240,HIGH_RATE
67,542583,8248111,HIGH_RATE
64,308837,21030029,HIGH_RATE
66,17593,231246,HIGH_RATE
66,540087,7708071,HIGH_RATE
64,338063,3265078,HIGH_RATE
64,663233,13723791,HIGH_RATE
65,546326,8653799,HIGH_RATE
65,512584,5899016,HIGH_RATE
64,244159,8767608,HIGH_RATE
64,665522,13948544,HIGH_RATE
64,398492,16568620,HIGH_RATE
66,968074,12461365,HIGH_RATE
65,667323,13208023,HIGH_RATE
64,38945,4986050,HIGH_RATE
64,383943,16147025,HIGH_RATE
64,308187,16561972,HIGH_RATE
65,513047,5882234,HIGH_RATE
66,512332,5738651,HIGH_RATE
65,389902,1831128,HIGH_RATE
64,380402,16163554,HIGH_RATE
64,251005,1440708,HIGH_RATE
66,539839,8187266,HIGH_RATE
66,546196,8372991,HIGH_RATE
72,984057,28290361,HIGH_RATE
66,964388,11145093,HIGH_RATE
66,513484,5773500,HIGH_RATE
64,308334,27136495,HIGH_RATE
64,395498,1944587,HIGH_RATE
80,965079,11431325,HIGH_RATE
65,963882,12095382,HIGH_RATE
64,313897,5111883,HIGH_RATE
64,308516,28168652,HIGH_RATE
73,999415,25361213,HIGH_RATE
65,924426,13016870,HIGH_RATE
65,418121,1907273,HIGH_RATE
66,707079,23356492,HIGH_RATE
40,764553,29325947,HIGH_RATE
40,806695,28248724,HIGH_RATE
40,793582,28820330,HIGH_RATE
40,779389,29370397,HIGH_RATE
40,904409,28822443,HIGH_RATE
40,788196,23481726,HIGH_RATE
40,44567,9642057,HIGH_RATE
40,991615,28820005,HIGH_RATE
40,124590,29672326,HIGH_RATE
40,42930,30326448,HIGH_RATE
40,982681,28360143,HIGH_RATE
40,989667,28565534,HIGH_RATE
40,758997,29370207,HIGH_RATE
40,885071,22377920,HIGH_RATE
40,965897,27116141,HIGH_RATE
40,37503,9652161,HIGH_RATE
40,793706,29360989,HIGH_RATE
40,17524,29956269,HIGH_RATE
40,18672,29955681,HIGH_RATE
40,998544,28354983,HIGH_RATE
40,891292,28805244,HIGH_RATE
40,832064,29868004,HIGH_RATE
40,459290,29366901,HIGH_RATE
40,597218,29368306,HIGH_RATE
40,24037,9653156,HIGH_RATE
40,836751,29867455,HIGH_RATE
40,968108,29240931,HIGH_RATE
40,926735,27075823,HIGH_RATE
40,413578,30092487,HIGH_RATE
40,864447,29313273,HIGH_RATE
40,834739,29861412,HIGH_RATE
40,886249,17411133,HIGH_RATE
40,657717,27251321,HIGH_RATE
40,987943,28372200,HIGH_RATE
40,28014,9652383,HIGH_RATE
40,123511,29673333,HIGH_RATE
40,990163,28785529,HIGH_RATE
40,631938,27250757,HIGH_RATE
40,288143,30037932,HIGH_RATE
40,834960,29867174,HIGH_RATE
40,962366,27116428,HIGH_RATE
40,906349,28797962,HIGH_RATE
40,661072,29119660,HIGH_RATE
40,664568,29106014,HIGH_RATE
40,63762,30327482,HIGH_RATE
40,861624,29296148,HIGH_RATE
78,751540,751540,HIGH_RATE
40,63871,30326500,HIGH_RATE
40,896724,28791400,HIGH_RATE
40,787528,29370187,HIGH_RATE
40,28054,9653359,HIGH_RATE
40,777722,29325390,HIGH_RATE
40,828462,29369433,HIGH_RATE
40,15750,29958844,HIGH_RATE
40,862769,29310145,HIGH_RATE
40,890939,28814806,HIGH_RATE
40,788146,23934214,HIGH_RATE
40,983904,28367942,HIGH_RATE
40,874249,29313299,HIGH_RATE
40,865672,29312861,HIGH_RATE
40,839690,29862340,HIGH_RATE
40,790339,11639911,HIGH_RATE
40,842264,29867174,HIGH_RATE
40,299624,30045178,HIGH_RATE
40,860105,29368293,HIGH_RATE
40,123062,29673103,HIGH_RATE
40,904349,19728152,HIGH_RATE
40,835042,29867259,HIGH_RATE
40,595624,29359039,HIGH_RATE
40,989938,28375239,HIGH_RATE
40,984191,27107437,HIGH_RATE
40,947109,6408474,HIGH_RATE
40,989165,28810734,HIGH_RATE
40,288235,30055065,HIGH_RATE
40,969399,27114228,HIGH_RATE
40,598688,29365902,HIGH_RATE
40,24595,9654521,HIGH_RATE
40,32734,9651759,HIGH_RATE
40,788453,23479681,HIGH_RATE
40,902218,18653451,HIGH_RATE
40,129948,29674295,HIGH_RATE
40,871070,28662538,HIGH_RATE
40,910708,28823317,HIGH_RATE
40,20243,9654414,HIGH_RATE
40,832226,29868573,HIGH_RATE
40,597223,29366408,HIGH_RATE
40,961832,27109879,HIGH_RATE
40,969235,29241976,HIGH_RATE
40,987001,28822542,HIGH_RATE
40,911725,27075002,HIGH_RATE
40,835115,29867943,HIGH_RATE
40,43761,9653780,HIGH_RATE
40,891227,28819532,HIGH_RATE
40,780388,29332522,HIGH_RATE
40,871153,29271157,HIGH_RATE
40,122792,29674286,HIGH_RATE
40,761474,29354705,HIGH_RATE
40,781549,29369296,HIGH_RATE
40,425317,30092063,HIGH_RATE
40,974128,28282379,HIGH_RATE
40,763539,29363006,HIGH_RATE
40,788149,21134545,HIGH_RATE
40,295327,30054736,HIGH_RATE
40,810077,28367916,HIGH_RATE
40,22437,9647739,HIGH_RATE
79,29,5003984,HIGH_RATE
40,969105,29245451,HIGH_RATE
40,987400,27109684,HIGH_RATE
40,17531,29963998,HIGH_RATE
40,597834,29366565,HIGH_RATE
40,970736,28787627,HIGH_RATE
40,43873,30326697,HIGH_RATE
40,974174,27105686,HIGH_RATE
40,660350,29125297,HIGH_RATE
40,679186,29106452,HIGH_RATE
40,285547,30054398,HIGH_RATE
40,986217,28426806,HIGH_RATE
40,955677,20393695,HIGH_RATE
40,598668,29365445,HIGH_RATE
40,971313,29245669,HIGH_RATE
40,996715,28346180,HIGH_RATE
40,969228,29244490,HIGH_RATE
40,43393,30326662,HIGH_RATE
40,921642,29313210,HIGH_RATE
40,956359,27102875,HIGH_RATE
40,811545,28350528,HIGH_RATE
40,864463,29313607,HIGH_RATE
40,859555,29312991,HIGH_RATE
40,794587,29365906,HIGH_RATE
40,233765,30055613,HIGH_RATE
40,25803,29956608,HIGH_RATE
40,130049,29673978,HIGH_RATE
40,891998,28821095,HIGH_RATE
40,837613,29867292,HIGH_RATE
40,840889,29865650,HIGH_RATE
40,968269,29245559,HIGH_RATE
40,883335,14755767,HIGH_RATE
40,839209,29867929,HIGH_RATE
40,43862,30326475,HIGH_RATE
40,870780,29313743,HIGH_RATE
40,783878,29350686,HIGH_RATE
40,758142,29370935,HIGH_RATE
40,989507,28818585,HIGH_RATE
40,24102,9651218,HIGH_RATE
40,674313,29115055,HIGH_RATE
40,927654,29313047,HIGH_RATE
40,36415,9650002,HIGH_RATE
40,978009,28378636,HIGH_RATE
40,994563,28426721,HIGH_RATE
40,30415,9653436,HIGH_RATE
40,123191,29673963,HIGH_RATE
40,124823,29674290,HIGH_RATE
40,123811,29674539,HIGH_RATE
40,123778,29672606,HIGH_RATE
40,474375,30092522,HIGH_RATE
40,991541,28376501,HIGH_RATE
56,410284,410284,HIGH_RATE
40,25992,9652305,HIGH_RATE
40,936968,29310613,HIGH_RATE
40,122631,29672144,HIGH_RATE
40,987027,28382500,HIGH_RATE
40,975483,28780631,HIGH_RATE
40,974887,28375355,HIGH_RATE
40,295298,30055255,HIGH_RATE
40,29324,9654247,HIGH_RATE
40,989631,28822337,HIGH_RATE
40,53694,9654202,HIGH_RATE
40,43811,9653294,HIGH_RATE
40,793815,29365552,HIGH_RATE
40,949625,27083789,HIGH_RATE
40,902250,29311188,HIGH_RATE
40,16393,29956323,HIGH_RATE
40,857924,28367725,HIGH_RATE
40,942181,8646412,HIGH_RATE
40,859644,28689387,HIGH_RATE
40,886695,23940197,HIGH_RATE
40,843536,29867719,HIGH_RATE
40,598118,29366359,HIGH_RATE
40,969537,29243026,HIGH_RATE
40,63894,30327426,HIGH_RATE
40,818600,28420395,HIGH_RATE
40,413358,30091831,HIGH_RATE
40,287214,30054627,HIGH_RATE
40,689009,27244349,HIGH_RATE
40,598352,29366333,HIGH_RATE
40,940825,10106273,HIGH_RATE
40,459586,29367372,HIGH_RATE
40,950086,27116507,HIGH_RATE
40,904793,28822280,HIGH_RATE
40,988471,28820134,HIGH_RATE
40,981612,28369350,HIGH_RATE
40,43498,9652059,HIGH_RATE
40,960274,14963100,HIGH_RATE
40,900381,29312709,HIGH_RATE
40,25840,7159480,HIGH_RATE
40,828931,14757736,HIGH_RATE
40,845170,28790621,HIGH_RATE
40,287702,30054979,HIGH_RATE
40,269902,30053938,HIGH_RATE
40,969729,27063390,HIGH_RATE
40,679727,29106589,HIGH_RATE
40,837048,29866987,HIGH_RATE
40,981611,27093258,HIGH_RATE
40,407356,30091713,HIGH_RATE
40,826141,29341939,HIGH_RATE
40,968506,29245585,HIGH_RATE
40,965403,27107626,HIGH_RATE
40,663536,29119757,HIGH_RATE
40,976424,28819748,HIGH_RATE
40,23010,9651401,HIGH_RATE
40,832549,29864477,HIGH_RATE
40,477046,30092094,HIGH_RATE
40,760685,29357883,HIGH_RATE
40,793889,29336782,HIGH_RATE
40,965856,28375814,HIGH_RATE
40,41216,9653365,HIGH_RATE
40,409193,30092443,HIGH_RATE
40,795196,29365383,HIGH_RATE
40,123067,29673347,HIGH_RATE
40,950870,27109760,HIGH_RATE
40,965549,28353217,HIGH_RATE
40,834105,29868513,HIGH_RATE
40,968444,29245794,HIGH_RATE
40,870530,29313558,HIGH_RATE
40,789956,13976933,HIGH_RATE
40,22770,9650835,HIGH_RATE
40,670830,29125537,HIGH_RATE
40,285979,30053807,HIGH_RATE
40,906598,19750559,HIGH_RATE
53,409601,409601,HIGH_RATE
40,896956,28822038,HIGH_RATE
