@relation 'slowHeaders-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute src_port numeric
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
46808,80,6,31.585062,2,6,0,360,0,0.189963,0,11.397793,0,0,0,60,60,60,0,0,0,0,0,1.023994,6.317012,16.12802,5.489312,0,0,0,0,0,0,-1,-1,LOW_RATE
36198,80,6,60.647404,31,14,10,1216,1011,0.230843,0.17353,20.050322,17.543914,1.4,1.20277,46,86.857143,393,85.871879,52,101.1,535,144.652999,0.000003,4.665185,10.032017,4.538097,0.000003,6.40298,10.032022,4.429734,7,0,1,0,LOW_RATE
43474,80,6,61.015243,31,12,10,947,1011,0.196672,0.163928,15.520712,16.573141,1.2,0.936696,46,78.916667,224,46.343749,52,101.1,535,144.652999,0.000086,5.54684,10.060946,4.903806,0,6.778035,10.060951,4.588499,7,0,1,0,LOW_RATE
58138,80,6,31.549701,2,6,0,360,0,0.190176,0,11.410568,0,0,0,60,60,60,0,0,0,0,0,1.011881,6.30994,16.136098,5.496994,0,0,0,0,0,0,-1,-1,LOW_RATE
42490,80,6,31.474531,2,6,0,360,0,0.19063,0,11.437819,0,0,0,60,60,60,0,0,0,0,0,1.006368,6.294906,16.131081,5.501347,0,0,0,0,0,0,-1,-1,LOW_RATE
49170,80,6,61.066887,31,14,10,1276,1011,0.229257,0.172298,20.895121,17.419284,1.4,1.262117,46,91.142857,306,64.22378,52,101.1,535,144.652999,0.00026,4.697453,10.056361,4.552568,0.00069,6.448792,10.056374,4.434104,7,0,1,0,LOW_RATE
36028,80,6,61.059022,31,15,10,1297,1011,0.245664,0.185393,21.241742,18.743241,1.5,1.282888,46,86.466667,305,61.666703,52,101.1,535,144.652999,0.000002,4.361359,10.059767,4.378742,0.000001,5.993272,10.05977,4.589659,7,0,1,0,LOW_RATE
36090,80,6,61.034258,31,15,10,1294,1011,0.245764,0.185468,21.201208,18.750773,1.5,1.279921,46,86.266667,305,61.54182,52,101.1,535,144.652999,0.000001,4.35959,10.049964,4.375752,0.000009,5.990864,10.049959,4.588004,7,0,1,0,LOW_RATE
47260,80,6,31.600339,2,6,0,360,0,0.189871,0,11.392283,0,0,0,60,60,60,0,0,0,0,0,1.004293,6.320068,16.132054,5.491777,0,0,0,0,0,0,-1,-1,LOW_RATE
56340,80,6,60.957443,31,13,11,1035,1063,0.213264,0.180487,16.979059,17.441645,1.181818,0.973659,46,79.615385,224,45.707327,52,96.636364,535,138.641639,0.000317,5.079787,10.052104,4.908826,0.000002,6.094609,10.052108,4.768303,7,0,1,0,LOW_RATE
44210,80,6,60.998016,31,15,9,1253,959,0.24591,0.197075,20.541652,20.999473,1.666667,1.306569,46,83.533333,305,62.233824,52,106.555556,535,151.498523,0.00001,4.357001,10.036541,4.202732,0.000007,5.708477,10.036542,4.518625,6,0,1,0,LOW_RATE
53300,80,6,31.637505,2,6,0,360,0,0.189648,0,11.3789,0,0,0,60,60,60,0,0,0,0,0,1.031991,6.327501,16.14394,5.49089,0,0,0,0,0,0,-1,-1,LOW_RATE
41984,80,6,60.789058,31,19,9,2045,959,0.312556,0.198393,33.640922,21.139854,2.111111,2.13243,46,107.631579,224,71.031654,52,106.555556,535,151.498523,0.000005,3.37717,10.056037,4.058387,0.000001,5.670569,10.056037,4.423686,10,0,1,0,LOW_RATE
