@relation 'httpFlood-weka.filters.unsupervised.attribute.Remove-R1,3,5,2,4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
0.014202,31,6,4,440,471,422.4722,578.864024,30981.294655,68161.238795,1.5,0.934183,46,73.333333,184,49.714742,52,117.75,307,109.312339,0.000002,0.00284,0.010708,0.004159,0.000001,0.002303,0.003833,0.001657,1,0,1,0,HIGH_RATE
0.021071,31,6,4,440,471,284.755355,347.865724,20882.059359,40961.188994,1.5,0.934183,46,73.333333,184,49.714742,52,117.75,307,109.312339,0.000005,0.004214,0.011246,0.005095,0.000002,0.003833,0.011285,0.00527,1,0,1,0,HIGH_RATE
0.032578,31,6,4,448,471,184.174765,227.595686,13751.715751,26799.392037,1.5,0.951168,46,74.666667,192,52.683542,52,117.75,307,109.312339,0.000044,0.006516,0.016217,0.007394,0.000001,0.005858,0.017493,0.008227,1,0,1,0,HIGH_RATE
0.002906,31,6,4,441,471,2064.634014,2388.215801,151750.600049,281212.410534,1.5,0.936306,46,73.5,185,50.08576,52,117.75,307,109.312339,0.000001,0.000581,0.001421,0.000629,0.000001,0.000558,0.001544,0.000699,1,0,1,0,HIGH_RATE
0.023122,31,6,4,448,471,259.489637,346.815835,19375.226248,40837.564527,1.5,0.951168,46,74.666667,192,52.683542,52,117.75,307,109.312339,0.000003,0.004624,0.013216,0.005649,0,0.003844,0.009661,0.004183,1,0,1,0,HIGH_RATE
0.035682,31,6,4,440,471,168.153307,195.452084,12331.24255,23014.48291,1.5,0.934183,46,73.333333,184,49.714742,52,117.75,307,109.312339,0.000002,0.007136,0.020166,0.00886,0,0.006822,0.015389,0.006403,1,0,1,0,HIGH_RATE
0.029998,31,6,4,440,471,200.012907,270.753103,14667.613197,31881.177826,1.5,0.934183,46,73.333333,184,49.714742,52,117.75,307,109.312339,0.000003,0.006,0.015175,0.007105,0.000152,0.004925,0.01442,0.006714,1,0,1,0,HIGH_RATE
0.032432,31,6,4,448,471,185.003374,239.541056,13813.58528,28205.959308,1.5,0.951168,46,74.666667,192,52.683542,52,117.75,307,109.312339,0.000123,0.006486,0.016171,0.007775,0.000192,0.005566,0.016086,0.007439,1,0,1,0,HIGH_RATE
0.030825,31,6,4,441,471,194.649341,246.470046,14306.726564,29021.847862,1.5,0.936306,46,73.5,185,50.08576,52,117.75,307,109.312339,0.000004,0.006165,0.015789,0.007353,0,0.00541,0.015009,0.006806,1,0,1,0,HIGH_RATE
0.031675,31,6,4,440,471,189.426087,241.468279,13891.246415,28432.88981,1.5,0.934183,46,73.333333,184,49.714742,52,117.75,307,109.312339,0.000071,0.006335,0.016052,0.007418,0.000001,0.005522,0.016197,0.00755,1,0,1,0,HIGH_RATE
