@relation 'slowRead-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE'

@attribute src_port numeric
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {NORMAL,LOW_RATE,slowRead,HIGH_RATE,udpFlood,httpFlood}

@data
37300,80,6,60.902225,30,15,12,1059,1784,0.246296,0.213487,17.388527,31.73845,1.25,0.59361,52,70.6,307,63.260098,52,148.666667,628,214.375579,0.00043,4.350159,27.902097,7.424286,0.000144,5.109948,27.903061,8.206681,1,0,1,0,LOW_RATE
33816,80,6,60.777137,30,16,11,1067,1732,0.263257,0.388689,17.555944,61.20078,1.454545,0.616051,52,66.6875,247,46.699463,52,157.454545,628,221.828912,0.004775,4.051809,17.099382,5.177268,0,2.830029,14.064166,4.30879,1,0,1,0,LOW_RATE
45712,80,6,60.61922,30,15,12,1103,1784,0.247446,0.212115,18.195549,31.534493,1.25,0.618274,52,73.533333,351,74.223866,52,148.666667,628,214.375579,0.000162,4.329944,28.672219,7.626203,0.000129,5.142997,28.663111,8.412966,1,0,1,0,LOW_RATE
36568,80,6,31.61543,2,6,0,360,0,0.189781,0,11.386845,0,0,0,60,60,60,0,0,0,0,0,1.023116,6.323086,16.127722,5.48705,0,0,0,0,0,0,-1,-1,LOW_RATE
43334,80,6,60.859092,30,15,11,1068,1732,0.246471,0.379324,17.548734,59.726288,1.363636,0.616628,52,71.2,308,63.383699,52,157.454545,628,221.828912,0.001048,4.347078,24.730507,6.69317,0.000245,2.899896,13.804842,4.164018,1,0,1,0,LOW_RATE
54850,80,6,60.948833,30,15,11,1155,1732,0.246108,0.377543,18.950322,59.44585,1.363636,0.666859,52,77,395,85.060763,52,157.454545,628,221.828912,0.003484,4.353488,24.747823,6.839425,0.000001,2.913576,14.592183,4.479979,1,0,1,0,LOW_RATE
57898,80,6,60.476977,30,16,11,1127,1732,0.264563,0.385222,18.635191,60.654996,1.454545,0.650693,52,70.4375,307,61.189224,52,157.454545,628,221.828912,0.001517,4.031798,16.474649,4.99823,0.000937,2.855494,13.822549,4.181072,1,0,1,0,LOW_RATE
33328,80,6,0.0065,31,13,5,837,11844,1999.998239,1090.562663,128769.117412,2583324.834945,2.6,0.070669,46,64.384615,247,52.876545,52,2368.8,7292,2979.286787,0.000002,0.000542,0.002634,0.000772,0.000535,0.001146,0.001433,0.000366,1,0,1,0,LOW_RATE
33556,80,6,60.682656,30,17,11,1106,1732,0.280146,0.399529,18.225966,62.907694,1.545455,0.638568,52,65.058824,226,40.410352,52,157.454545,628,221.828912,0.000507,3.792666,16.127243,4.858713,0.000001,2.75324,13.823519,4.231884,1,0,1,0,LOW_RATE
34234,80,6,60.873508,30,13,12,983,1784,0.213558,0.206176,16.14824,30.651426,1.083333,0.551009,52,75.615385,351,79.52507,52,148.666667,628,214.375579,0.000814,5.072792,29.201032,8.210732,0.000009,5.291167,29.200973,8.538487,1,0,1,0,LOW_RATE
34324,80,6,60.74196,30,15,11,1111,1732,0.246946,0.400795,18.290486,63.10705,1.363636,0.641455,52,74.066667,351,74.095854,52,157.454545,628,221.828912,0.000002,4.338711,26.240598,7.079334,0.000015,2.744543,13.82532,4.234199,1,0,1,0,LOW_RATE
55816,80,6,60.559713,30,16,10,1054,1680,0.264202,0.682698,17.40431,114.693201,1.6,0.627381,52,65.875,226,41.51788,52,168,628,230.012174,0.000001,4.037314,16.143348,5.081647,0,1.62753,7.434874,2.344457,1,0,1,0,LOW_RATE
46518,80,6,60.993664,30,15,11,1067,1732,0.245927,0.402486,17.49362,63.373294,1.363636,0.616051,52,71.133333,307,63.134636,52,157.454545,628,221.828912,0.000015,4.35669,26.501013,7.111118,0.000003,2.733012,13.561602,4.168494,1,0,1,0,LOW_RATE
57824,80,6,60.585306,30,17,11,1187,1732,0.280596,0.39812,19.592209,62.685834,1.545455,0.685335,52,69.823529,307,59.413046,52,157.454545,628,221.828912,0.000036,3.786582,16.13719,4.86984,0.000284,2.762985,13.833849,4.237301,1,0,1,0,LOW_RATE
35154,80,6,60.745468,30,16,11,1046,1732,0.263394,0.400277,17.219392,63.025382,1.454545,0.603926,52,65.375,226,41.633633,52,157.454545,628,221.828912,0.000014,4.049698,17.786046,5.265051,0.000002,2.748099,13.809462,4.228501,1,0,1,0,LOW_RATE
56056,80,6,7.143081,2,4,0,240,0,0.559982,0,33.598948,0,0,0,60,60,60,0,0,0,0,0,1.031016,2.381027,4.097005,1.278155,0,0,0,0,0,0,-1,-1,LOW_RATE
57652,80,6,60.834654,30,15,11,1067,1732,0.24657,0.38878,17.539345,61.21522,1.363636,0.616051,52,71.133333,307,63.134636,52,157.454545,628,221.828912,0.000842,4.345332,25.420245,6.924799,0.000004,2.829362,14.070241,4.323127,1,0,1,0,LOW_RATE
58118,80,6,60.849315,30,16,8,2236,1576,0.262945,0.196122,36.746511,38.635989,2,1.418782,52,139.75,395,147.404842,52,197,628,248.851361,0.000007,4.056621,21.459243,5.969585,0.000117,5.827283,21.456338,7.14571,4,0,1,0,LOW_RATE
49532,80,6,60.731376,30,15,11,1111,1732,0.246989,0.398963,18.293674,62.818567,1.363636,0.641455,52,74.066667,351,74.095854,52,157.454545,628,221.828912,0.000324,4.337955,25.93125,7.008409,0.000003,2.757147,13.81551,4.232182,1,0,1,0,LOW_RATE
45192,80,6,60.523108,30,16,11,1127,1732,0.264362,0.396924,18.620987,62.49756,1.454545,0.650693,52,70.4375,307,61.189224,52,157.454545,628,221.828912,0.000988,4.034874,17.549325,5.216092,0.000007,2.771308,13.819808,4.22095,1,0,1,0,LOW_RATE
58112,80,6,60.858245,30,15,12,1147,1784,0.246474,0.217134,18.847077,32.280611,1.25,0.642937,52,76.466667,395,85.190662,52,148.666667,628,214.375579,0.000302,4.347017,27.141615,7.238383,0.000002,5.024125,27.138017,8.022178,1,0,1,0,LOW_RATE
47152,80,6,60.886635,30,15,12,978,1784,0.246359,0.2146,16.062638,31.903797,1.25,0.548206,52,65.2,226,43.092459,52,148.666667,628,214.375579,0.000117,4.349045,28.164856,7.489809,0.000005,5.083464,28.161026,8.29162,1,0,1,0,LOW_RATE
38462,80,6,60.934548,30,15,12,1147,1784,0.246166,0.220873,18.823476,32.836519,1.25,0.642937,52,76.466667,395,85.190662,52,148.666667,628,214.375579,0.000639,4.352468,26.879505,7.19266,0.000003,4.939069,26.87978,7.992564,1,0,1,0,LOW_RATE
48860,80,6,60.769233,30,17,6,2982,1472,0.279747,0.173846,49.070884,42.650161,2.833333,2.025815,52,175.411765,395,162.208312,52,245.333333,628,270.600977,0.000015,3.798077,20.997889,5.711793,0.000006,6.90267,20.997435,7.948424,6,0,1,0,LOW_RATE
55022,80,6,60.8991,30,15,7,2079,1524,0.246309,0.195015,34.138435,42.457637,2.142857,1.364173,52,138.6,307,119.114399,52,217.714286,628,259.501563,0.000385,4.349936,21.962441,7.179718,0.000171,5.982434,19.454899,6.910711,5,0,1,0,LOW_RATE
56704,80,6,7.270508,2,4,0,240,0,0.550168,0,33.010072,0,0,0,60,60,60,0,0,0,0,0,1.031487,2.423503,4.224526,1.335251,0,0,0,0,0,0,-1,-1,LOW_RATE
42688,80,6,7.188561,2,4,0,240,0,0.55644,0,33.386374,0,0,0,60,60,60,0,0,0,0,0,1.010021,2.396187,4.162319,1.314667,0,0,0,0,0,0,-1,-1,LOW_RATE
36354,80,6,60.758245,30,15,11,1007,1732,0.24688,0.379627,16.573882,59.773987,1.363636,0.581409,52,67.133333,247,48.198017,52,157.454545,628,221.828912,0.002096,4.339875,24.674004,6.678635,0.000092,2.897582,13.824095,4.159229,1,0,1,0,LOW_RATE
55012,80,6,60.711033,30,17,7,2639,1524,0.280015,0.181302,43.468211,39.471965,2.428571,1.731627,52,155.235294,395,154.802922,52,217.714286,628,259.501563,0.001806,3.79444,20.231632,5.26092,0.000005,6.434947,20.224703,6.97271,5,0,1,0,LOW_RATE
59846,80,6,43.515349,26,15,6,2606,1472,0.344706,0.165086,59.886915,40.501175,2.5,1.77038,52,173.733333,351,144.770378,52,245.333333,628,270.600977,0.002194,3.108239,22.268769,5.96854,0.000001,7.268925,22.263682,8.441288,6,0,1,0,LOW_RATE
