% isAttack highrate:	1705
% isAttack lowrate:	2000
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8-9,17,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute dst_host_count numeric
@attribute isAttack {highrate,lowrate}

@data
60,0,86,86,40,highrate
60,0,66,66,26,highrate
60,0,116,116,33,highrate
60,0,6,6,6,highrate
60,0,138,138,15,highrate
60,0,112,112,33,highrate
60,0,96,96,43,highrate
60,0,128,128,33,highrate
60,0,116,116,34,highrate
60,0,136,136,33,highrate
60,0,160,160,33,highrate
60,0,141,141,34,highrate
60,0,131,131,33,highrate
60,0,130,130,33,highrate
60,0,115,115,34,highrate
60,0,105,105,33,highrate
60,0,130,130,33,highrate
60,0,97,97,43,highrate
60,0,142,142,33,highrate
60,0,2,2,2,highrate
60,0,125,125,33,highrate
60,0,153,153,33,highrate
60,0,137,137,11,highrate
60,0,120,120,33,highrate
60,0,141,141,25,highrate
60,0,37,37,34,highrate
60,0,72,72,28,highrate
60,0,61,61,25,highrate
60,0,104,104,34,highrate
60,0,108,108,33,highrate
60,0,101,101,40,highrate
60,0,110,110,33,highrate
60,0,34,34,31,highrate
60,0,135,135,33,highrate
60,0,105,105,40,highrate
60,0,142,142,33,highrate
60,0,159,159,33,highrate
60,0,153,153,33,highrate
60,0,115,115,33,highrate
60,0,141,141,27,highrate
60,0,38,38,35,highrate
60,0,15,15,15,highrate
60,0,35,35,32,highrate
60,0,113,113,33,highrate
60,0,112,112,33,highrate
60,0,142,142,33,highrate
60,0,114,114,33,highrate
60,0,162,162,33,highrate
60,0,0,0,0,highrate
60,0,115,115,37,highrate
60,0,153,153,33,highrate
60,0,146,146,33,highrate
60,0,43,43,32,highrate
60,0,108,108,33,highrate
60,0,112,112,33,highrate
60,0,108,108,33,highrate
60,0,82,82,38,highrate
60,0,105,105,34,highrate
60,0,158,158,33,highrate
60,0,125,125,33,highrate
60,0,110,110,33,highrate
60,0,84,84,40,highrate
60,0,108,108,33,highrate
60,0,140,140,33,highrate
60,0,119,119,33,highrate
60,0,45,45,22,highrate
60,0,93,93,42,highrate
60,0,47,47,22,highrate
60,0,113,113,34,highrate
60,0,118,118,33,highrate
60,0,142,142,33,highrate
60,0,146,146,33,highrate
60,0,143,143,33,highrate
60,0,113,113,33,highrate
60,0,131,131,33,highrate
60,0,145,145,33,highrate
60,0,152,152,33,highrate
60,0,7,7,7,highrate
60,0,117,117,34,highrate
60,0,80,80,41,highrate
60,0,125,125,33,highrate
60,0,20,20,20,highrate
60,0,138,138,19,highrate
60,0,141,141,25,highrate
60,0,103,103,34,highrate
60,0,138,138,33,highrate
60,0,109,109,33,highrate
60,0,16,16,16,highrate
60,0,102,102,34,highrate
60,0,81,81,41,highrate
60,0,153,153,33,highrate
60,0,40,40,37,highrate
60,0,140,140,21,highrate
60,0,87,87,41,highrate
60,0,145,145,33,highrate
60,0,80,80,42,highrate
60,0,70,70,28,highrate
60,0,134,134,33,highrate
60,0,129,129,33,highrate
60,0,126,126,33,highrate
60,0,103,103,40,highrate
60,0,142,142,33,highrate
60,0,141,141,33,highrate
60,0,141,141,30,highrate
60,0,65,65,26,highrate
60,0,131,131,33,highrate
60,0,112,112,33,highrate
60,0,153,153,33,highrate
60,0,137,137,11,highrate
60,0,64,64,26,highrate
60,0,42,42,34,highrate
60,0,141,141,31,highrate
60,0,32,32,29,highrate
60,0,24,24,24,highrate
60,0,143,143,33,highrate
60,0,114,114,33,highrate
60,0,151,151,33,highrate
60,0,54,54,23,highrate
60,0,49,49,21,highrate
60,0,146,146,33,highrate
60,0,117,117,34,highrate
60,0,110,110,34,highrate
60,0,108,108,33,highrate
60,0,142,142,33,highrate
60,0,142,142,33,highrate
60,0,133,133,33,highrate
60,0,110,110,33,highrate
60,0,8,8,8,highrate
60,0,142,142,33,highrate
60,0,79,79,41,highrate
60,0,125,125,33,highrate
60,0,125,125,33,highrate
60,0,154,154,33,highrate
60,0,107,107,34,highrate
60,0,106,106,33,highrate
60,0,98,98,41,highrate
60,0,114,114,33,highrate
60,0,109,109,34,highrate
60,0,93,93,42,highrate
60,0,138,138,11,highrate
60,0,131,131,33,highrate
60,0,148,148,33,highrate
60,0,108,108,33,highrate
60,0,142,142,33,highrate
60,0,13,13,13,highrate
60,0,113,113,33,highrate
60,0,109,109,33,highrate
60,0,141,141,22,highrate
60,0,102,102,40,highrate
60,0,138,138,33,highrate
60,0,166,166,33,highrate
60,0,10,10,10,highrate
60,0,138,138,13,highrate
60,0,87,87,42,highrate
60,0,87,87,42,highrate
60,0,104,104,40,highrate
60,0,117,117,33,highrate
60,0,86,86,43,highrate
60,0,86,86,41,highrate
60,0,91,91,42,highrate
60,0,137,137,33,highrate
60,0,82,82,42,highrate
60,0,108,108,38,highrate
60,0,109,109,33,highrate
60,0,136,136,33,highrate
60,0,121,121,33,highrate
60,0,44,44,33,highrate
60,0,153,153,33,highrate
60,0,71,71,29,highrate
60,0,145,145,33,highrate
60,0,76,76,32,highrate
60,0,114,114,33,highrate
60,0,114,114,33,highrate
60,0,110,110,37,highrate
60,0,81,81,37,highrate
60,0,143,143,30,highrate
60,0,141,141,28,highrate
60,0,117,117,33,highrate
60,0,145,145,33,highrate
60,0,142,142,33,highrate
60,0,141,141,32,highrate
60,0,70,70,28,highrate
60,0,86,86,42,highrate
60,0,117,117,36,highrate
60,0,110,110,33,highrate
60,0,107,107,34,highrate
60,0,128,128,33,highrate
60,0,145,145,33,highrate
60,0,131,131,33,highrate
60,0,110,110,33,highrate
60,0,137,137,33,highrate
60,0,112,112,33,highrate
60,0,145,145,33,highrate
60,0,160,160,33,highrate
60,0,138,138,33,highrate
60,0,153,153,33,highrate
60,0,104,104,34,highrate
60,0,113,113,34,highrate
60,0,124,124,33,highrate
60,0,85,85,41,highrate
60,0,131,131,33,highrate
60,0,142,142,33,highrate
60,0,117,117,33,highrate
60,0,87,87,40,highrate
60,0,155,155,33,highrate
60,0,17,17,17,highrate
60,0,141,141,24,highrate
60,0,112,112,33,highrate
60,0,141,141,33,highrate
60,0,109,109,38,highrate
60,0,83,83,42,highrate
60,0,138,138,14,highrate
60,0,88,88,40,highrate
60,0,114,114,37,highrate
60,0,75,75,31,highrate
60,0,109,109,33,highrate
60,0,112,112,33,highrate
60,0,57,57,24,highrate
60,0,138,138,21,highrate
60,0,128,128,33,highrate
60,0,101,101,34,highrate
60,0,138,138,33,highrate
60,0,137,137,33,highrate
60,0,53,53,23,highrate
60,0,107,107,33,highrate
60,0,153,153,33,highrate
60,0,62,62,25,highrate
60,0,85,85,42,highrate
60,0,127,127,33,highrate
60,0,132,132,33,highrate
60,0,160,160,33,highrate
60,0,160,160,33,highrate
60,0,89,89,41,highrate
60,0,163,163,33,highrate
60,0,107,107,33,highrate
60,0,108,108,33,highrate
60,0,80,80,36,highrate
60,0,131,131,33,highrate
60,0,108,108,34,highrate
60,0,101,101,34,highrate
60,0,117,117,33,highrate
60,0,139,139,33,highrate
60,0,11,11,11,highrate
377,755,660,500,100,highrate
374,755,321,321,100,highrate
60,0,124,124,33,highrate
374,755,165,165,100,highrate
66,0,6,6,6,highrate
374,755,150,150,100,highrate
446,755,691,691,100,highrate
66,0,30,30,29,highrate
377,755,580,420,100,highrate
66,0,49,49,34,highrate
60,0,180,180,33,highrate
60,0,172,172,33,highrate
242,140,440,440,100,highrate
377,755,463,303,100,highrate
374,755,105,105,100,highrate
374,755,105,105,100,highrate
66,0,268,268,98,highrate
60,0,135,135,33,highrate
446,755,557,557,100,highrate
446,755,336,336,100,highrate
386,821,115,115,100,highrate
446,755,663,663,100,highrate
446,755,379,379,100,highrate
374,755,188,188,100,highrate
60,0,25,25,25,highrate
377,755,916,756,100,highrate
380,755,759,759,100,highrate
66,0,36,36,34,highrate
374,755,121,121,82,highrate
60,0,178,178,33,highrate
374,755,142,142,100,highrate
377,755,525,365,100,highrate
60,0,114,114,33,highrate
66,0,0,0,0,highrate
377,755,368,208,88,highrate
380,755,966,966,100,highrate
66,0,190,190,98,highrate
60,0,30,30,30,highrate
374,755,138,138,100,highrate
60,0,178,178,33,highrate
380,755,940,940,100,highrate
60,0,179,179,33,highrate
374,755,150,150,100,highrate
374,755,339,339,100,highrate
374,755,432,432,100,highrate
446,755,566,566,100,highrate
374,755,142,142,94,highrate
380,755,945,945,100,highrate
66,0,144,89,53,highrate
60,0,129,129,32,highrate
374,755,430,430,100,highrate
60,0,93,131,36,highrate
374,755,156,156,100,highrate
66,0,1,1,1,highrate
380,755,873,873,100,highrate
60,0,109,109,33,highrate
374,755,145,145,100,highrate
374,755,189,189,100,highrate
60,0,102,102,34,highrate
374,755,427,427,100,highrate
374,755,85,85,98,highrate
66,0,131,76,49,highrate
374,755,131,131,100,highrate
60,0,87,87,42,highrate
60,0,136,136,10,highrate
374,755,146,146,100,highrate
377,755,931,771,100,highrate
66,0,58,58,48,highrate
66,0,156,156,100,highrate
446,755,497,497,100,highrate
66,0,218,218,98,highrate
60,0,121,121,33,highrate
60,0,95,95,42,highrate
60,0,141,141,24,highrate
60,0,133,171,33,highrate
374,755,133,133,100,highrate
377,755,768,608,99,highrate
377,755,447,287,100,highrate
374,755,250,250,100,highrate
66,0,1,1,63,highrate
446,755,378,378,100,highrate
374,755,164,164,100,highrate
60,0,147,147,33,highrate
374,755,140,140,100,highrate
374,755,112,112,100,highrate
66,0,15,15,15,highrate
386,821,371,371,100,highrate
377,755,863,703,100,highrate
446,755,642,642,100,highrate
374,755,156,156,100,highrate
380,755,740,740,100,highrate
377,755,491,331,100,highrate
374,755,104,104,100,highrate
60,0,74,74,30,highrate
60,0,142,142,33,highrate
377,755,400,240,98,highrate
446,755,563,563,100,highrate
377,755,423,263,100,highrate
60,0,50,50,22,highrate
242,140,189,189,100,highrate
60,0,141,141,24,highrate
377,755,390,230,95,highrate
60,0,136,174,33,highrate
374,755,74,74,74,highrate
374,755,155,155,100,highrate
60,0,177,177,33,highrate
60,0,129,129,32,highrate
60,0,130,130,33,highrate
446,755,707,707,100,highrate
377,755,870,710,100,highrate
380,755,741,741,100,highrate
66,0,38,38,32,highrate
60,0,43,43,33,highrate
374,755,151,151,100,highrate
66,0,48,48,33,highrate
248,140,152,152,100,highrate
377,755,876,716,100,highrate
374,755,83,83,98,highrate
374,755,149,149,100,highrate
60,0,56,56,24,highrate
374,755,346,346,100,highrate
66,0,103,103,100,highrate
446,755,632,632,100,highrate
60,0,134,134,9,highrate
374,755,404,404,100,highrate
377,755,946,786,100,highrate
374,755,41,41,98,highrate
446,755,666,666,100,highrate
374,755,148,148,100,highrate
66,0,55,55,45,highrate
386,821,0,0,0,highrate
374,755,280,280,100,highrate
60,0,129,167,33,highrate
380,755,957,957,100,highrate
242,140,179,179,100,highrate
374,755,144,144,100,highrate
377,755,443,283,100,highrate
452,821,163,163,100,highrate
377,755,444,284,100,highrate
374,755,16,16,98,highrate
377,755,559,399,100,highrate
66,0,55,55,37,highrate
60,0,134,172,33,highrate
374,755,435,435,100,highrate
377,755,766,606,99,highrate
60,0,174,174,33,highrate
60,0,160,160,33,highrate
380,755,142,142,100,highrate
392,821,754,754,100,highrate
374,755,147,147,100,highrate
377,755,412,252,100,highrate
374,755,400,400,100,highrate
380,755,938,938,100,highrate
446,755,517,517,100,highrate
374,755,152,152,100,highrate
374,755,131,131,100,highrate
446,755,524,524,100,highrate
446,755,481,481,100,highrate
60,0,9,9,9,highrate
380,755,912,912,100,highrate
66,0,115,115,100,highrate
