% isAttack HIGH_RATE:	1705
% isAttack LOW_RATE:	2000
@relation 'TCP Flood-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,8,21,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
0,OTH,78,9361,0.01,HIGH_RATE
0,OTH,78,20749,0.01,HIGH_RATE
0,OTH,78,2191,0.01,HIGH_RATE
0,OTH,78,22213,0.03,HIGH_RATE
0,OTH,78,9904,0.03,HIGH_RATE
0,OTH,78,24242,0.04,HIGH_RATE
0,OTH,78,6456,0.03,HIGH_RATE
0,OTH,78,9280,0.01,HIGH_RATE
0,OTH,78,10868,0.03,HIGH_RATE
0,OTH,78,24264,0.04,HIGH_RATE
0,OTH,78,10204,0.04,HIGH_RATE
0,OTH,78,9199,0.03,HIGH_RATE
0,OTH,78,10975,0,HIGH_RATE
0,OTH,78,4538,0.03,HIGH_RATE
0,OTH,78,11766,0.07,HIGH_RATE
0,OTH,78,20225,0.03,HIGH_RATE
0,OTH,78,13780,0.04,HIGH_RATE
0,OTH,78,2956,0.03,HIGH_RATE
0,OTH,78,11678,0.04,HIGH_RATE
0,OTH,78,19222,0.01,HIGH_RATE
0,OTH,78,18666,0,HIGH_RATE
0,OTH,78,20385,0.03,HIGH_RATE
0,OTH,78,6925,0.03,HIGH_RATE
0,OTH,78,9564,0.04,HIGH_RATE
0,OTH,78,4543,0.02,HIGH_RATE
0,OTH,78,26065,0.04,HIGH_RATE
0,OTH,78,5798,0.01,HIGH_RATE
0,OTH,78,16903,0.04,HIGH_RATE
