% isAttack normal:	1333
% isAttack attack:	2592
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,12,17,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute rerror_rate numeric
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
udp,OTH,0,40,attack
udp,OTH,0,38,attack
udp,OTH,0,41,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,38,attack
udp,OTH,0,23,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S1,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,84,attack
tcp,S3,0,99,attack
tcp,OTH,0,42,attack
tcp,S3,0,98,attack
udp,OTH,0,19,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,39,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,68,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,99,attack
tcp,OTH,0,99,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,RSTO,0,100,attack
tcp,S3,0,99,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,97,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,58,attack
tcp,OTH,0,33,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,98,attack
tcp,OTH,0,46,attack
tcp,OTH,0,46,attack
tcp,RSTO,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,67,attack
udp,OTH,0,40,attack
tcp,OTH,0,33,attack
udp,OTH,0,42,attack
tcp,S1,0,100,attack
tcp,S3,0,33,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S1,0,100,attack
tcp,RSTO,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,50,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,RSTO,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,81,attack
tcp,RSTO,0,100,attack
tcp,OTH,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,92,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S1,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,7,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,OTH,0,33,attack
tcp,OTH,0,54,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,18,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
udp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,OTH,0,31,attack
tcp,OTH,0,40,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,OTH,0,34,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
udp,OTH,0,33,attack
tcp,S3,0,98,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,33,attack
tcp,OTH,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,RSTO,0,100,attack
tcp,OTH,0,33,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,S3,0,100,attack
tcp,OTH,0,69,attack
tcp,OTH,0,35,attack
tcp,S3,0,100,attack
udp,OTH,0,39,attack
tcp,RSTO,0,100,attack
tcp,S3,0,100,attack
