% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,17-18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,0,48,normal
tcp,OTH,23,23,normal
tcp,RSTO,0,41,normal
tcp,OTH,41,41,normal
tcp,OTH,19,20,normal
tcp,OTH,25,25,normal
tcp,OTH,38,52,normal
tcp,OTH,33,33,normal
tcp,OTH,33,34,normal
tcp,SF,11,55,normal
tcp,S1,0,53,normal
tcp,S1,1,40,normal
tcp,RSTR,0,40,normal
tcp,OTH,19,19,normal
tcp,OTH,34,34,normal
tcp,OTH,32,34,normal
tcp,OTH,49,49,normal
tcp,OTH,42,42,normal
tcp,OTH,33,33,normal
tcp,OTH,13,54,normal
tcp,OTH,33,33,normal
tcp,SF,1,35,normal
tcp,SF,1,43,normal
tcp,OTH,25,39,normal
tcp,OTH,14,14,normal
tcp,OTH,34,35,normal
tcp,OTH,1,51,normal
tcp,OTH,36,36,normal
tcp,OTH,49,49,normal
tcp,OTH,36,37,normal
tcp,OTH,40,40,normal
tcp,OTH,33,34,normal
tcp,OTH,40,40,normal
tcp,OTH,43,43,normal
tcp,S1,0,49,normal
tcp,RSTO,4,41,normal
tcp,OTH,24,43,normal
tcp,OTH,37,37,normal
tcp,OTH,2,36,normal
tcp,SF,1,33,normal
tcp,RSTO,0,35,normal
tcp,OTH,4,35,normal
tcp,OTH,38,41,normal
tcp,OTH,37,38,normal
tcp,OTH,7,36,normal
tcp,SF,0,56,normal
tcp,OTH,49,49,normal
tcp,OTH,19,47,normal
tcp,OTH,27,27,normal
tcp,OTH,9,44,normal
tcp,OTH,49,49,normal
tcp,OTH,38,39,normal
tcp,OTH,23,23,normal
tcp,OTH,1,45,normal
tcp,OTH,38,38,normal
tcp,OTH,33,33,normal
tcp,OTH,33,33,normal
tcp,OTH,0,54,normal
tcp,SF,0,82,normal
tcp,OTH,0,45,normal
tcp,OTH,33,33,normal
tcp,OTH,0,51,normal
tcp,RSTO,6,40,normal
tcp,OTH,28,29,normal
tcp,OTH,32,32,normal
tcp,OTH,32,32,normal
tcp,SF,4,31,normal
tcp,OTH,32,32,normal
tcp,OTH,18,42,normal
tcp,OTH,38,38,normal
tcp,OTH,2,46,normal
tcp,OTH,15,49,normal
tcp,OTH,37,37,normal
tcp,SF,3,37,normal
tcp,SF,1,55,normal
tcp,RSTO,2,33,normal
tcp,OTH,34,44,normal
tcp,OTH,4,44,normal
tcp,OTH,38,38,normal
tcp,OTH,40,40,normal
tcp,OTH,41,42,normal
tcp,SF,5,82,normal
tcp,OTH,30,30,normal
tcp,SF,0,67,normal
tcp,RSTO,0,42,normal
tcp,OTH,36,38,normal
tcp,OTH,38,38,normal
tcp,OTH,33,33,normal
tcp,OTH,31,40,normal
tcp,SF,1,41,normal
tcp,OTH,20,20,normal
tcp,OTH,36,36,normal
tcp,OTH,21,54,normal
tcp,RSTO,0,36,normal
tcp,SF,0,42,normal
tcp,OTH,4,50,normal
tcp,OTH,6,25,normal
tcp,OTH,34,34,normal
tcp,SF,6,50,normal
tcp,S1,0,44,normal
tcp,RSTO,6,40,normal
tcp,OTH,9,42,normal
tcp,OTH,37,37,normal
tcp,OTH,33,33,normal
tcp,OTH,32,32,normal
tcp,OTH,45,45,normal
tcp,OTH,34,34,normal
tcp,OTH,41,43,normal
tcp,OTH,18,54,normal
tcp,OTH,41,41,normal
tcp,SF,2,9,normal
tcp,OTH,39,40,normal
tcp,OTH,34,34,normal
tcp,RSTR,0,33,normal
tcp,RSTR,0,18,normal
tcp,SF,1,59,normal
tcp,OTH,0,41,normal
tcp,OTH,24,25,normal
tcp,OTH,37,37,normal
tcp,OTH,14,49,normal
tcp,OTH,27,45,normal
tcp,OTH,32,32,normal
tcp,OTH,37,37,normal
tcp,OTH,39,57,normal
tcp,OTH,9,52,normal
tcp,OTH,33,33,normal
tcp,OTH,32,36,normal
tcp,OTH,30,30,normal
tcp,OTH,40,42,normal
tcp,OTH,15,49,normal
tcp,OTH,32,38,normal
tcp,OTH,42,42,normal
tcp,OTH,34,34,normal
tcp,OTH,43,43,normal
tcp,OTH,1,36,normal
tcp,OTH,25,25,normal
tcp,OTH,37,38,normal
tcp,OTH,35,35,normal
tcp,OTH,33,33,normal
tcp,OTH,0,3,normal
tcp,SF,1,49,normal
tcp,OTH,32,32,normal
tcp,OTH,50,50,normal
tcp,OTH,33,33,normal
tcp,OTH,34,34,normal
tcp,OTH,42,42,normal
tcp,OTH,34,35,normal
tcp,OTH,26,26,normal
tcp,OTH,31,32,normal
tcp,OTH,37,37,normal
tcp,OTH,45,46,normal
