% isAttack tcpFlood:	444
% isAttack normal:	1333
% isAttack slowRead:	444
% isAttack httpFlood:	444
% isAttack slowHeaders:	444
% isAttack udpFlood:	372
% isAttack slowBody:	444
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,8,11,14-15,17-18,27'

@attribute duration numeric
@attribute protocol_type {tcp,icmp,udp}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
0,tcp,946,12461,4042,0,1,0,100,100,normal
0,tcp,1024,12538,3084,0,1,0,90,90,normal
0,tcp,66,0,3402,0,1,0,51,51,normal
0,tcp,946,12461,2353,0,1,0,88,88,normal
0,tcp,946,12461,3452,0,1,0,65,65,normal
0,tcp,66,0,5952,0,1,0,50,50,normal
0,tcp,880,12395,2246,0,1,0,100,100,normal
0,tcp,946,12461,3876,0,1,0,100,100,normal
0,tcp,946,12461,1344,0,1,0,100,100,normal
0,tcp,946,12461,2549,0,1,0,100,100,normal
0,tcp,946,12461,1932,0,1,0,100,100,normal
0,tcp,946,12461,3944,0,1,0,100,100,normal
0,tcp,946,12461,2182,0,1,0,98,98,normal
0,tcp,66,0,3272,0,1,0,49,49,normal
0,tcp,66,0,4674,0,1,0,53,53,normal
0,tcp,66,0,5914,0,1,0,44,44,normal
0,tcp,66,0,3498,0,1,0,51,51,normal
0,tcp,880,12395,566,0,1,0,97,97,normal
0,tcp,946,12461,2435,0,1,0,98,98,normal
0,tcp,146,0,5678,0,1,0,21,21,normal
0,tcp,66,0,2884,0,1,0,42,42,normal
0,tcp,946,12461,3338,0,1,0,91,91,normal
0,tcp,946,12461,1747,0,1,0,100,100,normal
0,tcp,946,12461,3372,0,1,0,100,100,normal
0,tcp,66,0,2671,0,1,0,52,52,normal
0,tcp,66,0,1495,0,1,0,69,69,normal
0,tcp,66,0,3291,0,1,0,44,44,normal
0,tcp,66,0,3153,0,1,0,56,56,normal
0,tcp,946,12461,2218,0,1,0,100,100,normal
0,tcp,66,0,2999,0,1,0,49,49,normal
0,tcp,946,12461,2386,0,1,0,100,100,normal
0,tcp,66,0,3159,0,1,0,57,57,normal
0,tcp,66,0,5058,0,1,0,42,42,normal
0,tcp,66,0,3525,0,1,0,48,48,normal
0,tcp,66,0,4960,0,1,0,38,38,normal
0,tcp,946,12461,3083,0,1,0,100,100,normal
0,tcp,66,0,2840,0,1,0,55,55,normal
0,tcp,1024,12461,3178,0,1,0,87,87,normal
1,tcp,946,12461,1969,0,1,0,100,100,normal
0,tcp,66,0,5129,0,1,0,69,69,normal
0,tcp,66,0,3283,0,1,0,46,46,normal
0,tcp,1120,12461,1512,0,1,0,100,100,normal
0,tcp,66,0,5246,0,1,0,72,72,normal
0,tcp,66,0,3287,0,1,0,34,34,normal
0,tcp,66,0,3905,0,1,0,80,80,normal
0,tcp,66,0,3849,0,1,0,45,45,normal
0,tcp,946,12461,1998,0,1,0,100,100,normal
0,tcp,66,0,2729,0,1,0,48,48,normal
0,tcp,146,0,4862,0,1,0,46,46,normal
0,tcp,66,0,2700,0,1,0,45,45,normal
