@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-V-R3-5,9,14,18,21,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute same_srv_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {highrate,lowrate}

@data
OTH,60,0,89,1,41,0.98,highrate
OTH,60,0,163,1,33,0.97,highrate
OTH,60,0,107,1,33,0.97,highrate
OTH,60,0,108,1,33,0.97,highrate
OTH,60,0,80,1,36,0.97,highrate
OTH,60,0,131,1,33,0.97,highrate
OTH,60,0,108,1,34,0.97,highrate
OTH,60,0,101,1,34,0.97,highrate
OTH,60,0,117,1,33,0.97,highrate
OTH,60,0,11,1,11,0.92,highrate
OTH,60,0,135,1,33,0.97,highrate
OTH,60,0,25,1,25,0.96,highrate
OTH,60,0,114,1,33,0.97,highrate
OTH,60,0,109,1,33,0.97,highrate
OTH,60,0,102,1,34,0.97,highrate
OTH,60,0,87,1,42,0.98,highrate
OTH,60,0,121,1,33,0.97,highrate
OTH,60,0,95,1,42,0.98,highrate
OTH,60,0,141,1,24,0.96,highrate
OTH,60,0,147,1,33,0.97,highrate
OTH,60,0,74,1,30,0.97,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,50,1,22,0.96,highrate
OTH,60,0,141,1,24,0.96,highrate
OTH,60,0,130,1,33,0.97,highrate
OTH,60,0,56,1,24,0.96,highrate
OTH,60,0,160,1,33,0.97,highrate
OTH,60,0,105,1,33,0.97,highrate
OTH,60,0,117,1,33,0.97,highrate
OTH,60,0,98,1,42,0.98,highrate
OTH,60,0,109,1,33,0.97,highrate
OTH,60,0,117,1,33,0.97,highrate
OTH,60,0,113,1,38,0.97,highrate
OTH,60,0,110,1,34,0.97,highrate
OTH,60,0,153,1,33,0.97,highrate
OTH,60,0,104,1,34,0.97,highrate
OTH,60,0,100,1,40,0.98,highrate
OTH,60,0,112,1,38,0.97,highrate
OTH,60,0,89,1,41,0.98,highrate
OTH,60,0,107,1,33,0.97,highrate
OTH,60,0,111,1,33,0.97,highrate
OTH,60,0,111,1,38,0.97,highrate
OTH,60,0,51,1,23,0.96,highrate
OTH,60,0,122,1,33,0.97,highrate
OTH,60,0,125,1,33,0.97,highrate
OTH,60,0,104,1,33,0.97,highrate
OTH,60,0,160,1,33,0.97,highrate
OTH,60,0,19,1,19,0.95,highrate
OTH,60,0,122,1,33,0.97,highrate
OTH,60,0,110,1,33,0.97,highrate
OTH,60,0,110,1,40,0.98,highrate
OTH,60,0,94,1,42,0.98,highrate
OTH,60,0,161,1,33,0.97,highrate
OTH,60,0,138,1,33,0.97,highrate
OTH,60,0,111,1,33,0.97,highrate
OTH,60,0,105,1,39,0.97,highrate
OTH,60,0,88,1,41,0.98,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,110,1,33,0.97,highrate
OTH,60,0,67,1,27,0.96,highrate
OTH,60,0,133,1,33,0.97,highrate
OTH,60,0,141,1,23,0.96,highrate
OTH,60,0,116,1,33,0.97,highrate
OTH,60,0,59,1,25,0.96,highrate
OTH,60,0,105,1,34,0.97,highrate
OTH,60,0,81,1,42,0.98,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,141,1,29,0.97,highrate
OTH,60,0,102,1,33,0.97,highrate
OTH,60,0,94,1,42,0.98,highrate
OTH,60,0,115,1,33,0.97,highrate
OTH,60,0,9,1,9,0.9,highrate
OTH,60,0,107,1,33,0.97,highrate
OTH,60,0,110,1,33,0.97,highrate
OTH,60,0,158,1,33,0.97,highrate
OTH,60,0,87,1,42,0.98,highrate
OTH,60,0,142,1,33,0.97,highrate
OTH,60,0,22,1,22,0.96,highrate
OTH,60,0,105,1,34,0.97,highrate
OTH,60,0,107,1,34,0.97,highrate
S3,374,755,72,1,98,0,highrate
S1,248,140,215,1,100,0,highrate
S3,374,755,131,1,100,0,highrate
S3,374,755,138,1,100,0,highrate
S3,374,755,104,1,71,0,highrate
S3,374,755,146,1,100,0,highrate
OTH,60,0,177,1,33,0.97,highrate
S3,374,755,396,1,100,0,highrate
S3,374,755,135,1,100,0,highrate
RSTO,446,755,502,1,100,0,highrate
OTH,60,0,31,1,28,0.97,highrate
S3,374,755,97,1,100,0,highrate
OTH,60,0,28,1,28,0.97,highrate
S3,377,755,806,0.69,100,0,highrate
S3,374,755,120,1,100,0,highrate
OTH,66,0,224,1,98,0,highrate
S3,374,755,31,1,31,0,highrate
S3,374,755,374,1,100,0,highrate
S3,374,755,154,1,100,0,highrate
OTH,66,0,254,1,98,0,highrate
RSTO,446,755,367,1,100,0,highrate
OTH,60,0,177,1,33,0.97,highrate
S3,380,755,930,1,100,0,highrate
RSTO,446,755,639,1,100,0,highrate
OTH,60,0,166,1,33,0.97,highrate
S3,374,755,150,1,100,0,highrate
S3,377,755,156,0.04,41,0,highrate
RSTO,446,755,431,1,100,0,highrate
S3,374,755,92,1,92,0,highrate
OTH,60,0,179,1,33,0.97,highrate
OTH,60,0,176,1,33,0.97,highrate
S1,248,140,186,1,100,0,highrate
OTH,60,0,147,1,31,0.97,highrate
OTH,60,0,94,1,41,0.1,highrate
S3,374,755,164,1,100,0,highrate
S3,374,755,140,1,100,0,highrate
OTH,60,0,101,1,30,0.35,highrate
OTH,60,0,4,1,4,0.8,highrate
OTH,60,0,179,1,33,0.97,highrate
OTH,60,0,138,1,33,0.97,highrate
RSTO,446,755,847,1,100,0,highrate
S3,374,755,253,1,100,0,highrate
S3,377,755,787,0.68,100,0,highrate
S3,374,755,184,1,100,0,highrate
S3,374,755,113,1,100,0,highrate
OTH,66,0,84,1,96,0,highrate
OTH,66,0,16,1,72,0.01,highrate
OTH,60,0,90,1,41,0.98,highrate
OTH,66,0,87,1,59,0.02,highrate
S1,248,140,181,1,100,0,highrate
S3,374,755,163,1,100,0,highrate
S1,242,140,159,1,100,0,highrate
OTH,60,0,0,0,0,0,highrate
S3,377,755,871,0.71,100,0,highrate
OTH,60,0,113,1,34,0.97,highrate
S3,377,755,393,0.45,100,0,highrate
OTH,66,0,10,1,10,0,highrate
S1,248,140,160,1,100,0,highrate
RSTO,446,755,482,1,100,0,highrate
S3,392,821,774,1,100,0,highrate
S3,374,755,145,1,100,0,highrate
S3,374,755,64,1,64,0,highrate
OTH,60,0,135,1,32,0.97,highrate
OTH,60,0,108,1,34,0.97,highrate
S1,248,140,206,1,100,0,highrate
OTH,60,0,142,1,31,0.97,highrate
RSTO,446,755,432,1,100,0,highrate
S3,374,755,119,1,100,0,highrate
S3,374,755,102,1,100,0,highrate
S3,374,755,133,1,100,0,highrate
S3,377,755,480,0.53,100,0,highrate
OTH,60,0,177,1,33,0.97,highrate
S3,374,755,153,1,100,0,highrate
RSTO,446,755,438,1,100,0,highrate
S3,374,755,149,1,100,0,highrate
OTH,60,0,125,1,33,0.97,highrate
S3,374,755,12,1,98,0,highrate
OTH,60,0,125,1,33,0.97,highrate
OTH,66,0,296,1,100,0,highrate
S3,374,755,153,1,100,0,highrate
S3,374,755,14,1,14,0,highrate
S3,374,755,117,1,100,0,highrate
S3,374,755,442,1,100,0,highrate
OTH,60,0,177,1,33,0.97,highrate
OTH,60,0,139,1,17,0.94,highrate
S3,380,755,144,1,100,0,highrate
S3,374,755,271,1,100,0,highrate
S3,392,821,775,1,100,0,highrate
OTH,66,0,166,1,100,0,highrate
S3,377,755,175,0.09,54,0,highrate
S3,374,755,121,1,100,0,highrate
OTH,66,0,260,1,98,0,highrate
OTH,60,0,163,1,33,0.97,highrate
S3,377,755,705,0.65,100,0,highrate
OTH,66,0,155,1,100,0,highrate
S3,374,755,113,1,100,0,highrate
OTH,60,0,109,1,34,0.97,highrate
S3,374,755,61,1,61,0,highrate
S3,377,755,684,0.64,99,0,highrate
OTH,60,0,119,1,34,0.97,highrate
S3,374,755,156,1,100,0,highrate
OTH,66,0,14,1,71,0.03,highrate
OTH,60,0,117,1,33,0.97,highrate
OTH,60,0,36,1,33,0.97,highrate
S3,374,755,132,1,100,0,highrate
OTH,60,0,114,1,32,0.97,highrate
OTH,60,0,143,1,33,0.97,highrate
OTH,60,0,138,1,33,0.97,highrate
OTH,60,0,174,1,33,0.97,highrate
OTH,60,0,163,1,33,0.97,highrate
S3,374,755,142,1,100,0,highrate
S3,374,755,159,1,100,0,highrate
S3,377,755,680,0.64,99,0,highrate
RSTO,446,755,354,1,100,0,highrate
S3,377,755,472,0.52,100,0,highrate
OTH,60,0,109,1,33,0.97,highrate
OTH,66,0,258,1,98,0,highrate
OTH,60,0,180,1,33,0.97,highrate
S3,374,755,147,1,100,0,highrate
S3,380,755,919,1,100,0,highrate
S3,377,755,627,0.61,99,0,highrate
OTH,66,0,40,1,33,0,highrate
S3,380,755,144,1,100,0,highrate
S3,374,755,279,1,100,0,highrate
RSTO,446,755,381,1,100,0,highrate
S3,374,755,126,1,100,0,highrate
OTH,60,0,131,1,33,0.97,highrate
OTH,66,0,71,1,94,0,highrate
OTH,60,0,58,1,25,0.96,highrate
OTH,60,0,102,1,30,0.35,highrate
S3,374,755,363,1,100,0,highrate
S3,374,755,149,1,100,0,highrate
S3,377,755,643,0.62,99,0,highrate
OTH,60,0,111,1,21,0.86,highrate
OTH,60,0,177,1,33,0.97,highrate
S3,374,755,169,1,100,0,highrate
S3,377,755,243,0.25,100,0,highrate
OTH,60,0,14,1,14,0.93,highrate
OTH,60,0,109,1,34,0.97,highrate
S3,377,755,609,0.6,99,0,highrate
S3,377,755,227,0.21,89,0,highrate
S3,374,755,145,1,100,0,highrate
S3,377,755,328,0.38,100,0,highrate
S3,374,755,144,1,100,0,highrate
S3,377,755,179,0.1,57,0,highrate
S3,380,755,163,1,100,0,highrate
S3,377,755,441,0.49,100,0,highrate
OTH,60,0,141,1,29,0.97,highrate
OTH,60,0,141,1,30,0.97,highrate
OTH,60,0,129,1,32,0.97,highrate
S3,380,755,851,1,100,0,highrate
S3,374,755,355,1,100,0,highrate
OTH,66,0,82,1,94,0,highrate
S3,377,755,294,0.33,100,0,highrate
S3,377,755,292,0.33,100,0,highrate
OTH,60,0,154,1,33,0.97,highrate
RSTO,446,755,361,1,100,0,highrate
S3,374,755,149,1,100,0,highrate
S1,248,140,203,1,100,0,highrate
S3,380,755,161,1,100,0,highrate
S3,374,755,215,1,100,0,highrate
S3,374,755,153,1,100,0,highrate
S3,374,755,147,1,100,0,highrate
S3,377,755,460,0.51,100,0,highrate
OTH,60,0,178,1,33,0.97,highrate
OTH,60,0,117,1,32,0.97,highrate
OTH,60,0,174,1,33,0.97,highrate
S3,374,755,161,1,100,0,highrate
OTH,60,0,167,1,33,0.97,highrate
OTH,66,0,16,1,16,0,highrate
RSTO,446,755,576,1,100,0,highrate
S3,377,755,745,0.66,100,0,highrate
OTH,60,0,140,1,21,0.95,highrate
S3,374,755,172,1,100,0,highrate
S3,374,755,105,1,71,0,highrate
S3,380,755,142,1,100,0,highrate
OTH,66,0,240,1,98,0,highrate
S3,374,755,5,1,98,0,highrate
OTH,60,0,112,1,33,0.97,highrate
S3,377,755,447,0.5,100,0,highrate
OTH,60,0,168,1,33,0.97,highrate
OTH,60,0,120,1,35,0.97,highrate
OTH,60,0,45,1,33,0.97,highrate
OTH,60,0,133,1,33,0.97,highrate
OTH,60,0,164,1,33,0.97,highrate
S3,374,755,169,1,100,0,highrate
S3,377,755,218,0.2,83,0,highrate
OTH,60,0,139,1,20,0.95,highrate
OTH,60,0,177,1,33,0.97,highrate
S3,377,755,250,0.26,100,0,highrate
S3,374,755,80,1,80,0,highrate
S3,464,1370,112,1,100,0,highrate
OTH,66,0,162,1,100,0,highrate
S3,380,755,762,1,100,0,highrate
S3,377,755,839,0.7,100,0,highrate
OTH,60,0,143,1,31,0.97,highrate
S3,377,755,641,0.62,99,0,highrate
RSTO,446,755,791,1,100,0,highrate
OTH,66,0,59,0.06,33,0,highrate
S3,374,755,136,1,100,0,highrate
S3,386,821,203,1,100,0,highrate
S3,374,755,144,1,100,0,highrate
S3,374,755,176,1,100,0,highrate
S3,374,755,150,1,100,0,highrate
S3,377,755,427,0.48,100,0,highrate
S3,374,755,289,1,100,0,highrate
S3,374,755,113,1,76,0,highrate
OTH,60,0,20,1,20,0.95,highrate
S3,374,755,151,1,100,0,highrate
S3,377,755,615,0.61,99,0,highrate
OTH,60,0,138,1,13,0.93,highrate
OTH,66,0,56,1,38,0,highrate
OTH,60,0,138,1,33,0.97,highrate
OTH,60,0,123,1,33,0.97,highrate
OTH,60,0,179,1,33,0.97,highrate
OTH,60,0,39,1,36,0.97,highrate
S3,374,755,303,1,100,0,highrate
S3,377,755,172,0.08,52,0,highrate
S3,374,755,358,1,100,0,highrate
RSTO,446,755,385,1,100,0,highrate
S3,374,755,45,1,45,0,highrate
OTH,66,0,290,1,100,0,highrate
S3,377,755,195,0.14,67,0,highrate
