@relation 'tcpFlood-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-V-R4,12,29,40'

@attribute total_bvolume numeric
@attribute std_bpktl numeric
@attribute std_idle numeric
@attribute isAttack {HIGH_RATE,LOW_RATE}

@data
1732,232,4829244,LOW_RATE
1732,232,4829433,LOW_RATE
1732,232,4695176,LOW_RATE
1732,232,4695401,LOW_RATE
1732,232,4833045,LOW_RATE
1732,232,4833120,LOW_RATE
1732,232,4695443,LOW_RATE
1732,232,4695500,LOW_RATE
1732,232,4833192,LOW_RATE
1732,232,4833180,LOW_RATE
1732,232,4699155,LOW_RATE
1732,232,4699202,LOW_RATE
1732,232,4833240,LOW_RATE
1732,232,4833301,LOW_RATE
1732,232,4699211,LOW_RATE
1732,232,4699275,LOW_RATE
1732,232,4836939,LOW_RATE
1732,232,4836952,LOW_RATE
1732,232,4699519,LOW_RATE
1732,232,4703225,LOW_RATE
1732,232,4836963,LOW_RATE
1732,232,4837065,LOW_RATE
1732,232,4703263,LOW_RATE
1732,232,4703312,LOW_RATE
1732,232,4837263,LOW_RATE
1732,232,4848158,LOW_RATE
1732,232,4703474,LOW_RATE
1732,232,4703572,LOW_RATE
1732,232,4848156,LOW_RATE
1732,232,4848411,LOW_RATE
1732,232,4707035,LOW_RATE
1732,232,4707083,LOW_RATE
1732,232,4848449,LOW_RATE
1732,232,4848510,LOW_RATE
1732,232,4707269,LOW_RATE
1732,232,4707338,LOW_RATE
1732,232,4863085,LOW_RATE
1732,232,4723792,LOW_RATE
1732,232,4865857,LOW_RATE
1732,232,4866885,LOW_RATE
1732,232,4865844,LOW_RATE
1732,232,4723762,LOW_RATE
1732,232,4866230,LOW_RATE
1732,232,4867073,LOW_RATE
1732,232,4866264,LOW_RATE
1732,232,4866299,LOW_RATE
1732,232,4866291,LOW_RATE
1732,232,4866632,LOW_RATE
1732,232,4866327,LOW_RATE
1732,232,4866375,LOW_RATE
1732,232,4866423,LOW_RATE
1732,232,4866752,LOW_RATE
1732,232,4867139,LOW_RATE
1732,232,4727389,LOW_RATE
1732,232,4727514,LOW_RATE
1732,232,4866413,LOW_RATE
1732,232,4866797,LOW_RATE
1732,232,4727570,LOW_RATE
1732,232,4866430,LOW_RATE
1732,232,4866477,LOW_RATE
1732,232,4866645,LOW_RATE
1732,232,4740812,LOW_RATE
1732,232,4861141,LOW_RATE
1732,232,4861335,LOW_RATE
1732,232,4861482,LOW_RATE
1732,232,4741692,LOW_RATE
1732,232,4862035,LOW_RATE
1732,232,4742320,LOW_RATE
1732,232,4862618,LOW_RATE
1732,232,4863012,LOW_RATE
1732,232,4743142,LOW_RATE
1732,232,4864574,LOW_RATE
1732,232,4863625,LOW_RATE
1732,232,4864723,LOW_RATE
1732,232,4865112,LOW_RATE
1732,232,4865538,LOW_RATE
1732,232,4865590,LOW_RATE
1732,232,4744517,LOW_RATE
1732,232,4865985,LOW_RATE
1732,232,4745069,LOW_RATE
1732,232,4866504,LOW_RATE
1732,232,4866629,LOW_RATE
1732,232,4866974,LOW_RATE
1732,232,4747210,LOW_RATE
1732,232,4747772,LOW_RATE
1732,232,4747770,LOW_RATE
1732,232,4748166,LOW_RATE
1732,232,4748466,LOW_RATE
