% isAttack normal:	1332
% isAttack highrate:	1260
% isAttack lowrate:	1332
@relation 'highrate-weka.filters.unsupervised.attribute.Remove-R3,7-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-NtcpFlood:highrate, udpFlood:highrate, httpFlood:highrate, slowBody:lowrate, slowHeaders:lowrate, slowRead:lowrate-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18-19,21-22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,highrate,lowrate}

@data
tcp,OTH,66,3493,1,0,48,1,0.18,0,normal
tcp,SF,946,1583,1,0,100,1,0,0,normal
tcp,SF,946,2122,1,0,100,1,0,0,normal
tcp,SF,946,2330,1,0,100,1,0,0,normal
tcp,S1,140,2264,1,0,100,1,0,0,normal
tcp,SF,880,2711,1,0,78,1,0,0,normal
tcp,OTH,66,3383,1,0,52,1,0.08,0,normal
tcp,SF,946,2179,1,0,98,1,0,0,normal
tcp,SF,946,2943,1,0,100,1,0,0,normal
tcp,SF,946,999,1,0,100,1,0,0,normal
tcp,OTH,146,3546,1,0,52,1,0.02,0,normal
tcp,SF,1048,2034,1,0,100,1,0,0,normal
tcp,RSTR,1086,1530,1,0,90,1,0,0,normal
tcp,SF,1024,2780,1,0,100,1,0,0,normal
tcp,SF,1024,2685,1,0,100,1,0,0,normal
tcp,SF,946,2533,1,0,100,1,0,0,normal
tcp,OTH,66,2789,1,0,46,1,0.02,0,normal
tcp,SF,946,2321,1,0,100,1,0,0,normal
tcp,SF,946,2167,1,0,99,1,0,0,normal
tcp,SF,880,2080,1,0,88,1,0,0,normal
tcp,SF,946,3088,1,0,100,1,0,0,normal
tcp,OTH,146,4355,1,0,80,1,0.01,0,normal
tcp,OTH,66,3005,1,0,56,1,0,0,normal
tcp,SF,880,3372,1,0,65,1,0,0,normal
tcp,OTH,66,5974,1,0,42,1,0.19,0,normal
tcp,SF,946,2187,1,0,100,1,0,0,normal
tcp,SF,946,281,1,0,100,1,0,0,normal
tcp,OTH,66,5917,1,0,64,1,0.03,0,normal
tcp,SF,880,1886,1,0,99,1,0,0,normal
tcp,SF,946,2753,1,0,100,1,0,0,normal
tcp,SF,946,3368,1,0,100,1,0,0,normal
tcp,SF,946,3909,1,0,100,1,0,0,normal
tcp,SF,880,2621,1,0,100,1,0,0,normal
tcp,OTH,66,3144,1,0,100,1,0.01,0,normal
tcp,SF,1120,1723,1,0,100,1,0,0,normal
tcp,OTH,66,5463,1,0,100,1,0.01,0,normal
tcp,OTH,66,3743,1,0,52,1,0.11,0,normal
tcp,OTH,66,5044,1,0,46,1,0,0,normal
tcp,SF,946,3301,1,0,100,1,0,0,normal
tcp,SF,946,3345,1,0,96,1,0,0,normal
tcp,SF,430,3117,1,0,86,1,0,0,normal
tcp,S3,958,3754,1,0,100,1,0,0,normal
tcp,OTH,66,4363,1,0,48,1,0.06,0,normal
tcp,OTH,66,3868,1,0,46,1,0.13,0,normal
tcp,SF,946,2015,1,0,100,1,0,0,normal
tcp,SF,880,2216,1,0,100,1,0,0,normal
tcp,OTH,66,5011,1,0,47,1,0.06,0,normal
tcp,SF,946,2041,1,0,100,1,0,0,normal
tcp,OTH,66,3360,1,0,50,1,0.16,0,normal
tcp,OTH,66,5902,1,0,56,1,0,0,normal
tcp,OTH,66,3255,1,0,38,1,0.08,0,normal
tcp,OTH,66,2952,1,0,42,1,0.14,0,normal
tcp,OTH,66,5891,1,0,45,1,0,0,normal
tcp,SF,946,2202,1,0,100,1,0,0,normal
tcp,RSTR,364,1912,1,0,100,1,0,0,normal
tcp,SF,946,1241,1,0,100,1,0,0,normal
tcp,OTH,66,3721,1,0,50,1,0.02,0,normal
tcp,OTH,66,6276,1,0,50,1,0.12,0,normal
tcp,OTH,66,1889,1,0,45,1,0.04,0,normal
tcp,OTH,66,4318,1,0,53,1,0,0,normal
tcp,OTH,66,5082,1,0,31,1,0.19,0,normal
tcp,OTH,78,3876,1,0,100,1,0.01,0,normal
tcp,SF,352,1912,1,0,68,1,0,0,normal
tcp,SF,946,2306,1,0,100,1,0,0,normal
tcp,OTH,66,5909,1,0,50,1,0.08,0,normal
tcp,SF,946,1906,1,0,100,1,0,0,normal
tcp,SF,1024,2214,1,0,100,1,0,0,normal
tcp,OTH,66,3217,1,0,47,1,0,0,normal
tcp,SF,946,4263,1,0,64,1,0,0,normal
tcp,OTH,66,3013,1,0,43,1,0.14,0,normal
tcp,SF,946,1945,1,0,100,1,0,0,normal
tcp,OTH,66,3030,1,0,45,1,0.17,0,normal
tcp,SF,946,105,1,0,100,1,0,0,normal
tcp,SF,880,3219,1,0,98,1,0,0,normal
tcp,OTH,66,3616,1,0,44,1,0,0,normal
tcp,SF,1120,2113,1,0,100,1,0,0,normal
tcp,OTH,66,2856,1,0,48,1,0.18,0,normal
tcp,SF,1020,1440,1,0,100,1,0,0,normal
tcp,SF,880,1980,1,0,100,1,0,0,normal
tcp,SF,946,2955,1,0,100,1,0,0,normal
tcp,SF,1120,1530,1,0,100,1,0,0,normal
tcp,OTH,66,2987,1,0,46,1,0.13,0,normal
tcp,SF,946,2554,1,0,100,1,0,0,normal
tcp,SF,946,2243,1,0,100,1,0,0,normal
tcp,OTH,78,2849,1,0,88,1,0.01,0,normal
tcp,SF,1024,1887,1,0,79,1,0,0,normal
tcp,OTH,66,3079,1,0,83,1,0.1,0,normal
tcp,S2,352,3407,1,0,100,1,0,0,normal
tcp,SF,946,306,1,0,100,1,0,0,normal
tcp,OTH,78,3897,1,0,88,1,0.01,0,normal
tcp,SF,880,2031,1,0,100,1,0,0,normal
tcp,SF,946,1281,1,0,100,1,0,0,normal
tcp,OTH,66,5099,1,0,45,1,0.13,0,normal
tcp,SF,946,1291,1,0,100,1,0,0,normal
